ts,value
1518606420.0002,42.02220777
1518606420.0007,-10.0172042
1518606420.0012,28.77846527
1518606420.0017,14.1156034
1518606420.0022,4.5268287
1518606420.00271,37.7985572
1518606420.00321,3.1734352
1518606420.00371,32.20357277
1518606420.00421,17.5877199
1518606420.00472,-2.21147444
1518606420.00522,27.09694586
1518606420.00572,-10.580739
1518606420.00622,13.4151878
1518606420.00672,41.11514662
1518606420.00723,-8.22000882
1518606420.00773,35.26414683
1518606420.00823,-0.650145499999994
1518606420.00873,7.2133522
1518606420.00923,22.6711359
1518606420.00974,-5.0941906
1518606420.01024,33.59083468
1518606420.01074,16.9838048
1518606420.01124,-2.50633618
1518606420.01175,44.5709552
1518606420.01225,-4.34187228
1518606420.01275,16.7605401
1518606420.01325,36.6243925
1518606420.01375,-16.94756642
1518606420.01426,39.29796791
1518606420.01476,19.970439
1518606420.01526,17.2158031
1518606420.01576,42.8323234
1518606420.01626,-15.56307115
1518606420.01677,39.17502596
1518606420.01727,14.4157039
1518606420.01777,-1.3357801
1518606420.01827,46.185627465
1518606420.01878,6.0543223
1518606420.01928,18.7743129
1518606420.01978,39.93114614
1518606420.02028,-7.36812159000001
1518606420.02078,38.54642575
1518606420.02129,20.9783097
1518606420.02179,5.5726405
1518606420.02229,64.37819361
1518606420.02279,11.2021026
1518606420.02329,37.17033283
1518606420.0238,33.4966173
1518606420.0243,-2.74252624
1518606420.0248,31.5072418
1518606420.0253,6.0539655
1518606420.02581,-0.42563431
1518606420.02631,28.5161953
1518606420.02681,-9.4173698
1518606420.02731,28.6591129
1518606420.02781,24.6752653
1518606420.02832,-21.87738133
1518606420.02882,47.6077203303
1518606420.02932,-7.75885103
1518606420.02982,5.6408796
1518606420.03033,42.89979642
1518606420.03083,-8.44480612
1518606420.03133,36.9287234
1518606420.03183,31.599988
1518606420.03233,-14.63050384
1518606420.03284,30.8569212
1518606420.03334,12.9821834
1518606420.03384,16.1979408
1518606420.03434,44.333198754
1518606420.03484,0.946842220000001
1518606420.03535,38.44259149
1518606420.03585,22.6942606
1518606420.03635,-1.24705399
1518606420.03685,30.14967543
1518606420.03736,11.0106849
1518606420.03786,-4.67880142
1518606420.03836,29.18556876
1518606420.03886,-10.2638897
1518606420.03937,11.0603532
1518606420.03987,30.0691766
1518606420.04037,-5.99347498
1518606420.04087,33.62915471
1518606420.04137,1.584753
1518606420.04188,-3.25888253999999
1518606420.04238,30.6064858
1518606420.04288,7.55619239999999
1518606420.04338,16.5330963
1518606420.04388,52.26434124
1518606420.04439,-7.94859408
1518606420.04489,22.6939869
1518606420.04539,-8.7716331
1518606420.04589,-0.477432329999999
1518606420.0464,39.22512007
1518606420.0469,13.2898751
1518606420.0474,1.4215041
1518606420.0479,51.56507921
1518606420.0484,-6.03119182
1518606420.04891,24.447218
1518606420.04941,50.90287728
1518606420.04991,-8.60319602000001
1518606420.05041,51.78088232
1518606420.05092,26.5299673
1518606420.05142,1.7313032
1518606420.05192,34.26843454
1518606420.05242,5.16572
1518606420.05292,-5.68523603
1518606420.05343,53.13235562
1518606420.05393,-3.19575500000001
1518606420.05443,-1.0175895
1518606420.05493,38.17057133
1518606420.05543,-4.52708949
1518606420.05594,24.11750863
1518606420.05644,26.4562102
1518606420.05694,5.8076906
1518606420.05744,23.0640021
1518606420.05795,15.13540183
1518606420.05845,2.1878967
1518606420.05895,7.6952343
1518606420.05945,3.55855279999999
1518606420.05995,12.4359178
1518606420.06046,25.09092534
1518606420.06096,-5.73128042
1518606420.06146,10.4761867
1518606420.06196,8.6556949
1518606420.06247,1.69291680000001
1518606420.06297,38.53708846
1518606420.06347,2.3296834
1518606420.06397,-5.01632792
1518606420.06447,21.8355627
1518606420.06498,5.1933041
1518606420.06548,11.28272434
1518606420.06598,46.95576914
1518606420.06648,0.024516080000005
1518606420.06699,6.9622174
1518606420.06749,20.39097203
1518606420.06799,-6.02477649999999
1518606420.06849,4.8744011
1518606420.06899,17.5451413
1518606420.0695,1.44493295
1518606420.07,10.77978846
1518606420.0705,15.9455844
1518606420.071,8.71216587
1518606420.0715,56.509346139
1518606420.07201,19.8966532
1518606420.07251,3.7120866
1518606420.07301,21.870739
1518606420.07351,-3.19240430000001
1518606420.07401,21.4614181
1518606420.07452,39.81234832
1518606420.07502,-10.6066218
1518606420.07552,13.6429872
1518606420.07602,45.50650118
1518606420.07653,-5.20829869
1518606420.07703,11.0647564
1518606420.07753,23.8899107
1518606420.07803,-0.807147999999998
1518606420.07853,30.4418573
1518606420.07904,19.5238858
1518606420.07954,1.33350279
1518606420.08004,9.0817108
1518606420.08054,15.8674287
1518606420.08104,-8.06343938000001
1518606420.08155,12.7017479
1518606420.08205,-4.9028912
1518606420.08255,4.7662801
1518606420.08305,19.97418589
1518606420.08355,8.1974363
1518606420.08405,11.7724705
1518606420.08455,22.1542262
1518606420.08505,14.6017781
1518606420.08554,11.5389461
1518606420.08604,18.28096
1518606420.08654,13.0017957
1518606420.08704,14.7213974
1518606420.08754,17.1823473
1518606420.08804,9.9684667
1518606420.08854,22.900896
1518606420.08904,10.9171419
1518606420.08954,18.078288
1518606420.09004,10.0107461
1518606420.09053,25.484498
1518606420.09103,6.21655562
1518606420.09153,5.7420607
1518606420.09203,19.9065628
1518606420.09253,19.4888944
1518606420.09303,34.81580305
1518606420.09353,13.6703415
1518606420.09403,17.87852955
1518606420.09453,16.7633409
1518606420.09502,18.204546
1518606420.09552,12.7312698
1518606420.09602,32.05381395
1518606420.09652,19.4194537
1518606420.09702,-1.140008
1518606420.09752,21.34774972
1518606420.09802,13.4445553
1518606420.09852,8.1602764
1518606420.09902,29.21764906
1518606420.09951,3.30872578
1518606420.10001,20.7557459
1518606420.10051,17.14200303
1518606420.10101,26.80972287
1518606420.10151,24.1394824
1518606420.10201,-0.771655099999997
1518606420.10251,14.3054982
1518606420.10301,14.6708746
1518606420.10351,18.143137
1518606420.104,13.4119444
1518606420.1045,6.4205589
1518606420.105,-9.0518837
1518606420.1055,15.0502339
1518606420.106,13.0618325
1518606420.1065,18.541685
1518606420.107,27.39552401
1518606420.1075,11.1783094
1518606420.108,19.97816661
1518606420.1085,30.41837969
1518606420.10899,5.2691555
1518606420.10949,8.4866523
1518606420.10999,19.1905193
1518606420.11049,0.730873099999997
1518606420.11099,12.3567524
1518606420.11149,33.44182349
1518606420.11199,30.4388876
1518606420.11249,19.2848054
1518606420.11299,25.38209339
1518606420.11348,16.5680866
1518606420.11398,11.7015401
1518606420.11448,-0.64038085
1518606420.11498,-7.283659
1518606420.11548,0.0254955999999993
1518606420.11598,12.0266733
1518606420.11648,7.0313417
1518606420.11698,13.2937783
1518606420.11748,13.70950029
1518606420.11797,-0.202838899999996
1518606420.11847,18.9973945
1518606420.11897,17.6612845
1518606420.11947,17.4583378
1518606420.11997,8.9653606
1518606420.12047,13.82521716
1518606420.12097,8.374342
1518606420.12147,8.8505774
1518606420.12197,26.9451475
1518606420.12247,14.3362942
1518606420.12296,4.232831
1518606420.12346,26.91224771
1518606420.12396,20.7145433
1518606420.12446,-0.849375599999995
1518606420.12496,28.21925453
1518606420.12546,12.032238
1518606420.12596,-8.82060481
1518606420.12646,42.6074429
1518606420.12696,-11.7575121
1518606420.12745,-2.8591424
1518606420.12795,36.6775675
1518606420.12845,6.3592548
1518606420.12895,-12.51124478
1518606420.12945,29.0431261
1518606420.12995,26.7877999
1518606420.13045,-13.66781997
1518606420.13095,23.06221
1518606420.13145,22.1002988
1518606420.13194,-13.58354753
1518606420.13244,29.0233211
1518606420.13294,29.2915879
1518606420.13344,2.8774776
1518606420.13394,23.37100845
1518606420.13444,31.34964945
1518606420.13494,-10.5755988
1518606420.13544,10.1906948
1518606420.13594,29.5871887
1518606420.13643,-7.80911828
1518606420.13693,15.9290809
1518606420.13743,37.35630079
1518606420.13793,10.1512567
1518606420.13843,8.7048769
1518606420.13893,18.97370425
1518606420.13943,-3.33080479
1518606420.13993,-3.3337287
1518606420.14043,35.4504137
1518606420.14092,28.8176355
1518606420.14142,10.7174511
1518606420.14192,36.71863274
1518606420.14242,15.5242347
1518606420.14292,-16.68888382
1518606420.14342,35.79716251
1518606420.14392,30.7432996
1518606420.14442,-15.13251639
1518606420.14492,28.9182567
1518606420.14542,27.0461759
1518606420.14591,-25.71510461
1518606420.14641,3.710393
1518606420.14691,51.55515999
1518606420.14741,-5.69339470000001
1518606420.14791,9.2892131
1518606420.14841,34.22789149
1518606420.14891,-2.17422582
1518606420.14941,-9.94468972999999
1518606420.1499,42.80710153
1518606420.1504,-10.64574247
1518606420.1509,-17.1141176
1518606420.1514,35.63874288
1518606420.1519,13.5193385
1518606420.1524,-30.067406807
1518606420.1529,60.80458399
1518606420.1534,32.7256231
1518606420.1539,-14.21957112
1518606420.1544,38.4625272
1518606420.15489,32.28566845
1518606420.15539,-34.54960508
1518606420.15589,29.7311736
1518606420.15639,56.32712959
1518606420.15689,-18.0710086
1518606420.15739,5.46389
1518606420.15789,28.19196995
1518606420.15839,10.30712995
1518606420.15889,-20.42218095
1518606420.15938,34.8426895
1518606420.15988,6.7319718
1518606420.16038,-26.09056085
1518606420.16088,26.73783155
1518606420.16138,26.4661503
1518606420.16188,-19.40721007
1518606420.16238,10.583559
1518606420.16288,42.79099654
