ts,value
1518618218.00044,-53.69042921
1518618218.00094,-45.50252499
1518618218.00144,-52.16027736
1518618218.00194,-74.3476892
1518618218.00244,-92.88416106
1518618218.00294,-41.34111742
1518618218.00344,-62.71843388
1518618218.00394,-61.51968147
1518618218.00444,-57.00748633
1518618218.00494,-66.48777514
1518618218.00544,-54.36245437
1518618218.00594,-56.03571561
1518618218.00644,-48.39701178
1518618218.00694,-49.96372986
1518618218.00744,-73.18568467
1518618218.00794,-80.57565601
1518618218.00844,-71.32294651
1518618218.00894,-69.82767636
1518618218.00944,-63.30822181
1518618218.00994,-66.06859358
1518618218.01044,-74.98141715
1518618218.01094,-60.14498286
1518618218.01144,-59.21206977
1518618218.01194,-59.13054689
1518618218.01244,-59.62350533
1518618218.01294,-40.07389331
1518618218.01344,-78.00654883
1518618218.01394,-45.94307939
1518618218.01444,-60.69765142
1518618218.01494,-55.33402967
1518618218.01544,-64.813590864
1518618218.01594,-46.95154493
1518618218.01644,-56.30350133
1518618218.01694,-62.19147258
1518618218.01744,-49.416094907
1518618218.01794,-60.78253128
1518618218.01844,-57.68414848
1518618218.01894,-60.96399974
1518618218.01944,-56.07408264
1518618218.01994,-57.23329445
1518618218.02044,-49.33887379
1518618218.02094,-60.45116419
1518618218.02144,-52.16813707
1518618218.02194,-63.08817865
1518618218.02244,-56.1929484
1518618218.02294,-59.894933865
1518618218.02344,-48.1775083
1518618218.02394,-66.52409071
1518618218.02444,-49.96842282
1518618218.02494,-69.75492185
1518618218.02544,-57.01034065
1518618218.02594,-54.40467329
1518618218.02644,-61.86063768
1518618218.02694,-51.64311786
1518618218.02744,-70.16866759
1518618218.02794,-64.964029693
1518618218.02844,-65.10210946
1518618218.02894,-58.99354177
1518618218.02944,-51.3794541
1518618218.02994,-48.442620927
1518618218.03044,-63.15843914
1518618218.03094,-58.76473338
1518618218.03144,-67.07957693
1518618218.03194,-60.36920551
1518618218.03244,-62.00045342
1518618218.03294,-59.84014749
1518618218.03344,-65.14013055
1518618218.03394,-64.43405525
1518618218.03444,-58.46790336
1518618218.03494,-54.62952472
1518618218.03544,-57.46340373
1518618218.03594,-66.74924318
1518618218.03644,-50.753503029
1518618218.03694,-75.7314761
1518618218.03744,-59.516580051
1518618218.03794,-63.87704181
1518618218.03844,-30.46354004
1518618218.03894,-71.99521825
1518618218.03944,-59.95669611
1518618218.03994,-62.83358643
1518618218.04044,-66.92486289
1518618218.04094,-53.91711689
1518618218.04144,-57.95045276
1518618218.04194,-57.63909907
1518618218.04244,-60.51361946
1518618218.04294,-39.95951422
1518618218.04344,-65.09443575
1518618218.04394,-53.71749393
1518618218.04444,-59.99475142
1518618218.04494,-67.82099434
1518618218.04544,-53.76774265
1518618218.04594,-57.04813053
1518618218.04644,-50.96067627
1518618218.04694,-51.161479239
1518618218.04744,-75.36072635
1518618218.04794,-70.16864298
1518618218.04844,-52.75673918
1518618218.04894,-44.93422267
1518618218.04944,-58.23928354
1518618218.04994,-47.469079681
1518618218.05044,-50.824181884
1518618218.05094,-44.522283414
1518618218.05144,-62.2854671
1518618218.05194,-63.08164241
1518618218.05244,-72.3306522
1518618218.05294,-55.18076518
1518618218.05344,-54.33168547
1518618218.05394,-65.17628004
1518618218.05444,-70.09516048
1518618218.05494,-59.73836899
1518618218.05544,-50.021334298
1518618218.05594,-66.36355115
1518618218.05644,-48.54830701
1518618218.05694,-65.23691648
1518618218.05744,-53.505954904
1518618218.05794,-65.02877518
1518618218.05844,-65.58466293
1518618218.05894,-58.405033958
1518618218.05944,-44.4937559692
1518618218.05994,-58.94196269
1518618218.06044,-63.38048628
1518618218.06094,-47.87244891
1518618218.06144,-62.8209072
1518618218.06194,-65.93089455
1518618218.06244,-60.88270899
1518618218.06294,-60.962957113
1518618218.06344,-56.07842349
1518618218.06394,-55.7397427379
1518618218.06444,-66.03999375
1518618218.06494,-60.8462114
1518618218.06544,-80.64297392
1518618218.06594,-53.99627975
1518618218.06644,-56.82701924
1518618218.06694,-64.05760479
1518618218.06744,-77.9600821
1518618218.06794,-43.734705047
1518618218.06844,-57.05118277
1518618218.06894,-54.74322419
1518618218.06944,-58.05879258
1518618218.06994,-57.7634073
1518618218.07044,-44.98813532
1518618218.07094,-51.342992001
1518618218.07144,-42.87884638
1518618218.07194,-53.21148848
1518618218.07244,-61.04551506
1518618218.07294,-41.625904825
1518618218.07344,-45.020298385
1518618218.07394,-63.57759765
1518618218.07444,-41.83519281
1518618218.07494,-63.54547748
1518618218.07544,-53.9908953
1518618218.07594,-48.9215162
1518618218.07644,-57.09590796
1518618218.07694,-50.00891697
1518618218.07744,-55.52933238
1518618218.07794,-44.30674217
1518618218.07844,-50.97642355
1518618218.07894,-70.6104289
1518618218.07944,-73.38842964
1518618218.07994,-54.50598237
1518618218.08044,-69.57796716
1518618218.08094,-49.447218308
1518618218.08144,-61.25727512
1518618218.08194,-57.04880949
1518618218.08245,-53.814172726
1518618218.08295,-35.24806337
1518618218.08345,-49.02355809
1518618218.08395,-52.54220779
1518618218.08445,-53.01695411
1518618218.08495,-65.82371214
1518618218.08545,-59.219191247
1518618218.08595,-68.45973207
1518618218.08645,-48.80229084
