ts,value
1518607829.00042,-61.2527065
1518607829.00092,-53.41465332
1518607829.00142,-78.54939462
1518607829.00192,-49.7879725
1518607829.00242,-77.28176871
1518607829.00292,-73.6679287
1518607829.00342,-74.07623392
1518607829.00392,-73.11773487
1518607829.00442,-81.3164167
1518607829.00492,-60.94076541
1518607829.00542,-71.320242
1518607829.00592,-72.87619539
1518607829.00642,-72.4451322
1518607829.00692,-63.4871732
1518607829.00742,-67.02468596
1518607829.00792,-73.71842816
1518607829.00842,-60.36331284
1518607829.00892,-90.5068343
1518607829.00942,-57.3309287
1518607829.00992,-68.84336949
1518607829.01042,-47.71474171
1518607829.01092,-71.01422787
1518607829.01142,-73.61971997
1518607829.01192,-54.5856381
1518607829.01242,-75.70690726
1518607829.01292,-65.67568871
1518607829.01342,-82.16798072
1518607829.01392,-61.7290211
1518607829.01442,-57.65277389
1518607829.01492,-72.20227345
1518607829.01542,-65.8722325
1518607829.01592,-78.9226932
1518607829.01642,-69.558176
1518607829.01692,-77.91193719
1518607829.01742,-67.65524339
1518607829.01792,-73.55243385
1518607829.01842,-86.63174996
1518607829.01892,-55.3533554
1518607829.01942,-71.72882643
1518607829.01992,-91.43372069
1518607829.02042,-68.2138328
1518607829.02092,-61.21702103
1518607829.02142,-65.42039877
1518607829.02192,-81.46805
1518607829.02242,-55.5459872
1518607829.02292,-77.9959278
1518607829.02342,-55.8785182
1518607829.02392,-73.61520766
1518607829.02442,-64.34101765
1518607829.02491,-70.82728952
1518607829.02541,-71.76942622
1518607829.02592,-69.74787711
1518607829.02642,-65.9094171
1518607829.02692,-81.783653694
1518607829.02742,-67.129692
1518607829.02792,-80.5785131
1518607829.02841,-71.19346711
1518607829.02891,-68.99721722
1518607829.02942,-55.2063065
1518607829.02991,-49.5473691
1518607829.03041,-91.70745273
1518607829.03091,-72.27195261
1518607829.03141,-69.86469609
1518607829.03191,-59.90015406
1518607829.03241,-72.2282323
1518607829.03291,-70.68079805
1518607829.03341,-47.4427882
1518607829.03391,-69.29940033
1518607829.03441,-51.8857288
1518607829.03491,-66.1272931
1518607829.03541,-70.41691924
1518607829.03591,-54.5712138
1518607829.03641,-74.55004765
1518607829.03691,-46.32483291
1518607829.03741,-65.8532514
1518607829.03791,-68.73568053
1518607829.03841,-68.40138151
1518607829.03891,-72.6277323
1518607829.03941,-64.96613504
1518607829.03991,-74.863132
1518607829.04041,-51.88010216
1518607829.04091,-86.036320448
1518607829.04141,-50.0508122
1518607829.04191,-61.76160477
1518607829.04241,-70.23402208
1518607829.04291,-55.3034591
1518607829.04341,-78.3011951
1518607829.04391,-48.5714139
1518607829.04441,-78.1455136
1518607829.04491,-77.95882173
1518607829.04541,-51.83338928
1518607829.04591,-83.02120541
1518607829.04641,-51.3346786
1518607829.04691,-66.47272867
1518607829.04741,-73.9666957
1518607829.04791,-56.284154
1518607829.04841,-70.5693264
1518607829.04891,-65.3049812
1518607829.04941,-83.80823564
1518607829.04991,-65.0547609
1518607829.05041,-69.818655
1518607829.05091,-75.75546265
1518607829.05141,-61.80020994
1518607829.05191,-67.81408698
1518607829.05241,-78.1332731
1518607829.05291,-63.930295
1518607829.05341,-72.2066145
1518607829.05391,-58.588872
1518607829.05441,-75.11714002
1518607829.05491,-56.0699939
1518607829.05541,-42.4478867
1518607829.05591,-58.931203
1518607829.05641,-69.1484013
1518607829.05691,-77.75585136
1518607829.05741,-57.9399948
1518607829.05791,-78.77230695
1518607829.05841,-66.7719412
1518607829.05891,-69.1977767
1518607829.05941,-82.90300839
1518607829.05991,-53.8585605
1518607829.06041,-89.54568437
1518607829.06091,-67.83828165
1518607829.06141,-68.18075658
1518607829.06191,-60.1627702
1518607829.06241,-66.9905671
1518607829.06291,-57.32382205
1518607829.06341,-69.6262903
1518607829.06391,-78.66299537
1518607829.06441,-60.8008528
1518607829.06491,-68.62391658
1518607829.06541,-74.1109744
1518607829.06591,-55.6238051
1518607829.06641,-69.86207678
1518607829.06691,-50.2859955
1518607829.06741,-63.63296882
1518607829.06791,-57.6665735
1518607829.06841,-60.30974046
1518607829.06891,-72.69362831
1518607829.06941,-63.94608967
1518607829.06991,-76.161012641
1518607829.07041,-60.0830955
1518607829.07091,-83.51435667
1518607829.07141,-79.43308979
1518607829.07191,-69.99966666
1518607829.07241,-70.27193546
1518607829.07291,-37.8693008
1518607829.07341,-70.49581438
1518607829.07391,-64.7090712
1518607829.07441,-66.985406
1518607829.07491,-80.67742156
1518607829.07541,-64.861269
1518607829.07591,-80.7839623
1518607829.07641,-46.518815
1518607829.07691,-59.98243001
1518607829.07741,-71.87443829
1518607829.07791,-64.2626476
1518607829.07841,-86.1128372
1518607829.07891,-59.7846575
1518607829.07941,-67.92127035
1518607829.07991,-85.66859436
1518607829.08041,-68.65799807
1518607829.08091,-78.80800439
1518607829.08141,-72.6147661
1518607829.08191,-66.58206326
1518607829.08241,-76.41510203
1518607829.08291,-77.6814918
1518607829.08341,-73.4735299
1518607829.08391,-68.3697547
1518607829.08441,-66.81092751
1518607829.08491,-61.7358675
1518607829.08541,-65.80625728
1518607829.08591,-63.03353068
1518607829.08641,-78.8161106
1518607829.08691,-74.66060347
1518607829.08741,-55.5360174
1518607829.08791,-86.71701709
1518607829.08841,-57.7344741
1518607829.08891,-76.45645239
1518607829.08941,-78.5918112
1518607829.08991,-60.693634
1518607829.09041,-83.92313428
1518607829.09091,-61.3176746
1518607829.09141,-72.2843103
1518607829.09191,-61.3984527
1518607829.09241,-57.2536916
1518607829.09291,-60.2305774
1518607829.09341,-47.70146365
1518607829.09391,-72.32570352
1518607829.09441,-67.8442678
1518607829.09491,-64.2693978
1518607829.09541,-76.04065416
1518607829.09591,-76.56155683
1518607829.09641,-69.93929474
1518607829.09691,-60.3945552
1518607829.09741,-68.40534591
1518607829.09791,-71.27885152
1518607829.09841,-63.7521038
1518607829.09891,-71.796423
1518607829.09941,-71.01944818
1518607829.09991,-68.40340992
1518607829.10041,-58.1546993
1518607829.10091,-72.90654317
1518607829.10141,-63.8185959
1518607829.10191,-71.83807562
1518607829.10241,-65.48790981
1518607829.10291,-68.87724114
1518607829.10341,-71.95014204
1518607829.10391,-70.74684002
1518607829.10441,-89.92021838
1518607829.10491,-71.04035895
1518607829.10541,-79.13579186
1518607829.10591,-65.86902433
1518607829.10641,-59.53853133
1518607829.10691,-55.956234
1518607829.10741,-62.83919719
1518607829.10791,-58.9724326
1518607829.10841,-81.293045903
1518607829.10891,-47.3421392
1518607829.10941,-65.4598523
1518607829.10991,-60.9842624
1518607829.11041,-66.35122059
1518607829.11091,-68.1896905
1518607829.11141,-64.9737311
1518607829.11191,-65.75078292
1518607829.11241,-64.33708043
1518607829.11291,-78.87979796
1518607829.11341,-71.49624116
1518607829.11391,-68.5534735
1518607829.11441,-66.3560858
1518607829.11491,-65.85954981
1518607829.11541,-68.73796202
1518607829.11591,-68.73703102
1518607829.11641,-64.937789
1518607829.11691,-88.19492431
1518607829.11741,-60.2414389
1518607829.11791,-71.3073454
1518607829.11841,-63.40307906
1518607829.11891,-70.04232471
1518607829.11941,-68.2918854
1518607829.11991,-65.71107484
1518607829.12041,-48.6810913
1518607829.12091,-64.2668266
1518607829.12141,-59.3854342
1518607829.12191,-74.37379352
1518607829.12241,-59.74627394
1518607829.12291,-44.43198437
1518607829.12341,-81.2369385
1518607829.12391,-49.80906529
1518607829.12441,-73.3321276
1518607829.12491,-47.6876183
1518607829.12542,-65.71924297
1518607829.12592,-74.5992765
1518607829.12642,-58.58451699
1518607829.12691,-70.0637054
1518607829.12741,-65.307722
1518607829.12792,-72.50831313
1518607829.12842,-68.361126
1518607829.12892,-47.4598074
1518607829.12942,-76.49121276
1518607829.12992,-73.2833781
1518607829.13042,-82.27705817
1518607829.13092,-56.32020388
1518607829.13142,-68.9978876
1518607829.13192,-66.1740036
1518607829.13242,-81.89658884
1518607829.13292,-85.52556514
1518607829.13342,-64.94149588
1518607829.13392,-77.38398656
1518607829.13442,-65.23393255
1518607829.13492,-66.8000403
1518607829.13542,-69.6304178
1518607829.13592,-66.72478579
1518607829.13642,-63.33395572
1518607829.13692,-58.55346105
1518607829.13742,-68.44662576
1518607829.13792,-88.76711852
1518607829.13842,-62.09512334
1518607829.13892,-75.341112
1518607829.13942,-65.11722661
1518607829.13992,-80.67239956
1518607829.14042,-90.99209402
1518607829.14092,-77.00140455
1518607829.14142,-90.77920636
1518607829.14192,-56.7746821
1518607829.14242,-71.05234572
1518607829.14292,-65.1669121
1518607829.14342,-68.0382518
1518607829.14392,-68.9639607
1518607829.14442,-58.59612945
1518607829.14492,-85.70733151
1518607829.14542,-63.11164
1518607829.14592,-82.09883833
1518607829.14642,-70.27101229
1518607829.14692,-61.0623264
1518607829.14742,-87.91727168
1518607829.14792,-69.40072734
1518607829.14842,-72.5579033
1518607829.14892,-68.5581084
1518607829.14942,-62.2183199
1518607829.14992,-58.7153102
1518607829.15042,-68.50973233
1518607829.15092,-72.883626
1518607829.15142,-77.27181386
1518607829.15192,-60.0601759
1518607829.15242,-90.05983351
1518607829.15292,-59.70745946
1518607829.15342,-72.54563044
1518607829.15392,-58.6443587
1518607829.15442,-93.90114736
1518607829.15492,-68.51695343
1518607829.15542,-79.52054017
1518607829.15592,-83.84548998
1518607829.15642,-66.05531696
1518607829.15692,-68.81767182
1518607829.15742,-74.2606468
1518607829.15792,-68.8515186
1518607829.15842,-65.39171982
1518607829.15892,-56.4806346
1518607829.15942,-71.83655788
1518607829.15992,-60.75055983
1518607829.16042,-81.7490544
1518607829.16092,-77.72643381
1518607829.16142,-59.60781959
1518607829.16192,-60.02216911
1518607829.16242,-50.16674144
1518607829.16292,-82.46021748
1518607829.16342,-59.0875653
1518607829.16392,-80.96440866
1518607829.16442,-70.45366295
1518607829.16492,-55.35065553
1518607829.16542,-84.6657534
1518607829.16592,-66.8720875
1518607829.16642,-72.05455399
1518607829.16692,-84.2258936
1518607829.16742,-74.7088109
1518607829.16792,-57.3391313
1518607829.16842,-57.0260839
1518607829.16892,-71.65083594
1518607829.16942,-60.3880138
1518607829.16992,-63.25761323
1518607829.17042,-72.24661062
1518607829.17092,-55.72367661
1518607829.17142,-84.28711514
1518607829.17192,-64.2207699
1518607829.17242,-69.04515606
1518607829.17292,-72.4719277
1518607829.17342,-56.95328515
1518607829.17392,-72.6265774
1518607829.17442,-59.9777842
1518607829.17493,-96.93331052
1518607829.17543,-62.5119581
1518607829.17593,-72.5559711
1518607829.17642,-84.16506077
1518607829.17692,-81.26777552
1518607829.17743,-78.50857544
1518607829.17793,-83.2090216
1518607829.17843,-89.2894613204
1518607829.17893,-71.5759945
1518607829.17943,-54.6504821
1518607829.17993,-62.41299818
1518607829.18043,-65.4245605
1518607829.18093,-81.41861096
1518607829.18143,-59.08372124
1518607829.18193,-73.2429428
1518607829.18243,-61.69121304
1518607829.18292,-75.596857
1518607829.18342,-68.6378241
1518607829.18392,-64.1839523
1518607829.18442,-79.30020912
1518607829.18492,-67.13913447
1518607829.18541,-59.92540931
1518607829.18591,-77.09809839
1518607829.18641,-63.39664837
1518607829.18691,-80.41277358
1518607829.18741,-57.14691735
1518607829.18791,-70.61152848
1518607829.1884,-69.8232498
1518607829.1889,-61.87826729
1518607829.1894,-71.42286069
1518607829.1899,-44.38337937
1518607829.1904,-80.36932274
1518607829.19089,-58.1571779
1518607829.19139,-64.7854262
1518607829.19189,-73.73215723
1518607829.19239,-53.5265479
1518607829.19289,-78.879207025
1518607829.19338,-71.39258959
1518607829.19388,-73.87685495
1518607829.19438,-78.32669157
1518607829.19488,-61.91602269
1518607829.19538,-65.50523615
1518607829.19587,-59.14521984
1518607829.19637,-68.10375791
1518607829.19687,-55.9912433
1518607829.19737,-68.92244342
1518607829.19787,-81.53798809
1518607829.19836,-67.39787007
1518607829.19886,-82.54210325
1518607829.19936,-65.1956882
1518607829.19986,-77.83103847
1518607829.20036,-66.31913421
1518607829.20086,-60.79945281
1518607829.20135,-78.2095794
1518607829.20185,-60.7933922
1518607829.20235,-79.91731449
1518607829.20285,-64.0417119
1518607829.20335,-60.42175109
1518607829.20384,-78.5448904
1518607829.20434,-61.9111747
1518607829.20484,-76.48435835
1518607829.20534,-65.0413332
1518607829.20584,-68.33718591
1518607829.20633,-69.5647793
1518607829.20683,-67.8440304
1518607829.20733,-76.87283831
1518607829.20783,-57.4479531
1518607829.20833,-68.81116489
1518607829.20882,-77.98733619
1518607829.20932,-55.2765636
1518607829.20982,-64.4551334
1518607829.21032,-75.49578478
1518607829.21082,-63.89210465
1518607829.21131,-64.98029902
1518607829.21181,-87.4368248
1518607829.21231,-59.90234286
1518607829.21281,-65.87295343
1518607829.21331,-82.68430605
1518607829.2138,-57.6262035
1518607829.2143,-69.93906887
1518607829.2148,-61.76147171
1518607829.2153,-78.17315666
1518607829.2158,-96.06892431
1518607829.2163,-60.7918624
1518607829.21679,-86.78742504
1518607829.21729,-65.7538415
1518607829.21779,-70.51956795
1518607829.21829,-87.90004731
1518607829.21879,-64.7817106
1518607829.21928,-88.56555032
1518607829.21978,-55.9806384
1518607829.22028,-74.29833605
1518607829.22078,-71.70386267
1518607829.22128,-45.9689398
1518607829.22177,-71.4732209
1518607829.22227,-66.57455444
1518607829.22277,-68.59246781
1518607829.22327,-66.8753967
1518607829.22377,-59.45180803
1518607829.22426,-78.42634528
1518607829.22476,-65.1532955
1518607829.22526,-87.27381083
1518607829.22576,-64.0073652
