ts,value
1526996880.00047,-5.54736162
1526996880.00097,-17.31762022596
1526996880.00147,-28.215205267
1526996880.00197,24.76465945
1526996880.00247,9.70595932
1526996880.00297,-32.76901415
1526996880.00347,-22.469101639
1526996880.00397,6.42188311
1526996880.00447,17.535936314
1526996880.00497,0.23379672
1526996880.00548,-35.86467397
1526996880.00598,-9.345765373
1526996880.00648,6.24061
1526996880.00698,1.58366442
1526996880.00748,-4.1976807
1526996880.00798,-32.38586427
1526996880.00848,8.29672897
1526996880.00898,17.723663109
1526996880.00948,-2.178853835
1526996880.00998,-19.98050499
1526996880.01048,-13.69495499
1526996880.01098,-1.81347573
1526996880.01148,4.373070819
1526996880.01198,2.069385119
1526996880.01248,-18.45958193
1526996880.01298,2.816922964
1526996880.01348,34.20196575
1526996880.01398,6.263859621
1526996880.01448,-24.25580938
1526996880.01499,-22.612849953
1526996880.01549,-1.51354659
1526996880.01599,0.0152137200000002
1526996880.01649,-36.10665059
1526996880.01699,-21.98583989
1526996880.01749,5.114939417
1526996880.01799,11.79335474
1526996880.01849,-4.19657612
1526996880.01899,-4.61160839
1526996880.01949,-8.34268486
1526996880.01999,6.4913013
1526996880.02049,5.975830081
1526996880.02099,-28.663385539
1526996880.02149,-17.14318753
1526996880.02199,8.103324537
1526996880.02249,-8.823462482
1526996880.02299,-28.51593759
1526996880.02349,-24.3675889
1526996880.02399,-0.43489861
1526996880.0245,6.0852096
1526996880.025,1.885661
1526996880.0255,-25.30508849
1526996880.026,-6.288816355
1526996880.0265,10.55238414
1526996880.027,6.54045891
1526996880.0275,-8.187593044
1526996880.028,-36.71198196
1526996880.0285,-11.28351259
1526996880.029,-3.068283199
1526996880.0295,-0.428041246
1526996880.03,-19.71773467
1526996880.0305,2.400732249
1526996880.031,12.55788134
1526996880.0315,15.8139689
1526996880.032,-5.8264132
1526996880.0325,-29.22234379
1526996880.033,0.46236509
1526996880.0335,7.74270937
1526996880.034,-5.03101074
1526996880.03451,-16.46075439
1526996880.03501,1.76736985
1526996880.03551,12.948839687
1526996880.03601,7.060372227
1526996880.03651,-18.49073913
1526996880.03701,-9.462574489
1526996880.03751,7.42488919
1526996880.03801,4.1170156
1526996880.03851,0.867215031
1526996880.03901,-4.435221799
1526996880.03951,-5.35298067
1526996880.04001,5.93989109
1526996880.04051,-1.51449287
1526996880.04101,-16.497611875
1526996880.04151,-12.21671522
1526996880.04201,-18.066355444
1526996880.04251,4.713264875
1526996880.04302,-2.86431312
1526996880.04351,-10.10342002
1526996880.04402,-15.30395961
1526996880.04452,4.396230815
1526996880.04502,-1.66477895
1526996880.04552,-16.295150034
1526996880.04602,-8.75089723
1526996880.04652,9.259238305
1526996880.04702,1.23819614
1526996880.04752,-21.49699544
1526996880.04802,-11.7602545
1526996880.04852,-8.791448282
1526996880.04902,17.3595239
1526996880.04952,-7.475474364
1526996880.05002,-11.927378159
1526996880.05052,-8.20333969
1526996880.05102,-9.564402607
1526996880.05152,8.507703249
1526996880.05202,-12.070584223
1526996880.05252,-31.3044231
1526996880.05303,7.728984111
1526996880.05353,11.250914894
1526996880.05403,14.5009465
1526996880.05453,-19.266922096
1526996880.05503,-15.35329201
1526996880.05553,19.77494567404
1526996880.05603,12.7762661296
1526996880.05653,-23.44714971
1526996880.05703,-12.59783603
1526996880.05753,10.74767601
1526996880.05803,6.2539977
1526996880.05853,-9.37901378
1526996880.05903,-44.66306954
1526996880.05953,-22.54698325
1526996880.06003,32.04305459
1526996880.06053,2.878496414
1526996880.06103,-24.59882518
1526996880.06153,-7.07448554
1526996880.06203,-11.04285502
1526996880.06253,7.2420752
1526996880.06304,-25.271414323
1526996880.06354,-32.167967287
1526996880.06404,12.13913178
1526996880.06454,2.03639197
1526996880.06504,-11.396125377
1526996880.06554,-26.01896129
1526996880.06604,-19.6396294834
1526996880.06654,1.62195181
1526996880.06704,17.50702869
1526996880.06754,3.10172438
1526996880.06804,-39.91767153
1526996880.06854,-5.882516928
1526996880.06904,-4.71081662
1526996880.06954,-5.828064833
1526996880.07004,-7.381465558
1526996880.07054,-22.98737097
1526996880.07104,-21.23690834
1526996880.07154,2.58582688
1526996880.07204,-5.17419863
1526996880.07255,-11.1028409
1526996880.07305,-8.87568426
1526996880.07354,-7.254345121
1526996880.07404,-22.08951521
1526996880.07454,-17.14020705
1526996880.07504,-7.93245641
1526996880.07554,2.3319236
1526996880.07604,-4.68295122
1526996880.07654,-24.7033925
1526996880.07703,-5.243823583
1526996880.07753,-15.90217304
1526996880.07803,-5.382818195
1526996880.07853,4.91259409
1526996880.07903,-11.129510963
1526996880.07953,-11.278981449
1526996880.08003,-11.835689015
1526996880.08053,-30.11184741
1526996880.08103,-10.0499177
1526996880.08152,-13.83357988
1526996880.08202,0.0603682190000003
1526996880.08252,8.510504608
1526996880.08302,-16.87996602
1526996880.08352,-26.201562854
1526996880.08402,13.87249685
1526996880.08452,14.199513279
1526996880.08502,-13.15175752
1526996880.08551,-22.76636105
1526996880.08601,-6.37020087
1526996880.08651,-4.3076642464
1526996880.08701,-5.720207696
1526996880.08751,-2.894716444
1526996880.08801,-10.25531936
1526996880.08851,-16.732384749
1526996880.08901,6.54577635
1526996880.08951,-13.63932896
1526996880.09,-11.02066934
1526996880.0905,-9.83064866
1526996880.091,-14.70766783
1526996880.0915,2.02721894
1526996880.092,9.334397084
1526996880.0925,-3.821092965
1526996880.093,-14.56016223
1526996880.0935,-16.23591947
1526996880.094,-12.95966268
1526996880.09449,-10.2508315265
1526996880.09499,-4.19367385
1526996880.09549,-5.453718757
1526996880.09599,-10.59733057
1526996880.09649,-11.594165
1526996880.09699,-27.616341932
1526996880.09749,-0.22078823
1526996880.09799,-13.14512133
1526996880.09848,-1.92152687
1526996880.09898,-19.116245327
1526996880.09948,-1.141027927
1526996880.09998,-4.823960319
1526996880.10048,-10.201496043
1526996880.10098,0.16401696
1526996880.10148,-5.734067565
1526996880.10198,-6.134922745
1526996880.10248,2.812364252
1526996880.10297,-7.92267108
1526996880.10347,-19.823700155
1526996880.10397,-6.993081735
1526996880.10447,-20.55422139
1526996880.10497,-1.29773223
1526996880.10547,-10.570911282
1526996880.10597,-3.75769252
1526996880.10647,-6.504753558
1526996880.10697,-5.5029512873
1526996880.10746,10.965337604
1526996880.10796,-19.563736796
1526996880.10846,-23.8508769334
1526996880.10896,-6.66901947
1526996880.10946,-10.27591872
1526996880.10996,9.58476023021
1526996880.11046,-14.750336662
1526996880.11095,-11.604189092
1526996880.11145,-12.32917857
1526996880.11195,9.260585305
1526996880.11245,4.932170326
1526996880.11295,-22.16874027
1526996880.11345,-12.31994989
1526996880.11395,9.359967289
1526996880.11445,19.0908363
1526996880.11495,-1.77320578
1526996880.11545,-15.531490501
1526996880.11594,-8.743525212
1526996880.11644,12.24170947
1526996880.11694,13.80945516
1526996880.11744,-10.31582856
1526996880.11794,6.82899261
1526996880.11844,-6.360171368
1526996880.11894,18.295569234
1526996880.11944,-3.341379161
1526996880.11993,-21.7510716134
1526996880.12043,-5.396956583
1526996880.12093,18.72539878
1526996880.12143,-5.500913834
1526996880.12193,-9.16602326
1526996880.12243,-11.01690108
1526996880.12293,1.45703602
1526996880.12343,4.66404629
1526996880.12392,-13.11048817
1526996880.12442,-17.011117373
1526996880.12492,-1.15465878
1526996880.12542,-9.02413063
1526996880.12592,0.20961476
1526996880.12642,-16.88278626
1526996880.12692,-22.83032478
1526996880.12742,13.76227975
1526996880.12792,1.56272316
1526996880.12841,-13.922348466
1526996880.12891,-29.11288525
1526996880.12941,0.0825318620000004
1526996880.12991,-20.641634
1526996880.13041,7.05814481
1526996880.13091,-20.14655387
1526996880.13141,-10.34427107
1526996880.13191,-0.0430183400000006
1526996880.1324,-8.375364889
1526996880.1329,-16.09676337
1526996880.1334,-14.90963936
1526996880.1339,11.87030851
1526996880.1344,0.73466266
1526996880.1349,-15.35238076
1526996880.1354,-15.946580163
1526996880.1359,-3.455655492
1526996880.13639,18.09127283
1526996880.13689,-13.62603232
1526996880.13739,-9.6822108
1526996880.13789,-28.743021947
1526996880.13839,4.85933901
1526996880.13889,20.042650804
1526996880.13939,-8.6431775
1526996880.13989,-15.835668291
1526996880.14039,2.57879424
1526996880.14088,5.04422362
1526996880.14138,-2.111089123
1526996880.14188,-32.95629309
1526996880.14238,-16.62296436
1526996880.14288,1.35367775
1526996880.14338,11.069039761
1526996880.14388,-17.96084905
1526996880.14438,-21.05464292
1526996880.14488,-3.973816987
1526996880.14537,2.995183
1526996880.14587,4.51504611
1526996880.14637,-20.63763406
1526996880.14687,2.357575113
1526996880.14737,3.93078387
1526996880.14787,5.687587553
1526996880.14837,-9.901051882
1526996880.14886,-17.922109183
1526996880.14936,1.81117355
1526996880.14986,9.77841496
1526996880.15036,-13.26133017
1526996880.15086,-14.04802847
1526996880.15136,6.1956735816
1526996880.15186,19.61695477
1526996880.15236,-18.636572804
1526996880.15286,-27.5761844
1526996880.15335,-8.45662165
1526996880.15385,14.0585914
1526996880.15435,10.18144131
1526996880.15485,-8.266281244
1526996880.15535,-28.6576628949
1526996880.15585,23.38244295
1526996880.15635,14.17977942
1526996880.15685,-4.806988227
1526996880.15735,-1.17463994
1526996880.15784,-0.506292299300001
1526996880.15834,2.54819679
1526996880.15884,4.94553614
1526996880.15934,-34.10670913
1526996880.15984,-14.26909518
1526996880.16034,12.553755831
1526996880.16084,2.70498204
1526996880.16134,-7.59686667
1526996880.16183,-22.84942728
1526996880.16233,-11.21862078
1526996880.16283,24.99465894
1526996880.16333,5.37747013
1526996880.16383,-16.20628428
1526996880.16433,-25.60398673
1526996880.16483,-1.28897214
1526996880.16533,13.073783645
1526996880.16582,-15.87816285
1526996880.16632,-30.337516442
1526996880.16682,-2.859209841
1526996880.16732,16.639623593
1526996880.16782,-7.3654654
1526996880.16832,-15.24992514
1526996880.16882,-34.214103
1526996880.16932,-0.33284545
1526996880.16982,-10.650426125
1526996880.17032,-16.60841155
1526996880.17081,-38.90291416
1526996880.17131,-14.4108659
1526996880.17181,9.33631515
1526996880.17231,3.582724329
1526996880.17281,-27.504524184
1526996880.17331,-23.178671605
1526996880.17382,19.92119729
1526996880.17432,2.40546274
1526996880.17482,-4.465184926
1526996880.17532,-40.13333751
1526996880.17582,-2.703371668
1526996880.17632,9.377630721
1526996880.17683,1.76174862
1526996880.17733,-27.42955038
1526996880.17783,-9.350524905
1526996880.17833,27.61470283
1526996880.17883,6.27713167
1526996880.17933,-10.53763771
1526996880.17983,-16.24503588
1526996880.18034,-5.281843282
1526996880.18084,10.15909705
1526996880.18134,-11.662355006
1526996880.18184,-31.63929149
1526996880.18234,6.936998092
1526996880.18284,-3.1201737
1526996880.18335,-9.4892999
1526996880.18385,-9.385237926
1526996880.18435,-14.55987546
1526996880.18485,4.41835474
1526996880.18535,13.92924917
1526996880.18585,-23.031342762
1526996880.18635,-7.405654877
1526996880.18686,6.949400711
1526996880.18736,15.45589769
1526996880.18786,8.5616243
1526996880.18836,-41.41294026
1526996880.18886,-33.05099651
1526996880.18936,10.26791382
1526996880.18987,-2.408045593
1526996880.19037,-8.710966883
1526996880.19087,-27.683807822
1526996880.19137,3.74523592
1526996880.19187,21.9386108
1526996880.19237,-22.87516781
1526996880.19288,-28.36487819
1526996880.19338,-18.88955366
1526996880.19388,-10.18525028
1526996880.19438,20.372267993
1526996880.19488,-23.66463029
