ts,value
1529941701.00006,-12.9318223
1529941701.00056,12.36011011
1529941701.00106,-7.0660952
1529941701.00156,15.93803667
1529941701.00206,-1.77457165
1529941701.00256,11.18700386
1529941701.00306,-2.59777856
1529941701.00356,10.02910245
1529941701.00406,11.410675973
1529941701.00456,-3.22259522
1529941701.00506,2.80302808
1529941701.00556,-9.33352039
1529941701.00606,10.22773285
1529941701.00655,-20.598140851
1529941701.00706,31.104297537
1529941701.00756,-22.8747572263
1529941701.00805,12.58694766
1529941701.00855,-15.42141651
1529941701.00905,-5.364559284
1529941701.00955,-1.711651442
1529941701.01005,-4.652269729
1529941701.01055,5.610513613
1529941701.01105,-21.82405348
1529941701.01155,3.37433405
1529941701.01205,-8.34784388
1529941701.01255,7.84760449
1529941701.01305,-1.91777372
1529941701.01355,20.670821643
1529941701.01405,-1.62376379
1529941701.01455,6.8014667
1529941701.01505,8.10210752
1529941701.01555,-25.05729385
1529941701.01605,5.35080151
1529941701.01655,-16.463745588
1529941701.01705,14.02788409
1529941701.01755,-24.10724176
1529941701.01805,12.6891562
1529941701.01855,1.57144415
1529941701.01905,8.47004129
1529941701.01955,-1.81460853
1529941701.02005,-7.96507896
1529941701.02055,4.042413774
1529941701.02104,-14.26542519
1529941701.02154,-0.727158069999999
1529941701.02204,-6.39381502
1529941701.02254,18.96185408
1529941701.02304,4.667221916
1529941701.02354,1.53847266
1529941701.02404,6.09410975
1529941701.02454,-8.40992394
1529941701.02504,0.456748133
1529941701.02554,-1.15336323
1529941701.02604,6.98670173
1529941701.02654,-15.874309087
1529941701.02704,16.792185038
1529941701.02754,-11.2525618
1529941701.02804,0.648494249999999
1529941701.02854,-9.00745562
1529941701.02904,-0.50539041
1529941701.02954,-2.93619632
1529941701.03004,18.09345764871
1529941701.03054,12.808916496
1529941701.03104,-15.4224292902
1529941701.03154,22.7594028
1529941701.03204,-23.767246469
1529941701.03254,18.98017978
1529941701.03304,-6.76174564
1529941701.03354,10.15394259
1529941701.03404,1.72745299
1529941701.03454,0.420296180000001
1529941701.03503,-1.030589304
1529941701.03553,2.244481145
1529941701.03603,15.44433796
1529941701.03653,-11.76335407
1529941701.03703,24.26688263
1529941701.03753,-17.1749592502
1529941701.03803,25.992963568
1529941701.03853,-8.56182958
1529941701.03903,-0.429518400000001
1529941701.03953,-6.87524411
1529941701.04003,3.922981133
1529941701.04053,1.76780368
1529941701.04103,-15.157249312
1529941701.04153,17.30806912
1529941701.04203,3.356983903
1529941701.04253,-0.20944881
1529941701.04303,3.102611128
1529941701.04353,3.72487591
1529941701.04403,-12.59734037
1529941701.04453,4.67763372
1529941701.04503,1.65959518
1529941701.04553,-5.65270376
1529941701.04603,12.08839709
1529941701.04653,-22.50858617
1529941701.04703,15.75005465
1529941701.04753,-3.38313519
1529941701.04803,12.579277
1529941701.04853,-5.64427757
1529941701.04902,-1.25990128
1529941701.04952,-13.06712337
1529941701.05002,12.2444516473
1529941701.05052,6.50533938
1529941701.05102,-3.97262978
1529941701.05152,10.11965847
1529941701.05202,-12.973442085
1529941701.05252,-5.6841595292
1529941701.05302,9.029361786
1529941701.05352,-0.807217069999999
1529941701.05402,-25.00535511
1529941701.05452,-4.96498817
1529941701.05502,-1.73707176
1529941701.05552,-13.783342
1529941701.05602,5.64866654
1529941701.05652,-25.09743118
1529941701.05702,12.755119458
1529941701.05752,-12.41701889
1529941701.05802,17.87346311
1529941701.05852,-0.0669180870000008
1529941701.05902,4.40291864
1529941701.05952,3.47903467
1529941701.06002,1.61832428
1529941701.06052,-7.01910203
1529941701.06102,-1.03115724
1529941701.06152,-0.725217280000002
1529941701.06202,-2.8247022423
1529941701.06252,5.126733033
1529941701.06302,-5.94973111
1529941701.06352,9.89421346
1529941701.06402,2.8500564
1529941701.06452,1.93835509
1529941701.06502,-0.505292649999999
1529941701.06553,-18.19952392
1529941701.06603,-20.14638451
1529941701.06653,1.91288853
1529941701.06703,0.54276537
1529941701.06753,-1.888461434
1529941701.06803,14.6584384715
1529941701.06854,-0.992494579999999
1529941701.06904,4.0407763
1529941701.06954,11.5716124
1529941701.07004,0.49023676
1529941701.07054,0.95376682
1529941701.07104,-14.82632684
1529941701.07155,16.1514275
1529941701.07205,10.975421398
1529941701.07255,21.26171611
1529941701.07305,-18.932573085
1529941701.07355,-6.86452251
1529941701.07405,-0.759729109
1529941701.07455,3.39930345
1529941701.07506,0.50518706
1529941701.07556,-8.59907532
1529941701.07606,-7.10523172
1529941701.07656,6.98397255
1529941701.07706,2.03605293
1529941701.07756,0.905121089999999
1529941701.07807,7.65944884
1529941701.07857,5.19901801
1529941701.07907,5.01223465
1529941701.07957,-6.84112384
1529941701.08007,-14.497283132
1529941701.08057,6.50469731
1529941701.08107,-5.09198511
1529941701.08158,0.501794728000001
1529941701.08208,0.25582957
1529941701.08258,-5.24596668
1529941701.08308,6.91148782
1529941701.08358,-15.3471724
1529941701.08408,9.66611814
1529941701.08459,-6.06427383
1529941701.08509,3.34808494
1529941701.08559,-8.95947123
1529941701.08609,20.51120829
1529941701.08659,16.378413656
1529941701.08709,10.33675325
1529941701.0876,4.93401646
1529941701.0881,0.57733966
1529941701.0886,-7.40147707
1529941701.0891,8.059091213
1529941701.0896,-7.55214883
1529941701.0901,11.422911573
1529941701.09061,3.65096617
1529941701.09111,-0.405963598
1529941701.09161,5.4496307676
1529941701.09211,-5.10010362
1529941701.09261,-4.31433821
1529941701.09311,-5.0958774
1529941701.09361,-6.24683047
1529941701.09412,10.0398512
1529941701.09462,-4.8373399133
1529941701.09512,-16.01498393
1529941701.09562,-3.00800156
1529941701.09612,-3.48615982
1529941701.09662,-14.74450138
1529941701.09713,-0.205194249999999
1529941701.09763,-15.43489218
1529941701.09813,16.8315747714
1529941701.09863,-1.08204746
1529941701.09913,3.9167814757
1529941701.09963,-20.652244151
1529941701.10014,9.81639088
1529941701.10064,-0.994560730000001
1529941701.10114,0.385118679
1529941701.10164,0.8284626
1529941701.10214,-2.4878780186
1529941701.10264,-8.65751461
1529941701.10314,8.33113742
1529941701.10365,6.65521622
1529941701.10415,1.340901607
1529941701.10465,-0.47205759
1529941701.10515,5.55707597
1529941701.10565,5.24497036
1529941701.10615,1.909103517
1529941701.10666,13.00180204
1529941701.10716,-12.810181865
1529941701.10766,9.95850491
1529941701.10816,-22.31559063
1529941701.10866,5.15919448
1529941701.10916,-19.85300875
1529941701.10967,8.73479965
1529941701.11017,30.482783425
1529941701.11067,10.406203218
1529941701.11117,-4.64555513
1529941701.11167,2.8451271
1529941701.11217,2.959321135
1529941701.11267,-9.34619835
1529941701.11318,3.03004097
1529941701.11368,-2.47709438
1529941701.11418,5.15126373
1529941701.11468,1.651841692
1529941701.11518,3.249234388
1529941701.11568,10.636653694
1529941701.11618,1.57584524
1529941701.11669,-2.757727685
1529941701.11719,7.03488369
1529941701.11769,0.414869310000001
1529941701.11819,-18.04722958
1529941701.11869,6.57394027
1529941701.11919,-11.94735477
1529941701.1197,4.925108079
1529941701.1202,-3.30994153
1529941701.1207,3.510352055
1529941701.1212,-6.850449803
1529941701.1217,13.206944443
1529941701.1222,-7.2314235
1529941701.1227,4.55998088
1529941701.12321,0.334166497
1529941701.12371,-13.28672039
1529941701.12421,2.61709141
1529941701.12471,-13.44430878
1529941701.12521,10.74283102
1529941701.12572,4.782100465
1529941701.12622,5.46019457
1529941701.12672,6.20496581
1529941701.12722,-2.89565683
1529941701.12772,21.701325252
1529941701.12822,3.660170255
1529941701.12872,5.113642007
1529941701.12923,-23.46679293
1529941701.12973,2.431711501
1529941701.13023,2.5536623
1529941701.13073,-1.39487599
1529941701.13123,-0.693873890000001
1529941701.13173,-11.38773327
1529941701.13224,9.41406201
1529941701.13274,-11.17990851
1529941701.13324,12.541672514
1529941701.13374,-4.30195337
1529941701.13424,-5.873949997
1529941701.13474,-15.416781603
1529941701.13524,20.5894661
1529941701.13575,10.23653982
1529941701.13625,-1.332112259
1529941701.13675,0.12486196
1529941701.13725,-18.468249172
1529941701.13775,17.53253008
1529941701.13825,-32.4611486
1529941701.13875,3.81619454
1529941701.13926,-12.91997413
1529941701.13976,-2.452665739
1529941701.14026,-10.83817517
1529941701.14076,-1.43523884
1529941701.14126,-5.0592196
1529941701.14176,-26.120540127
1529941701.14227,11.37574935
1529941701.14277,-3.1139896
1529941701.14327,19.688764275
1529941701.14377,-10.945874221
1529941701.14427,-6.72704733
1529941701.14477,-15.8265789853
1529941701.14528,-18.667341319
1529941701.14578,14.7772325
1529941701.14628,-17.0486756
1529941701.14678,14.82872986
1529941701.14728,-19.18580218
1529941701.14778,-1.11544418
1529941701.14828,-13.93015515
1529941701.14879,-7.108489244
1529941701.14929,-8.01469873
1529941701.14979,-1.96203886
1529941701.15029,19.101789393
1529941701.15079,-4.27565504
1529941701.15129,6.523249594
1529941701.1518,-18.816855644
1529941701.1523,5.0834347
1529941701.1528,-15.63945227
1529941701.1533,6.4268308313
1529941701.1538,10.89825845
1529941701.1543,-5.06597218
1529941701.1548,-5.92513359
1529941701.15531,-19.5222071
1529941701.15581,6.943127569
1529941701.15631,-19.181145155
1529941701.15681,8.137745468
1529941701.15731,12.87819977
1529941701.15781,-20.94262818
1529941701.15832,-9.42467616
1529941701.15882,-16.05570965
1529941701.15932,2.66208506
1529941701.15982,7.32224369
1529941701.16032,22.493908608
1529941701.16082,-15.895755721
1529941701.16132,10.970451758
1529941701.16182,-12.291598258
1529941701.16232,6.343114561
1529941701.16282,20.37930084
1529941701.16332,2.89664453
1529941701.16382,8.6705818
1529941701.16432,-8.413871704
1529941701.16482,-11.46534637
1529941701.16532,11.72335949
1529941701.16582,-15.876286299
1529941701.16632,-3.536756688
1529941701.16682,5.64272582
1529941701.16732,13.724325258
1529941701.16782,-3.6795907
1529941701.16832,-2.58741283
1529941701.16882,-1.84818077
1529941701.16932,-0.143265489
1529941701.16982,2.67661384
1529941701.17032,12.423427558
1529941701.17082,6.344954967
1529941701.17132,-19.48802924
1529941701.17182,3.58954263
1529941701.17232,-2.70397235
1529941701.17282,-20.56402968
1529941701.17333,19.34019594
1529941701.17383,-14.97264322
1529941701.17432,12.61909226
1529941701.17482,-11.406395917
1529941701.17532,-22.755847919
1529941701.17582,-1.40874505
1529941701.17632,6.20992092
1529941701.17683,10.79555343
1529941701.17733,14.249006786
1529941701.17782,29.129903527
1529941701.17832,-15.204976216
1529941701.17882,-3.22158097
1529941701.17932,-10.88329887
1529941701.17983,-0.88305306
1529941701.18033,3.67491605
1529941701.18082,-6.0704688
1529941701.18132,25.372649442
1529941701.18182,-2.38620245
1529941701.18232,4.00104833
1529941701.18282,-4.63918992
1529941701.18333,-12.92469667834
1529941701.18383,2.03181082
1529941701.18432,1.42237879
1529941701.18482,24.78182669
1529941701.18532,-16.87847063
1529941701.18582,13.7464514
1529941701.18632,-12.40066741
1529941701.18683,-14.450147808
1529941701.18733,21.901639447
1529941701.18782,-13.039835026
1529941701.18832,25.51325372
1529941701.18882,-5.069218818
1529941701.18932,-9.35134161
1529941701.18983,-5.999541763
1529941701.19033,-31.83670541
1529941701.19083,4.11588955
1529941701.19133,-7.142380604
1529941701.19183,20.56155628
1529941701.19233,-7.3774707
1529941701.19283,10.0039392
1529941701.19333,-16.539732879
1529941701.19383,-25.29357938
1529941701.19433,8.86354971
1529941701.19483,0.428807740000001
1529941701.19533,14.86396361
1529941701.19583,-9.802055301
1529941701.19633,-15.18902893
1529941701.19683,-13.29350492
1529941701.19733,-9.206962965
1529941701.19783,-9.597088545
1529941701.19833,-10.61641216
1529941701.19883,-5.79798937
1529941701.19933,-3.727280886
1529941701.19983,-0.354706290000001
1529941701.20033,0.462734699999999
1529941701.20083,1.531562093
1529941701.20133,13.40896175
1529941701.20183,-7.93188083
1529941701.20233,11.2461817
1529941701.20283,17.04121792
1529941701.20333,-4.57446003
1529941701.20383,8.65532064
1529941701.20433,-2.27203166
1529941701.20483,11.43580337
1529941701.20533,-13.301336556
1529941701.20583,11.32366033
1529941701.20633,8.94105614
1529941701.20683,-3.169651977
1529941701.20733,-2.702225899
1529941701.20783,2.2458351
1529941701.20833,11.32665539
1529941701.20883,-9.80061088
1529941701.20933,1.62882973
1529941701.20983,16.19435451
1529941701.21033,-22.62621962
1529941701.21083,-8.016765172
1529941701.21133,14.15956402
1529941701.21183,-11.56734944
1529941701.21233,-3.55436901
1529941701.21283,-6.85457492
1529941701.21333,-4.38903879
1529941701.21383,9.88855028
1529941701.21433,5.197075199
1529941701.21483,8.96068164
1529941701.21533,-1.65903231
1529941701.21583,-10.3242066
1529941701.21633,-19.934511311
1529941701.21683,-13.004154701
1529941701.21733,9.6560385179
1529941701.21783,-11.760290899
1529941701.21833,6.83014358
1529941701.21883,1.76902709
1529941701.21933,-9.8970902
1529941701.21983,-6.11093831
1529941701.22033,-8.252174447
1529941701.22083,8.35198152
1529941701.22133,0.0208535199999993
1529941701.22183,-15.642220658
1529941701.22233,-12.764418748
1529941701.22283,-4.68180326
1529941701.22333,7.10071085
1529941701.22383,-7.31636762
1529941701.22433,6.83222319
1529941701.22483,0.27362251
1529941701.22533,-0.431539912000001
1529941701.22583,0.635308742
1529941701.22633,-19.445613293
1529941701.22683,-4.69092869
1529941701.22733,2.73127198
1529941701.22783,6.46121073
1529941701.22833,-2.98316633
1529941701.22883,4.7907622
1529941701.22933,-2.15749228
1529941701.22983,-16.16512491
1529941701.23033,1.13492629
1529941701.23083,-17.056491068
1529941701.23133,-1.61279081
1529941701.23183,11.29546226
1529941701.23233,-4.46111778
1529941701.23283,3.78526071
1529941701.23333,7.976879542
1529941701.23383,4.05577951
1529941701.23433,12.80137706
1529941701.23483,-6.39113812
1529941701.23533,-8.98213578
1529941701.23583,13.433684457
1529941701.23633,-21.01542139
1529941701.23683,17.55909205
1529941701.23733,-37.648011125
1529941701.23783,4.23344403
1529941701.23833,-15.8731794
1529941701.23883,-4.79372215
1529941701.23933,45.6417842
1529941701.23983,-30.66698878
1529941701.24033,16.11132419
1529941701.24083,-5.3271491
1529941701.24133,-8.59241513
1529941701.24183,20.36262935
1529941701.24233,-25.07349248
1529941701.24283,2.277130249
1529941701.24333,1.61825466
1529941701.24383,6.792549378
1529941701.24433,19.49977136
1529941701.24483,-26.08757288
1529941701.24533,4.25842476
1529941701.24583,-17.574636591
1529941701.24633,-4.2355156
1529941701.24683,17.797571944
1529941701.24733,5.266013986
1529941701.24783,30.50854084
1529941701.24833,-17.76369764
1529941701.24883,-0.72391159
1529941701.24933,2.40490296
1529941701.24983,-26.257554504
1529941701.25033,3.10450566
1529941701.25083,-9.55525969
1529941701.25133,-3.44804115
1529941701.25183,14.354223422
1529941701.25233,-14.48684536
1529941701.25283,4.81878471
1529941701.25333,0.926583370000001
1529941701.25383,-10.75409318
1529941701.25433,1.688059998
1529941701.25483,-7.76700692
1529941701.25533,15.44567741
1529941701.25583,-13.27038027
1529941701.25633,-10.572936658
1529941701.25683,23.68236127
1529941701.25733,-25.85999667
1529941701.25783,7.20970921
1529941701.25833,-1.376060966
1529941701.25883,-21.947347225
1529941701.25933,13.73524679
1529941701.25983,-42.04399747
1529941701.26033,-8.33285979
1529941701.26083,6.65323592
1529941701.26133,-20.4965919074
1529941701.26182,28.50036045
1529941701.26232,-20.010803888
1529941701.26282,5.9092407806
1529941701.26332,29.603364078
1529941701.26382,-32.56503872
1529941701.26432,11.90151693
1529941701.26481,-18.95214412
1529941701.26531,-2.07257174
1529941701.26581,10.45850543
1529941701.26631,-30.25937721
1529941701.26681,40.01377723
1529941701.2673,-5.766649089
1529941701.2678,-1.403585703
1529941701.2683,18.94849684
1529941701.2688,-46.99276475
1529941701.2693,23.14138745
1529941701.26979,2.21054005
1529941701.27029,-23.587472288
1529941701.27079,30.388005289
1529941701.27129,-21.6581807433
1529941701.27179,-6.73355741
1529941701.27228,-5.16381026
1529941701.27278,-27.53793403
1529941701.27328,14.03264085
1529941701.27378,-8.5572711743
1529941701.27428,5.20606086
1529941701.27478,0.910176697
1529941701.27527,-24.672033103
1529941701.27577,15.06769062
1529941701.27627,-9.492635
1529941701.27677,-12.27744791
1529941701.27727,27.046067
1529941701.27776,-40.179526731
1529941701.27826,23.16274891
1529941701.27876,-4.534385677
1529941701.27926,-44.91600366
1529941701.27976,15.18704414
1529941701.28025,-20.537954348
1529941701.28075,1.94428015
1529941701.28125,23.54850693
1529941701.28175,-18.70794487
1529941701.28225,34.88197712
1529941701.28275,-12.55009773
1529941701.28324,-23.099853539
1529941701.28374,40.90865139
1529941701.28424,-33.057516894
1529941701.28474,-5.617174801
1529941701.28524,15.38276127
1529941701.28573,-21.65080595
1529941701.28623,42.67959981
1529941701.28673,-18.067341626
1529941701.28723,13.05646461
1529941701.28773,17.61355714
1529941701.28822,-37.94596915
1529941701.28872,8.149282886
1529941701.28922,10.749153546
1529941701.28972,-20.31618442
1529941701.29022,23.23857977
1529941701.29071,-30.42129875
1529941701.29121,-7.03355455
1529941701.29171,25.43848588
1529941701.29221,-33.71787118
1529941701.29271,19.73658563
1529941701.29321,-10.976439467
1529941701.2937,-17.63080025
1529941701.2942,39.50250046
1529941701.2947,-36.968279259
1529941701.2952,-1.8990757353
1529941701.2957,20.414118786
1529941701.29619,-39.926634716
1529941701.29669,28.87876602
1529941701.29719,-9.93769646
1529941701.29769,-18.922940706
1529941701.29819,19.925468792
1529941701.29869,-36.15618017
1529941701.29918,-0.25039769
1529941701.29968,11.232226145
1529941701.30018,-20.995622324
1529941701.30068,23.39397287
1529941701.30118,-5.577578389
1529941701.30167,-21.35870887
1529941701.30217,33.38899798
1529941701.30267,-33.886541033
1529941701.30317,9.629619114
1529941701.30367,11.57299765
1529941701.30416,-32.907016979
1529941701.30466,18.885797426
1529941701.30516,-2.56291259
1529941701.30566,-25.343924015
1529941701.30616,23.321812003
1529941701.30665,-22.21400123
1529941701.30715,-6.77048325
1529941701.30765,26.669339543
1529941701.30815,-22.63098623
1529941701.30865,2.85084005
1529941701.30914,-1.43786582
1529941701.30964,-40.58363557
1529941701.31014,30.07605216
1529941701.31064,-7.67710371
1529941701.31114,-14.46182227
1529941701.31164,26.23802464
1529941701.31213,-25.19986827
1529941701.31263,5.495456805
1529941701.31313,19.52612499
1529941701.31363,-21.57429161
1529941701.31413,17.10131966
1529941701.31462,-2.86160874
1529941701.31512,-10.88633962
1529941701.31562,38.84807917
1529941701.31612,-37.19996527
1529941701.31662,3.44726257
1529941701.31711,21.08342029
1529941701.31761,-36.42499649
1529941701.31811,0.912589540000001
1529941701.31861,25.6295338009
1529941701.31911,-31.67573092
1529941701.3196,6.47998687
1529941701.3201,-16.284669181
1529941701.3206,-18.635613849
1529941701.3211,29.702441654
1529941701.3216,-29.06266341
1529941701.32209,6.45820331
1529941701.32259,13.70491362
1529941701.32309,-27.47155793
1529941701.32359,0.719775375
1529941701.32409,4.79646162
1529941701.32459,-41.68525931
1529941701.32508,37.79222991
1529941701.32558,-0.0552921400000006
1529941701.32608,-20.792421495
1529941701.32658,39.24275854
1529941701.32708,-27.357478131
1529941701.32757,-7.29005407
1529941701.32807,24.40239956
1529941701.32857,-33.622775056
1529941701.32907,-8.77503018
1529941701.32957,13.10767341
1529941701.33007,-26.28650317
1529941701.33056,25.74639259
1529941701.33106,6.766529683
1529941701.33156,-8.211933438
1529941701.33206,20.308946446
1529941701.33255,-8.11267567
1529941701.33305,-16.20823908
1529941701.33355,22.85031936
1529941701.33405,-19.16288431
1529941701.33455,2.01792264
1529941701.33505,24.844501796
1529941701.33554,-25.018440541
1529941701.33604,-14.02822914
1529941701.33654,18.76394082
1529941701.33704,-33.140608991
1529941701.33754,4.01748947
1529941701.33803,4.38151264
1529941701.33853,-20.98128082
1529941701.33903,9.976981702
1529941701.33953,-14.002741804
1529941701.34003,-13.165762121
1529941701.34052,24.22548009
1529941701.34102,-3.77109694
1529941701.34152,-13.71293597
1529941701.34202,29.028165716
1529941701.34252,-2.454008515
1529941701.34301,-22.10338787
1529941701.34351,-1.35187953
1529941701.34401,-10.145642815
1529941701.34451,-9.36824024
1529941701.34501,11.62560678
1529941701.34551,-12.67646861
1529941701.346,28.44102842
1529941701.3465,12.87595319
1529941701.347,-32.622813943
1529941701.3475,10.35369727
1529941701.348,3.336853336
1529941701.34849,-18.573833496
1529941701.34899,2.93876318
1529941701.34949,-0.25277067
1529941701.34999,-0.10697361
1529941701.35049,19.47303171
1529941701.35099,-4.9193414815
1529941701.35148,11.42783903
