ts,value
1518618113.00037,-62.02935311
1518618113.00087,-44.63129393
1518618113.00138,-44.29114482
1518618113.00188,-27.66743895
1518618113.00238,-38.19245101
1518618113.00288,-44.41542956
1518618113.00339,-35.7604845663
1518618113.00389,-45.27675527
1518618113.00439,-38.29381331
1518618113.00489,-47.44010312
1518618113.00539,-46.91267681
1518618113.0059,-47.544900709
1518618113.0064,-48.73745351
1518618113.0069,-52.09471987
1518618113.0074,-47.6575606
1518618113.00791,-40.44429347
1518618113.00841,-48.181309216
1518618113.00891,-47.91491163
1518618113.00941,-37.89115613
1518618113.00992,-46.64434974
1518618113.01042,-28.76483343
1518618113.01092,-32.83587705
1518618113.01142,-62.13105902
1518618113.01193,-36.13874515
1518618113.01243,-65.21610351
1518618113.01293,-42.20311383
1518618113.01343,-54.850331131
1518618113.01394,-48.58391304
1518618113.01444,-41.497745727
1518618113.01494,-54.74258951
1518618113.01544,-57.74802533
1518618113.01594,-51.8477707
1518618113.01645,-47.27186253
1518618113.01695,-46.17074218
1518618113.01745,-54.25628657
1518618113.01795,-56.63568551
1518618113.01846,-35.76561355
1518618113.01896,-26.4811115
1518618113.01946,-45.20363237
1518618113.01996,-43.14007947
1518618113.02047,-31.20878362
1518618113.02097,-52.24438318
1518618113.02147,-38.92084143
1518618113.02197,-74.41496188
1518618113.02248,-48.510915147
1518618113.02298,-50.381077407
1518618113.02348,-43.12559507
1518618113.02398,-39.264891626
1518618113.02449,-55.85868601
1518618113.02499,-38.603565759
1518618113.02549,-64.4007818
1518618113.02599,-56.609151292
1518618113.02649,-57.280692237
1518618113.027,-59.7774553
1518618113.0275,-41.52994845
1518618113.028,-56.83736332
1518618113.0285,-43.183281503
1518618113.02901,-43.18653856
1518618113.02951,-55.045523931
1518618113.03001,-38.78843934
1518618113.03051,-59.32510561
1518618113.03102,-40.76315169
1518618113.03152,-37.25400592
1518618113.03202,-32.9298882
1518618113.03252,-52.682367545
1518618113.03302,-45.22537588
1518618113.03353,-38.44005328
1518618113.03403,-43.55926346
1518618113.03453,-32.24657108
1518618113.03503,-52.61384985
1518618113.03554,-42.91390608
1518618113.03604,-32.75225826
1518618113.03654,-47.108215433
1518618113.03704,-41.86303471
1518618113.03755,-44.26880339
1518618113.03805,-43.40753782
1518618113.03855,-48.13969947
1518618113.03905,-63.19443495
1518618113.03956,-37.32030603
1518618113.04006,-68.24153451
1518618113.04056,-43.06559255
1518618113.04106,-53.8895001679
1518618113.04156,-43.51415211
1518618113.04207,-33.72379733
1518618113.04257,-45.49888095
1518618113.04307,-36.9922472
1518618113.04358,-55.23032755
1518618113.04408,-33.66514355
1518618113.04458,-48.1122716
1518618113.04508,-48.85385303
1518618113.04558,-44.37045088
