ts,value
1518618136.0002,-35.66153244
1518618136.0007,-50.98632196
1518618136.0012,-43.78969713
1518618136.00171,-56.7421657
1518618136.00221,-48.64323146
1518618136.00271,-44.9808864
1518618136.00321,-28.68985317
1518618136.00371,-42.70484092
1518618136.00421,-46.07098579
1518618136.00471,-68.76050947
1518618136.00521,-54.42687698
1518618136.00571,-57.26134109
1518618136.00621,-47.40803428
1518618136.00671,-40.26654583
1518618136.00721,-35.51071068
1518618136.00771,-52.18764404
1518618136.00822,-64.50115968
1518618136.00872,-55.10082623
1518618136.00922,-55.6500588
1518618136.00972,-36.89474201
1518618136.01022,-45.16925145
1518618136.01072,-52.84956265
1518618136.01122,-63.70859722
1518618136.01172,-71.38948205
1518618136.01222,-60.1673455
1518618136.01272,-28.60905499
1518618136.01322,-20.12693711
1518618136.01372,-34.97796194
1518618136.01422,-59.59122043
1518618136.01472,-56.07283878
1518618136.01523,-65.79706189
1518618136.01573,-51.66763869
1518618136.01623,-46.68587039
1518618136.01673,-33.74807763
1518618136.01723,-37.89261435
1518618136.01773,-53.0037384
1518618136.01823,-63.3053522
1518618136.01873,-57.97430179
1518618136.01923,-41.25601911
1518618136.01973,-25.47923945
1518618136.02023,-43.63305183
1518618136.02073,-31.71617843
1518618136.02123,-55.81515596
1518618136.02173,-55.54735759
1518618136.02223,-51.66830202
1518618136.02274,-41.71518307
1518618136.02324,-35.31204398
1518618136.02374,-34.01250934
1518618136.02424,-48.34831897
1518618136.02474,-62.09645937
1518618136.02524,-57.8556176
1518618136.02574,-48.75970549
1518618136.02624,-15.227035487
1518618136.02674,-40.686512262
1518618136.02724,-35.77824971
1518618136.02774,-53.3431978
1518618136.02824,-81.090476
1518618136.02874,-79.63361366
1518618136.02924,-38.08561228
1518618136.02975,-15.67716739
1518618136.03025,-25.48285705
1518618136.03075,-38.28153993
1518618136.03125,-63.478241
1518618136.03175,-74.6012649
1518618136.03225,-42.45631368
1518618136.03275,-39.23071433
1518618136.03325,-6.46359201
1518618136.03375,-23.873797474
1518618136.03425,-48.00668048
1518618136.03475,-74.3384132
1518618136.03525,-62.9734078
1518618136.03575,-49.78942481
1518618136.03625,-36.96914863
1518618136.03675,-23.1266398169
1518618136.03726,-42.78019333
1518618136.03776,-47.90715602
1518618136.03826,-85.3727665
1518618136.03876,-75.2267484
1518618136.03926,-38.12874795
1518618136.03976,-27.937930734
1518618136.04026,-29.282767899
1518618136.04076,-37.489450164
1518618136.04126,-68.21483994
1518618136.04176,-65.74923234
1518618136.04226,-56.5607543
1518618136.04276,-28.98710716
1518618136.04326,-26.859528559
1518618136.04376,-40.922255342
1518618136.04426,-51.28232951
1518618136.04477,-51.26660542
1518618136.04527,-72.3980866
1518618136.04577,-68.21969036
1518618136.04627,-39.13048938
1518618136.04677,-20.632409508
1518618136.04727,-26.12347622
1518618136.04777,-62.8467427
1518618136.04827,-80.7975655
1518618136.04877,-80.1167955
1518618136.04927,-36.33744524
1518618136.04977,-28.712255535
1518618136.05027,-18.16431169
1518618136.05077,-26.37819433
1518618136.05128,-61.6137609
1518618136.05178,-74.89186673
1518618136.05228,-52.64117998
1518618136.05278,-17.8383705249
1518618136.05328,-8.66635597
1518618136.05378,-11.12344724
1518618136.05428,-60.90579392
1518618136.05478,-71.5423135
1518618136.05528,-59.4181814
1518618136.05578,-58.1506596
1518618136.05628,-31.29516272
1518618136.05678,-13.05310964
1518618136.05728,-36.54940684
1518618136.05778,-73.89087908
1518618136.05828,-80.7981853
1518618136.05879,-67.9667779
1518618136.05929,-30.85163788
1518618136.05979,-7.70509345
1518618136.06029,-20.57345967
1518618136.06079,-29.168747447
1518618136.06129,-50.7762336
1518618136.06179,-70.8248825
1518618136.06229,-52.55538369
1518618136.06279,-26.56347486
1518618136.06329,-6.65149498
1518618136.06379,-27.35055823
1518618136.06429,-30.75570639
1518618136.06479,-74.6807499
1518618136.06529,-69.0383873
1518618136.0658,-58.223545
1518618136.0663,-32.36910672
1518618136.0668,-29.656237374
1518618136.0673,-30.3365965
1518618136.0678,-64.2693701
1518618136.0683,-82.5712833
1518618136.0688,-71.0610513
1518618136.0693,-48.4588547
1518618136.0698,-29.04701141
1518618136.0703,-43.52637213
1518618136.0708,-48.34582684
1518618136.0713,-66.6205769
1518618136.0718,-66.83069897
1518618136.0723,-50.1262865
1518618136.07281,-27.04255955
1518618136.07331,-6.88848594
1518618136.07381,-23.61274029
1518618136.07431,-52.10913173
1518618136.07481,-68.9694376
1518618136.07531,-66.4344845
1518618136.07581,-51.664527
1518618136.07631,-26.49283305
1518618136.07681,-30.73058727
1518618136.07731,-42.54887112
1518618136.07781,-60.7903461
1518618136.07831,-75.9344102
1518618136.07881,-67.2461776
1518618136.07931,-41.86732599
1518618136.07981,-30.32652376
1518618136.08032,-17.46680601
1518618136.08082,-43.71539732
1518618136.08132,-59.909566
1518618136.08182,-52.0389118
1518618136.08232,-47.4879044
1518618136.08282,-25.30176703
1518618136.08332,-23.498806176
1518618136.08382,-32.930190966
1518618136.08432,-54.3137331
1518618136.08482,-62.24730774
1518618136.08531,-71.64222619
1518618136.08581,-56.2419557
1518618136.08631,-41.41220427
1518618136.08681,-23.247587909
1518618136.08731,-56.76748142
1518618136.08781,-57.56267264
1518618136.08831,-74.0774231
1518618136.08881,-82.42199462
1518618136.08931,-60.33803466
1518618136.08981,-15.22043652
1518618136.09031,-20.41303227
1518618136.09081,-35.62862915
1518618136.09131,-57.16959425
1518618136.09181,-65.8726969
1518618136.09231,-41.5591956
1518618136.0928,-15.23740102
1518618136.0933,-33.16405724
1518618136.0938,-32.332026313
1518618136.0943,-47.1481361
