ts,value
1518617641.00037,12.79896317
1518617641.00087,32.33487701
1518617641.00137,29.690111605
1518617641.00187,-11.29991573
1518617641.00237,-21.3738557
1518617641.00287,-12.20001404
1518617641.00337,3.85023022
1518617641.00387,20.9710270917
1518617641.00437,16.18553864
1518617641.00488,11.22314573
1518617641.00538,-9.33101038
1518617641.00588,-11.33198745
1518617641.00638,-18.38008412
1518617641.00688,8.202193885
1518617641.00738,-0.442292597
1518617641.00788,-3.8846604
1518617641.00838,1.896476049
1518617641.00888,-26.55355357
1518617641.00938,-8.27880959
1518617641.00988,-26.65772634
1518617641.01039,5.741277628
1518617641.01089,16.74790192
1518617641.01139,13.4755015379
1518617641.01189,-13.71399665
1518617641.01239,-9.03998135
1518617641.01289,-6.6819081
1518617641.01339,-0.11456628
1518617641.01389,27.93151638
1518617641.01439,19.94398309
1518617641.01489,3.762781248
1518617641.01539,-16.5212226
1518617641.01589,-6.11151235
1518617641.0164,-1.72801404
1518617641.0169,11.37346275
1518617641.0174,11.75102616
1518617641.0179,1.646830329
1518617641.0184,4.32091101
1518617641.0189,-24.55903097
1518617641.0194,-31.46423771
1518617641.0199,-3.76630951
1518617641.0204,4.69935644
1518617641.0209,14.87764647
1518617641.0214,-1.227474813
1518617641.0219,11.749937987
1518617641.02241,-20.13728326
1518617641.02291,-3.80853849
1518617641.02341,0.853386370000001
1518617641.02391,7.45575139
1518617641.02441,23.8994661
1518617641.02491,11.12080602
1518617641.02541,-19.2435288
1518617641.02591,-13.90719511
1518617641.02641,-22.07547757
1518617641.02691,12.30323364
1518617641.02741,-2.20803742
1518617641.02791,0.378233819999999
1518617641.02841,13.08810401
1518617641.02891,-5.1811154
1518617641.02942,1.52281165
1518617641.02992,-0.682090419999998
1518617641.03042,2.8936587
1518617641.03092,8.53922677
1518617641.03142,12.347696965
1518617641.03192,-13.68229007
1518617641.03242,-9.13425162
1518617641.03292,-12.38550659
1518617641.03342,-9.47105072
1518617641.03392,12.00294256
1518617641.03442,4.74215197
1518617641.03492,25.11875861
1518617641.03543,-21.66272594
1518617641.03593,-8.09491972
1518617641.03643,-9.8455066
1518617641.03693,4.9922688
1518617641.03743,14.05476566
1518617641.03793,8.32193232
1518617641.03843,-0.96783209
1518617641.03893,4.48627742
1518617641.03943,2.65231047
1518617641.03993,1.08237696
1518617641.04043,-4.91974498
1518617641.04094,7.0108621
1518617641.04144,-0.854987216
1518617641.04194,8.833846982
1518617641.04244,-9.95094102
1518617641.04294,-14.41640405
1518617641.04344,-9.02799892
1518617641.04394,-4.069123256
1518617641.04444,6.60037505
1518617641.04494,5.59728495
1518617641.04544,-2.54639912
1518617641.04594,-5.51412752
1518617641.04644,-2.18883393
1518617641.04695,-12.75866289
1518617641.04745,18.77917125
1518617641.04795,6.62446024
1518617641.04845,-9.24392891
1518617641.04895,-16.44104667
1518617641.04945,-13.97717311
1518617641.04995,5.00502133
1518617641.05045,-4.66543837
1518617641.05095,-2.711425717
1518617641.05145,-5.665171258
1518617641.05195,1.00985457
1518617641.05245,-8.16477349
1518617641.05296,5.07579021
1518617641.05346,-6.34645271
1518617641.05396,-23.979537
1518617641.05446,-17.7978993
1518617641.05496,-26.5902367
1518617641.05546,11.178463832
1518617641.05596,10.700316911
1518617641.05646,15.52411414
1518617641.05696,-6.4462266
1518617641.05746,-17.91075228
1518617641.05796,12.18467796
1518617641.05846,5.50475926
1518617641.05897,21.4709601
1518617641.05947,8.650843245
1518617641.05997,0.64318597
1518617641.06047,-2.27813344
1518617641.06097,-4.29243617
1518617641.06147,5.971465742
1518617641.06197,-10.15075321
1518617641.06247,5.63382742
1518617641.06297,10.05890261
1518617641.06347,13.46210217
1518617641.06397,-11.00120158
1518617641.06447,-15.91507662
1518617641.06497,-6.71763517
1518617641.06547,-3.49558735
1518617641.06598,4.740999933
1518617641.06648,2.4336206149
1518617641.06698,-3.950601395
1518617641.06748,-18.75338938
1518617641.06798,2.867962137
1518617641.06848,-1.04088235
1518617641.06898,9.40407173
1518617641.06948,15.140016836
1518617641.06998,-3.389088517
1518617641.07048,-8.01631451
1518617641.07098,0.108924566000001
1518617641.07149,-11.62776876
1518617641.07199,-5.82047333
1518617641.07249,8.691811588
1518617641.07299,-3.9853702
1518617641.07349,-0.637554659999999
