ts,value
1518617912.00007,-57.8770905
1518617912.00057,-22.21331635
1518617912.00108,-30.10341511
1518617912.00158,-5.891711343
1518617912.00209,-31.62636282
1518617912.00259,-27.03402474
1518617912.0031,-32.64019681
1518617912.0036,-22.8096091992
1518617912.00411,-37.20856488
1518617912.00461,-13.94563726
1518617912.00512,-6.05473897
1518617912.00562,-38.40883164
1518617912.00613,-18.30749681
1518617912.00663,-34.2502785
1518617912.00714,-8.430221676
1518617912.00764,-29.4224596
1518617912.00815,-6.2960186
1518617912.00865,-27.78831003
1518617912.00915,-38.66840885
1518617912.00966,-45.9956785
1518617912.01016,-42.7267797
1518617912.01067,-37.43445541
1518617912.01117,-26.32989686
1518617912.01168,-23.92594209
1518617912.01218,-28.5672932
1518617912.01269,-24.27405877
1518617912.01319,-55.8353701
1518617912.0137,-7.26828194
1518617912.0142,-41.42202684
1518617912.01471,-16.432239534
1518617912.01521,-37.00283147
1518617912.01572,-15.820379747
1518617912.01622,-42.99795194
1518617912.01673,-19.1560202
1518617912.01723,-19.8717685
1518617912.01773,-24.01498174
1518617912.01824,-27.11534144
1518617912.01874,-48.66545908
1518617912.01925,-11.59562306
1518617912.01975,-34.6937303
1518617912.02026,-14.3960307
1518617912.02076,-28.59093143
1518617912.02127,-20.02960328
1518617912.02177,-45.2407995
1518617912.02228,-45.0061702
1518617912.02278,-28.52462583
1518617912.02329,-22.45667178
1518617912.02379,-11.79834021
1518617912.0243,-33.7805089
1518617912.0248,4.399294164
1518617912.02531,-41.65644457
1518617912.02581,-22.63801496
1518617912.02631,-51.26089365
1518617912.02682,-14.05061913
1518617912.02732,-16.85054272
1518617912.02783,-16.37500084
1518617912.02833,-10.44258355
1518617912.02884,-40.36250828
1518617912.02934,-25.6545353
1518617912.02985,-46.3560295
1518617912.03035,-13.3490207
1518617912.03086,-27.65210804
1518617912.03136,-8.44282915
1518617912.03187,-37.81548262
1518617912.03237,-29.12741948
1518617912.03288,-28.79916931
1518617912.03338,-28.8288174
1518617912.03389,-26.275890622
1518617912.03439,-41.12491411
1518617912.03489,-3.240782801
1518617912.0354,-32.53696723
1518617912.0359,-37.20900733
1518617912.03641,-62.64638474
1518617912.03691,-30.97769531
1518617912.03742,-24.64766927
1518617912.03792,-23.606886884
1518617912.03843,-14.83923685
1518617912.03893,-42.629549
1518617912.03944,-19.36371749
1518617912.03994,-53.8163566
1518617912.04045,-19.502533218
1518617912.04095,-27.25544444
1518617912.04146,-23.859334824
1518617912.04196,-41.9170919
1518617912.04246,-34.49225043
1518617912.04297,-9.660277992
1518617912.04348,-31.06768702
1518617912.04398,-8.01493659
1518617912.04448,-41.51060971
1518617912.04499,-6.68368865
1518617912.04549,-36.1053905
1518617912.046,-22.04694461
1518617912.0465,-32.03027439
1518617912.04701,-32.51273533
1518617912.04751,-17.83277426
1518617912.04802,-36.8491869
1518617912.04852,-15.694780035
1518617912.04903,-44.81802468
1518617912.04953,-17.08307836
1518617912.05004,-36.1712522
1518617912.05054,-37.81189635
1518617912.05104,-23.82836623
1518617912.05155,-22.90193269
1518617912.05205,-0.301103276
1518617912.05256,-39.01456736
1518617912.05306,-24.00357811
1518617912.05357,-42.8929921
1518617912.05407,-6.37748553
1518617912.05458,-17.37988233
1518617912.05508,-6.89541432
1518617912.05559,-19.65932609
1518617912.05609,-44.4833585
1518617912.0566,-19.8744853
1518617912.0571,-56.6525201
1518617912.05761,-25.282414729
1518617912.05811,-29.86887261
1518617912.05862,-7.6824703
1518617912.05912,-4.140051902
1518617912.05962,-39.23056645
1518617912.06013,-17.56020466
1518617912.06064,-38.9295969
1518617912.06114,2.424029881
1518617912.06164,-35.7661019
1518617912.06215,-11.29451453
1518617912.06265,-38.23591317
1518617912.06316,-16.33867259
1518617912.06366,-30.51052671
1518617912.06417,-52.13058893
1518617912.06467,11.48822498
1518617912.06518,-31.54154299
1518617912.06568,-21.36891339
1518617912.06619,-27.6631374
1518617912.06669,-27.86161046
1518617912.0672,-21.60724799
1518617912.0677,-43.89028061
1518617912.06821,-2.06803036
1518617912.06871,-34.76433807
1518617912.06922,-5.69788206
1518617912.06972,-33.72699831
1518617912.07022,-26.92013171
1518617912.07073,-20.0244515
1518617912.07123,-37.1122103
1518617912.07174,-23.8298528
1518617912.07224,-41.31041663
1518617912.07275,-11.043458361
1518617912.07325,-12.34235953
1518617912.07376,-12.913907722
1518617912.07426,-41.64429227
1518617912.07477,-29.9900074
1518617912.07527,-26.766635764
1518617912.07578,-18.35263993
1518617912.07628,-24.921120339
1518617912.07678,-25.92814516
1518617912.07729,-21.736351
1518617912.0778,-20.78297904
1518617912.0783,-39.4662962
1518617912.0788,-2.325677363
1518617912.07931,-31.96852014
1518617912.07981,-26.22370671
1518617912.08032,-41.8851843
1518617912.08082,-29.93764731
1518617912.08133,-32.96170561
1518617912.08183,-49.99747956
1518617912.08234,-35.21186542
1518617912.08284,-36.0226937
1518617912.08333,-12.01045772
1518617912.08383,-31.765567423
1518617912.08433,-20.84763716
1518617912.08483,-36.06815766
1518617912.08533,-43.56800556
1518617912.08583,-13.01604037
1518617912.08633,-37.25398252
1518617912.08683,-22.07431667
1518617912.08732,-26.61858609
1518617912.08782,-37.13584623
1518617912.08832,-4.56665065
1518617912.08882,-39.2399731
1518617912.08932,-35.50262832
1518617912.08982,-29.09565836
1518617912.09032,-37.9938172
1518617912.09082,-22.9802913369
1518617912.09132,-26.69764033
1518617912.09181,-23.52642612
1518617912.09231,-46.64958672
1518617912.09281,-22.82183742
1518617912.09331,-20.58829542
1518617912.09381,-39.71568004
1518617912.09431,-33.14164791
1518617912.09481,-37.20693781
1518617912.09531,-20.84134678
1518617912.0958,-34.23215909
1518617912.0963,-27.36246206
1518617912.0968,-8.49097305
1518617912.0973,-62.22779685
1518617912.0978,-26.36926025
1518617912.0983,-42.43111138
1518617912.0988,-31.28739598
1518617912.0993,-39.07762057
1518617912.09979,-35.94604486
1518617912.10029,-30.2855864
1518617912.10079,-34.31388758
1518617912.10129,-40.83841376
1518617912.10179,-28.96589379
1518617912.10229,-26.14313982
1518617912.10279,-30.263626727
1518617912.10329,-32.62113907
1518617912.10379,-22.2752485165
1518617912.10429,-22.953229192
1518617912.10478,-20.32304148
1518617912.10528,-17.05094333
1518617912.10578,-36.75757746
1518617912.10628,-17.64523671
1518617912.10678,-34.40954163
1518617912.10728,-36.61487632
1518617912.10778,-32.71573691
1518617912.10827,-29.65563386
1518617912.10877,-24.23885779
1518617912.10927,-31.95688586
1518617912.10977,-31.62733743
1518617912.11027,-25.133821
1518617912.11077,-25.43412786
1518617912.11127,-28.98402162
1518617912.11177,-26.22218561
1518617912.11227,-35.50438786
1518617912.11276,-36.92215113
1518617912.11326,-30.98998458
1518617912.11376,-30.86478805
1518617912.11426,-15.10508209
1518617912.11476,-31.12720277
1518617912.11526,-24.90905234
1518617912.11576,-22.65105101
1518617912.11626,-24.94026566
1518617912.11675,-26.29280383
1518617912.11725,-29.87144372
1518617912.11775,-4.76955673
1518617912.11825,-16.14900822
1518617912.11875,-43.43775418
1518617912.11925,-29.64375593
1518617912.11975,-15.6239204
1518617912.12025,-26.2429685
1518617912.12075,-18.998916644
1518617912.12124,-13.31045386
1518617912.12174,-19.70031309
1518617912.12224,-36.54446791
1518617912.12274,-24.95297818
1518617912.12324,-43.60037658
1518617912.12374,-19.86426858
1518617912.12424,-32.04137852
1518617912.12474,-19.13853573
1518617912.12524,-16.44259029
1518617912.12573,-49.4888458
1518617912.12623,-15.7788312626
1518617912.12673,-32.79356371
1518617912.12723,-7.53193092
1518617912.12773,-23.89971424
1518617912.12823,-21.63728525
1518617912.12873,-18.35034898
1518617912.12923,-22.3060813
1518617912.12972,-38.33409115
1518617912.13022,-21.19353209
1518617912.13072,-36.63093374
1518617912.13122,-21.88326672
1518617912.13172,-37.62177447
1518617912.13222,-26.92459345
1518617912.13272,-25.13168195
1518617912.13322,-18.59564735
1518617912.13371,-23.07192704
1518617912.13421,-33.26894052
1518617912.13471,-22.85427287
1518617912.13521,-23.26400803
1518617912.13571,-46.03250454
1518617912.13621,-16.51558828
1518617912.13671,-5.20028939
1518617912.13721,-35.6853647
1518617912.13771,-24.75208017
1518617912.1382,-56.05675987
1518617912.1387,-5.52526633
1518617912.1392,-32.17833616
1518617912.1397,-34.49894617
1518617912.1402,-38.44665953
1518617912.1407,-43.5644789
1518617912.1412,-22.44976998
1518617912.1417,-44.1552419
1518617912.14219,-26.25844617
1518617912.14269,-19.60754015
1518617912.14319,-43.89563749
1518617912.14369,-29.3991941469
1518617912.14419,-19.7740097
1518617912.14469,-40.75548749
1518617912.14519,-2.98345233
1518617912.14569,-52.8403481
1518617912.14619,-14.53680229
1518617912.14668,-39.86210522
1518617912.14718,-51.8434783
1518617912.14768,16.21769522438
1518617912.14818,-38.89656932
1518617912.14868,-32.6274891
1518617912.14918,-35.23350288
1518617912.14968,-40.582857
1518617912.15018,-10.81323814
1518617912.15067,-42.69653701
1518617912.15117,-21.5222034
1518617912.15167,-9.13490199
1518617912.15217,-59.00261358
1518617912.15267,-21.36137018
1518617912.15317,-46.26173697
1518617912.15367,-39.0871468
1518617912.15417,-16.73763728
1518617912.15466,-19.869584576
1518617912.15516,-13.80116244
1518617912.15566,-43.45376007
1518617912.15616,-57.47753625
1518617912.15666,-3.017171297
1518617912.15716,-61.00701809
1518617912.15766,-27.3775101
1518617912.15816,-5.97877076
1518617912.15865,-63.61918446
1518617912.15915,-12.96846006
1518617912.15965,-21.7837386
1518617912.16015,-35.95399951
1518617912.16065,-21.21474647
1518617912.16115,-62.398116
1518617912.16165,-23.74620935
1518617912.16215,-27.40633634
1518617912.16265,-38.3615284
1518617912.16314,10.443869819
1518617912.16364,-49.45575609
1518617912.16414,-33.159427299
1518617912.16464,-15.44113663
1518617912.16514,-57.8803167
1518617912.16564,1.451152806
1518617912.16614,-42.36416105
1518617912.16664,-32.56335172
1518617912.16714,5.933179255
1518617912.16763,-57.1056786
1518617912.16813,-15.394250029
1518617912.16863,-26.44297887
1518617912.16913,-37.46155254
1518617912.16963,-4.48708629
1518617912.17013,-37.3001651
1518617912.17063,-28.7618038
1518617912.17112,0.180547710000003
1518617912.17162,-55.5040206
1518617912.17212,-8.20364976
1518617912.17262,-52.720841761
1518617912.17312,-29.75688938
1518617912.17362,1.85759597
1518617912.17412,-42.2154913
1518617912.17462,-12.750949996
1518617912.17512,-19.76800685
1518617912.17561,-48.4868727
1518617912.17611,-11.5858822
1518617912.17661,-36.92128377
1518617912.17711,-40.883729
1518617912.17761,-12.23657225
1518617912.17811,-54.44306902
1518617912.17861,-19.75808129
1518617912.17911,-33.2649407
1518617912.17961,-47.1069717
1518617912.1801,-28.939141364
1518617912.1806,-41.9234935
1518617912.1811,-32.8194056
1518617912.1816,-8.71546058
1518617912.1821,-48.74624342
1518617912.1826,-3.958415254
1518617912.1831,-16.606207156
1518617912.1836,-42.25035765
1518617912.1841,-2.836790949
1518617912.1846,-39.64179707
1518617912.1851,-47.51063291
1518617912.1856,0.934490999
1518617912.18611,-53.2088519
1518617912.18661,-44.88364721
1518617912.18711,-16.51617814
1518617912.18761,-63.80388823
1518617912.18811,-4.239035278
1518617912.18861,-24.13238046
1518617912.18911,-46.617301
1518617912.18961,-28.070697711
1518617912.19011,-52.46669478
1518617912.19061,-32.32392841
1518617912.19111,-12.37775136
1518617912.19161,-39.9144057
1518617912.19212,-2.73776505
1518617912.19262,-40.23697666
1518617912.19312,-74.36505795
1518617912.19362,-3.756851115
1518617912.19412,-47.99398084
1518617912.19462,-19.39347173
1518617912.19512,-6.332168881
1518617912.19562,-35.5952149
1518617912.19612,-14.05622172
1518617912.19662,-16.63999651
1518617912.19712,-43.7076378
1518617912.19762,-4.991453053
1518617912.19812,-42.31711637
1518617912.19863,-41.72539283
1518617912.19913,2.867170023
1518617912.19963,-60.15742584
1518617912.20013,-27.6379367
1518617912.20063,-28.93584728
1518617912.20113,-36.3683291
1518617912.20163,-13.20016049
1518617912.20213,-30.13144307
1518617912.20263,-40.01517965
1518617912.20313,-20.689206258
1518617912.20363,-40.1674796
1518617912.20413,-54.17884499
1518617912.20463,-15.130565727
1518617912.20514,-59.7143192
1518617912.20564,-30.87120148
1518617912.20614,-18.265603662
1518617912.20664,-44.797986
1518617912.20714,-5.29338165
1518617912.20764,-27.62240813
1518617912.20814,-34.3728361
1518617912.20864,-8.46998925
1518617912.20914,-41.87661793
1518617912.20964,-38.5673151
1518617912.21014,-1.94024719
1518617912.21064,-49.78636657
1518617912.21114,-23.46105667
1518617912.21165,-18.01292381
1518617912.21215,-39.3058863
1518617912.21265,-18.64784965
1518617912.21315,-20.88647216
1518617912.21365,-40.5388241
1518617912.21415,-3.504619271
1518617912.21465,-22.30261605
1518617912.21515,-48.0057869
1518617912.21565,-10.0993622021
1518617912.21615,-40.6879968
1518617912.21665,-45.467391
1518617912.21715,-12.41800396
1518617912.21765,-51.81557184
1518617912.21816,-31.4459973
1518617912.21866,-9.10310318
1518617912.21916,-44.3415766
1518617912.21966,-24.13066863
1518617912.22016,-13.42868835
1518617912.22066,-46.1679944
1518617912.22116,-7.150532662
1518617912.22166,-24.88314026
1518617912.22216,-50.012602
1518617912.22266,1.55220522
1518617912.22316,-47.47219703
1518617912.22366,-15.85804367
1518617912.22416,-9.83772921
1518617912.22466,-40.04928455
1518617912.22517,-32.11453968
1518617912.22567,-1.79525306
1518617912.22617,-49.9280672
1518617912.22667,-22.67627717
1518617912.22717,-15.58807825
1518617912.22767,-40.1973162
1518617912.22817,-11.98230572
1518617912.22867,-22.74307822
1518617912.22917,-36.5979595
1518617912.22967,-28.25393198
1518617912.23017,-35.20985843
1518617912.23067,-42.51655673
1518617912.23118,-17.464293378
1518617912.23168,-36.65720008
1518617912.23218,-50.67585853
1518617912.23268,-32.44512719
1518617912.23318,-43.144743
1518617912.23368,-43.8930559
1518617912.23418,-10.519489055
1518617912.23468,-29.9834833
1518617912.23518,-35.8798523
1518617912.23568,-15.620388868
1518617912.23618,-53.29162732
1518617912.23668,-40.64663702
1518617912.23719,-35.68613623
1518617912.23769,-58.4349584
1518617912.23819,-22.02856587
1518617912.23869,-5.3393300238
1518617912.23919,-18.02376075
1518617912.23969,-24.32695463
1518617912.24019,-12.12426279
1518617912.24069,-57.09338092
1518617912.24119,-32.295316484
1518617912.24169,-28.71853591
1518617912.24219,-26.21966747
1518617912.24269,-18.42306424
1518617912.24319,-22.86033202
1518617912.2437,-39.6810456
1518617912.2442,-35.08803037
1518617912.2447,-25.88318731
1518617912.2452,-27.56158538
1518617912.2457,-30.403911115
1518617912.2462,-21.47754336
1518617912.2467,-28.7124672
1518617912.2472,-16.73452041
1518617912.2477,-26.17634105
1518617912.2482,-47.22476147
1518617912.2487,-10.331864154
1518617912.2492,-30.53968906
1518617912.2497,-4.595923672
1518617912.25021,-23.09111925
1518617912.25071,-37.92375377
1518617912.25121,-7.575423496
1518617912.25171,-26.55185465
1518617912.25221,-36.10002328
1518617912.25271,-31.97187606
1518617912.25321,-31.47605515
1518617912.25371,-21.17603122
1518617912.25421,-30.77427439
1518617912.25471,-19.25745545
1518617912.25521,-22.42780788
1518617912.25571,-29.58329962
1518617912.25622,-23.42307807
1518617912.25672,-24.64827876
1518617912.25722,-29.0970917
1518617912.25772,-20.93391634
1518617912.25822,-17.86087702
1518617912.25872,-12.41966964
1518617912.25922,-31.72904254
1518617912.25972,-26.54512881
1518617912.26022,-39.31687785
1518617912.26072,-24.01455255
1518617912.26122,-23.37865784
1518617912.26172,-35.68886823
1518617912.26222,-27.66350287
1518617912.26273,-26.62566615
1518617912.26323,-38.33092344
1518617912.26373,-16.15919738
1518617912.26423,-17.86479383
1518617912.26473,-36.36392974
1518617912.26523,-31.06346039
1518617912.26573,-19.67207896
1518617912.26623,-32.0753001
1518617912.26673,-32.2685003
1518617912.26723,-0.65493668
1518617912.26773,-55.08732655
1518617912.26823,-33.01210495
1518617912.26873,5.55888831738
1518617912.26924,-46.2558822
1518617912.26974,-32.00246808
1518617912.27024,-6.70305884
1518617912.27074,-30.76784698
1518617912.27124,-39.54202933
1518617912.27174,-8.34791602
1518617912.27224,-35.71970228
1518617912.27274,-39.9041271
1518617912.27324,8.24693008
1518617912.27374,-29.58302453
1518617912.27424,-34.5696035
1518617912.27474,-21.2558235649
1518617912.27524,-47.35436247
1518617912.27575,-46.5017488
1518617912.27625,-10.63028526
1518617912.27675,-27.10484746
1518617912.27725,-51.24428368
1518617912.27775,-15.1380222
1518617912.27825,-38.79261728
1518617912.27875,-61.4173546
1518617912.27925,-1.85940409
1518617912.27975,-12.56979039
1518617912.28025,-50.05207493
1518617912.28075,-22.82020669
1518617912.28125,-35.82754036
1518617912.28175,-53.17025716
1518617912.28225,-16.62734137
1518617912.28276,-23.90333224
1518617912.28325,-30.9618172
1518617912.28375,-14.2091064169
1518617912.28425,-9.1845586526
1518617912.28475,-30.45002751
1518617912.28525,-6.11161733
1518617912.28575,-29.2806368
1518617912.28624,-44.6059532
1518617912.28674,1.03126143
1518617912.28724,-25.19663425
1518617912.28774,-38.7499437
1518617912.28824,-16.67702683
1518617912.28873,-10.88451672
1518617912.28923,-52.39599012
1518617912.28973,-28.01264841
1518617912.29023,10.293258215
1518617912.29072,-40.7576886
1518617912.29122,-49.92734217
1518617912.29172,-11.26097035
1518617912.29222,-24.99791623
1518617912.29272,-47.2863798
1518617912.29322,6.419647307
1518617912.29371,-39.90584136
1518617912.29421,-42.5961457
1518617912.29471,4.2130788007
1518617912.29521,-23.2289665
1518617912.29571,-62.65236812
1518617912.2962,-8.83631944
1518617912.2967,-16.04514454
1518617912.2972,-75.1506938
1518617912.2977,-19.23863318
1518617912.2982,-5.2131238
1518617912.2987,-47.4811001
1518617912.29919,-17.74345017
1518617912.29969,0.1652168
1518617912.30019,-35.3638773
1518617912.30069,-32.112342
1518617912.30119,-4.2412504
1518617912.30168,-41.78435896
1518617912.30218,-33.7481937
1518617912.30268,5.52393269
1518617912.30318,-27.22497945
1518617912.30368,-67.65159409
1518617912.30417,-6.994038401
1518617912.30467,-18.72284886
1518617912.30517,-66.90895657
1518617912.30567,-0.76400864
1518617912.30617,-25.12416461
1518617912.30666,-74.0695925
1518617912.30716,-19.7272415065
1518617912.30766,0.37328386
1518617912.30816,-49.3869916
1518617912.30866,-38.48050927
1518617912.30915,14.55469107
1518617912.30965,-45.23092082
1518617912.31015,-45.72460651
1518617912.31065,17.90776733
1518617912.31115,-50.7185498
1518617912.31165,-53.99598688
1518617912.31214,-0.11215586
1518617912.31264,-17.823287632
1518617912.31314,-46.5104065
1518617912.31364,-14.538141637
1518617912.31414,-15.69164623
1518617912.31463,-63.672062
1518617912.31513,-26.43563051
1518617912.31563,-14.47045934
1518617912.31613,-51.2896443
1518617912.31663,-31.89862108
1518617912.31712,-1.7490700058
1518617912.31762,-39.52854157
1518617912.31812,-53.8499155
1518617912.31862,0.0779799170000004
1518617912.31912,-21.55008916
1518617912.31961,-49.9342279
1518617912.32011,-18.45418791
1518617912.32061,1.937201327
1518617912.32111,-57.0592089
1518617912.32161,-33.56682823
1518617912.3221,3.7390987308
1518617912.3226,-37.70087098
1518617912.3231,-44.56453038
1518617912.3236,24.64922476
1518617912.3241,-34.16041134
1518617912.32459,-54.0607119
1518617912.32509,-8.39359452
1518617912.32559,-20.65223031
1518617912.32609,-40.0965643
1518617912.32659,-18.95097204
1518617912.32709,6.6542972546
1518617912.32758,-44.6396904
1518617912.32808,-34.39391323
1518617912.32858,12.65477941
1518617912.32908,-37.47005512
1518617912.32958,-55.6058331
1518617912.33007,11.90161634
1518617912.33057,-12.11729515
1518617912.33107,-65.4898987
1518617912.33157,-15.86118707
1518617912.33207,11.59143592
1518617912.33256,-31.7510853
1518617912.33306,-55.7826624
1518617912.33356,1.79104657
1518617912.33406,-37.26142315
1518617912.33456,-57.3623925
1518617912.33505,-15.05551425
1518617912.33555,-27.33590092
1518617912.33605,-39.3866654
1518617912.33655,-26.18147479
1518617912.33705,-21.54246056
1518617912.33754,-38.93131251
1518617912.33804,-48.6073656
1518617912.33854,4.57730221
1518617912.33904,-29.68205949
1518617912.33954,-56.9810496
1518617912.34004,-10.85187801
1518617912.34053,-14.467077822
1518617912.34103,-55.4656849
1518617912.34153,-21.21284669
1518617912.34203,27.89142036
1518617912.34253,-43.74054713
1518617912.34302,-58.9219646
1518617912.34352,-3.013749974
1518617912.34402,-29.36019069
1518617912.34452,-59.7021904
