ts,value
1518617770.00012,-19.0575266
1518617770.00062,-23.45952656
1518617770.00112,-16.3665495
1518617770.00162,-4.368257411
1518617770.00212,-32.3388033
1518617770.00262,-8.357857881
1518617770.00312,-25.80584813
1518617770.00362,-15.9934360093
1518617770.00412,-0.146562708999999
1518617770.00462,-29.65533829
1518617770.00513,4.28674392
1518617770.00563,-16.70376735
1518617770.00613,-0.742898919999998
1518617770.00663,-9.92263907
1518617770.00713,-20.03256512
1518617770.00763,-11.54317093
1518617770.00813,-32.8959036
1518617770.00863,-19.56129217
1518617770.00913,-21.72898577
1518617770.00963,-20.10087773
1518617770.01013,-12.008691238
1518617770.01063,-22.0429382
1518617770.01113,-18.08070361
1518617770.01163,-20.51238726
1518617770.01213,-25.31630039
1518617770.01263,-21.32032633
1518617770.01313,-32.87523322
1518617770.01363,-12.787536283
1518617770.01414,-26.54373265
1518617770.01464,-22.478569794
1518617770.01514,-9.616743643
1518617770.01564,-20.99632693
1518617770.01614,-22.7450513
1518617770.01664,-17.59896714
1518617770.01714,-11.29596492
1518617770.01764,-22.44956884
1518617770.01814,-23.32674734
1518617770.01864,-36.3460687
1518617770.01914,-44.36859226
1518617770.01964,-12.920474303
1518617770.02014,-37.51652571
1518617770.02064,-13.0533567
1518617770.02114,-21.26763621
1518617770.02165,-26.62336165
1518617770.02215,-22.55663399
1518617770.02265,-19.16824057
1518617770.02315,-19.36150263
1518617770.02365,-37.1116609
1518617770.02415,-23.82514004
1518617770.02465,-20.13812873
1518617770.02515,-20.28996901
1518617770.02565,-7.2311890465
1518617770.02615,-19.26729822
1518617770.02665,-27.24448378
1518617770.02715,-6.81979892
1518617770.02765,-17.33469818
1518617770.02815,-24.11694433
1518617770.02865,-15.9968997
1518617770.02915,-16.78083931
1518617770.02965,-21.6351395
1518617770.03015,-13.53497219
1518617770.03066,-17.85743902
1518617770.03116,-25.17230226
1518617770.03166,-24.56935935
1518617770.03216,-37.25041678
1518617770.03266,-10.55634955
1518617770.03316,-15.21179484
1518617770.03366,-14.0157566
1518617770.03416,-4.4709964
1518617770.03466,-18.12467001
1518617770.03516,-12.6708576943
1518617770.03566,-21.02970171
1518617770.03616,-18.04188752
1518617770.03666,-11.025275373
1518617770.03716,-5.369366273
1518617770.03766,-26.31499241
1518617770.03817,-25.80622148
1518617770.03867,-3.90894937
1518617770.03917,-22.59732578
1518617770.03967,-12.85388992
1518617770.04017,-14.612991257
1518617770.04067,-24.92020422
1518617770.04117,-8.05629299
1518617770.04167,-40.90188704
1518617770.04217,-22.9224858
1518617770.04267,-7.08468483
1518617770.04317,-25.84322361
1518617770.04367,-27.40794749
1518617770.04417,-12.74224401
1518617770.04467,-31.35838504
1518617770.04517,-16.819034591
1518617770.04567,-21.0197623
1518617770.04618,-25.50228711
1518617770.04667,-26.50604246
1518617770.04718,-22.2569346
1518617770.04768,-15.42854657
1518617770.04818,-25.79695651
1518617770.04868,-8.53948763
1518617770.04918,-28.48295195
1518617770.04968,-17.07744502
1518617770.05018,-23.50267932
1518617770.05068,-22.63774777
1518617770.05118,-13.34949403
1518617770.05168,9.54134119
1518617770.05218,-29.64118596
1518617770.05268,-16.02868416
1518617770.05318,-17.14561056
1518617770.05368,-28.18470768
1518617770.05418,-20.73444508
1518617770.05469,-30.68087246
1518617770.05519,-16.52661515
1518617770.05569,-1.534140991
1518617770.05619,-20.76388839
1518617770.05669,-20.85275034
1518617770.05719,-25.17857173
1518617770.05769,-18.26039531
1518617770.05819,-3.025515663
1518617770.05869,-31.76154355
1518617770.05919,-14.97100231
1518617770.05969,-22.5584173
1518617770.06019,-13.08516167
1518617770.06069,-8.5775797
1518617770.06119,-27.69377133
1518617770.06169,-3.42852257
1518617770.06219,-18.70660973
1518617770.0627,-12.6035929065
1518617770.06319,-6.44377556
1518617770.0637,-19.04932836
1518617770.0642,-23.16117952
1518617770.0647,-24.0084458
1518617770.0652,-19.8345146
1518617770.0657,-28.55265237
1518617770.0662,-32.3668075
1518617770.0667,-30.80302472
1518617770.0672,0.450589220000001
1518617770.0677,-12.72059225
1518617770.0682,-23.15946573
1518617770.0687,-25.616375
1518617770.0692,-13.53878429
1518617770.0697,-7.727806719
1518617770.0702,-21.06659846
1518617770.0707,-14.27448654
1518617770.07121,-17.81542632
1518617770.07171,-36.07335903
1518617770.07221,-11.4940025
1518617770.07271,-11.965648092
1518617770.07321,4.52008342
1518617770.07371,-32.99296402
1518617770.07421,-23.742571861
1518617770.07471,-24.50136611
1518617770.07521,-26.10294249
1518617770.07571,-19.34707121
1518617770.07621,-22.9390078
1518617770.07671,-13.87602508
1518617770.07721,-28.632757
1518617770.07771,-27.58801649
1518617770.07821,-28.74161734
1518617770.07871,-28.63281451
1518617770.07922,-19.9837174
1518617770.07972,-28.96688009
1518617770.08022,-16.06893827
1518617770.08072,-19.635138142
1518617770.08122,-36.05511978
1518617770.08172,-4.2853595
1518617770.08222,-18.97364926
1518617770.08272,-2.01470355
1518617770.08322,-28.59614107
1518617770.08372,-14.1261566
1518617770.08422,-31.38882299
1518617770.08472,-13.61428112
1518617770.08522,-20.05064199
1518617770.08572,-25.681271221
1518617770.08622,-19.94697108
1518617770.08672,-14.76694269
1518617770.08722,-11.40367651
1518617770.08772,-6.928048308
1518617770.08822,-15.91988085
1518617770.08872,-0.55721079
1518617770.08922,-30.65422912
1518617770.08972,-15.43626132
1518617770.09022,-27.44584175
1518617770.09072,-20.16739271
1518617770.09122,-9.05799986
1518617770.09172,-15.56521179
1518617770.09222,-8.757521997
1518617770.09272,-20.02453141
1518617770.09322,-21.13100289
1518617770.09372,-16.02862897
1518617770.09422,-24.31287669
1518617770.09472,-19.354323171
1518617770.09522,-18.57431407
1518617770.09573,-14.45550251
1518617770.09623,-15.47670749
1518617770.09672,-42.24134591
1518617770.09723,-26.70282463
1518617770.09773,-31.62173558
1518617770.09823,-5.54895015
1518617770.09873,-23.040773596
1518617770.09923,-21.68623498
1518617770.09973,-2.89732813
1518617770.10023,-31.7729616
1518617770.10073,-12.00483751
1518617770.10123,-16.959980847
1518617770.10173,-12.6759412738
1518617770.10223,-24.448865624
1518617770.10273,-15.73300364
1518617770.10323,-19.93659378
1518617770.10373,-25.76210709
1518617770.10423,-9.463869521
1518617770.10473,-17.00215532
1518617770.10523,-21.06636695
1518617770.10573,-19.23567771
1518617770.10623,-26.1392241
1518617770.10673,-12.039388661
1518617770.10723,-25.34917068
1518617770.10773,-15.197455127
1518617770.10823,-30.01494215
1518617770.10873,-13.06562283
1518617770.10923,-7.752621373
1518617770.10973,-29.05151175
1518617770.11023,3.3340106
1518617770.11073,-44.560142325
1518617770.11123,-16.15530252
1518617770.11173,-31.9048477
1518617770.11223,-24.50062178
1518617770.11273,-6.88476311
1518617770.11323,-41.31407261
1518617770.11373,-2.00811933
1518617770.11423,-32.694380546
1518617770.11473,-20.62889817
1518617770.11523,-19.30883023
1518617770.11573,-36.09890655
1518617770.11623,-5.8869617
1518617770.11673,-9.35932825
1518617770.11723,-16.17875696
1518617770.11773,-17.82647229
1518617770.11823,-44.844964309
1518617770.11874,-2.35092682
1518617770.11924,-18.485705357
1518617770.11974,-19.37411475
1518617770.12024,-24.49117125
1518617770.12074,-21.21078679
1518617770.12124,-12.56095126
1518617770.12174,-24.34426003
1518617770.12224,-3.05950026
1518617770.12274,-27.67696619
1518617770.12324,-25.83323435
1518617770.12374,-14.09262956
1518617770.12424,-26.0640029
1518617770.12474,-13.1895724624
1518617770.12524,-10.70882659
1518617770.12574,-6.302946509
1518617770.12624,-20.17696593
1518617770.12674,-19.03429807
1518617770.12724,-9.99360911
1518617770.12774,-34.42388015
1518617770.12824,-8.604698363
1518617770.12874,-15.3294521
1518617770.12924,-19.06304746
1518617770.12974,1.12125289
1518617770.13024,-26.3151789
1518617770.13074,-13.864057738
1518617770.13124,-28.79490329
1518617770.13174,-8.71826573
1518617770.13224,-27.393097294
1518617770.13274,-28.2654209
1518617770.13324,-1.18462255
1518617770.13374,-35.41674614
1518617770.13424,-5.81077742
1518617770.13474,-32.65402694
1518617770.13524,-14.21002636
1518617770.13574,-32.0354919
1518617770.13624,-18.83396427
1518617770.13674,-10.69885728
1518617770.13724,-21.29083009
1518617770.13774,-26.72016427
1518617770.13824,-24.297660489
1518617770.13874,-35.01803922
1518617770.13924,-4.84068286
1518617770.13974,-36.3244514
1518617770.14024,-10.32308671
1518617770.14074,-19.94947395
1518617770.14124,-7.12572383
1518617770.14174,4.56406709
1518617770.14225,-31.75678323
1518617770.14275,-5.63031869
1518617770.14325,-28.89481351
1518617770.14375,0.145880479999999
1518617770.14425,-44.70721819
1518617770.14475,-25.14768934
1518617770.14525,-16.876990132
1518617770.14575,-23.75390389
1518617770.14625,-12.3767148969
1518617770.14675,-10.07075682
1518617770.14725,-24.0446124
1518617770.14775,-17.78211733
1518617770.14825,-8.88406087
1518617770.14875,-5.66717791
1518617770.14925,-30.54118062
1518617770.14975,-3.78592138
1518617770.15025,-15.805653283
1518617770.15075,-30.01689287
1518617770.15125,-9.06541555
1518617770.15175,-35.56324395
1518617770.15225,-19.414728234
1518617770.15275,-37.21296592
1518617770.15325,-27.924359328
1518617770.15375,-4.43658454
1518617770.15425,-30.90690186
1518617770.15475,10.47876274
1518617770.15525,-30.35747858
1518617770.15575,-11.70340348
1518617770.15625,-25.91917757
1518617770.15675,-29.2746515
1518617770.15725,8.379177401
1518617770.15775,-29.8290777
1518617770.15825,-1.34723194
1518617770.15875,-26.2527313
1518617770.15925,-21.58978181
1518617770.15975,-10.4790240869
1518617770.16025,-14.57119478
1518617770.16075,-19.39072613
1518617770.16125,-1.80058053
1518617770.16175,-14.8759198
1518617770.16225,-12.646007509
1518617770.16275,-19.49686341
1518617770.16325,-22.92925982
1518617770.16375,-43.425284275
1518617770.16425,-31.23654108
1518617770.16475,-8.72719975
1518617770.16525,-26.01515393
1518617770.16575,1.61334849
1518617770.16625,-29.53110559
1518617770.16675,-18.70467448
1518617770.16726,-19.12234548
1518617770.16776,-8.45886381
1518617770.16826,-18.11543264
1518617770.16876,-16.74585873
1518617770.16926,-19.97193899
1518617770.16976,-28.95965148
1518617770.17026,5.705448228
1518617770.17076,-37.02807234
1518617770.17126,-24.528043818
1518617770.17176,-29.45819326
1518617770.17226,-27.75212373
1518617770.17276,-2.52364597
1518617770.17326,-20.7722283
1518617770.17376,4.765334407
1518617770.17426,-4.03804328
1518617770.17476,-25.64841435
1518617770.17526,-9.7357962
1518617770.17576,-32.10284373
1518617770.17626,-3.206353
1518617770.17676,-17.27011988
1518617770.17726,-31.14366912
1518617770.17776,-17.81985857
1518617770.17826,-29.45889805
1518617770.17876,-1.82293248
1518617770.17926,-27.88954976
1518617770.17976,-15.477691219
1518617770.18026,-18.09637461
1518617770.18076,-30.50573726
1518617770.18126,-17.87748814
1518617770.18176,-25.46158177
1518617770.18226,-4.399858827
1518617770.18276,-34.37911146
1518617770.18326,-18.27881866
1518617770.18376,-15.4343412
1518617770.18426,-27.88287259
1518617770.18476,-9.7384381
1518617770.18526,-23.52951865
1518617770.18576,-17.86090546
1518617770.18625,-23.56002304
1518617770.18675,-28.26068207
1518617770.18725,-12.531977843
1518617770.18775,-11.70544479
1518617770.18825,-25.31608434
1518617770.18875,-32.80677423
1518617770.18925,-3.13124414
1518617770.18975,-10.213828605
1518617770.19025,-32.87056946
1518617770.19075,-11.60275415
1518617770.19125,-25.02922917
1518617770.19175,-18.83560611
1518617770.19225,-19.841475005
1518617770.19275,-27.95933196
1518617770.19324,-16.509284161
1518617770.19374,-9.29127213
1518617770.19424,-35.06619721
1518617770.19474,-13.715825773
1518617770.19524,-14.018548511
1518617770.19574,-24.27490091
1518617770.19624,-16.14341449
1518617770.19674,-6.19344073
1518617770.19724,-12.42812007
1518617770.19774,0.976248330000001
1518617770.19824,-2.725340611
1518617770.19873,-11.89001967
1518617770.19923,-17.556410187
1518617770.19973,-20.32106778
1518617770.20023,-21.44965128
1518617770.20073,-21.992584748
1518617770.20123,-28.78236487
1518617770.20173,-9.39392092
1518617770.20223,-19.43050806
1518617770.20273,-13.693260274
1518617770.20323,-21.55281971
1518617770.20373,-11.44248914
1518617770.20423,-19.78786874
1518617770.20473,-19.4548935
1518617770.20522,-16.62279984
1518617770.20572,-42.02260781
1518617770.20622,-26.16493911
1518617770.20672,-19.82725479
1518617770.20722,-13.72427992
1518617770.20772,-28.10920857
1518617770.20822,-15.92826361
1518617770.20872,-22.068670605
1518617770.20922,-19.05099868
1518617770.20972,-12.2592243
1518617770.21022,-30.6169944
1518617770.21072,-6.33401893
1518617770.21121,-12.91208008
1518617770.21171,-19.60778999
1518617770.21221,-23.7140965
1518617770.21271,-10.28094413
1518617770.21321,-14.68528317
1518617770.21371,-11.965984562
1518617770.21421,-5.76778979
1518617770.21471,-22.447018801
1518617770.21521,-20.85167408
1518617770.21571,-45.23640203
1518617770.21621,-19.91631028
1518617770.21671,-8.311963919
1518617770.2172,-27.28584715
1518617770.2177,-11.809053173
1518617770.2182,-36.99201819
1518617770.2187,-31.50607823
1518617770.2192,-8.016596888
1518617770.2197,-11.26603394
1518617770.2202,-15.32118605
1518617770.2207,-17.64234254
1518617770.2212,-12.5923202
1518617770.2217,-19.77540493
1518617770.2222,-11.37890867
1518617770.2227,-12.64498215
1518617770.22319,-22.85717867
1518617770.22369,-12.43818645
1518617770.22419,-18.8989956
1518617770.22469,-17.548687601
1518617770.22519,-27.29668761
1518617770.22569,-28.15275712
1518617770.22619,-24.45264722
1518617770.22669,-20.24725442
1518617770.22719,-20.50800042
1518617770.22769,-24.45716195
1518617770.22819,-28.34764049
1518617770.22869,-12.94164511
1518617770.22918,-31.06642102
1518617770.22968,-19.19139003
1518617770.23018,-25.88350108
1518617770.23068,-13.79734231
1518617770.23118,-13.313255623
1518617770.23168,-10.888640863
1518617770.23218,-15.51368053
1518617770.23268,-15.824626725
1518617770.23318,-15.40982298
1518617770.23368,-20.28369903
1518617770.23418,-18.745454896
1518617770.23467,-19.63339233
1518617770.23518,-34.04031608
1518617770.23567,-12.24218056
1518617770.23617,-24.27068947
1518617770.23667,-31.69202277
1518617770.23717,-5.885447
1518617770.23767,-24.5339432
1518617770.23817,-23.09893289
1518617770.23867,-27.86222628
1518617770.23917,-30.79315162
1518617770.23967,-25.46155474
1518617770.24017,-10.55012391
1518617770.24066,-32.98876331
1518617770.24116,-29.38021159
1518617770.24166,-21.412508099
1518617770.24216,-30.3438067
1518617770.24266,5.59156176
1518617770.24316,-27.0297227
1518617770.24366,-22.59236764
1518617770.24416,-9.25138285
1518617770.24466,-25.1595417
1518617770.24516,-21.31553367
1518617770.24566,-25.90755034
1518617770.24616,-14.5054902
1518617770.24666,-22.44964173
1518617770.24715,-25.76551438
1518617770.24765,-9.32238041
1518617770.24815,-31.03478622
1518617770.24865,-10.21066641
1518617770.24915,-16.56972459
1518617770.24965,-30.42088125
1518617770.25015,-13.94835688
1518617770.25065,-32.1777635
1518617770.25115,-20.09897085
1518617770.25165,-25.08452554
1518617770.25215,-25.411501202
1518617770.25265,-9.171832026
1518617770.25314,-22.08592466
1518617770.25364,-17.89381936
1518617770.25414,-21.1823828
1518617770.25464,-18.83371015
1518617770.25514,-16.035685978
1518617770.25564,-27.17563718
1518617770.25614,-23.56292964
1518617770.25664,-24.6400389
1518617770.25714,0.635856710000001
1518617770.25764,-25.35802317
1518617770.25814,-37.5464897
1518617770.25864,-23.7131757
1518617770.25914,-34.36790908
1518617770.25963,4.48666524
1518617770.26013,-24.224039452
1518617770.26063,-16.743403773
1518617770.26113,-18.38169526
1518617770.26163,-21.65649031
1518617770.26213,-13.905674857
1518617770.26263,-20.91970872
1518617770.26313,-2.24374958
1518617770.26363,-29.0129709
1518617770.26413,-25.53968833
1518617770.26463,-21.24843501
1518617770.26513,-21.91229579
1518617770.26562,-2.054378552
1518617770.26612,-31.94239851
1518617770.26662,15.17812445
1518617770.26712,-16.18747138
1518617770.26762,-1.526983629
1518617770.26812,-26.019739037
1518617770.26862,-21.59554237
1518617770.26912,-28.07973051
1518617770.26962,-35.42085449
1518617770.27012,-10.77838572
1518617770.27062,-3.1304404093
1518617770.27112,-18.95075561
1518617770.27161,-7.820800555
1518617770.27211,-36.45695163
1518617770.27261,-10.80079126
1518617770.27311,-21.21765139
1518617770.27361,-30.57646751
1518617770.27411,-2.38493424
1518617770.27461,-22.62873741
1518617770.27511,-36.90824535
1518617770.27561,-29.5636034
1518617770.27611,-29.7952146
1518617770.27661,-16.70896627
1518617770.27711,-23.85371499
1518617770.2776,-16.55364707
1518617770.2781,-28.45861438
1518617770.2786,-8.58027241
1518617770.2791,-18.72078768
1518617770.2796,-31.20004904
1518617770.2801,-26.43051137
1518617770.2806,-21.9208679
1518617770.2811,-8.8404578735
1518617770.2816,-26.74320988
1518617770.2821,-13.898450342
1518617770.2826,-29.22566319
1518617770.2831,-32.36868761
1518617770.2836,-27.0308369
1518617770.2841,-18.16077422
1518617770.2846,-6.28926035
1518617770.2851,-5.21609159
1518617770.2856,-20.83880333
1518617770.28611,12.82411051
1518617770.28661,-47.31913001
1518617770.28711,-15.61409153
1518617770.28761,-16.24332165
1518617770.28811,-33.369545201
1518617770.28861,-24.23148152
1518617770.28911,-30.49924276
1518617770.28961,-26.5809745679
1518617770.29011,-36.38662676
1518617770.29062,-16.70575138
1518617770.29112,-25.12629366
1518617770.29162,-11.7471764
1518617770.29212,3.94814373
1518617770.29262,-30.20526417
1518617770.29312,-7.976124828
1518617770.29362,-19.69386098
1518617770.29412,-35.598196915
1518617770.29462,-31.73179634
1518617770.29513,-29.82418486
1518617770.29563,-16.8121792
1518617770.29613,-29.6452003
1518617770.29663,-13.417866306
1518617770.29713,-29.5662818
1518617770.29763,-17.2610969528
1518617770.29813,-14.379844142
1518617770.29863,-28.810907031
1518617770.29913,-13.646966633
1518617770.29963,-21.09295517
1518617770.30014,-18.91230871
1518617770.30064,-2.90455342
1518617770.30114,-19.8394813
1518617770.30164,-17.134835433
1518617770.30214,-15.73825306
1518617770.30264,-16.21756204
1518617770.30314,-10.02011979
1518617770.30364,-37.51134962
1518617770.30415,-23.21814096
1518617770.30465,-14.95455403
1518617770.30515,-0.627369702600001
1518617770.30565,-19.95628337
1518617770.30615,-25.28110645
1518617770.30665,-11.37980813
1518617770.30715,-39.3407668
1518617770.30765,-4.46065259
1518617770.30815,-21.77021552
1518617770.30866,-8.2122209
1518617770.30916,-38.10496849
1518617770.30966,-12.03442812
1518617770.31016,-4.32129523
1518617770.31066,-15.62676315
1518617770.31116,-7.19296607
1518617770.31166,-33.55612234
1518617770.31216,-20.40129042
1518617770.31266,-23.52271459
1518617770.31316,-23.59660771
1518617770.31367,-30.94384524
1518617770.31417,-26.84688275
1518617770.31467,-17.30638618
1518617770.31517,-24.92954413
1518617770.31567,-22.25881286
1518617770.31617,-23.96760038
1518617770.31667,-32.80463406
1518617770.31717,-8.1191299
1518617770.31768,-17.75321264
1518617770.31818,-16.29936029
1518617770.31868,9.69808621
1518617770.31918,-20.88038923
1518617770.31968,-14.01403714
1518617770.32018,-21.58752869
1518617770.32068,-26.61547853
1518617770.32118,-18.81759863
1518617770.32168,-25.92529961
1518617770.32219,-9.12943137
1518617770.32269,-24.26386753
1518617770.32319,-21.167838404
1518617770.32369,-13.00804375
1518617770.32419,-32.36819181
1518617770.32469,-13.39115529
1518617770.32519,-25.02323054
1518617770.32569,-6.93335156
1518617770.32619,-16.22479582
1518617770.32669,-38.48235486
1518617770.3272,-27.70145755
1518617770.3277,-18.67122123
1518617770.3282,-29.79259487
1518617770.3287,-19.05983878
1518617770.3292,4.548102631
1518617770.3297,-16.47967913
1518617770.3302,-23.890073274
1518617770.3307,-30.75923587
1518617770.3312,-11.33570714
1518617770.33171,-13.237597447
1518617770.33221,-25.58444976
1518617770.33271,-9.31003284
1518617770.33321,-9.69617888
1518617770.33371,-18.41905685
1518617770.33421,-17.41891642
1518617770.33471,-14.5533715
1518617770.33521,-16.362487963
1518617770.33571,-28.48929306
1518617770.33622,-10.6650279226
1518617770.33672,-14.9059539228
1518617770.33722,-14.05362463
1518617770.33772,-17.52796755
1518617770.33822,-10.73995344
1518617770.33872,-22.68040868
1518617770.33922,-9.96223569
1518617770.33972,-3.47662059
1518617770.34022,-18.598998663
1518617770.34073,-12.08008197
1518617770.34123,-32.38522313
1518617770.34173,-14.265023226
1518617770.34223,-20.54348138
1518617770.34273,-18.05962507
1518617770.34323,-19.0181484
1518617770.34373,-11.08108755
1518617770.34423,-10.76724656
1518617770.34473,-15.14408272
1518617770.34524,-10.18294189
1518617770.34574,-2.97967191
1518617770.34624,-19.474470726
1518617770.34674,-23.63245533
1518617770.34724,-19.42506264
1518617770.34774,-28.9017277
1518617770.34824,-20.35824899
1518617770.34874,-15.91476248
1518617770.34924,-21.96151545
1518617770.34975,-23.59690674
1518617770.35025,-13.1261063
1518617770.35075,-7.568878062
1518617770.35125,-13.907033795
1518617770.35175,-14.83010482
1518617770.35225,-32.25162456
1518617770.35275,-13.23215436
1518617770.35325,-19.4573295
1518617770.35375,-23.33325238
1518617770.35425,-11.60262564
1518617770.35476,-7.044077969
1518617770.35526,-13.090932943
1518617770.35576,-17.00547701
1518617770.35626,-14.10822097
1518617770.35676,-15.84700349
1518617770.35726,-28.53042934
1518617770.35776,-10.20939952
1518617770.35826,-21.46698519
1518617770.35876,-11.40450457
1518617770.35927,-38.84700989
1518617770.35977,-22.06277422
1518617770.36027,-19.46388056
1518617770.36077,-13.2109898
1518617770.36127,-14.757549955
1518617770.36177,-17.87716619
1518617770.36227,-20.20349737
1518617770.36277,-16.622873115
1518617770.36327,-2.76385074
1518617770.36378,-23.08246945
1518617770.36428,-26.7375152
1518617770.36478,-21.160911197
1518617770.36528,-14.032256528
1518617770.36578,-16.77594903
1518617770.36628,-27.40354564
1518617770.36678,-22.33555219
1518617770.36728,-12.33933402
1518617770.36778,-22.29989912
1518617770.36828,-17.670682
1518617770.36879,-31.02366589
1518617770.36929,-12.9042975
1518617770.36979,-12.14473918
1518617770.37029,-28.97753145
1518617770.37079,-24.27196602
1518617770.37129,-11.00136998
1518617770.37179,-28.35860034
1518617770.37229,-19.04872324
1518617770.37279,-25.25118925
1518617770.3733,-14.52945149
1518617770.3738,-25.35945799
1518617770.3743,-9.65190442
1518617770.3748,-24.01615648
1518617770.3753,-20.32877735
1518617770.3758,-12.55812107
1518617770.3763,-26.06801319
1518617770.3768,-19.080463581
1518617770.37731,-17.5930703
1518617770.37781,-30.98041723
1518617770.37831,-28.07360645
1518617770.37881,-11.39276071
1518617770.37931,-11.705623885
1518617770.37981,-20.51035973
1518617770.38031,-21.58092143
1518617770.38081,-18.204057209
1518617770.38131,-29.525548978
1518617770.38181,-28.1535478
1518617770.38231,-17.42089368
1518617770.38281,-3.53292847
1518617770.38331,-28.27465688
1518617770.38381,-5.28646203
1518617770.38431,-12.78679835
1518617770.38481,-27.73088981
1518617770.38531,-14.57312516
1518617770.38581,-43.62950182
1518617770.38631,-18.53828093
1518617770.38681,-29.573719
1518617770.38731,-16.433290129
1518617770.38781,-21.54043841
1518617770.38831,-20.80270742
1518617770.38881,-25.90870751
1518617770.38931,-38.180617007
1518617770.3898,-20.57745409
1518617770.39031,-18.57675741
1518617770.3908,-6.90570999
1518617770.3913,-13.7160548549
1518617770.3918,-36.99870256
1518617770.3923,-23.51992468
1518617770.3928,-13.72350049
1518617770.3933,-14.64854789
1518617770.3938,-25.787954533
1518617770.3943,-23.23028514
1518617770.3948,-12.99046572
1518617770.3953,-34.52817625
1518617770.3958,-21.28028247
1518617770.3963,-11.81629038
1518617770.3968,-31.58107828
1518617770.3973,-23.89753322
1518617770.3978,-29.37595867
1518617770.39829,-33.6657480969
1518617770.39879,-22.56420613
1518617770.39929,-8.793558368
1518617770.39979,-18.783240886
1518617770.40029,-25.25412608
1518617770.40079,-8.94729472
1518617770.40129,-38.51280793
1518617770.40179,-18.08468436
1518617770.40229,-23.68368234
1518617770.40279,-17.19421067
1518617770.40329,-7.77919508
1518617770.40379,-30.538538
1518617770.40429,-3.50883605
1518617770.40479,-19.95164199
1518617770.40529,-19.34657027
1518617770.40579,-23.63136503
1518617770.40629,-41.68801595
1518617770.40679,-0.830765679999999
1518617770.40728,-29.1522164
1518617770.40778,-9.12115849
1518617770.40828,-6.70881331
1518617770.40878,-23.4083570683
1518617770.40928,-12.81337378
1518617770.40978,-24.45924518
1518617770.41028,-10.0571475
1518617770.41078,-41.4242859
1518617770.41128,-28.14450739
1518617770.41178,-25.77095219
1518617770.41228,-41.01542563
1518617770.41278,19.23950239
1518617770.41328,-22.86143139
1518617770.41378,-22.37484669
1518617770.41428,-15.96282488
1518617770.41477,-31.6918345
1518617770.41527,-7.188531555
1518617770.41577,-31.08915044
1518617770.41627,-7.64224653
1518617770.41677,-25.95148615
1518617770.41727,-22.52420428
1518617770.41777,-17.74728081
1518617770.41827,-18.26540783
1518617770.41877,-9.580293699
1518617770.41927,-34.15869236
1518617770.41977,-10.73193813
1518617770.42027,0.0645284200000003
1518617770.42077,-23.27860825
1518617770.42127,-7.38457274
1518617770.42177,-28.1072288
1518617770.42227,-7.78553587
1518617770.42277,-31.01308314
1518617770.42326,-16.7072443
1518617770.42376,-5.07534401
1518617770.42426,-24.34739205
1518617770.42476,-21.361279
1518617770.42526,-54.72788015
1518617770.42576,-3.02395189
1518617770.42626,-27.84723421
1518617770.42676,-32.13983872
1518617770.42726,-4.58909688
1518617770.42776,-32.95837014
1518617770.42826,-4.951214682
1518617770.42876,-34.78564317
1518617770.42926,-11.95817951
1518617770.42976,-18.52970746
1518617770.43026,-22.78699108
1518617770.43076,-2.78369689
1518617770.43125,-19.91775232
1518617770.43175,-7.15646687
1518617770.43225,-22.25542829
1518617770.43275,-18.46594567
1518617770.43325,-10.16951751
1518617770.43375,-12.51670546
1518617770.43425,-8.280123497
1518617770.43475,-34.34694958
1518617770.43525,-22.45445539
1518617770.43575,-10.65398743
1518617770.43625,-53.24121469
1518617770.43675,-18.721191844
1518617770.43725,-44.07382871
1518617770.43775,-7.09654667
1518617770.43825,-24.5201449338
1518617770.43875,-24.3472338
1518617770.43925,-19.63170599
1518617770.43975,-31.7394572
1518617770.44025,8.60689973
1518617770.44074,-25.28167577
1518617770.44124,-10.5989075165
1518617770.44174,5.85753573
1518617770.44224,-27.21568295
1518617770.44274,5.214234145
1518617770.44324,-48.09225995
1518617770.44374,-14.53843929
1518617770.44424,-18.15978527
1518617770.44474,-25.05195662
1518617770.44524,1.04649296
1518617770.44574,-36.5845271
1518617770.44624,-7.872706902
1518617770.44674,-23.75903083
1518617770.44724,-23.74420645
1518617770.44774,-21.928815192
1518617770.44824,-7.98466778
