ts,value
1518617761.00003,-22.85697742
1518617761.00053,-23.39085488
1518617761.00103,8.72686697
1518617761.00153,-29.61167058
1518617761.00203,-21.6283836
1518617761.00253,5.968638007
1518617761.00303,-44.7947778
1518617761.00353,-15.99276473
1518617761.00403,-29.6006374
1518617761.00453,-53.685349328
1518617761.00503,-2.531235628
1518617761.00553,-24.50927445
1518617761.00603,-18.42470508
1518617761.00653,5.045565666
1518617761.00703,-34.7184343
1518617761.00753,-14.01910236
1518617761.00803,-2.34749359
1518617761.00853,-41.1753387
1518617761.00902,13.39467044
1518617761.00952,-22.04390197
1518617761.01002,-38.0371709
1518617761.01052,12.68337918
1518617761.01102,-31.63916012
1518617761.01152,0.111641829999998
1518617761.01202,3.97802061
1518617761.01252,-46.9112711
1518617761.01302,-6.37535854
1518617761.01352,3.65714431
1518617761.01402,-22.4173584
1518617761.01452,-1.16808294
1518617761.01502,-35.37907549
1518617761.01552,-21.33183766
1518617761.01602,9.99281505
1518617761.01652,-51.00843428
1518617761.01702,-10.443680929
1518617761.01752,10.89026788
1518617761.01802,-33.97942537
1518617761.01852,10.48748084
1518617761.01902,-20.31487822
1518617761.01952,-43.073741
1518617761.02002,1.241170442
1518617761.02052,-23.75640107
1518617761.02102,-20.62255668
1518617761.02152,3.51616809
1518617761.02202,-27.0053835
1518617761.02252,5.37466193
1518617761.02302,-0.405493639999999
1518617761.02352,-46.0191803
1518617761.02402,1.6136129
1518617761.02452,-28.55081749
1518617761.02502,-54.0810976
1518617761.02552,6.3771389
1518617761.02602,-30.05595636
1518617761.02652,-18.175726236
1518617761.02701,15.55393268
1518617761.02751,-31.3357954
1518617761.02801,-8.724624886
1518617761.02851,1.49622158
1518617761.02901,-38.4800139
1518617761.02951,-5.965833125
1518617761.03001,-11.99991317
1518617761.03051,-50.49187278
1518617761.03101,9.51468541
1518617761.03151,-10.67491938
1518617761.03201,-37.6287688
1518617761.03251,4.88683032
1518617761.03301,-41.2476091
1518617761.03351,-35.90249925
1518617761.03401,22.1590667
1518617761.03451,-44.78379254
1518617761.03501,-36.44133082
1518617761.03551,-0.704949849999999
1518617761.03601,-58.0270719
1518617761.03651,3.61494562
1518617761.03701,-14.4231284
1518617761.03751,-39.6907386
1518617761.03801,-11.036406251
1518617761.03851,-21.70321501
1518617761.03901,-34.6406822
1518617761.03951,1.38961793
1518617761.04001,-21.06306645
1518617761.04051,-15.81067374
1518617761.04101,7.64455195
1518617761.04151,-40.2819844
1518617761.04201,-21.18360616
1518617761.04251,15.1058769
1518617761.04301,-11.19439081
1518617761.04351,-12.6087086909
1518617761.04401,17.71057847
1518617761.04451,-36.6191502
1518617761.045,-18.49210786
1518617761.0455,14.57534504
1518617761.046,-34.571556
1518617761.0465,3.39514439
1518617761.047,5.32867984
1518617761.0475,-41.4667845
1518617761.048,-1.70404856
1518617761.0485,-10.7444823
1518617761.049,-40.5403642
1518617761.0495,0.567692000000001
1518617761.05,-1.9431887
1518617761.0505,-36.9552726
1518617761.051,4.0721786
1518617761.0515,-27.223382
1518617761.052,-19.58025071
1518617761.0525,6.35106428
1518617761.053,-28.86296647
1518617761.0535,-20.60717961
1518617761.054,9.74320192
1518617761.0545,-38.1923084
1518617761.055,-17.40207239
1518617761.0555,1.38241027
1518617761.056,-47.0756359
1518617761.0565,2.61056475
1518617761.057,-3.30256147
1518617761.0575,-42.3337402
1518617761.058,-10.588726498
1518617761.0585,-2.41221989
1518617761.059,-38.15989784
1518617761.0595,-6.630729882
1518617761.06,-8.92313365
1518617761.0605,-51.38366034
1518617761.061,-20.761701281
1518617761.0615,-11.26525929
1518617761.062,-35.57462874
1518617761.0625,3.91836711
1518617761.063,-18.56953188
1518617761.0635,-30.51359939
1518617761.064,-9.8282123665
1518617761.06449,-22.496136429
1518617761.06499,-27.4391986
1518617761.06549,6.74232337
1518617761.06599,-31.68280336
1518617761.06649,-24.0534239
