ts,value
1518618464.00031,-55.87700364
1518618464.00081,-72.1436939
1518618464.00131,-75.5740376
1518618464.00181,-82.69767948
1518618464.00232,-51.74168813
1518618464.00282,-85.9759673
1518618464.00332,-79.0451746
1518618464.00382,-75.76216416
1518618464.00432,-68.48167991
1518618464.00482,-84.1126194
1518618464.00532,-71.01288316
1518618464.00583,-72.82509224
1518618464.00633,-68.9999276
1518618464.00683,-72.4135809
1518618464.00733,-65.49764819
1518618464.00783,-73.64216046
1518618464.00833,-88.3582639
1518618464.00884,-64.8790431
1518618464.00934,-57.93881014
1518618464.00984,-57.98298594
1518618464.01034,-90.9798183
1518618464.01084,-64.79981441
1518618464.01134,-80.4100161
1518618464.01184,-70.51301715
1518618464.01235,-81.76500325
1518618464.01285,-71.47218232
1518618464.01335,-69.01684759
1518618464.01385,-67.5223656
1518618464.01435,-66.3171949
1518618464.01485,-64.24071945
1518618464.01536,-65.39967154
1518618464.01586,-69.46465121
1518618464.01636,-66.54988142
1518618464.01686,-77.88364117
1518618464.01736,-74.0780602
1518618464.01786,-72.18350694
1518618464.01837,-40.305443983
1518618464.01887,-67.32754042
1518618464.01937,-58.71284678
1518618464.01987,-80.86500549
1518618464.02037,-90.7562751
1518618464.02087,-79.0753966
1518618464.02138,-79.9955673
1518618464.02188,-69.53394132
1518618464.02238,-75.06059361
1518618464.02288,-59.68563586
1518618464.02338,-75.4203568
1518618464.02388,-72.9599257
1518618464.02439,-73.7400589
1518618464.02489,-74.31442403
1518618464.02539,-70.71592326
1518618464.02589,-69.04910321
1518618464.02639,-61.34278061
1518618464.02689,-71.64330719
1518618464.0274,-71.06780919
1518618464.0279,-76.9547796
1518618464.0284,-63.56993486
1518618464.0289,-66.63449909
1518618464.0294,-89.36893469
1518618464.0299,-74.82421872
1518618464.03041,-68.59919212
1518618464.03091,-77.92470162
1518618464.03141,-76.87635328
1518618464.03191,-73.93032356
1518618464.03241,-73.68155284
1518618464.03291,-63.15849252
1518618464.03342,-89.74901674
1518618464.03392,-78.6223677
1518618464.03442,-72.52235641
1518618464.03492,-82.588956
1518618464.03542,-57.92508893
1518618464.03592,-60.73214385
1518618464.03643,-65.06385947
1518618464.03693,-68.59839917
1518618464.03743,-87.3483401
1518618464.03793,-69.20931826
1518618464.03843,-77.016839
1518618464.03893,-73.86834818
1518618464.03944,-69.31721783
1518618464.03994,-53.80276254
1518618464.04044,-69.07064251
1518618464.04094,-73.5513134
1518618464.04144,-86.344368
1518618464.04194,-57.56323705
1518618464.04244,-62.11238573
1518618464.04295,-92.9645548
1518618464.04345,-68.74273586
1518618464.04395,-61.21832322
1518618464.04445,-95.1377659
1518618464.04495,-80.862793
1518618464.04545,-62.37509633
1518618464.04596,-64.08887533
1518618464.04646,-74.04575443
1518618464.04696,-75.20040607
1518618464.04746,-82.5390777
1518618464.04796,-74.82070549
1518618464.04846,-79.93540561
1518618464.04896,-74.4862136
1518618464.04947,-71.10252481
1518618464.04997,-81.74030966
1518618464.05047,-64.34615473
1518618464.05097,-66.487201605
1518618464.05147,-71.62775896
1518618464.05198,-67.89104552
1518618464.05248,-63.650186
1518618464.05298,-67.36518578
1518618464.05348,-79.38724036
1518618464.05398,-80.42723371
1518618464.05448,-76.8566953
1518618464.05499,-68.78999043
1518618464.05549,-75.09535411
1518618464.05599,-78.37981226
1518618464.05649,-79.70209497
1518618464.05699,-55.89952875
