ts,value
1518618214.00005,-42.61214347
1518618214.00055,-64.47094682
1518618214.00106,-59.10064748
1518618214.00156,-57.5623178
1518618214.00206,-60.676904785
1518618214.00256,-55.55705067
1518618214.00306,-76.8154468921
1518618214.00356,-51.04757919
1518618214.00406,-66.4789204
1518618214.00456,-63.80262328
1518618214.00506,-38.74547904
1518618214.00556,-66.44198273
1518618214.00606,-62.48406559
1518618214.00657,-53.5118783979
1518618214.00707,-62.60855409
1518618214.00757,-46.67709546
1518618214.00807,-66.67063239
1518618214.00857,-35.6079991
1518618214.00907,-64.61291976
1518618214.00957,-43.06233934
1518618214.01007,-52.75721017
1518618214.01058,-60.29584953
1518618214.01108,-47.94557519
1518618214.01158,-61.53222215
1518618214.01208,-57.00814678
1518618214.01258,-77.51216127
1518618214.01308,-46.25558234
1518618214.01358,-48.92234181
1518618214.01408,-72.92712782
1518618214.01458,-51.5950227
1518618214.01508,-69.43578623
1518618214.01558,-45.63796263
1518618214.01609,-51.71832849
1518618214.01659,-49.14198872
1518618214.01709,-51.63640782
1518618214.01759,-59.31502254
1518618214.01809,-55.39785289
1518618214.01859,-61.76118072
1518618214.01909,-61.82870061
1518618214.01959,-51.93680856
1518618214.02009,-61.63148779
1518618214.0206,-46.90124651
1518618214.0211,-73.89972398
1518618214.0216,-39.33727024
1518618214.0221,-50.58965893
1518618214.0226,-59.43465372
1518618214.0231,-35.08289668
1518618214.0236,-74.1962304
1518618214.0241,-60.80863189
1518618214.0246,-65.36477419
1518618214.0251,-64.28568121
1518618214.02561,-50.265607866
1518618214.02611,-79.3159647
1518618214.02661,-57.30106593
1518618214.02711,-57.46430233
1518618214.02761,-54.65169566
1518618214.02811,-63.88106724
1518618214.02861,-49.18059549
1518618214.02911,-41.19484082
1518618214.02961,-80.7556906
1518618214.03012,-55.06499154
1518618214.03062,-56.71140726
1518618214.03112,-57.00784782
1518618214.03162,-60.36390212
1518618214.03212,-58.0594728
1518618214.03262,-43.01305869
1518618214.03312,-78.40229327
1518618214.03362,-39.92947236
1518618214.03412,-67.2283935
1518618214.03463,-46.06619455
1518618214.03513,-55.78406519
1518618214.03563,-56.28371577
1518618214.03613,-54.73003889
1518618214.03663,-66.18731937
1518618214.03713,-38.075637664
1518618214.03763,-48.24781506
1518618214.03813,-58.42647037
1518618214.03863,-41.572628987
1518618214.03913,-71.00189109
1518618214.03964,-51.64816286
1518618214.04014,-60.11500954
1518618214.04064,-52.08364013
1518618214.04114,-48.14894297
