ts,value
1518618236.00044,-60.94834798
1518618236.00094,-50.34900497
1518618236.00144,-64.78655481
1518618236.00194,-77.5080986
1518618236.00244,-47.213613683
1518618236.00294,-56.69813915
1518618236.00344,-60.0849584
1518618236.00393,-55.21276371
1518618236.00443,-65.08501674
1518618236.00493,-35.715872954
1518618236.00543,-78.33108243
1518618236.00593,-35.13716658
1518618236.00643,-73.12733132
1518618236.00693,-55.79184827
1518618236.00743,-46.507702261
1518618236.00793,-88.16054005
1518618236.00842,-39.84383633
1518618236.00892,-62.28825285
1518618236.00942,-51.39515236
1518618236.00992,-30.92361113
1518618236.01042,-81.63529349
1518618236.01092,-43.33567392
1518618236.01142,-63.87337734
1518618236.01192,-62.29032176
1518618236.01242,-56.728454064
1518618236.01292,-94.093588021
1518618236.01341,-36.21382091
1518618236.01391,-70.41774015
1518618236.01441,-40.10185097
1518618236.01491,-45.399490616
1518618236.01541,-76.79826253
1518618236.01591,-52.17317374
1518618236.01641,-76.72283084
1518618236.01691,-51.98929278
1518618236.01741,-35.742162668
1518618236.0179,-66.79267001
1518618236.0184,-27.33079157
1518618236.0189,-72.2567196
1518618236.0194,-50.43372343
1518618236.0199,-55.49529002
1518618236.0204,-73.8927937
1518618236.0209,-29.1283921769
1518618236.0214,-61.507226
1518618236.0219,-36.07007118
1518618236.0224,-29.10867688
1518618236.02289,-59.9129381
1518618236.02339,-42.634764094
1518618236.02389,-79.37220764
1518618236.02439,-47.54041026
1518618236.02489,-47.48106144
1518618236.02539,-77.02464245
1518618236.02589,-35.54165626
1518618236.02639,-75.05004687
1518618236.02689,-66.61181109
1518618236.02738,-35.41423985
1518618236.02788,-69.2682991
1518618236.02838,-27.44382242
1518618236.02888,-69.0388251
1518618236.02938,-58.56227663
1518618236.02988,-35.180925592
1518618236.03038,-96.51787949
1518618236.03088,-38.038835603
1518618236.03138,-86.86145495
1518618236.03188,-53.034972049
1518618236.03237,-50.00564739
1518618236.03287,-74.890256
1518618236.03337,-40.1233867879
1518618236.03387,-78.8889638
1518618236.03437,-61.90610055
1518618236.03487,-52.1019762692
1518618236.03537,-67.57810971
1518618236.03587,-23.501851481
1518618236.03637,-66.47301397
1518618236.03686,-63.48007123
1518618236.03736,-21.0824399
1518618236.03786,-84.29353328
1518618236.03836,-40.85259734
1518618236.03886,-62.02862179
1518618236.03936,-75.49213411
1518618236.03986,-34.198940267
1518618236.04036,-86.94080017
1518618236.04086,-43.041525807
1518618236.04136,-52.11440427
1518618236.04186,-67.59709166
1518618236.04235,-43.19924072
1518618236.04285,-86.7997045
1518618236.04335,-56.61091238
1518618236.04385,-42.40989542
1518618236.04435,-74.6079226
1518618236.04485,-24.23707151
1518618236.04535,-69.67161221
1518618236.04585,-56.4284792
1518618236.04635,-46.28078936
1518618236.04684,-96.93409419
1518618236.04734,-42.9303230634
1518618236.04784,-64.40633894
1518618236.04834,-64.67782882
1518618236.04884,-33.34823536
1518618236.04934,-94.65711883
1518618236.04984,-56.02490561
1518618236.05034,-69.88370599
1518618236.05084,-69.6359453
1518618236.05133,-19.06060548
1518618236.05183,-68.70914749
1518618236.05233,-70.64877112
1518618236.05283,-48.41997914
1518618236.05333,-92.6073749
1518618236.05383,-36.93615439
1518618236.05433,-67.76892274
1518618236.05483,-47.15559534
1518618236.05533,-41.49062008
1518618236.05583,-66.6599837
1518618236.05632,-45.72093782
1518618236.05682,-55.9022597934
1518618236.05732,-68.26843404
1518618236.05782,-32.233295461
1518618236.05832,-68.62732358
1518618236.05882,-52.10091722
1518618236.05932,-33.567650716
1518618236.05982,-73.8895255
1518618236.06032,-46.72481101
1518618236.06082,-59.15207281
1518618236.06131,-74.30486877
1518618236.06181,-33.9038962663
1518618236.06231,-69.02421955
1518618236.06281,-38.16120833
1518618236.06331,-53.639491055
1518618236.06381,-77.12935437
1518618236.06431,-23.99491839
1518618236.06481,-73.21578736
1518618236.06531,-54.27265833
1518618236.0658,-52.26550588
1518618236.0663,-91.30474187
1518618236.0668,-40.7261524
1518618236.0673,-44.81393198
1518618236.0678,-74.74825291
1518618236.0683,-46.683712053
1518618236.0688,-77.27977659
1518618236.0693,-74.63275146
1518618236.0698,-47.259632883
1518618236.0703,-94.94776821
1518618236.07079,-37.04360768
1518618236.07129,-44.35102224
1518618236.07179,-67.06186775
1518618236.07229,-40.9967254
1518618236.07279,-86.60395289
1518618236.07329,-60.67751315
1518618236.07379,-38.80530997
1518618236.07429,-75.7869653
1518618236.07479,-59.0020708
1518618236.07528,-50.39983905
1518618236.07578,-74.67632007
1518618236.07628,-33.20128745
1518618236.07678,-67.51977056
1518618236.07728,-63.52291776
1518618236.07778,-28.06406454
1518618236.07828,-78.62253927
1518618236.07878,-42.036521324
1518618236.07928,-58.006095165
1518618236.07978,-79.73824794
1518618236.08027,-49.648199864
1518618236.08077,-53.9036837
1518618236.08127,-62.28971732
1518618236.08177,-47.98002355
1518618236.08227,-67.1684817
1518618236.08277,-40.65779733
1518618236.08327,-47.88611653
1518618236.08377,-72.89123344
1518618236.08427,-38.91687341
1518618236.08477,-74.32036192
1518618236.08527,-55.85119244
1518618236.08577,-41.321654321
1518618236.08627,-73.27293017
1518618236.08677,-65.16493748
1518618236.08727,-32.2998948265
1518618236.08777,-73.96113583
1518618236.08827,-60.606041
1518618236.08877,-60.67974383
1518618236.08927,-80.96473641
1518618236.08977,-36.4739971511
1518618236.09027,-56.06351182
1518618236.09077,-51.55111786
1518618236.09127,-40.24937868
1518618236.09176,-66.91166381
1518618236.09226,-56.76690627
1518618236.09276,-58.02189066
1518618236.09326,-63.06898027
1518618236.09376,-51.0274133526
1518618236.09426,-49.07565636
1518618236.09476,-68.73990252
1518618236.09526,-48.9048626326
1518618236.09576,-55.39289211
1518618236.09626,-56.24978737
1518618236.09676,-46.97115997
1518618236.09726,-58.74480818
1518618236.09776,-45.84636788
1518618236.09826,-40.2969826026
1518618236.09876,-73.61189888
1518618236.09926,-70.2629044
1518618236.09976,-65.6280055
1518618236.10026,-59.777014113
1518618236.10076,-42.89805957
1518618236.10126,-76.11216152
1518618236.10176,-72.682847183
1518618236.10226,-55.94188617
1518618236.10276,-67.62483499
1518618236.10326,-62.35728576
1518618236.10376,-65.156909492
1518618236.10426,-66.88062281
1518618236.10476,-56.84007665
1518618236.10526,-35.8160462
1518618236.10576,-65.04436392
1518618236.10626,-41.97039031
1518618236.10676,-49.64586794
1518618236.10726,-61.232449
1518618236.10776,-33.01779495
1518618236.10825,-55.91063504
1518618236.10875,-67.57883254
1518618236.10925,-52.25895096
1518618236.10975,-69.3782835
1518618236.11025,-51.32083438
1518618236.11075,-34.80851507
1518618236.11125,-68.61571995
1518618236.11175,-49.28686475
1518618236.11225,-57.07670307
1518618236.11275,-42.08078415
1518618236.11325,-75.929498261
1518618236.11375,-49.3113013
1518618236.11425,-46.32526064
1518618236.11475,-71.30758166
1518618236.11525,-47.145250526
