ts,value
1518617625.0003,20.11199334
1518617625.0008,0.393361804000001
1518617625.0013,-7.447432044
1518617625.0018,-0.838048009
1518617625.0023,6.98992414
1518617625.0028,-0.938387119999998
1518617625.0033,-2.747988495
1518617625.0038,24.3712449
1518617625.0043,17.52177307
1518617625.0048,-23.65445232
1518617625.0053,9.55813384
1518617625.0058,6.95015956
1518617625.0063,5.753207718
1518617625.0068,-0.477193349999999
1518617625.0073,-4.023566846
1518617625.0078,11.69526292
1518617625.0083,-9.00598928
1518617625.0088,-8.97469854
1518617625.0093,10.04828441
1518617625.0098,-0.503290269999997
1518617625.0103,1.50843525
1518617625.0108,21.411317198
1518617625.0113,-4.050950582
1518617625.0118,1.63489876
1518617625.0123,-3.265605127
1518617625.0128,16.79119528
1518617625.0133,17.08541863
1518617625.0138,-4.946164858
1518617625.0143,2.2191379246
1518617625.0148,11.97202716
1518617625.0153,29.9567253451
1518617625.0158,-11.43095971
1518617625.0163,-10.21808151
1518617625.0168,13.36437226
1518617625.0173,18.28628704
1518617625.0178,-35.14914794
1518617625.0183,14.50280455
1518617625.0188,11.046743237
1518617625.0193,3.118292565
1518617625.0198,-1.152205171
1518617625.0203,8.77176145
1518617625.0208,31.947902499
1518617625.0213,-1.358294429
1518617625.0218,5.51293458
1518617625.0223,-1.03166914
1518617625.0228,2.15263482
1518617625.0233,-14.57691098
1518617625.0238,-17.93010284
1518617625.0243,17.0964508
1518617625.0248,0.790095800000001
1518617625.0253,-6.059360391
1518617625.0258,-5.80686187
1518617625.0263,23.10269021
1518617625.0268,19.840158446
1518617625.0273,-23.25603672
1518617625.0278,-11.80668374
1518617625.0283,24.14082761
1518617625.0288,1.5053339
1518617625.0293,-25.90880768
1518617625.0298,-2.335577613
1518617625.0303,28.83867621
1518617625.0308,0.874499916000001
1518617625.0313,-12.00061135
1518617625.0318,26.494227395
1518617625.0323,31.94476513
1518617625.0328,-0.33136871
1518617625.0333,-10.61110968
1518617625.0338,6.65360713
1518617625.0343,1.0629251
1518617625.0348,-13.49928857
1518617625.0353,-6.29800895
1518617625.0358,37.636060242
1518617625.0363,20.59053977
1518617625.0368,-23.30017564
1518617625.0373,3.09834218
1518617625.0378,42.7484808
1518617625.0383,24.17527664
1518617625.0388,-43.13013266
1518617625.0393,-13.7188854
1518617625.0398,36.47816181
1518617625.0403,5.46800773
1518617625.0408,-47.2775125
1518617625.0413,-8.41201277
1518617625.04181,20.74644911
1518617625.0423,-1.91601134
1518617625.0428,-15.398565335
1518617625.0433,6.95875216
1518617625.0438,37.05623677
1518617625.0443,12.873624144
1518617625.04481,-8.56776517
1518617625.04531,-4.880672219
1518617625.0458,23.473801169
1518617625.0463,-11.04414916
1518617625.0468,-37.8890476
1518617625.0473,-1.11454224
1518617625.0478,18.55963297
1518617625.04831,6.72702312
1518617625.0488,-26.58460802
1518617625.0493,17.24413536
1518617625.0498,36.29407451
1518617625.0503,-10.3461254338
1518617625.0508,-31.026473
1518617625.05131,12.4155738509
1518617625.05181,22.34538031
1518617625.05231,-12.53064256
1518617625.05281,-22.4875622
1518617625.05331,9.782819154
1518617625.05381,29.28330825
1518617625.05431,-4.24689078
1518617625.05481,-17.37460616
1518617625.05531,27.0224018
1518617625.05581,40.70638458
1518617625.05631,0.339616077000001
1518617625.05681,-24.11346728
1518617625.05731,12.7287763965
1518617625.05781,28.02840844
1518617625.05831,4.44082851
1518617625.05881,-20.47432322
1518617625.05931,16.78766701
1518617625.05981,28.254588096
1518617625.06031,9.554362613
1518617625.06081,-11.86617944
1518617625.06131,3.21997643
1518617625.06181,34.39994908
1518617625.06231,18.63081122
1518617625.06281,-16.095395034
1518617625.06331,-0.101242054
1518617625.06381,40.42753407
1518617625.06431,11.6564875717
