ts,value
1518617672.00017,-7.7106986811
1518617672.00067,-8.86907244
1518617672.00117,-4.780293905
1518617672.00167,-7.49078043
1518617672.00217,-15.73477318
1518617672.00267,-13.45868298
1518617672.00317,-4.840635521
1518617672.00367,-24.6845054
1518617672.00417,-8.71924225
1518617672.00467,-14.57598232
1518617672.00517,-16.036944924
1518617672.00567,-5.47353907
1518617672.00617,-30.56334903
1518617672.00667,-4.812759593
1518617672.00717,-4.768468638
1518617672.00767,-7.386762395
1518617672.00817,-6.075570342
1518617672.00867,7.3190391
1518617672.00917,-11.323101502
1518617672.00967,-2.48678518
1518617672.01017,-17.47920274
1518617672.01067,-21.63215686
1518617672.01117,-10.28226221
1518617672.01167,-25.52854904
1518617672.01217,-19.905220656
1518617672.01267,-3.88022613
1518617672.01317,-9.7677384426
1518617672.01367,-16.03423168
1518617672.01417,-22.43811223
1518617672.01467,-5.916922151
1518617672.01517,3.9835090572
1518617672.01567,6.41930981
1518617672.01617,-16.668484363
1518617672.01667,10.106189094
1518617672.01717,3.32049226
1518617672.01767,-9.90553926
1518617672.01817,-16.13841392
1518617672.01867,-3.362869791
1518617672.01917,-4.537364446
1518617672.01968,-19.692472
1518617672.02017,-14.98684263
1518617672.02067,-12.37491446
1518617672.02118,-11.76792029
1518617672.02168,-9.13688855
1518617672.02218,14.02348924
1518617672.02268,-19.40650632
1518617672.02318,-8.7461146
1518617672.02368,-5.55200363
1518617672.02418,-2.435697761
1518617672.02468,-10.43360948
1518617672.02518,1.76664358
1518617672.02568,-2.56895585
1518617672.02618,-13.4922163
1518617672.02668,9.32677578
1518617672.02718,-10.59147964
1518617672.02768,-5.24832441
1518617672.02818,0.897820612999999
1518617672.02868,-7.10821748
1518617672.02918,-12.071468125
1518617672.02968,-14.31148195
1518617672.03018,-31.16719723
1518617672.03068,13.37516089
1518617672.03118,-19.24306741
1518617672.03168,-10.77694518
1518617672.03218,12.53303337
1518617672.03268,-4.09590509
1518617672.03318,2.53617692
1518617672.03368,-6.9037999379
1518617672.03418,-1.044070789
1518617672.03468,-9.49859949
1518617672.03518,-18.26555132
1518617672.03568,-15.24704145
1518617672.03618,-4.94799591
1518617672.03668,-14.49972721
1518617672.03718,-3.95220565
1518617672.03768,-11.3201315
1518617672.03818,-18.443962134
1518617672.03868,-7.8217515828
1518617672.03918,-13.6367104
1518617672.03968,-10.177594037
1518617672.04018,-20.1611228
1518617672.04068,-14.507729784
1518617672.04118,-14.201647177
1518617672.04169,4.210909949
1518617672.04219,-0.0241539399999988
1518617672.04269,-4.24953774
1518617672.04318,-6.07484033
1518617672.04368,-18.48975158
1518617672.04419,-15.92735381
1518617672.04469,3.84733642
1518617672.04519,-14.0841468283
1518617672.04569,-6.10743474
1518617672.04619,-11.339107065
1518617672.04669,2.25007606
