ts,value
1518618444.00015,-101.56697978
1518618444.00065,-58.93585922
1518618444.00115,-41.6361275
1518618444.00165,-88.72645346
1518618444.00215,-84.75654315
1518618444.00265,-48.67901516
1518618444.00315,-60.57792993
1518618444.00365,-110.39967117
1518618444.00415,-70.27478838
1518618444.00465,-34.57220748
1518618444.00515,-89.93094943
1518618444.00565,-89.11176729
1518618444.00615,-47.30065893
1518618444.00665,-66.58318705
1518618444.00715,-116.44646621
1518618444.00765,-53.72623848
1518618444.00815,-64.06388132
1518618444.00865,-92.99351494
1518618444.00915,-83.43689751
1518618444.00964,-37.71049979
1518618444.01014,-64.79746678
1518618444.01064,-113.68144495
1518618444.01115,-63.29092557
1518618444.01165,-51.17197272
1518618444.01215,-87.01296616
1518618444.01265,-73.532037684
1518618444.01314,-50.5898925
1518618444.01364,-77.51759816
1518618444.01414,-109.91032693
1518618444.01464,-38.09530045
1518618444.01514,-28.13745534
1518618444.01564,-93.32447672
1518618444.01614,-73.70392419
1518618444.01664,-48.915598807
1518618444.01714,-59.05254268
1518618444.01764,-82.24974822
1518618444.01814,-67.03427076
1518618444.01864,-51.299903331
1518618444.01914,-91.640929107
1518618444.01964,-81.01919079
1518618444.02014,-50.54855754
1518618444.02064,-60.50183285
1518618444.02114,-90.86360074
1518618444.02164,-55.16569759
1518618444.02214,-50.34897808
1518618444.02264,-91.03868811
1518618444.02314,-89.07359939
1518618444.02364,-57.888236944
1518618444.02414,-67.30327409
1518618444.02464,-91.81934885
1518618444.02514,-60.72861566
1518618444.02564,-43.78959608
1518618444.02614,-80.04673597
1518618444.02664,-76.7714863
1518618444.02714,-53.83147157
1518618444.02764,-55.4351649221
1518618444.02814,-95.26093644
1518618444.02864,-90.19154452
1518618444.02914,-72.65277905
1518618444.02964,-61.25308176
1518618444.03014,-73.06654878
1518618444.03064,-60.80319004
1518618444.03114,-51.9952855
1518618444.03164,-77.58206174
1518618444.03214,-91.228629984
1518618444.03264,-54.608179
1518618444.03314,-67.06199794
1518618444.03364,-101.78951079
1518618444.03414,-71.5346708421
1518618444.03464,-47.25843148
1518618444.03514,-87.0406065
1518618444.03564,-94.96359726
1518618444.03614,-49.73014711
1518618444.03664,-48.60043665
1518618444.03714,-88.2888245721
1518618444.03764,-84.8155741
1518618444.03814,-67.62663373
1518618444.03864,-60.05813097
1518618444.03914,-83.15565874
1518618444.03964,-65.346889634
1518618444.04014,-82.612454199
1518618444.04064,-62.690843601
1518618444.04114,-68.41529178
1518618444.04164,-71.999251341
1518618444.04214,-56.88961299
1518618444.04263,-78.60724498
1518618444.04313,-76.34596797
1518618444.04363,-77.53914737
1518618444.04414,-72.92655708
1518618444.04464,-65.25007436
1518618444.04513,-71.4270494
1518618444.04563,-72.13658917
1518618444.04613,-56.63135159
1518618444.04663,-92.68558781
1518618444.04713,-74.663124572
1518618444.04763,-60.17270137
1518618444.04813,-65.78871539
1518618444.04863,-65.23582745
1518618444.04913,-77.91610234
1518618444.04963,-60.047455373
1518618444.05013,-65.393866804
1518618444.05063,-79.1625815
1518618444.05113,-75.4938430469
1518618444.05163,-52.79011767
1518618444.05213,-79.58990588
1518618444.05263,-77.69701149
1518618444.05313,-50.06951782
1518618444.05363,-77.17577649
1518618444.05413,-70.57293916
1518618444.05463,-65.77203614
1518618444.05513,-61.290021533
1518618444.05563,-83.40003708
1518618444.05613,-85.38058443
1518618444.05663,-82.91542753
1518618444.05713,-75.6048281
1518618444.05763,-91.58839837
1518618444.05813,-80.75898123
1518618444.05863,-66.82126069
1518618444.05913,-49.58117352
