ts,value
1518618046.00044,-39.34540699
1518618046.00094,-32.19052793
1518618046.00144,-48.41424613
1518618046.00194,-50.54029376
1518618046.00244,-35.27272341
1518618046.00294,-51.05024436
1518618046.00345,-41.29096606
1518618046.00395,-38.94545321
1518618046.00445,-34.59198758
1518618046.00495,-48.53332372
1518618046.00545,-47.00127889
1518618046.00595,-47.8959293
1518618046.00645,-36.51182942
1518618046.00695,-49.93554065
1518618046.00745,-38.68458104
1518618046.00795,-35.95654878
1518618046.00846,-46.44367218
1518618046.00896,-43.22099401
1518618046.00946,-47.96136384
1518618046.00996,-40.62513211
1518618046.01046,-38.94826787
1518618046.01096,-35.47534511
1518618046.01146,-40.21050739
1518618046.01196,-35.76701597
1518618046.01246,-62.39115523
1518618046.01296,-36.645754177
1518618046.01347,-43.76031686
1518618046.01397,-44.01373105
1518618046.01447,-48.26791142
1518618046.01497,-42.671339
1518618046.01547,-22.30496695
1518618046.01597,-44.05463459
1518618046.01647,-39.47352557
1518618046.01697,-54.56066275
1518618046.01747,-31.78238638
1518618046.01797,-29.62465003
1518618046.01847,-40.72668498
1518618046.01898,-54.33449147
1518618046.01948,-36.62307162
1518618046.01998,-45.69326769
1518618046.02048,-46.03070351
1518618046.02098,-27.90968752
1518618046.02148,-35.31658552
1518618046.02198,-51.05954646
1518618046.02248,-47.93430713
1518618046.02298,-36.75025561
1518618046.02348,-46.799264
1518618046.02399,-40.10538959
1518618046.02449,-34.0200042369
1518618046.02499,-30.3412022
1518618046.02549,-35.85663777
1518618046.02599,-57.02735895
1518618046.02649,-46.73735428
1518618046.02699,-36.43412698
1518618046.02749,-41.77716444
1518618046.02799,-35.65956307
1518618046.02849,-30.92141729
1518618046.02899,-41.4021397
1518618046.0295,-39.9467678
1518618046.03,-47.43718047
1518618046.0305,-51.5487241
1518618046.031,-37.5654363
1518618046.0315,-44.45605942
1518618046.032,-33.84446877
1518618046.0325,-34.68129348
1518618046.033,-32.0382318
1518618046.0335,-45.76208591
1518618046.034,-44.32059009
1518618046.0345,-36.85450222
1518618046.03501,-37.15842205
1518618046.03551,-35.73839454
1518618046.03601,-36.70745751
1518618046.03651,-40.5058718
1518618046.03701,-33.0163123
1518618046.03751,-32.82835951
1518618046.03801,-44.0501051
1518618046.03851,-21.89778543
1518618046.03901,-27.65132385
1518618046.03951,-34.87573531
1518618046.04001,-32.76637672
1518618046.04052,-25.91990565
1518618046.04102,-45.76999661
1518618046.04152,-48.01047614
1518618046.04202,-35.21264272
1518618046.04252,-48.33798646
1518618046.04302,-36.32179149
1518618046.04352,-43.67613848
1518618046.04402,-38.52150343
1518618046.04452,-31.60633378
1518618046.04502,-40.47014474
1518618046.04553,-43.81397389
1518618046.04603,-42.6757183
1518618046.04653,-29.8104212
1518618046.04703,-44.29926922
1518618046.04753,-38.08237173
1518618046.04803,-47.10793404
1518618046.04853,-41.8160248
1518618046.04903,-32.26301093
1518618046.04953,-37.1725917
1518618046.05003,-37.37352755
1518618046.05054,-40.51088288
1518618046.05104,-24.03247839
1518618046.05154,-33.9905806
1518618046.05204,-24.77391251
1518618046.05254,-45.6196885
1518618046.05304,-37.95037718
1518618046.05354,-28.94398403
1518618046.05404,-33.53788253
1518618046.05454,-32.79092933
1518618046.05504,-48.96321318
1518618046.05554,-31.11126471
1518618046.05605,-42.63301177
1518618046.05655,-23.57933904
1518618046.05705,-48.26347633
1518618046.05755,-40.5078944
1518618046.05805,-40.0551753
1518618046.05855,-46.02289248
1518618046.05905,-46.934332
1518618046.05955,-29.99292962
1518618046.06005,-25.03955655
1518618046.06055,-32.4921222
1518618046.06106,-27.08122868
1518618046.06156,-32.52882369
1518618046.06206,-32.34360121
1518618046.06256,-30.06849177
