ts,value
1518617957.00047,-25.73879218
1518617957.00097,-47.73288055
1518617957.00148,-33.98388909
1518617957.00198,-44.184570873
1518617957.00248,-40.7902055
1518617957.00298,-27.89168315
1518617957.00349,-47.11604693
1518617957.00399,-38.31361198
1518617957.00449,-45.13708012
1518617957.00499,-40.80143361
1518617957.0055,-22.68504958
1518617957.006,-33.11615951
1518617957.0065,-28.79259297
1518617957.007,-54.03350445
1518617957.00751,-16.72564632
1518617957.00801,-28.7623682
1518617957.00851,-41.95331192
1518617957.00902,-27.47548819
1518617957.00952,-56.2086144
1518617957.01002,-15.148497226
1518617957.01052,-30.2453132
1518617957.01103,-46.88693147
1518617957.01153,-29.95489542
1518617957.01203,-39.00387041
1518617957.01253,-20.06540016
1518617957.01304,-53.81922724
1518617957.01354,-31.66815
1518617957.01404,-26.00064753
1518617957.01455,-49.7138958
1518617957.01505,-32.024392148
1518617957.01555,-50.3446703
1518617957.01605,-36.06281469
1518617957.01656,-32.36322768
1518617957.01706,-35.77088358
1518617957.01756,-34.27646924
1518617957.01806,-49.1277466
1518617957.01857,-23.05660769
1518617957.01907,-45.3530578
1518617957.01957,-30.2495942
1518617957.02007,-15.7789002
1518617957.02058,-27.86122897
1518617957.02108,-40.53492785
1518617957.02158,-35.10308891
1518617957.02209,-23.90828132
1518617957.02259,-57.50053908
1518617957.02309,-11.9925924379
1518617957.02359,-30.96235159
1518617957.0241,-47.47551493
1518617957.0246,-26.441058387
1518617957.0251,-43.13523438
1518617957.0256,-31.44090464
1518617957.02611,-33.86222556
1518617957.02661,-48.30332944
1518617957.02711,-19.87965867
1518617957.02762,-41.50072619
1518617957.02812,-13.65611983
1518617957.02862,-30.65358108
1518617957.02912,-16.38476654
1518617957.02963,-20.11552613
1518617957.03013,-27.19256837
1518617957.03063,-30.640214884
1518617957.03114,-54.36812678
1518617957.03164,-33.7901459
1518617957.03214,-29.80225563
1518617957.03264,-54.07589554
1518617957.03315,-22.00517869
1518617957.03365,-50.275196
1518617957.03415,-41.6995439
1518617957.03465,-46.24266097
1518617957.03516,-17.39818357
1518617957.03566,-33.79265142
1518617957.03616,-50.31437061
1518617957.03666,-25.925755079
1518617957.03717,-34.98681981
1518617957.03767,-22.87111944
1518617957.03817,-51.2480106
1518617957.03868,-50.1641331
1518617957.03918,-28.527020209
1518617957.03968,-36.66501044
1518617957.04018,-31.91661816
1518617957.04069,-56.97277548
1518617957.04119,-34.50190448
1518617957.04169,-23.53544311
1518617957.04219,-37.8550473
1518617957.0427,-32.45681574
1518617957.0432,-29.51156424
1518617957.0437,-27.78623198
1518617957.04421,-23.33916427
1518617957.04471,-36.36122036
1518617957.04521,-48.74071613
1518617957.04571,-48.1859655
1518617957.04622,-24.28193047
1518617957.04672,-32.37919753
1518617957.04722,-34.5709505
1518617957.04772,-30.50793124
1518617957.04823,-45.7692108
1518617957.04873,-29.51106255
1518617957.04923,-31.40701813
1518617957.04974,-32.97381209
1518617957.05024,-40.79922527
1518617957.05074,-34.1646937
1518617957.05124,-17.83479563
1518617957.05175,-38.92322732
1518617957.05225,-31.89126686
1518617957.05275,-43.11101679
1518617957.05325,-25.32588871
1518617957.05376,-43.3689361
1518617957.05426,-39.4135877
1518617957.05476,-27.60078479
1518617957.05526,-35.6148691
1518617957.05577,-36.2824612
1518617957.05627,-33.1503486
1518617957.05677,-36.55816843
1518617957.05727,-28.6791583
1518617957.05778,-29.21512529
1518617957.05828,-16.15816407
1518617957.05878,-45.42491723
1518617957.05929,-32.38606447
1518617957.05979,-31.74801256
1518617957.06029,-41.83065335
1518617957.06079,-20.03417585
1518617957.0613,-37.19061572
1518617957.0618,-28.94405789
1518617957.0623,-37.22391173
1518617957.0628,-18.1723804
1518617957.06331,-25.752519285
1518617957.06381,-18.6209519
1518617957.06431,-38.98173336
1518617957.06482,-40.05195278
1518617957.06532,-44.64269905
1518617957.06582,-31.32711794
1518617957.06632,-36.4397755
1518617957.06683,-32.4821332
1518617957.06733,-38.7487525
1518617957.06783,-13.99933154
1518617957.06833,-40.08175725
1518617957.06884,-28.7282629
1518617957.06934,-22.05324861
1518617957.06984,-70.47629679
1518617957.07034,-20.410577961
1518617957.07085,-24.31313229
1518617957.07135,-28.90692091
1518617957.07185,-27.2697995
1518617957.07236,-33.52309232
1518617957.07286,-33.75512696
1518617957.07336,-18.7050115
1518617957.07386,-41.87175722
1518617957.07437,-28.12593747
1518617957.07487,-39.82361865
1518617957.07537,-40.42723264
1518617957.07588,-38.26991707
1518617957.07638,-24.13343308
1518617957.07688,-28.98089799
1518617957.07738,-47.88752129
1518617957.07789,-37.03608843
1518617957.07839,-60.99124164
1518617957.07889,-20.02768044
1518617957.07939,-44.71582916
1518617957.0799,-23.40282494
1518617957.0804,-37.18070865
1518617957.0809,-44.86825702
1518617957.0814,-41.43308068
1518617957.08191,-25.8443632
1518617957.08241,-35.05042362
1518617957.08291,-38.33606818
1518617957.08341,-33.8673201
1518617957.08391,-53.80561755
1518617957.08441,-21.47902442
1518617957.08491,-31.77584641
