ts,value
1518617707.0002,-1.04393534
1518617707.0007,-21.5520353
1518617707.0012,-21.63471597
1518617707.0017,-6.27287917
1518617707.0022,-4.55103898
1518617707.0027,-1.078658511
1518617707.00319,0.0416122730000001
1518617707.00369,-17.26059223
1518617707.00419,-5.96429162
1518617707.00469,-2.90271652
1518617707.00519,3.66060591
1518617707.00569,-16.77880776
1518617707.00619,-11.59486913
1518617707.00669,1.22479058
1518617707.00719,1.5227046
1518617707.00769,-13.57017971
1518617707.00819,-24.38433382
1518617707.00869,-1.97383708
1518617707.00919,-32.83719308
1518617707.00969,-30.13003014
1518617707.01019,3.592541917
1518617707.01069,-11.8197827
1518617707.01119,-18.45592696
1518617707.01169,-1.786981743
1518617707.01219,-19.90950682
1518617707.01269,-20.17987157
1518617707.01319,-24.23308563
1518617707.01369,-16.06517412
1518617707.01419,-10.85269646
1518617707.01469,-4.69617889
1518617707.01519,-18.30542949
1518617707.01569,-7.27209865
1518617707.01619,-1.13329769
1518617707.01669,-8.34581566
1518617707.01718,-13.75929742
1518617707.01768,-10.47903644
1518617707.01818,2.27341057
1518617707.01868,-8.19915771
1518617707.01918,-9.088088095
1518617707.01968,-19.39291485
1518617707.02018,-17.00621228
1518617707.02068,-31.42662183
1518617707.02118,7.18417668
1518617707.02168,1.83817483
1518617707.02218,6.57008635
1518617707.02268,-22.06911661
1518617707.02318,3.32485544
1518617707.02368,-14.13183837
1518617707.02418,-11.353073527
1518617707.02468,-6.993247095
1518617707.02518,-19.49332285
1518617707.02568,-10.51479988
1518617707.02618,-6.37840556
1518617707.02668,-22.09320915
1518617707.02718,-26.4015522
1518617707.02768,4.59171602
1518617707.02818,-10.18490766
1518617707.02868,-1.0022687061
1518617707.02918,0.170326430000003
1518617707.02968,-21.5157292
1518617707.03018,-28.7041793
1518617707.03067,2.304604068
1518617707.03118,-5.70984507
1518617707.03168,13.3007092
1518617707.03217,-10.55413775
1518617707.03267,-8.45867884
1518617707.03317,-7.66901804
1518617707.03367,-5.52152779
1518617707.03417,-26.50982181
1518617707.03467,-1.676594443
1518617707.03517,-6.92946195
1518617707.03567,-22.34459879
1518617707.03617,-7.59759235
1518617707.03667,-11.92737342
1518617707.03717,-3.91095781
1518617707.03767,-25.4642191
1518617707.03817,-4.95436406
1518617707.03867,-13.45082212
1518617707.03917,-11.40232587
1518617707.03967,-10.10780428
1518617707.04017,-4.76224232
1518617707.04067,-21.5615513
1518617707.04117,2.941698004
1518617707.04167,-9.66075302
1518617707.04217,-1.42061523
1518617707.04267,-14.58009432
1518617707.04317,-3.95530127
1518617707.04367,-12.78740311
1518617707.04417,-8.35579776
1518617707.04467,-17.37167121
1518617707.04517,-19.31909611
1518617707.04567,-6.78017903
1518617707.04616,-10.44155026
1518617707.04666,-7.89140606
1518617707.04716,-22.51567415
1518617707.04766,-15.66067506
1518617707.04816,-21.73984962
1518617707.04866,-6.5607343
1518617707.04916,-14.46287013
1518617707.04966,-20.42987202
1518617707.05016,-19.64132737
1518617707.05066,-14.46396013
1518617707.05116,-2.80294971
1518617707.05166,-9.21337937
1518617707.05216,2.8297651
1518617707.05266,-8.3488524
1518617707.05316,-4.85321505
1518617707.05366,-3.28457719
1518617707.05416,19.086015382
1518617707.05466,-10.61723161
1518617707.05516,-5.70180524
1518617707.05566,-3.55197718
1518617707.05616,-3.3830488138
1518617707.05666,-17.66978457
1518617707.05716,-9.94400954
1518617707.05766,-8.90231561
1518617707.05816,-20.27984624
1518617707.05866,-10.52083564
1518617707.05915,-35.4987859
1518617707.05965,-11.6742768
1518617707.06015,-4.54097164
1518617707.06065,-15.17910549
1518617707.06115,-21.50447706
1518617707.06165,-4.368072222
1518617707.06215,-9.87574052
1518617707.06265,1.04428764
1518617707.06315,-9.2453659
1518617707.06365,-11.07667967
1518617707.06415,-14.24262145
1518617707.06465,-0.525354359
1518617707.06515,-1.39037131
1518617707.06565,5.731063328
1518617707.06615,-8.79451537
1518617707.06665,-13.428667084
1518617707.06715,-12.7463069
1518617707.06765,-9.98854351
1518617707.06815,4.35756646
1518617707.06865,-1.746353087
1518617707.06915,12.9696234435
1518617707.06965,-26.05419112
1518617707.07015,-7.30573702
1518617707.07065,-8.83731792
1518617707.07115,-16.6873331
1518617707.07165,-14.17131512
1518617707.07215,-1.53047964
1518617707.07265,-18.75534198
1518617707.07315,0.000994291499997857
1518617707.07365,-7.71005725
1518617707.07415,-6.000187415
1518617707.07465,-10.69395065
1518617707.07514,-17.823108
1518617707.07564,-29.53062147
1518617707.07614,-7.20753794
1518617707.07664,-1.706160457
1518617707.07714,-1.56399089
1518617707.07764,-23.41081384
1518617707.07814,-12.18842484
1518617707.07864,-8.32395005
1518617707.07914,-13.777266411
1518617707.07964,4.323858589
1518617707.08014,-5.67726267
1518617707.08064,0.594761480000001
1518617707.08114,-18.27048251
1518617707.08164,-22.26046463
1518617707.08214,-11.81752491
1518617707.08264,-14.57902623
1518617707.08314,-17.10695312
1518617707.08364,-8.54664688
1518617707.08414,-21.61168381
1518617707.08464,-15.09615539
1518617707.08514,-12.48754788
1518617707.08564,-20.09356356
1518617707.08614,-25.7303457
1518617707.08664,-3.49804664
1518617707.08714,-12.9408306
1518617707.08764,-13.50075869
1518617707.08814,-11.17690957
1518617707.08864,-31.46518852
1518617707.08914,0.839741533999998
1518617707.08963,-2.0456084
1518617707.09014,2.21055901
1518617707.09064,-18.26496983
1518617707.09114,-18.26746554
1518617707.09163,1.64059166
1518617707.09213,-18.5971937
1518617707.09263,6.63693333
1518617707.09313,0.743499760000001
1518617707.09363,-6.325097625
1518617707.09413,1.4172239
1518617707.09463,-4.6894455
1518617707.09513,-10.25094521
1518617707.09563,-5.67774414
1518617707.09613,-3.4300752
1518617707.09663,-9.95501424
1518617707.09713,-22.49317408
1518617707.09763,-17.67686465
1518617707.09813,-5.09534335
1518617707.09863,-24.98806339
1518617707.09913,-10.857421331
1518617707.09963,0.406985039999999
1518617707.10013,-9.9136653
1518617707.10063,3.92064821
1518617707.10113,0.380376361000001
1518617707.10163,-20.81070611
1518617707.10213,-23.56819714
1518617707.10263,-12.16216994
1518617707.10313,-18.27555653
1518617707.10363,-4.323929565
1518617707.10413,-3.87457395
1518617707.10463,-14.05249882
1518617707.10513,-15.40147834
1518617707.10563,-24.61212497
1518617707.10613,-10.18257858
1518617707.10663,0.49556636
1518617707.10713,-15.91966201
1518617707.10763,-17.04511646
1518617707.10813,-13.12383891
1518617707.10862,-0.671972187000001
1518617707.10912,-10.88541937
1518617707.10963,-11.70803885
1518617707.11012,-5.97058292
1518617707.11062,-12.90044308
