ts,value
1518617766.00023,-15.40680818
1518617766.00073,-22.40515613
1518617766.00122,-26.21251437
1518617766.00173,-9.402508643
1518617766.00222,-22.85459374
1518617766.00272,-26.73537253
1518617766.00322,-17.60659312
1518617766.00372,-18.78683802
1518617766.00422,-22.26278968
1518617766.00472,-27.07517341
1518617766.00522,-15.05783395
1518617766.00572,-23.8925692921
1518617766.00622,-49.42686398
1518617766.00672,-8.132880548
1518617766.00722,-6.808459202
1518617766.00772,-10.50772263
1518617766.00822,-28.67360776
1518617766.00872,-9.361596209
1518617766.00922,-16.7771454
1518617766.00972,-15.45779514
1518617766.01022,-10.36536313
1518617766.01072,-14.9214987269
1518617766.01122,-21.07248113
1518617766.01172,-36.46820547
1518617766.01222,-32.09330188
1518617766.01272,-31.84570071
1518617766.01322,-0.672832391999998
1518617766.01372,-32.10111714
1518617766.01421,-4.773649109
1518617766.01472,-21.50799827
1518617766.01522,-7.68127915
1518617766.01571,-26.39619139
1518617766.01621,-21.057598698
1518617766.01671,-22.97019873
1518617766.01721,-31.351990292
1518617766.01771,-21.06232715
1518617766.01821,-12.08471893
1518617766.01871,-18.53628969
1518617766.01921,-17.36932042
1518617766.01971,-16.02889155
1518617766.02021,-38.51504353
1518617766.02071,-25.95349166
1518617766.02121,-11.51950523
1518617766.02171,-14.43889909
1518617766.02221,-19.31827886
1518617766.02271,-14.699074847
1518617766.02321,-15.84574893
1518617766.02371,-18.16026853
1518617766.02421,-20.69687509
1518617766.02471,-36.388898896
1518617766.02521,-24.196162266
1518617766.02571,-20.17744371
1518617766.02621,-25.94195421
1518617766.02671,-15.36534342
1518617766.0272,-37.35527185
1518617766.02771,-14.24412698
1518617766.02821,-17.11820742
1518617766.0287,-14.9460819
1518617766.0292,-12.11081076
1518617766.0297,-13.94685742
1518617766.0302,-25.83167906
1518617766.0307,-20.29154823
1518617766.0312,-34.62912968
1518617766.0317,-20.91354327
1518617766.0322,-24.38855462
1518617766.0327,-17.88931727
1518617766.0332,-30.890821815
1518617766.0337,-9.85553944
1518617766.0342,-18.42626723
1518617766.0347,-19.1569681
1518617766.0352,-22.11057999
1518617766.0357,-22.14218518
1518617766.0362,3.914072745
1518617766.0367,-20.51237251
1518617766.0372,-34.71217443
1518617766.0377,-18.97223755
1518617766.0382,-12.71403068
1518617766.0387,-23.97890786
1518617766.0392,-22.78437514
1518617766.0397,-15.91484976
