ts,value
1518617941.00037,-35.0604095
1518617941.00087,-13.97216088
1518617941.00137,-44.3106461
1518617941.00187,-29.1630163
1518617941.00236,-26.67767908
1518617941.00286,-28.24115657
1518617941.00336,-8.52224925
1518617941.00386,-31.23022317
1518617941.00436,-28.71176997
1518617941.00486,-49.50429156
1518617941.00536,-20.33605323
1518617941.00586,-34.02651688
1518617941.00635,-17.76916597
1518617941.00685,-33.4086762
1518617941.00735,-27.9439506
1518617941.00785,-37.3040581
1518617941.00835,-25.82376679
1518617941.00885,-36.48732952
1518617941.00935,-28.239295
1518617941.00985,-35.09306432
1518617941.01034,-27.2044282
1518617941.01084,-13.95417593
1518617941.01134,-23.77231457
1518617941.01184,-41.1788444
1518617941.01234,-39.00564391
1518617941.01284,-26.90534968
1518617941.01334,-14.00227355
1518617941.01383,-32.1110811
1518617941.01433,-44.3903732
1518617941.01483,-42.33257
1518617941.01533,-30.9985943
1518617941.01583,-33.38632108
1518617941.01633,-18.43803575
1518617941.01683,-29.26328955
1518617941.01732,-31.86675641
1518617941.01782,-15.0096621
1518617941.01832,-33.07112123
1518617941.01882,-17.14082668
1518617941.01932,-20.83361063
1518617941.01982,-23.0847702
1518617941.02032,-23.73583077
1518617941.02082,-31.5232497
1518617941.02131,-26.6383591
1518617941.02181,-28.42386726
1518617941.02231,-26.85907944
1518617941.02281,-20.52178811
1518617941.02331,-34.8730421
1518617941.02381,-30.25847813
1518617941.02431,-38.8687906
1518617941.02481,-34.0193873
1518617941.0253,-29.79667756
1518617941.0258,-29.82322699
1518617941.0263,-17.1207666
1518617941.0268,-37.2982302
1518617941.0273,-35.6288481
1518617941.0278,-23.6127872
1518617941.0283,-26.15407661
1518617941.0288,-32.4878845
1518617941.02929,-31.97916897
1518617941.02979,-38.9112873
1518617941.03029,-25.19485761
1518617941.03079,-15.45959992
1518617941.03129,-35.5940904
1518617941.03179,-20.07015747
1518617941.03229,-29.4010067
1518617941.03278,-37.08030033
1518617941.03328,-29.58354954
1518617941.03378,-48.5305432
1518617941.03428,-21.46147351
1518617941.03478,-37.11071103
1518617941.03528,-27.49896965
1518617941.03578,-12.62596513
1518617941.03628,-29.07344157
1518617941.03677,-35.2856903
1518617941.03727,-25.021721
1518617941.03777,-30.3740758
1518617941.03827,-44.1547204
1518617941.03877,-28.72705039
1518617941.03927,-21.57259868
1518617941.03977,-30.07069397
1518617941.04026,-15.41752154
1518617941.04076,-28.60730737
1518617941.04126,-19.03845253
1518617941.04176,-41.960803
1518617941.04226,-22.35473052
1518617941.04276,-43.62697217
1518617941.04326,-36.9231873
1518617941.04376,-14.96490715
1518617941.04425,-23.54381277
1518617941.04475,-40.06438063
1518617941.04525,-33.02413516
1518617941.04575,-14.25310512
1518617941.04625,-23.84094619
1518617941.04675,-20.67687895
1518617941.04725,-11.88432234
1518617941.04775,-18.9184294
1518617941.04824,-20.2710337
1518617941.04874,-35.32039254
1518617941.04924,-40.0208159
1518617941.04974,-23.5437375
1518617941.05024,-22.87097122
1518617941.05074,-19.11165436
1518617941.05124,-26.0430956
1518617941.05174,-30.48988448
1518617941.05223,-55.0530071
1518617941.05273,-29.877285
1518617941.05323,-29.21450369
1518617941.05373,-37.97348693
1518617941.05423,-14.96499307
1518617941.05473,-19.48087892
1518617941.05523,-10.6870446
1518617941.05573,-35.8826771
1518617941.05622,-17.5477676
1518617941.05672,-31.9788189
1518617941.05722,-25.00147436
1518617941.05772,-24.7381324
1518617941.05822,-25.6320867
1518617941.05872,-24.91787333
1518617941.05922,-23.91841269
1518617941.05971,-26.38243154
1518617941.06021,-32.40731339
1518617941.06071,-25.9290133
1518617941.06121,-9.60554888
1518617941.06171,-29.44549232
1518617941.06221,-13.40241406
1518617941.06271,-28.92720449
1518617941.06321,-27.086287
1518617941.0637,-18.47639451
1518617941.0642,-22.99281168
1518617941.0647,-17.71596335
1518617941.0652,-26.2354764
1518617941.0657,-27.1952934
1518617941.0662,-33.4870777
1518617941.0667,-23.6603465
1518617941.0672,-30.4803238
1518617941.06769,-11.45497034
1518617941.06819,-33.8735275
1518617941.06869,-23.8065882
1518617941.06919,-31.4870953
1518617941.06969,-37.79017264
1518617941.07019,-19.21138427
1518617941.07069,-8.59825706
1518617941.07118,-29.29357239
1518617941.07168,-25.10850046
1518617941.07218,-36.71228987
1518617941.07268,-20.07784892
1518617941.07318,-24.9521055
1518617941.07368,-2.92170139
1518617941.07418,-24.835556
1518617941.07468,-32.59913349
1518617941.07517,-24.096239
1518617941.07567,-30.5811806
1518617941.07617,-19.40491963
1518617941.07667,-22.02204726
1518617941.07717,-16.90980385
1518617941.07767,-12.65513709
1518617941.07817,-33.27405833
1518617941.07867,-23.43210224
1518617941.07916,-29.27842717
1518617941.07966,-22.69025994
