ts,value
1519137060.00026,1.62278509
1519137060.00076,8.107280839
1519137060.00126,-11.200972795
1519137060.00176,-4.90500271
1519137060.00226,0.427551246699999
1519137060.00276,5.044192924
1519137060.00326,0.279737535
1519137060.00376,5.52607643
1519137060.00426,8.41150402
1519137060.00476,3.719272197
1519137060.00526,-11.347003608
1519137060.00576,-7.20042968
1519137060.00626,8.49224389
1519137060.00676,-0.507409099999999
1519137060.00727,-7.862269692
1519137060.00777,-5.29136853
1519137060.00827,24.264717803
1519137060.00877,12.40628624
1519137060.00927,18.110626835
1519137060.00977,1.17598927
1519137060.01027,-15.45440412
1519137060.01077,-17.250155211
1519137060.01127,-13.69921959
1519137060.01177,-2.622528972
1519137060.01227,8.53339428
1519137060.01277,15.79347837
1519137060.01327,-15.77821339
1519137060.01377,4.067827632
1519137060.01427,-17.027288883
1519137060.01478,-0.210694439999999
1519137060.01528,14.988011151
1519137060.01578,7.8913765
1519137060.01628,-0.246541562000001
1519137060.01678,-16.871988352
1519137060.01728,-5.911544918
1519137060.01778,-2.97107362
1519137060.01828,-5.7952337951
1519137060.01878,10.73387528
1519137060.01928,5.57618177
1519137060.01978,3.823963765
1519137060.02028,-4.001140953
1519137060.02078,-4.67388632
1519137060.02128,4.4535356753
1519137060.02179,1.32300734
1519137060.02229,3.6339561
1519137060.02279,0.353782709999999
1519137060.02329,-2.15818286
1519137060.02379,-16.987693254
1519137060.02429,-6.360521908
1519137060.02479,-4.006216614
1519137060.02529,5.2058764
1519137060.02579,-17.5747476
1519137060.02629,-7.6187438254
1519137060.02679,-0.90693998
1519137060.02729,-2.186068423
1519137060.02779,-8.06593049
1519137060.02829,8.591722
1519137060.0288,12.92272138
1519137060.0293,32.72688723
1519137060.0298,18.55439806
1519137060.0303,-5.68816019
1519137060.0308,-16.09507485
1519137060.0313,-14.00242782
1519137060.0318,-1.360443223
1519137060.0323,19.63344645
1519137060.0328,16.42904486
1519137060.0333,-5.65437984
1519137060.0338,-15.72532362
1519137060.0343,-27.31353619
1519137060.0348,-23.96385633
1519137060.0353,10.356762142
1519137060.0358,29.746415178
1519137060.0363,1.079647492
1519137060.03681,-2.96438861
1519137060.03731,-15.80314348
1519137060.03781,-31.86051747
1519137060.03831,4.129231874
1519137060.03881,8.38504982
1519137060.03931,22.33250614
1519137060.03981,2.714736611
1519137060.04031,-6.647294933
1519137060.04081,-17.47945311
1519137060.04131,-21.98223736
1519137060.04181,-14.10940779
1519137060.04231,2.600310089
1519137060.04281,13.4928181178
1519137060.04331,9.08118654
1519137060.04381,-6.09897136
1519137060.04432,-23.97066686
1519137060.04482,-18.95882654
1519137060.04532,9.128254059
1519137060.04582,10.945627121
1519137060.04632,17.109024703
1519137060.04682,6.653052387
1519137060.04732,2.32442009
1519137060.04782,-12.81545591
1519137060.04832,-8.53122616
1519137060.04882,16.88019574
1519137060.04932,42.15950415
1519137060.04982,25.64861542
1519137060.05032,5.65016961
1519137060.05082,-7.889238903
1519137060.05132,-34.507665647
1519137060.05183,-12.9220040734
1519137060.05233,14.35254068
1519137060.05283,17.80529665
1519137060.05333,4.210113024
1519137060.05383,-12.99635399
1519137060.05433,-24.15010115
1519137060.05483,-34.811523972
1519137060.05533,-11.20102132
1519137060.05583,7.71411351
1519137060.05633,26.23854855
1519137060.05683,16.36624622
1519137060.05733,-17.80622851
1519137060.05783,-18.77700471
1519137060.05834,-11.70371025
1519137060.05884,0.176176549999999
1519137060.05934,19.69869999
