ts,value
1519137120.00026,-9.73058795
1519137120.00076,5.88229686
1519137120.00126,1.01981914
1519137120.00177,3.15401673
1519137120.00227,-20.310828586
1519137120.00278,-5.7538175591
1519137120.00328,-6.432559074
1519137120.00379,5.691951629
1519137120.00429,-16.045385252
1519137120.00479,-1.59002638
1519137120.0053,-8.659231603
1519137120.0058,-2.032425284
1519137120.00631,-6.53954596
1519137120.00681,-7.917646883
1519137120.00731,6.50782365
1519137120.00782,-13.87558031
1519137120.00832,-1.1790388
1519137120.00883,-14.71727992
1519137120.00933,9.46665788
1519137120.00984,-8.70489741
1519137120.01034,4.2705248643
1519137120.01084,5.317053171
1519137120.01135,-4.1927471112
1519137120.01185,-14.333542299
1519137120.01236,-2.703615307
1519137120.01286,2.930631988
1519137120.01336,-3.594850165
1519137120.01387,-3.854140383
1519137120.01437,-24.19920992
1519137120.01488,4.043866874
1519137120.01538,17.71849919
1519137120.01589,-3.15415657
1519137120.01639,1.1045569431
1519137120.01689,-4.08687854
1519137120.0174,-5.649635676
1519137120.0179,-1.43223298
1519137120.0184,3.149978522
1519137120.01891,-9.63659382
1519137120.01941,-3.9567809
1519137120.01992,-0.695788854
1519137120.02042,2.37360406
1519137120.02093,2.289107855
1519137120.02143,-11.86669827
1519137120.02193,6.959878525
1519137120.02244,0.800931025999999
1519137120.02294,-11.13022304
1519137120.02345,-6.056851031
1519137120.02395,-8.04522943
1519137120.02446,8.72096121
1519137120.02496,9.60936069
1519137120.02546,4.384216158
1519137120.02597,-14.66424441
1519137120.02647,-22.93773008
1519137120.02698,-7.61851454
1519137120.02748,-4.47934735
1519137120.02798,6.88037802
1519137120.02849,-7.24565102
1519137120.02899,-12.69282771
1519137120.0295,-16.02490331
1519137120.03,-6.499559107
1519137120.0305,1.213130086
1519137120.03101,-1.76937151
1519137120.03151,1.92751884
1519137120.03202,-20.079450636
1519137120.03252,-7.31693422
1519137120.03302,-4.99350165
1519137120.03353,-11.42025685
1519137120.03403,12.332703667
1519137120.03454,3.90316343
1519137120.03504,-0.0920201010000001
1519137120.03554,-4.420393179
1519137120.03605,-5.95116556
1519137120.03655,-3.34844922
1519137120.03706,10.804128579
1519137120.03756,-9.026139618
1519137120.03807,-16.07932902
1519137120.03857,-9.679328798
1519137120.03907,-10.33778646
1519137120.03958,-2.360024031
1519137120.04008,0.77826667
1519137120.04059,-22.27017168
1519137120.04109,-7.35734963
1519137120.04159,-11.720290869
1519137120.0421,-5.127550543
1519137120.0426,5.98083234
1519137120.04311,17.316669832
1519137120.04361,-3.9752686
1519137120.04412,-0.344166461999999
1519137120.04462,0.587482919999999
1519137120.04512,-1.689068768
1519137120.04563,7.17692637
1519137120.04613,6.57907964
1519137120.04664,-8.431633527
1519137120.04714,-10.57003403
1519137120.04764,-8.02885997
1519137120.04815,-16.53870059
1519137120.04865,-5.5652437262
1519137120.04916,-18.13843743
1519137120.04966,6.429905906
1519137120.05016,-9.2174650622
1519137120.05067,3.08355069
1519137120.05117,4.933833538
1519137120.05168,-15.23542302
1519137120.05218,-14.54962874
1519137120.05269,1.17537384046
1519137120.05319,-12.543174449
1519137120.05369,6.985157136
1519137120.0542,-1.251511813
1519137120.0547,-13.50934302
1519137120.05521,-4.22894061
1519137120.05571,9.15905476
1519137120.05621,-1.646582008
1519137120.05672,-2.877375
1519137120.05722,-7.25784493
1519137120.05773,-11.36811038
1519137120.05823,-2.325724841
1519137120.05874,-1.76252533
1519137120.05924,3.3790706646
1519137120.05974,6.652790872
1519137120.06025,-13.544646625
1519137120.06075,-10.04059767
1519137120.06125,-8.934767962
1519137120.06176,7.480083618
1519137120.06226,10.23902774
1519137120.06277,-10.448979075
1519137120.06327,-1.470426119
1519137120.06378,-0.803412080000001
1519137120.06428,-13.32407593
1519137120.06478,3.8675397372
1519137120.06529,-9.599560623
1519137120.06579,2.13833929
1519137120.0663,-21.044195993
1519137120.0668,-2.776069132
1519137120.0673,7.66301525
1519137120.06781,3.561078931
1519137120.06831,-11.157803866
1519137120.06882,-1.737534101
1519137120.06932,-8.07629132
1519137120.06982,-14.781188848
1519137120.07033,3.374437907
1519137120.07083,-12.73678159
1519137120.07134,-4.479608587
1519137120.07184,-5.659047044
1519137120.07235,-6.403073522
1519137120.07285,-13.13225264
1519137120.07335,-6.029272524
1519137120.07385,0.512256152
1519137120.07435,-0.247855319999999
1519137120.07485,-0.239182358
1519137120.07535,0.538570575
1519137120.07585,3.1850246411
1519137120.07635,7.782513318
1519137120.07685,-2.653958531
1519137120.07735,-2.887387752
1519137120.07785,-9.22731484
1519137120.07835,-7.09801924
1519137120.07885,0.239379962000001
1519137120.07935,-5.1089009
1519137120.07985,13.92995298
1519137120.08035,-7.505432006
1519137120.08085,-6.878668431
1519137120.08136,-13.35485553
1519137120.08186,20.64597392
1519137120.08236,-4.29573906
1519137120.08286,-1.399420647
1519137120.08336,-17.77504167
1519137120.08386,-8.5931422033
1519137120.08436,-1.2155051202
1519137120.08486,-28.025133187
1519137120.08536,-7.914140805
1519137120.08586,1.33124119046
1519137120.08636,11.622999451
1519137120.08686,-7.839615941
1519137120.08736,9.85508656
1519137120.08786,-9.29756761
1519137120.08836,-7.76148355
1519137120.08886,-13.926632713
1519137120.08937,-4.781127633
1519137120.08986,-6.46962595
1519137120.09037,-10.26850522
1519137120.09087,-2.137513763
1519137120.09137,0.847312397
1519137120.09187,8.67084229
1519137120.09237,-14.473250236
1519137120.09287,-2.73972225
1519137120.09337,9.720995657
1519137120.09387,2.08596576
1519137120.09437,-5.91148376
1519137120.09487,-27.1870024
1519137120.09537,-15.79472326
1519137120.09587,-15.18317831
1519137120.09637,-14.58039903
1519137120.09687,4.2709058772
1519137120.09737,2.665415431
1519137120.09787,-10.412162339
1519137120.09837,-11.680041427
1519137120.09888,0.240372599
1519137120.09938,7.739802602
1519137120.09988,3.380968985
1519137120.10038,-9.96554613
1519137120.10088,4.34409832
1519137120.10138,-16.70441411
1519137120.10188,5.125861942
1519137120.10238,-8.6033667588
1519137120.10288,10.126022579
1519137120.10338,-8.89689135
1519137120.10388,0.314478390000001
1519137120.10438,-7.882389673
1519137120.10488,-2.777777342
1519137120.10538,-0.697366476000001
1519137120.10588,-0.12330437
1519137120.10638,-14.591551209
1519137120.10688,-12.928327819
1519137120.10738,-1.1632948
1519137120.10789,14.087398472
1519137120.10839,-18.76632977
1519137120.10889,-6.35172963
1519137120.10939,14.99526117
1519137120.10989,12.467572403
1519137120.11039,-1.245580735
1519137120.11089,-1.359582063
1519137120.11139,-9.807745567
1519137120.11189,-26.18503046
1519137120.11239,17.13172353
1519137120.11289,-14.293449523
1519137120.11339,14.76107264
1519137120.11389,1.815823934
1519137120.11439,-5.75880898
1519137120.11489,-2.56025886
1519137120.11539,-0.29088235
1519137120.11589,-3.028609991
1519137120.11639,10.415193416
1519137120.11689,-2.665847008
1519137120.11739,5.754628813
1519137120.1179,15.87513615
1519137120.1184,-4.9032609611
1519137120.1189,16.64792717
1519137120.1194,-17.79846168
1519137120.1199,-0.461912834
1519137120.1204,-0.617286678000001
1519137120.1209,8.18786305
1519137120.1214,9.41957474
1519137120.1219,-10.22325003
1519137120.1224,8.642671976
1519137120.1229,1.358550969
1519137120.1234,-5.160889801
1519137120.1239,1.6190002
1519137120.1244,6.737879468
1519137120.1249,-0.138472210000002
1519137120.1254,0.536386970000001
1519137120.1259,1.3247141798
1519137120.12641,-0.272853465
1519137120.1269,4.86439693
1519137120.12741,11.9937716659
1519137120.12791,-11.760434388
1519137120.12841,9.3409542928
1519137120.12891,-6.017788833
1519137120.12941,-5.834370259
1519137120.12991,8.33005213
1519137120.13041,-4.86696601
1519137120.13091,2.52907574
1519137120.13141,-4.979512419
1519137120.13191,-3.220802127
1519137120.13241,-11.09483837
1519137120.13291,3.27157462
1519137120.13341,4.49069631
1519137120.13391,2.924078135
1519137120.13441,-8.403194642
1519137120.13491,6.82277071
1519137120.13542,6.830348974
1519137120.13592,-10.11765492
1519137120.13642,-6.76391768
1519137120.13692,-4.783761624
1519137120.13742,-5.164064528
1519137120.13792,-12.166960486
1519137120.13842,-6.311250122
1519137120.13892,-18.180612422
1519137120.13942,-8.78029442
1519137120.13992,-2.78508949
1519137120.14042,-2.553197563
1519137120.14092,-10.93865084
1519137120.14142,0.7985059
1519137120.14192,-3.149080067
1519137120.14242,1.92564225
1519137120.14292,0.0946855600000003
1519137120.14342,14.92335105
1519137120.14392,-12.0926223766
1519137120.14443,2.440632704
1519137120.14493,-13.35778022
1519137120.14543,-9.008090317
1519137120.14593,0.358390208
1519137120.14643,10.90202868
1519137120.14693,-2.3243342908
1519137120.14743,-18.91478181
1519137120.14793,3.930805029
1519137120.14843,10.45867234
1519137120.14893,4.08217013
1519137120.14943,3.303971082
1519137120.14993,8.304725174
1519137120.15043,-11.3833834
1519137120.15093,-6.05965626
1519137120.15143,5.16828703
1519137120.15193,-5.091121432
1519137120.15243,-8.924479034
1519137120.15293,0.799086689
1519137120.15343,-2.74753094
1519137120.15393,-0.1985229879
1519137120.15444,5.74636889
1519137120.15494,-16.571745217
1519137120.15544,8.89093185
1519137120.15594,9.75270998
1519137120.15644,-25.02042484
1519137120.15694,-4.928502138
1519137120.15744,-0.68619752
1519137120.15794,-2.111321093
1519137120.15844,-5.51101294
1519137120.15894,-17.47323132
1519137120.15944,-5.837194801
1519137120.15994,4.87298059
1519137120.16044,-0.421525422
1519137120.16094,-9.18541756
1519137120.16144,-16.3838544
1519137120.16194,-1.095833063
1519137120.16244,-1.02962542
1519137120.16295,-8.216654475
1519137120.16344,0.542510604
1519137120.16395,-13.10006284
1519137120.16445,-9.33361219
1519137120.16495,1.067922976
1519137120.16545,20.100763926
1519137120.16595,-0.35834115954
1519137120.16645,-3.630689236
1519137120.16695,-3.56049979
1519137120.16745,5.939800394
1519137120.16795,8.10513854
1519137120.16845,7.925037738
1519137120.16895,2.523902351
1519137120.16945,9.75622439
1519137120.16995,1.999518367
1519137120.17045,6.427012448
1519137120.17095,22.689312812
1519137120.17145,-6.2824763822
1519137120.17195,5.90685588
1519137120.17245,-20.10394931
1519137120.17295,-7.96339735
1519137120.17345,0.46803085
1519137120.17395,-7.7659269178
1519137120.17445,16.98253965
1519137120.17495,-12.018104669
1519137120.17545,-1.403093935
1519137120.17595,3.0831169534
1519137120.17645,6.360180194
1519137120.17695,11.69798255
1519137120.17745,7.068354787
1519137120.17795,-1.5431895588
1519137120.17845,-5.760336021
1519137120.17895,-7.56054639
1519137120.17945,11.131898972
1519137120.17995,8.290468244
1519137120.18045,-14.175284442
1519137120.18095,6.435701703
1519137120.18145,1.773210077
1519137120.18195,-0.9079662111
1519137120.18245,2.9741899757
1519137120.18295,-1.54639744
1519137120.18345,-9.49094582
1519137120.18395,2.11280263
1519137120.18445,-9.591181575
1519137120.18495,-6.12789953
1519137120.18545,-2.74781704
1519137120.18595,-3.4905032188
1519137120.18645,-14.27655749
1519137120.18695,10.00162923
1519137120.18745,21.638307125
1519137120.18795,-1.247368222
1519137120.18845,5.46024894
1519137120.18895,2.965364369
1519137120.18945,2.667609245
1519137120.18995,8.60460615
1519137120.19045,7.43283463
1519137120.19095,0.946041168000001
1519137120.19145,-13.656426962
1519137120.19195,-7.165057058
1519137120.19245,-2.00231493
1519137120.19295,-8.4412545679
1519137120.19345,2.88572872
1519137120.19395,8.6471907
1519137120.19445,4.464328704
1519137120.19495,2.59900832
1519137120.19545,-3.52328324
1519137120.19595,-1.8889519
1519137120.19645,7.36384905
1519137120.19695,-31.443114091
1519137120.19745,-4.670908959
1519137120.19795,-3.079987534
1519137120.19845,-3.0299462
1519137120.19895,-4.154926209
1519137120.19945,-13.703716275
1519137120.19995,2.64364791
1519137120.20045,3.07805585
1519137120.20095,-10.304910484
1519137120.20145,-12.06409789
1519137120.20195,-3.27511859
1519137120.20245,-11.05774642
1519137120.20295,-4.11361384
1519137120.20345,11.83880889
1519137120.20395,22.17270971
1519137120.20445,-1.948757587
1519137120.20495,0.130329429
1519137120.20545,-8.9474206
1519137120.20595,-1.691649493
1519137120.20645,-11.98602235
1519137120.20695,-0.3935951
1519137120.20745,-1.06613612
1519137120.20795,9.167790112
1519137120.20845,-2.292408234
1519137120.20895,-1.555432886
1519137120.20945,-1.468270952
1519137120.20995,-16.351917505
1519137120.21045,-0.46015931
1519137120.21095,9.085618438
1519137120.21145,-0.569238992
1519137120.21195,6.329728009
1519137120.21245,10.9452236633
1519137120.21295,-0.881207205
1519137120.21345,-2.427162288
1519137120.21395,-4.01507258
1519137120.21445,6.72255541
1519137120.21495,6.689655407
1519137120.21545,6.352548303
1519137120.21595,-8.74238944
1519137120.21645,-9.7048428
1519137120.21695,1.9635826426
1519137120.21745,7.52598714
1519137120.21795,-0.87034011
1519137120.21845,-12.620728437
1519137120.21895,-14.560734035
1519137120.21944,-8.766506855
1519137120.21994,-10.75673234
1519137120.22045,6.773439075
1519137120.22095,-4.528384318
1519137120.22145,-18.85432848
1519137120.22195,-16.2287630188
1519137120.22245,-24.475007558
1519137120.22294,-23.57387614
1519137120.22345,1.333476565
1519137120.22395,-1.84368324
1519137120.22445,-4.040399674
1519137120.22494,-1.34370076
1519137120.22544,0.801561176
1519137120.22594,-9.217677707
1519137120.22644,-9.18287074
1519137120.22694,-11.7605018466
1519137120.22744,1.182774374
1519137120.22794,-10.125785836
1519137120.22844,-13.657131854
1519137120.22894,-2.478108223
1519137120.22944,-6.573904496
1519137120.22994,-10.65473557
1519137120.23044,-2.140874387
1519137120.23094,-2.32207298
1519137120.23144,-6.122448407
1519137120.23194,-31.283801473
1519137120.23244,-1.90866565
1519137120.23294,0.5718441
1519137120.23344,4.495042381
1519137120.23394,12.726421415
1519137120.23444,1.11000662046
1519137120.23494,2.33500505
1519137120.23544,-7.769186561
1519137120.23594,-9.2951843131
1519137120.23644,-11.90058278
1519137120.23694,0.91157436
1519137120.23744,-6.69744337
1519137120.23794,-7.61825204
1519137120.23844,-5.4573549
1519137120.23894,11.75576928
1519137120.23944,-5.38028741
1519137120.23994,-2.226612372
1519137120.24044,-0.39128578
1519137120.24094,-3.33525741
1519137120.24144,5.39046955
1519137120.24194,-7.73585025054
1519137120.24244,-2.284141274
1519137120.24294,5.907836549
1519137120.24344,-8.778787635
1519137120.24394,-5.677192517
1519137120.24444,7.80684423
1519137120.24494,-1.50779915
1519137120.24544,-34.72219937
1519137120.24594,-5.682177131
1519137120.24644,0.464804532
1519137120.24694,8.416772068
1519137120.24744,5.911787452
1519137120.24794,10.756389318
1519137120.24844,2.7385677431
1519137120.24894,8.500264794
1519137120.24944,9.412864683
1519137120.24994,-1.694559369
1519137120.25044,-2.62880314
1519137120.25094,15.977732935
1519137120.25144,0.28540242
1519137120.25194,10.5339911
1519137120.25244,-8.60257983
1519137120.25294,0.428383074
1519137120.25344,-8.1469613912
1519137120.25394,3.37070286
1519137120.25444,-17.6120448
1519137120.25494,-15.002549408
1519137120.25544,-5.01877129
1519137120.25594,5.43156933
1519137120.25644,1.090019947
1519137120.25694,-0.202421159
1519137120.25744,-2.699030703
1519137120.25794,5.417028072
1519137120.25844,-0.91287565
1519137120.25894,0.614353952
1519137120.25944,-7.3211412031
1519137120.25994,2.716899665
1519137120.26044,-13.066442435
1519137120.26094,-3.1450275422
1519137120.26144,13.62427866
