ts,value
1519137030.00023,-1.882432155
1519137030.00073,4.00682187
1519137030.00124,-5.616065619
1519137030.00174,10.10243726
1519137030.00225,7.297820783
1519137030.00275,2.071238163
1519137030.00326,1.598432182
1519137030.00377,-8.59518313
1519137030.00427,-0.79633331
1519137030.00478,-3.88948672
1519137030.00528,-0.0966832150000002
1519137030.00579,-0.45801318
1519137030.00629,0.0443690349999999
1519137030.0068,20.820041393
1519137030.00731,-6.97365856
1519137030.00781,2.740756392
1519137030.00832,7.505223395
1519137030.00882,-16.536815961
1519137030.00933,2.189505635
1519137030.00983,6.6560986
1519137030.01034,4.45166349
1519137030.01084,1.74495933
1519137030.01135,-30.31702993
1519137030.01186,7.18017601
1519137030.01236,-7.1676083997
1519137030.01287,-16.929169512
1519137030.01337,5.98441243
1519137030.01388,2.785682913
1519137030.01438,-5.50156402
1519137030.01489,-3.74705767
1519137030.0154,13.92824793
1519137030.0159,-5.97947573
1519137030.01641,14.089356903
1519137030.01691,3.36941541
1519137030.01742,-4.3720093422
1519137030.01793,-2.0608290402
1519137030.01843,2.521406829
1519137030.01894,-8.336292504
1519137030.01944,-6.58537102
1519137030.01995,-0.908290085
1519137030.02045,-2.136361575
1519137030.02096,-5.230083406
1519137030.02146,-0.279970848
1519137030.02197,21.713983892
1519137030.02248,-0.50175715
1519137030.02298,-6.8764925
1519137030.02349,-6.31765479
1519137030.02399,3.938695925
1519137030.0245,-6.34523869654
1519137030.025,-16.418084858
1519137030.02551,-1.46479022
1519137030.02601,-19.00096988
1519137030.02652,4.573558479
1519137030.02703,13.156728981
1519137030.02753,-2.920551951
1519137030.02804,-4.9381041606
1519137030.02854,-1.210024914
1519137030.02905,8.04411888
1519137030.02955,0.95727244546
1519137030.03006,0.473789751
1519137030.03057,4.65190232
1519137030.03107,12.410202075
1519137030.03158,9.221197754
1519137030.03208,-2.33595479
1519137030.03259,-12.654239177
1519137030.03309,-9.66332599
1519137030.0336,-11.863661917
1519137030.03411,-6.590129529
1519137030.03461,-12.1997807
1519137030.03512,-14.0386070779
1519137030.03562,2.0696721
1519137030.03613,-3.73493409
1519137030.03663,5.609820868
1519137030.03714,-3.51211059
1519137030.03765,-8.40692616
1519137030.03815,-3.663502218
1519137030.03866,-11.78601789
1519137030.03916,-9.1126498
1519137030.03967,-3.924116386
1519137030.04017,12.927564035
1519137030.04068,-17.986399736
1519137030.04119,-6.502524474
1519137030.04169,4.935291415
1519137030.0422,-7.96541942
1519137030.0427,0.094102683
1519137030.04321,-16.31088519
1519137030.04371,-14.81732893
1519137030.04422,1.931149
1519137030.04472,-10.193289524
1519137030.04523,-6.86592877
1519137030.04574,1.694284078
1519137030.04624,-5.496095419
1519137030.04675,12.723396862
1519137030.04725,-6.71261227
1519137030.04776,2.33716332
1519137030.04826,-17.79156113
1519137030.04877,-4.967165171
1519137030.04927,1.668885656
1519137030.04978,-16.6557601222
1519137030.05029,0.769396255
1519137030.05079,-2.72967255
1519137030.0513,2.938447444
1519137030.0518,-8.883759827
1519137030.05231,-8.139474574
1519137030.05281,8.975261807
1519137030.05332,-21.2282116502
