ts,value
1519137101.00013,0.0265396899999999
1519137101.00063,17.91893959
1519137101.00113,4.5991202
1519137101.00163,-22.39070601
1519137101.00213,-4.97584468954
1519137101.00263,-2.477486704
1519137101.00313,5.166467822
1519137101.00363,3.64519
1519137101.00413,3.448503528
1519137101.00463,-17.041367701
1519137101.00513,1.95212292
1519137101.00563,-4.78385318
1519137101.00613,-9.48564792
1519137101.00663,3.52058507
1519137101.00713,-1.728567481
1519137101.00763,-10.958786927
1519137101.00813,15.820342305
1519137101.00863,-0.60887224
1519137101.00913,-16.08053303
1519137101.00963,-0.576767156
1519137101.01013,-23.721618467
1519137101.01063,2.68894136
1519137101.01113,4.79032445
1519137101.01163,0.536374089999999
1519137101.01213,-3.970751198
1519137101.01263,15.55872166
1519137101.01313,-8.66903663
1519137101.01363,-18.36675596
1519137101.01413,-2.446253688
1519137101.01463,-7.543465048
1519137101.01513,-21.41656019
1519137101.01563,11.165026659
1519137101.01613,8.743729119
1519137101.01663,-16.90495467
1519137101.01713,11.38687277
1519137101.01763,5.30977189
1519137101.01813,-15.597291414
1519137101.01863,-6.6870323567
1519137101.01913,7.960279555
1519137101.01963,-8.22003114
1519137101.02013,-7.983333347
1519137101.02063,-2.92437208
1519137101.02113,-25.44528056
1519137101.02163,17.571390865
1519137101.02213,5.21508189
1519137101.02263,-14.557275418
1519137101.02313,4.0762136
1519137101.02363,-8.784025017
1519137101.02413,-8.29854309
1519137101.02463,-23.4225297
1519137101.02513,-3.81811046
1519137101.02562,-12.4676032
1519137101.02612,16.09219193
1519137101.02662,10.1594997
1519137101.02712,-2.186266054
1519137101.02763,1.927911167
1519137101.02812,-6.16862143
1519137101.02862,-3.743994517
1519137101.02912,-1.587796272
1519137101.02962,-14.37769556
1519137101.03012,-0.251793159999999
1519137101.03062,2.511300388
1519137101.03112,-2.925789783
1519137101.03162,11.09173285
1519137101.03212,-5.8306517966
1519137101.03262,-5.6905892254
1519137101.03312,-8.56073106
1519137101.03362,-4.0088054075
1519137101.03412,-31.93495397
1519137101.03462,2.19376972
1519137101.03512,-4.933630351
1519137101.03562,-8.30083775
1519137101.03612,9.62718213
1519137101.03662,8.403557303
1519137101.03712,4.7535675341
1519137101.03762,-12.12705815
1519137101.03812,-12.954696137
1519137101.03862,-12.69821465
1519137101.03912,-0.43890429
1519137101.03962,6.98820483
1519137101.04012,-7.736508105
1519137101.04062,-15.30446768
1519137101.04112,3.4917205831
1519137101.04162,-7.99684835
1519137101.04212,-14.963898421
1519137101.04262,-13.921752223
1519137101.04312,-0.34958625
1519137101.04362,8.5217069291
1519137101.04412,-13.291183321
1519137101.04462,-4.00537312
1519137101.04512,-12.490873158
1519137101.04562,-10.31383705
1519137101.04612,3.597578646
1519137101.04662,0.509390856
1519137101.04712,2.40530193
1519137101.04762,-9.079033197
1519137101.04812,-16.26642632
1519137101.04862,-10.8856063
1519137101.04912,9.35943462
1519137101.04962,-2.43458855
1519137101.05012,-9.9749127132
1519137101.05062,-3.89504982
1519137101.05112,-2.47877288
1519137101.05162,7.091876737
1519137101.05212,-0.76725031
1519137101.05262,4.830752378
1519137101.05312,21.45869374
1519137101.05362,4.492013457
1519137101.05412,1.06214869
1519137101.05462,-4.152684446
1519137101.05512,3.267139313
