ts,value
1519137112.0001,0.138185352
1519137112.00061,6.314137461
1519137112.00111,-5.83385551
1519137112.00161,5.745487683
1519137112.00211,-4.18940115
1519137112.00261,3.77874541
1519137112.00311,-6.305739789
1519137112.00361,4.738148734
1519137112.00411,-10.4497776966
1519137112.00462,-4.34906256
1519137112.00512,-15.26346583
1519137112.00562,5.688479065
1519137112.00612,-5.32846455
1519137112.00662,-1.9555764859
1519137112.00712,-6.94051038
1519137112.00762,-7.58903635
1519137112.00812,5.731151254
1519137112.00862,4.19305038
1519137112.00912,-4.527325572
1519137112.00962,9.63419484
1519137112.01013,-1.95663893
1519137112.01063,-2.66190349
1519137112.01113,-9.155919791
1519137112.01163,-23.42906209
1519137112.01213,-3.451806538
1519137112.01263,-14.27191688
1519137112.01313,-3.115146852
1519137112.01363,11.66086317
1519137112.01414,8.44542658
1519137112.01464,-1.27803659
1519137112.01514,2.89458943
1519137112.01564,-20.26260782
1519137112.01614,3.74259078
1519137112.01664,13.03527406
1519137112.01714,-6.467323548
1519137112.01764,6.019986843
1519137112.01814,-5.198646779
1519137112.01864,-1.658758327
1519137112.01915,6.12427759
1519137112.01965,4.901059853
1519137112.02015,-5.171935456
1519137112.02065,-3.18051564
1519137112.02115,8.07463455
1519137112.02165,7.49952054
1519137112.02215,-25.30217079
1519137112.02265,2.33453334
1519137112.02315,-19.0652852
1519137112.02365,-8.705494409
1519137112.02416,-4.71331203
1519137112.02466,-4.53619266
1519137112.02516,6.7615608
1519137112.02566,-6.722427696
1519137112.02616,-5.05198413
1519137112.02666,-9.04734968
1519137112.02716,-16.12556088
1519137112.02766,12.183143264
1519137112.02816,10.497313115
1519137112.02867,-10.944571194
1519137112.02917,-0.545217156
1519137112.02967,-17.15998471
1519137112.03017,8.27134821
1519137112.03067,-7.85120154
1519137112.03117,-12.059949867
1519137112.03167,-11.38171911
1519137112.03217,16.71940708
1519137112.03267,-10.60908604
1519137112.03317,-0.765198
1519137112.03368,13.74489784
1519137112.03418,-2.24621248
1519137112.03468,3.272620322
1519137112.03518,5.755586083
1519137112.03568,0.741289366999998
1519137112.03618,-5.081889191
1519137112.03668,-8.62765634
1519137112.03718,-7.9169048
1519137112.03768,8.81882029
1519137112.03819,10.12184040046
1519137112.03869,-1.947160832
1519137112.03919,-11.241280738
1519137112.03969,-6.35783795
1519137112.04019,-8.11006928
1519137112.04069,-4.23106718
1519137112.04119,1.4383147189
1519137112.04169,-9.475479776
1519137112.04219,-5.38403415
1519137112.0427,-11.4204651
1519137112.0432,5.875459967
1519137112.0437,8.341347939
1519137112.0442,25.63166808
1519137112.0447,-4.973823481
1519137112.0452,13.1415875
1519137112.0457,2.8575784
1519137112.0462,4.821022152
1519137112.0467,-8.057962897
1519137112.0472,14.013673797
1519137112.04771,-7.988594003
1519137112.04821,-11.805998627
1519137112.04871,8.77883649
1519137112.04921,6.73272418
1519137112.04971,7.9518748989
1519137112.05021,7.770412389
1519137112.05071,-5.61520982
1519137112.05121,-16.758856955
1519137112.05171,10.65446937
1519137112.05222,13.438069648
1519137112.05272,10.455598355
1519137112.05322,-18.179101314
1519137112.05372,-4.713406949
1519137112.05422,-12.650551257
1519137112.05472,4.87770677
1519137112.05522,11.808581477
1519137112.05572,10.79281164
1519137112.05622,-3.70872688
1519137112.05672,10.68577505
1519137112.05722,-6.72696758
1519137112.05773,6.361161626
