ts,value
1519137016.57267,5.577320196
1519137016.57317,11.371889049
1519137016.57367,-3.099944977
1519137016.57417,11.8449868
1519137016.57468,-1.160625396
1519137016.57518,12.713864705
1519137016.57568,28.08986962
1519137016.57618,16.23257065
1519137016.57668,-9.29112553
1519137016.57718,7.778614076
1519137016.57768,-14.367786464
1519137016.57818,-18.04869031
1519137016.57869,-0.764098295
1519137016.57919,9.756868991
1519137016.57969,13.11364769
1519137016.58019,0.35950314
1519137016.58069,13.89408337
1519137016.58119,12.56092858
1519137016.58169,4.043820856
1519137016.5822,-8.608851424
1519137016.5827,3.828806517
1519137016.5832,-2.931758763
1519137016.5837,8.782861258
1519137016.5842,-7.16346001
1519137016.5847,3.53441358
1519137016.5852,3.97353602
1519137016.58571,-8.104255412
1519137016.58621,-3.43884075
1519137016.58671,11.06515741
1519137016.58721,9.19906056
1519137016.58771,2.4826789
1519137016.58821,3.115468142
1519137016.58871,10.011775208
1519137016.58922,5.204493052
1519137016.58972,3.56636763
1519137016.59022,4.348522542
1519137016.59072,2.4834933446
1519137016.59122,-3.478681738
1519137016.59172,6.139952898
1519137016.59222,11.73756659
1519137016.59272,-2.767093949
1519137016.59323,-0.236671209999999
1519137016.59373,6.4768548
1519137016.59423,-1.240298155
1519137016.59473,3.8296293
1519137016.59523,8.379895926
1519137016.59573,5.65826821
1519137016.59623,7.15227104
1519137016.59674,9.3884579
1519137016.59724,12.47306728
1519137016.59774,-0.940492573
1519137016.59824,15.87449778
1519137016.59874,16.1974225
1519137016.59924,8.0852704
1519137016.59974,5.777279294
1519137016.60024,15.83339166
1519137016.60075,6.89482855
1519137016.60125,-3.48257351
1519137016.60175,9.647762536
1519137016.60225,9.381284719
1519137016.60275,3.0185637062
1519137016.60325,11.438700524
1519137016.60375,7.519843451
1519137016.60426,6.4049864329
1519137016.60476,6.068056166
1519137016.60526,12.45171345
1519137016.60576,21.12561202
1519137016.60626,14.52768588
1519137016.60676,15.34565711
1519137016.60726,0.624144080000001
1519137016.60777,-23.86833739
1519137016.60827,6.436763551
1519137016.60877,-1.571023814
1519137016.60927,-4.17810881
1519137016.60977,7.04042112
1519137016.61027,2.82423819
1519137016.61077,-3.47733938
1519137016.61127,4.91526271
1519137016.61178,15.095860345
1519137016.61228,-0.948691849999999
1519137016.61278,16.42765534
1519137016.61328,9.947364437
1519137016.61378,14.386411286
1519137016.61428,17.6611459729
1519137016.61478,-5.046380878
1519137016.61529,6.100192273
1519137016.61579,13.07497859
1519137016.61629,6.959457668
1519137016.61679,2.63658148
1519137016.61729,-1.4277340066
1519137016.61779,12.21796274
1519137016.61829,-7.00630856
1519137016.6188,9.71010232
1519137016.6193,10.5552292
1519137016.6198,10.28609788
1519137016.6203,-8.73860299
1519137016.6208,-6.158577652
1519137016.6213,-3.8731997
1519137016.6218,13.73930884
1519137016.62231,-5.1539213867
1519137016.62281,9.53918553
1519137016.62331,0.47700144
1519137016.62381,9.599437567
1519137016.62431,4.60874427
1519137016.62481,-1.31519926
