ts,value
1519137041.0001,7.344580879
1519137041.0006,-8.09929347
1519137041.0011,-8.141301991
1519137041.0016,10.79689624
1519137041.00209,1.289493851
1519137041.00259,-7.0726585
1519137041.00309,1.898325028
1519137041.00359,9.94210814
1519137041.00409,-5.755470748
1519137041.00459,-12.82479858
1519137041.00508,-7.05026531
1519137041.00558,1.66460085
1519137041.00608,-22.11242338
1519137041.00658,-4.013753061
1519137041.00708,1.43360734
1519137041.00758,6.99547541
1519137041.00807,7.104342708
1519137041.00857,-3.511991271
1519137041.00907,4.34867238
1519137041.00957,15.472598089
1519137041.01007,-8.4482698
1519137041.01057,-13.586499365
1519137041.01106,8.37603785
1519137041.01156,7.191865862
1519137041.01206,-10.97314691
1519137041.01256,-11.748266348
1519137041.01306,7.02524069
1519137041.01356,-2.739648512
1519137041.01405,-54.32497222
1519137041.01455,-1.646608198
1519137041.01505,17.764040717
1519137041.01555,-15.514603797
1519137041.01605,-13.208937581
1519137041.01654,-5.938292747
1519137041.01704,-15.41850888
1519137041.01754,12.040006702
1519137041.01804,13.571807701
1519137041.01854,-27.16176772
1519137041.01904,-5.27353977
1519137041.01953,-5.156379993
1519137041.02003,-7.244599465
1519137041.02053,-2.519069766
1519137041.02103,-16.74926888
1519137041.02153,11.89184474
1519137041.02203,3.764815888
1519137041.02252,-5.645654889
1519137041.02302,-0.218868772200001
1519137041.02352,22.40102071
1519137041.02402,8.906425783
1519137041.02452,-5.78604579
1519137041.02502,-15.857803463
1519137041.02551,1.486855506
1519137041.02601,-15.26057106
1519137041.02651,-19.95801496
1519137041.02701,-3.033709558
1519137041.02751,14.54805342
1519137041.02801,-5.26264453
1519137041.0285,-12.8074357857
1519137041.029,1.298178918
1519137041.0295,11.84841085
1519137041.03,3.317940638
1519137041.0305,-9.55479299
1519137041.031,6.131858794
1519137041.0315,16.99525571
1519137041.03199,-9.7792187
1519137041.03249,-9.089213857
1519137041.03299,11.05403399
1519137041.03349,17.782117778
1519137041.03399,-10.36691201
1519137041.03449,4.53339601
1519137041.03498,-1.805045664
1519137041.03548,7.6395439
1519137041.03598,-5.72013927
1519137041.03648,-14.96105838
1519137041.03698,0.283617170000001
1519137041.03748,12.06435705
1519137041.03797,-3.73415947
1519137041.03847,-11.69533492
1519137041.03897,-29.6021871
1519137041.03947,16.80848813
1519137041.03997,19.452277309
1519137041.04047,-16.832612374
1519137041.04096,-14.86713816
1519137041.04146,7.86385239
1519137041.04196,42.7548282
1519137041.04246,-31.41701313
1519137041.04296,-29.77731
1519137041.04346,9.424487345
1519137041.04395,25.04687719
1519137041.04445,-7.91822025
1519137041.04495,-45.54359156
1519137041.04545,3.50596715
1519137041.04595,31.39081597
1519137041.04645,2.498839742
1519137041.04694,-30.44346349
1519137041.04744,-4.93518626
1519137041.04794,7.99114752
1519137041.04844,14.67466878
1519137041.04894,-19.8232054327
1519137041.04944,-2.5120682201
1519137041.04993,28.53606037
1519137041.05043,11.62176001
1519137041.05093,-23.48444946
1519137041.05143,-32.385618314
1519137041.05193,8.24279725
1519137041.05243,16.35916733
1519137041.05292,-27.838390894
1519137041.05342,-9.5699508774
1519137041.05392,4.9537692569
1519137041.05442,18.7820158
1519137041.05492,-19.2104281266
1519137041.05541,-30.374087205
1519137041.05591,5.51116347
1519137041.05641,16.69733238
1519137041.05691,-6.50381422
1519137041.05741,-20.38047599
1519137041.05791,-12.91475271
1519137041.0584,31.98912698
1519137041.0589,16.338581004
1519137041.0594,-22.47758198
1519137041.0599,-17.27455163
