ts,value
1519137116.00034,-1.0951182142
1519137116.00083,17.6406107
1519137116.00133,32.501661314
1519137116.00183,23.45203951
1519137116.00233,-17.55213139
1519137116.00283,-31.9830012
1519137116.00333,-33.21269234
1519137116.00383,-5.79838514
1519137116.00433,20.59635507
1519137116.00483,27.68197538
1519137116.00533,-10.52553797
1519137116.00583,-32.35238978
1519137116.00633,-46.11009346
1519137116.00682,-33.01289129
1519137116.00732,9.59762073
1519137116.00782,27.499459139
1519137116.00832,15.69321271
1519137116.00882,12.616837793
1519137116.00932,-24.00144483
1519137116.00982,-30.47643467
1519137116.01032,-2.63394034
1519137116.01082,25.452288323
1519137116.01132,46.72218612
1519137116.01181,12.897842253
1519137116.01231,-5.94268512
1519137116.01281,-38.3636656
1519137116.01331,-32.8682087
1519137116.01381,3.96621192
1519137116.01431,14.227042944
1519137116.01481,22.66376567
1519137116.01531,-4.867149832
1519137116.01581,-11.36884097
1519137116.01631,-28.2145147
1519137116.01681,-28.21029193
1519137116.0173,-5.157108697
1519137116.0178,32.241946704
1519137116.0183,26.69182466
1519137116.0188,-10.004008654
1519137116.0193,-24.5613393
1519137116.0198,-22.94546671
1519137116.0203,-20.146137655
1519137116.0208,15.85164812
1519137116.0213,25.68897824
1519137116.0218,26.20259079
1519137116.0223,-2.58450472
1519137116.0228,-34.06975031
1519137116.02329,-37.16335205
1519137116.02379,1.430828332
1519137116.02429,7.698984513
1519137116.02479,25.431777071
1519137116.02529,-12.051574772
1519137116.02579,-25.60343741
1519137116.02629,-13.55294249
1519137116.02679,-17.54580525
1519137116.02729,0.168527007
1519137116.02779,11.92325673
1519137116.02829,14.639190415
1519137116.02878,7.93016285
1519137116.02928,-7.77546501
1519137116.02978,-13.55937764
1519137116.03028,3.29532514
1519137116.03078,7.07121537
1519137116.03128,32.40256478
1519137116.03178,20.80048876
1519137116.03228,-15.231230833
1519137116.03278,-14.074050906
1519137116.03328,-8.219802356
1519137116.03378,-5.08289563
1519137116.03427,21.36615825
1519137116.03477,24.10902338
1519137116.03527,-7.0617286
1519137116.03577,-27.05277777
1519137116.03627,-33.01603144
1519137116.03677,-37.42133044
1519137116.03727,10.94589508
1519137116.03777,20.435623689
1519137116.03827,14.95834695
1519137116.03877,10.64775753
1519137116.03927,-27.76221387
1519137116.03976,0.0636508500000001
1519137116.04026,-0.652260306
1519137116.04076,15.913987694
1519137116.04126,33.727813331
1519137116.04176,15.60863948
1519137116.04226,-1.084348096
1519137116.04276,-24.66844224
1519137116.04326,-27.42342631
1519137116.04376,-14.8566793054
1519137116.04426,26.45542315
1519137116.04476,12.00137006
1519137116.04525,12.775815074
1519137116.04575,-15.458555276
1519137116.04625,-30.66691874
1519137116.04675,-19.81684847
1519137116.04725,-6.21832251
1519137116.04775,28.09891627
1519137116.04825,13.56506657
1519137116.04875,-1.424228375
1519137116.04925,1.9225969
1519137116.04975,-17.40589114
1519137116.05025,-2.36737943
1519137116.05075,20.29445592
1519137116.05125,30.08753014
1519137116.05174,15.22795987
1519137116.05224,-8.4367100022
1519137116.05274,-21.04679277
1519137116.05324,-1.88407754
1519137116.05374,-10.259414099
1519137116.05424,14.74300408
1519137116.05474,1.51287603
1519137116.05524,-4.711194278
1519137116.05574,-0.4919765
1519137116.05624,-16.38572479
1519137116.05674,-8.17924257
1519137116.05723,10.836945266
1519137116.05773,12.60580615
1519137116.05823,9.57761784
1519137116.05873,8.37053898
1519137116.05923,-12.949241703
1519137116.05973,3.93083525
1519137116.06023,-10.15173173
1519137116.06073,6.472696689
1519137116.06123,15.39525644
1519137116.06173,17.46276564
1519137116.06223,0.0562077199999997
1519137116.06272,-10.20429281
1519137116.06322,-16.87378166
1519137116.06372,-7.00732255
1519137116.06422,-3.0726149
1519137116.06472,9.693117529
1519137116.06522,14.7136263
1519137116.06572,-8.14499962
1519137116.06622,-10.64524126
1519137116.06672,-20.187102364
1519137116.06722,-1.322008607
1519137116.06772,2.47794623
1519137116.06821,0.0836429499999998
1519137116.06871,-2.32596088
1519137116.06921,-4.79742217
1519137116.06971,-3.81584549
1519137116.07021,-16.000437151
1519137116.07071,1.7386146512
1519137116.07121,11.13161755
1519137116.07171,-5.71189832
1519137116.07221,-0.934150095000001
1519137116.07271,-13.73283658
1519137116.0732,-7.57910633
1519137116.0737,7.105095598
1519137116.0742,5.60719755
1519137116.0747,1.77171207
1519137116.0752,-3.23431886
1519137116.0757,8.211921582
1519137116.0762,9.05173826
1519137116.07669,17.6846633
1519137116.07719,7.97324828
1519137116.07769,11.39583828
1519137116.07819,6.045337351
1519137116.07869,-6.50604642
1519137116.07919,-10.421358351
1519137116.07969,-0.9547051191
1519137116.08018,-8.259768311
1519137116.08068,-6.41750967
1519137116.08118,-2.480335566
1519137116.08168,9.12511551
1519137116.08218,-23.65575723
1519137116.08268,-5.82636881
1519137116.08318,-6.31876529
1519137116.08367,0.73479747
1519137116.08417,-6.567883553
1519137116.08467,-1.918323025
1519137116.08517,3.254822993
1519137116.08567,-4.8174701827
1519137116.08617,5.91847386
1519137116.08667,-4.63095248
1519137116.08716,2.65974521
1519137116.08766,10.56369043
1519137116.08816,-3.266581595
1519137116.08866,-4.035857495
1519137116.08916,12.077494556
1519137116.08966,11.02611756
