ts,value
1519136967.00022,-9544.52857
1519136967.00072,-9544.63818
1519136967.00122,-9545.37878
1519136967.00172,-9541.87427
1519136967.00223,-9545.67285
1519136967.00273,-9537.14526
1519136967.00323,-9549.06957
1519136967.00373,-9542.99011
1519136967.00423,-9541.47803
1519136967.00473,-9559.62696
1519136967.00524,-9537.63013
1519136967.00574,-9554.85974
1519136967.00624,-9543.54919
1519136967.00674,-9548.21009
1519136967.00724,-9553.53601
1519136967.00775,-9537.22047
1519136967.00825,-9554.06689
1519136967.00875,-9552.27709
1519136967.00925,-9535.05188
1519136967.00975,-9541.77221
1519136967.01025,-9556.38623
1519136967.01075,-9550.2931
1519136967.01126,-9547.3169
1519136967.01176,-9532.10181
1519136967.01226,-9553.82214
1519136967.01276,-9543.6217
1519136967.01326,-9555.36669
1519136967.01377,-9543.36083
1519136967.01427,-9559.12696
1519136967.01477,-9576.59131
1519136967.01527,-9531.33105
1519136967.01577,-9553.09448
1519136967.01627,-9551.45678
1519136967.01678,-9530.58094
1519136967.01728,-9551.19617
1519136967.01778,-9547.5498
1519136967.01828,-9561.63049
1519136967.01878,-9531.70203
1519136967.01929,-9539.15393
1519136967.01979,-9544.00231
1519136967.02029,-9546.64722
1519136967.02079,-9548.14843
1519136967.02129,-9548.8048
1519136967.0218,-9550.40881
1519136967.0223,-9536.44018
1519136967.0228,-9532.37695
1519136967.0233,-9554.484
1519136967.0238,-9542.36658
1519136967.0243,-9539.41675
1519136967.02481,-9544.56055
1519136967.02531,-9549.151
1519136967.02581,-9539.22497
1519136967.02631,-9546.49596
1519136967.02681,-9555.47852
1519136967.02731,-9530.35705
1519136967.02782,-9550.41161
1519136967.02832,-9526.99988
1519136967.02882,-9537.47315
1519136967.02932,-9506.83777
1519136967.02982,-9549.06812
1519136967.03033,-9527.65918
1519136967.03083,-9538.33312
1519136967.03133,-9547.61792
1519136967.03183,-9559.06969
1519136967.03233,-9547.91467
1519136967.03284,-9546.49609
1519136967.03334,-9546.53063
1519136967.03384,-9541.04822
1519136967.03434,-9537.2544
1519136967.03484,-9530.57544
1519136967.03534,-9557.64747
1519136967.03585,-9532.77917
1519136967.03635,-9534.6698
1519136967.03685,-9550.1482
1519136967.03735,-9549.40528
1519136967.03785,-9538.51428
1519136967.03835,-9538.73449
1519136967.03886,-9539.37096
1519136967.03936,-9532.4917
1519136967.03986,-9553.31567
1519136967.04036,-9537.78271
1519136967.04086,-9545.68481
1519136967.04136,-9534.41102
1519136967.04187,-9551.22486
1519136967.04237,-9559.54932
1519136967.04287,-9556.40954
1519136967.04337,-9548.21094
1519136967.04387,-9542.72266
1519136967.04438,-9540.71631
1519136967.04488,-9548.39368
1519136967.04538,-9543.92651
1519136967.04588,-9533.3872
1519136967.04638,-9537.84546
1519136967.04689,-9537.32605
1519136967.04739,-9531.36866
1519136967.04789,-9546.68287
1519136967.04839,-9538.55749
1519136967.04889,-9532.41333
1519136967.04939,-9527.60144
1519136967.0499,-9545.46289
1519136967.0504,-9539.79456
1519136967.0509,-9537.92285
1519136967.0514,-9532.99218
1519136967.0519,-9541.90027
1519136967.05241,-9547.5725
1519136967.05291,-9524.87218
1519136967.05341,-9553.73414
1519136967.05391,-9530.80639
1519136967.05441,-9539.18603
1519136967.05491,-9551.9436
1519136967.05542,-9536.44153
1519136967.05592,-9540.38904
1519136967.05642,-9525.6139
1519136967.05692,-9541.79724
1519136967.05742,-9532.88574
1519136967.05792,-9545.25244
1519136967.05843,-9543.73951
1519136967.05893,-9549.89099
1519136967.05943,-9546.74866
1519136967.05993,-9542.05896
1519136967.06043,-9527.77636
1519136967.06094,-9539.41798
1519136967.06144,-9548.96533
1519136967.06194,-9537.92358
1519136967.06244,-9542.78308
1519136967.06294,-9558.43238
1519136967.06344,-9544.39441
1519136967.06395,-9547.75769
1519136967.06445,-9537.24401
1519136967.06495,-9556.27001
1519136967.06545,-9543.92785
1519136967.06595,-9535.01269
1519136967.06646,-9545.44714
1519136967.06696,-9545.01403
1519136967.06746,-9550.86951
1519136967.06796,-9524.68298
1519136967.06846,-9550.00305
1519136967.06896,-9534.5985
1519136967.06947,-9533.89258
1519136967.06997,-9540.6427
1519136967.07047,-9545.6383
1519136967.07097,-9520.40503
1519136967.07147,-9535.6106
1519136967.07197,-9551.11474
1519136967.07248,-9538.51893
1519136967.07298,-9545.18493
1519136967.07347,-9521.90063
1519136967.07397,-9547.16761
1519136967.07447,-9531.9967
1519136967.07497,-9533.41321
1519136967.07547,-9539.26733
1519136967.07597,-9545.29895
1519136967.07647,-9543.21094
1519136967.07697,-9534.86389
1519136967.07747,-9538.96802
1519136967.07797,-9516.49365
1519136967.07847,-9539.49133
1519136967.07897,-9525.73474
1519136967.07947,-9550.74207
1519136967.07997,-9538.49525
1519136967.08047,-9534.1637
1519136967.08097,-9544.59618
1519136967.08147,-9536.87953
1519136967.08197,-9541.52722
1519136967.08247,-9535.51049
1519136967.08297,-9546.57203
1519136967.08347,-9547.24743
1519136967.08397,-9527.11242
1519136967.08447,-9541.19458
1519136967.08497,-9538.03639
1519136967.08547,-9535.16346
