ts,value
1519137105.00009,-16.846896272
1519137105.00059,-1.692824717
1519137105.00109,24.25202438
1519137105.00159,0.511632123
1519137105.00209,-13.29895545
1519137105.00259,-5.17678747
1519137105.00309,-4.75856471
1519137105.00359,7.291521902
1519137105.00409,2.853466276
1519137105.00458,2.543634118
1519137105.00508,-3.33511163
1519137105.00558,-1.13788105
1519137105.00608,13.145089332
1519137105.00658,5.873981328
1519137105.00708,-7.3575286922
1519137105.00758,-11.80941212
1519137105.00808,8.527146521
1519137105.00858,20.298767686
1519137105.00908,-6.8775271306
1519137105.00957,-4.532058844
1519137105.01007,-10.14093538
1519137105.01057,-0.364649049999999
1519137105.01107,4.23913288
1519137105.01157,14.423522886
1519137105.01207,-14.60195208
1519137105.01257,2.81474138
1519137105.01307,8.001744092
1519137105.01357,3.685013615
1519137105.01407,18.672376362
1519137105.01456,3.511452824
1519137105.01506,-20.7978352054
1519137105.01556,9.44111908
1519137105.01606,-9.10124635
1519137105.01656,6.142806524
1519137105.01706,-8.89053857
1519137105.01756,-26.19552754
1519137105.01806,-34.9566312
1519137105.01856,-7.698280512
1519137105.01906,5.544822102
1519137105.01955,2.41811454
1519137105.02005,-2.146518
1519137105.02055,-11.32376551
1519137105.02105,4.52895671
1519137105.02155,30.523805589
1519137105.02205,26.20899475
1519137105.02255,-11.244168105
1519137105.02305,-11.72527266
1519137105.02355,-14.26932026
1519137105.02405,20.4076066
1519137105.02455,22.81158543
1519137105.02504,-1.778865273
1519137105.02554,-39.19691373
1519137105.02604,-21.87836166
1519137105.02654,-4.153042797
1519137105.02704,12.18905497
1519137105.02754,5.28602224
1519137105.02804,-13.255165902
1519137105.02854,-6.28862357
1519137105.02904,14.33851577
1519137105.02954,34.65812487
1519137105.03004,10.44122181
1519137105.03053,1.99160218
1519137105.03103,-18.48784877
1519137105.03153,-12.591285382
1519137105.03203,-1.242339553
1519137105.03253,16.98527408
1519137105.03303,-8.26344253
1519137105.03353,-29.29814344
1519137105.03403,-32.4776747
1519137105.03453,7.170694196
1519137105.03502,34.13849065
1519137105.03552,6.281823188
1519137105.03602,-20.973877784
1519137105.03652,-13.040170746
1519137105.03702,13.916224391
1519137105.03752,40.07262707
1519137105.03802,30.345396281
1519137105.03852,5.944283656
1519137105.03902,-26.72534801
1519137105.03952,-17.6988144
1519137105.04002,-8.897854033
1519137105.04051,19.04656539
1519137105.04101,16.1441865
1519137105.04151,-18.29705148
1519137105.04201,-45.85706465
1519137105.04251,-30.49867154
1519137105.04301,-3.89147872
1519137105.04351,33.16967394
1519137105.04401,15.693344069
1519137105.04451,-15.33665754
1519137105.04501,-8.26547098
1519137105.0455,-14.5581883919
1519137105.046,35.8971601
1519137105.0465,28.551123439
1519137105.047,12.206541841
1519137105.0475,-21.4903729
1519137105.048,-25.79812672
1519137105.0485,-2.100309076
1519137105.049,4.012826367
1519137105.0495,17.393805504
1519137105.05,-27.72743364
1519137105.0505,-34.3395568
1519137105.051,-15.58294432
1519137105.05149,-0.3412817566
1519137105.05199,20.46913958
1519137105.05249,16.355535761
1519137105.05299,-16.81329637
1519137105.05349,-10.92770052
1519137105.05399,-8.558920508
1519137105.05449,24.56712871
1519137105.05499,20.20614723
1519137105.05549,16.054152375
1519137105.05599,-22.3475647
1519137105.05648,-9.57398989
1519137105.05698,-10.21230416
1519137105.05748,10.280602873
1519137105.05798,7.486512095
1519137105.05848,-23.948979956
1519137105.05898,-30.11402246
1519137105.05948,-37.94544477
1519137105.05998,-4.526310296
1519137105.06048,33.213895343
1519137105.06098,30.93932826
1519137105.06147,-4.970808327
1519137105.06197,-20.11891553
1519137105.06247,-6.844540894
1519137105.06297,-7.66129401
1519137105.06347,33.62621595
1519137105.06397,33.47631594
1519137105.06447,-9.04751014
1519137105.06497,-26.50320095
1519137105.06547,-29.17924571
1519137105.06597,18.324483752
1519137105.06647,25.86602258
1519137105.06696,7.7427119
1519137105.06746,-29.43897198
1519137105.06796,-27.76173835
1519137105.06846,-36.75007746
1519137105.06896,9.26984954
1519137105.06946,21.468866776
1519137105.06996,6.14166843
1519137105.07046,-23.99645014
1519137105.07096,-27.92274853
1519137105.07146,5.683649652
1519137105.07196,19.849758937
1519137105.07246,29.853838409
1519137105.07296,26.684856079
1519137105.07346,-16.720947287
1519137105.07396,-30.38300364
1519137105.07446,-10.755770246
1519137105.07496,-0.1528841391
1519137105.07546,21.163340939
1519137105.07597,3.122802201
1519137105.07647,-26.64388303
1519137105.07697,-42.09373375
1519137105.07747,-21.43277546
1519137105.07797,2.03455412
1519137105.07847,25.11798325
1519137105.07897,13.960443426
1519137105.07947,-11.45413209
1519137105.07997,-24.52100039
1519137105.08048,-33.61456135
