ts,value
1519137093.00034,-24.5594577
1519137093.00084,-8.59795368
1519137093.00134,0.320175644
1519137093.00184,1.218389868
1519137093.00234,1.9474925767
1519137093.00284,-9.2729423108
1519137093.00334,-0.0522308300000001
1519137093.00384,-10.76296938
1519137093.00434,-9.2683807
1519137093.00484,22.69022184
1519137093.00534,-11.72480691
1519137093.00584,-2.44178212
1519137093.00634,-14.148175352
1519137093.00684,8.772043592
1519137093.00734,-2.64579496
1519137093.00784,1.86964893
1519137093.00834,-6.272112735
1519137093.00884,-12.24726354
1519137093.00934,-10.1332166
1519137093.00984,-2.14343673
1519137093.01034,-3.117324716
1519137093.01084,16.26964956
1519137093.01134,-8.634745123
1519137093.01184,3.11920619
1519137093.01234,-22.84526917
1519137093.01284,-12.094978386
1519137093.01333,4.30558968
1519137093.01383,3.60747451
1519137093.01433,-13.84419537
1519137093.01483,-0.2655757833
1519137093.01533,-9.72052591
1519137093.01583,-17.202507791
1519137093.01633,2.32130933
1519137093.01683,7.9612796109
1519137093.01733,3.399815796
1519137093.01783,5.00561952
1519137093.01833,-6.35303902
1519137093.01883,-1.02930784
1519137093.01933,-9.803414834
1519137093.01983,-7.545616654
1519137093.02033,2.181131606
1519137093.02083,-3.04902668
1519137093.02133,9.11124396
1519137093.02183,4.074997905
1519137093.02233,-2.5633618422
1519137093.02283,4.76164746
1519137093.02333,0.64372299
1519137093.02383,18.05797315
1519137093.02432,3.7395241413
1519137093.02482,-12.477830173
1519137093.02533,-8.00688016
1519137093.02582,-10.23043216
1519137093.02632,-0.57740103
1519137093.02682,-16.39063383
1519137093.02732,0.87427222
1519137093.02782,-14.4280711731
1519137093.02832,-16.496127853
1519137093.02882,-15.97834754
1519137093.02932,-17.468860061
1519137093.02982,11.2738273
1519137093.03032,-5.134346477
1519137093.03082,1.31751418
1519137093.03132,-4.112794212
1519137093.03182,3.261708851
1519137093.03232,-14.967433902
1519137093.03282,-10.784897688
1519137093.03332,-8.36085094
1519137093.03382,-19.483644047
1519137093.03432,9.44896483
1519137093.03482,6.02142275
