ts,value
1519137049.00017,-14.73070002
1519137049.00067,1.00226545
1519137049.00117,10.39503216
1519137049.00167,-10.46159577
1519137049.00217,-34.51001593
1519137049.00267,-7.441035738
1519137049.00317,31.227394971
1519137049.00366,24.265224849
1519137049.00416,-24.51819554
1519137049.00466,-21.4294934
1519137049.00516,3.260726455
1519137049.00566,34.03225066
1519137049.00616,32.23454809
1519137049.00666,-17.4394669
1519137049.00716,-35.03388691
1519137049.00766,-3.402266737
1519137049.00815,15.18316864
1519137049.00865,-3.59801412
1519137049.00915,-27.36487917
1519137049.00965,-26.08675245
1519137049.01015,-3.828078252
1519137049.01065,17.45215412
1519137049.01115,4.762874809
1519137049.01165,-20.228194876
1519137049.01215,1.46592176
1519137049.01264,3.95067703
1519137049.01314,39.6804657
1519137049.01364,13.70448028
1519137049.01414,-32.68055001
1519137049.01464,-23.397993046
1519137049.01514,14.19762826
1519137049.01564,26.98333691
1519137049.01614,-11.053819035
1519137049.01663,-45.91311567
1519137049.01713,-28.17072695
1519137049.01763,-1.343752716
1519137049.01813,37.171012925
1519137049.01863,0.39339745
1519137049.01913,-24.77183248
1519137049.01963,-4.74925207
1519137049.02013,26.582285394
1519137049.02063,33.74363514
1519137049.02113,8.91101551
1519137049.02162,-34.92862413
1519137049.02212,-26.70779111
1519137049.02262,16.81027842
1519137049.02312,27.094029988
1519137049.02362,1.606049623
1519137049.02412,-37.22746379
1519137049.02462,-25.3798443
1519137049.02512,6.47174966
1519137049.02561,20.198066527
1519137049.02611,-1.014122126
1519137049.02661,-24.55050253
1519137049.02711,-12.1628561771
1519137049.02761,31.61192867
1519137049.02811,34.66263149
1519137049.02861,27.61720636
1519137049.02911,-22.3242929
1519137049.02961,-29.99634656
1519137049.0301,-6.04999876
1519137049.0306,29.08305047
1519137049.0311,0.695504419999999
1519137049.0316,-27.905360148
1519137049.0321,-33.96328979
1519137049.0326,-24.48161073
1519137049.0331,24.11844563
1519137049.0336,19.2582781
1519137049.0341,6.879967684
1519137049.0346,-16.38739104
1519137049.03509,-17.62470178
1519137049.03559,31.24261142
1519137049.03609,35.31473303
1519137049.03659,2.343474987
1519137049.03709,-23.0599374
1519137049.03759,-18.18143845
1519137049.03809,19.879657574
1519137049.03859,34.8126662
1519137049.03908,-11.52440929
1519137049.03958,-20.56784173
1519137049.04008,-35.73223202
1519137049.04058,-4.078589315
1519137049.04108,31.98329068
1519137049.04158,27.31873765
1519137049.04208,-16.308258875
1519137049.04258,-33.3627407
1519137049.04308,13.96440791
1519137049.04358,31.34853542
1519137049.04407,42.95255718
1519137049.04457,1.770972547
1519137049.04507,-28.05211957
1519137049.04557,-19.03163894
1519137049.04607,5.310690046
1519137049.04657,31.53536464
1519137049.04707,12.586408388
1519137049.04757,-25.30240944
1519137049.04806,-33.81209659
1519137049.04856,-13.3999325
1519137049.04906,21.91221079
1519137049.04956,16.09553314
1519137049.05006,1.893385828
1519137049.05056,-26.23137475
1519137049.05106,-26.00545052
1519137049.05156,8.75496456
1519137049.05206,31.205556676
1519137049.05255,15.464025371
1519137049.05305,-17.280263189
1519137049.05355,-26.38132362
1519137049.05405,6.357964938
1519137049.05455,27.69917818
1519137049.05505,18.69665035
1519137049.05555,-3.884666262
1519137049.05605,-33.28386252
1519137049.05655,-18.399071315
1519137049.05704,13.600181935
1519137049.05754,22.02938456
1519137049.05804,7.15415603
1519137049.05854,-1.62083722
1519137049.05904,-25.29628324
1519137049.05954,12.845939577
1519137049.06004,21.27633951
1519137049.06054,12.49295232
1519137049.06104,-2.31857716
1519137049.06153,-21.30694281
1519137049.06203,-1.46709752
1519137049.06253,-20.850663689
1519137049.06303,15.04596842
1519137049.06353,12.93152535
1519137049.06403,-17.23890328
1519137049.06453,-25.10271629
1519137049.06503,-7.41278069
1519137049.06553,13.968399533
1519137049.06603,12.226195744
1519137049.06652,-10.151541772
1519137049.06702,-8.139190496
1519137049.06752,-14.47801217
1519137049.06802,10.685529294
1519137049.06852,30.09175182
1519137049.06902,12.526398525
1519137049.06952,17.160997204
1519137049.07002,-17.58386036
1519137049.07051,-18.29161718
1519137049.07101,5.281862385
