ts,value
1536322849.00037,-2.79437931
1536322849.00087,16.45900578
1536322849.00137,14.34433747
1536322849.00187,-21.158969157
1536322849.00237,-5.04106244
1536322849.00287,-3.18313317
1536322849.00337,23.50944964
1536322849.00386,13.891542449
1536322849.00436,16.71604633
1536322849.00486,10.69668102
1536322849.00536,-12.75071805
1536322849.00586,0.615893379999999
1536322849.00636,5.72335772
1536322849.00686,6.76590872
1536322849.00736,-6.42452288
1536322849.00785,1.73932935
1536322849.00835,-4.88845823
1536322849.00885,-14.99182126
1536322849.00935,27.49509523
1536322849.00985,8.89541105
1536322849.01035,-9.75572877
1536322849.01085,-18.31695511
1536322849.01135,-10.229526
1536322849.01185,15.38579624
1536322849.01235,26.8214531
1536322849.01284,-0.98488618
1536322849.01334,-16.88127109
1536322849.01384,-21.5976403
1536322849.01434,-2.96796727
1536322849.01484,27.98709772
1536322849.01534,21.17225363
1536322849.01584,-24.83926859
1536322849.01634,-22.75364212
1536322849.01683,-14.41102589
1536322849.01733,4.380822492
1536322849.01783,25.07753461
1536322849.01833,19.07703967
1536322849.01883,-12.92375897
1536322849.01933,-19.74226762
1536322849.01983,9.97267414
1536322849.02033,14.57062313
1536322849.02082,12.35947368
1536322849.02132,-25.54004243
1536322849.02182,-15.86053248
1536322849.02232,-18.320603302
1536322849.02282,15.388165567
1536322849.02332,16.16167925
1536322849.02382,6.65425585
1536322849.02432,-3.10849522
1536322849.02481,-23.80336427
1536322849.02531,-4.4436283
1536322849.02581,15.6853371
1536322849.02631,25.32252953
1536322849.02681,-10.56393602
1536322849.02731,-18.30875333
1536322849.02781,-5.8648805
1536322849.02831,9.60561228
1536322849.02881,11.65731865
1536322849.0293,-5.83688645
1536322849.0298,-9.52133585
1536322849.0303,-19.397731961
1536322849.0308,-9.67932248
1536322849.0313,34.84194275
1536322849.0318,21.24804546
1536322849.0323,-11.35307719
1536322849.0328,-21.76489444
1536322849.03329,-6.6537346033
1536322849.03379,21.2395737803
1536322849.03429,43.34102721
1536322849.03479,13.380002951
1536322849.03529,-14.45025112
1536322849.03579,-28.1690579
1536322849.03629,0.799963190000001
1536322849.03679,24.43835542
1536322849.03729,40.2868443
1536322849.03778,6.02156111
1536322849.03828,-38.97316557
1536322849.03878,-26.4529638
1536322849.03928,22.69798371
1536322849.03978,27.2754946
1536322849.04028,20.26736477
1536322849.04078,-5.6078439
1536322849.04128,-48.643260998
1536322849.04178,-2.69776293
1536322849.04227,-6.07712928
1536322849.04277,10.58741762
1536322849.04327,10.16031265
1536322849.04377,-36.88997646
1536322849.04427,-14.89516307
1536322849.04477,-3.17723463
1536322849.04527,18.44466256
1536322849.04577,5.951989404
1536322849.04626,-4.1817431
1536322849.04676,-34.44373411
1536322849.04726,-11.56980278
1536322849.04776,9.4740753
1536322849.04826,32.60708808
1536322849.04876,11.19904332
1536322849.04926,-13.79404305
1536322849.04976,-31.06032996
1536322849.05026,-5.16869856
1536322849.05075,24.89511677
1536322849.05125,20.348451111
1536322849.05175,-19.62203839
1536322849.05225,-22.7564687
1536322849.05275,-9.52665928
1536322849.05325,21.90033775
1536322849.05375,18.02844484
1536322849.05425,14.18445225
1536322849.05475,-24.13844491
1536322849.05524,-28.2172894
1536322849.05574,-3.10921711
1536322849.05624,26.23470122
1536322849.05674,18.70836363
1536322849.05724,5.9448133
1536322849.05774,-8.854846476
1536322849.05824,-23.79906935
1536322849.05874,-2.29382679
1536322849.05924,21.29004502
1536322849.05973,14.08955667
1536322849.06023,-26.14668961
1536322849.06073,-8.96782463
1536322849.06123,5.3977098
1536322849.06173,16.76329877
1536322849.06223,14.983596849
1536322849.06273,-0.700233391999999
1536322849.06323,-12.02288957
1536322849.06372,-29.28610423
1536322849.06422,8.74510608
1536322849.06472,25.127903408
1536322849.06522,12.881445506
1536322849.06572,-16.38640737
1536322849.06622,-26.72015572
1536322849.06672,-10.324827483
1536322849.06722,23.85258385
1536322849.06772,25.97603322
1536322849.06821,14.825532227
1536322849.06871,-28.31023545
1536322849.06921,-30.66139169
1536322849.06971,12.90020274
1536322849.07021,29.08534294
1536322849.07071,13.00746678
1536322849.07121,-2.77547268
1536322849.07171,-22.28207109
1536322849.0722,-5.72053284
1536322849.0727,0.320520725000002
1536322849.0732,37.41907882
1536322849.0737,6.58663798
1536322849.0742,0.94626724
1536322849.0747,-11.87637281
1536322849.0752,-7.21240948
1536322849.0757,17.00764456
1536322849.0762,10.21664237
1536322849.07669,-11.427728745
1536322849.07719,-14.2565118
1536322849.07769,8.74021842
1536322849.07819,8.75463199
1536322849.07869,18.666261004
1536322849.07919,9.01382305
1536322849.07969,-21.49677584
1536322849.08019,-16.91146663
1536322849.08069,-7.88153928
1536322849.08119,16.41974954
1536322849.08169,26.72749617
1536322849.08219,-3.02879333
1536322849.08269,-4.7387335231
1536322849.08318,2.5503469
1536322849.08369,22.35731122
1536322849.08418,23.483295585
1536322849.08468,4.31711725
1536322849.08518,-19.250009569
1536322849.08568,-22.8667611233
1536322849.08618,-25.511561295
1536322849.08668,10.91686334
1536322849.08718,-0.341749579999998
1536322849.08768,-18.312257224
1536322849.08818,-15.15792278
1536322849.08868,-24.50740965
1536322849.08918,2.93360041
1536322849.08968,9.12688298
1536322849.09018,25.64455748
1536322849.09068,-22.7237865
1536322849.09117,-8.55689308
1536322849.09167,-8.62540294
1536322849.09217,15.04210903
1536322849.09267,3.34332992
1536322849.09317,16.0218458
1536322849.09367,-21.07202197
1536322849.09417,-22.92567111
1536322849.09467,-3.42998224
1536322849.09517,12.1503618
1536322849.09567,-1.2708483
1536322849.09617,-17.50380019
1536322849.09667,-17.86962573
1536322849.09717,-11.3007212
1536322849.09767,-10.44507071
1536322849.09817,-2.16672036
1536322849.09866,7.88226794
1536322849.09916,0.440189370000001
1536322849.09966,16.09178444
1536322849.10016,-9.03129868
1536322849.10066,8.65321727
1536322849.10116,0.0976045200000009
1536322849.10166,0.774188520000001
1536322849.10216,1.3538143
1536322849.10266,2.07444857
1536322849.10316,-5.41232307
1536322849.10366,19.0307931
1536322849.10416,3.08469059
1536322849.10466,-10.86846236
1536322849.10515,4.41173961
1536322849.10565,2.3446913
1536322849.10615,-1.57301283
1536322849.10665,1.63288926
1536322849.10715,3.90010263
1536322849.10765,-10.723337418
1536322849.10815,-21.45740607
1536322849.10865,-1.4313312
1536322849.10915,3.31175944
1536322849.10965,14.64064006
1536322849.11015,-7.655689
1536322849.11065,-11.47267865
1536322849.11115,-6.79115338
1536322849.11165,6.22482495
1536322849.11215,-5.56198503
1536322849.11264,-4.36400028
1536322849.11314,-7.479450346
1536322849.11364,-12.77504253
1536322849.11414,8.85752974
1536322849.11464,22.21419691
1536322849.11514,11.2982083
1536322849.11564,0.8320746
1536322849.11614,-4.762288726
1536322849.11664,7.93259096
1536322849.11714,-1.31125786
1536322849.11764,2.1225051
1536322849.11814,7.13598778
1536322849.11864,3.10796642
1536322849.11914,-15.938222333
1536322849.11964,-14.02765136
1536322849.12014,-3.06449223
1536322849.12063,-4.06609347
1536322849.12113,-1.61711501
1536322849.12163,1.21025562
1536322849.12213,8.50868703
1536322849.12263,-1.65355484
1536322849.12313,5.24722812
1536322849.12363,5.3205781
1536322849.12413,16.72173849
1536322849.12463,8.8502554317
1536322849.12513,-1.65994406
1536322849.12563,-18.01768726
1536322849.12613,-5.05417489
1536322849.12663,10.94142634
1536322849.12713,14.03269455
1536322849.12762,-1.214254005
1536322849.12812,4.53110791
1536322849.12862,1.62675717
1536322849.12912,-3.48042111
1536322849.12962,-1.65361021
1536322849.13012,23.24836082
1536322849.13062,12.20492885
1536322849.13112,-13.43561102
1536322849.13162,-12.9426364
1536322849.13212,-3.40266572
1536322849.13262,-7.84302574
1536322849.13312,-5.98098275
1536322849.13362,-1.02374936
1536322849.13411,-15.77393149
1536322849.13461,2.84937763
1536322849.13511,6.6507268
