ts,value
1536316959.00041,0.31636456
1536316959.00091,2.793244421
1536316959.00141,7.55932091
1536316959.00191,0.987461090000002
1536316959.00241,1.32237028
1536316959.00291,-0.818952499999998
1536316959.00341,-7.05058236
1536316959.00391,-2.28889175
1536316959.00441,16.393752306
1536316959.00491,-2.35821083
1536316959.00541,-11.98771814
1536316959.00591,-9.08123818
1536316959.00641,-7.11656427
1536316959.00691,4.125326015
1536316959.00741,4.49241639
1536316959.00791,-13.36065338
1536316959.00841,-15.83879309
1536316959.00891,3.14794592
1536316959.00941,-14.85560898
1536316959.00992,14.159022208
1536316959.01042,-15.56239961
1536316959.01092,-11.44019791
1536316959.01142,-11.46460172
1536316959.01192,17.70474503
1536316959.01242,-1.98294026
1536316959.01292,2.48421665
1536316959.01342,-6.65832134
1536316959.01392,-19.29388669
1536316959.01442,-1.43453984
1536316959.01492,1.066719128
1536316959.01542,10.169623875
1536316959.01592,-4.2023878
1536316959.01642,-5.39262486
1536316959.01692,-11.161509133
1536316959.01742,-9.78768202
1536316959.01792,-7.72284292
1536316959.01842,-19.210991614
1536316959.01892,0.69991695
1536316959.01942,12.88279767
1536316959.01992,-7.062865477
1536316959.02043,-20.929200685
1536316959.02093,-14.144471681
1536316959.02143,-8.7515059
1536316959.02193,9.44970938
1536316959.02243,8.93607336
1536316959.02293,-4.57642227
1536316959.02343,-25.06724291
1536316959.02393,-15.04071261
1536316959.02443,6.47352478
1536316959.02493,4.18957145
1536316959.02543,1.69145682
1536316959.02593,-9.55613348
1536316959.02643,-2.28461215
1536316959.02693,-21.5599003
1536316959.02743,9.02657989
1536316959.02793,8.48653868
1536316959.02843,-11.02677678
1536316959.02893,-17.88109545
1536316959.02943,-17.49550999
1536316959.02993,-8.847832627
1536316959.03043,9.89124247
1536316959.03094,-5.72905827
1536316959.03144,2.81326772
1536316959.03194,-4.67951347
1536316959.03244,-6.72602606
1536316959.03294,-23.05522509
1536316959.03344,4.30821376
1536316959.03394,-12.14918132
1536316959.03444,-19.5467985
1536316959.03494,-9.99931338
1536316959.03544,-13.20569539
1536316959.03594,22.26034467
1536316959.03644,3.07088946
1536316959.03694,5.83227158
1536316959.03744,-8.16985965
1536316959.03794,-4.20125484
1536316959.03844,3.011137
1536316959.03894,6.60903738
1536316959.03944,-3.77305937
1536316959.03994,-19.354183386
1536316959.04044,-19.13296005
1536316959.04094,-17.35289239
1536316959.04145,6.846004855
1536316959.04194,2.078355927
1536316959.04245,-0.0936355599999992
1536316959.04295,-21.40703992
1536316959.04345,-23.98019936
1536316959.04395,13.1953543873
1536316959.04445,16.01263234
1536316959.04495,2.74834155
1536316959.04545,-17.13198185
1536316959.04595,-25.20882248
1536316959.04645,0.57327707
1536316959.04695,-4.30649708
1536316959.04745,13.58584646
1536316959.04795,14.78704545334
1536316959.04845,-9.69733851
1536316959.04895,-21.559908861
1536316959.04945,6.35062647
1536316959.04995,0.322966170000001
1536316959.05045,2.7087935
1536316959.05095,-7.35526086
1536316959.05145,-31.92156987
1536316959.05195,-12.68579635
1536316959.05246,13.85238719
1536316959.05296,3.301803887
1536316959.05346,0.91225719
1536316959.05396,-10.41166412
1536316959.05446,-10.37797003
1536316959.05496,7.21182725
1536316959.05546,7.069309465
1536316959.05596,10.22551918
1536316959.05646,-17.08795594
1536316959.05696,-14.58210082
1536316959.05746,-5.84057376
1536316959.05796,9.718277261
1536316959.05846,16.74957633
1536316959.05896,3.44616703
1536316959.05946,-18.14592179
1536316959.05996,-23.917146609
1536316959.06046,-1.7744486982
1536316959.06096,-4.92527405
1536316959.06146,10.01809695
1536316959.06196,2.48539253
1536316959.06247,-22.7182562
1536316959.06297,-12.18331047
1536316959.06347,22.69330216
1536316959.06397,7.21321346
1536316959.06447,9.34090182
1536316959.06497,-13.72991205
1536316959.06547,-30.76737848
1536316959.06597,-12.9629135
1536316959.06647,24.822509976
1536316959.06697,18.6665597383
1536316959.06747,-9.407780651
1536316959.06797,-25.41121671
1536316959.06847,-23.35257771
1536316959.06897,13.03790605
1536316959.06947,23.88846149
1536316959.06997,10.12137772
1536316959.07047,-14.11841103
1536316959.07097,-21.1485801
1536316959.07147,6.10436341
1536316959.07197,23.76720646
1536316959.07248,33.20275687
1536316959.07298,-5.71884033
1536316959.07348,-34.40088612
1536316959.07398,-13.37055727
1536316959.07448,-13.60754275
1536316959.07498,15.504655216
1536316959.07548,8.43661931
1536316959.07598,-20.44699905
1536316959.07648,-22.61226986
1536316959.07698,-38.393297385
1536316959.07748,2.1131797
1536316959.07798,22.24214753
1536316959.07848,6.17676571
1536316959.07898,-34.4633313
1536316959.07948,-29.26487733
1536316959.07998,2.567432618
1536316959.08048,8.48511214
1536316959.08098,18.35934584
1536316959.08149,-26.260289833
1536316959.08199,-33.312994464
1536316959.08249,-8.47860786
1536316959.08299,8.93241858
1536316959.08349,12.02345642
1536316959.08399,-4.37577223
1536316959.08449,-18.6229348
1536316959.08499,-32.52587539
1536316959.08549,-10.99098064
1536316959.08599,14.34640642
1536316959.08649,15.15743467
1536316959.08699,-19.26565599
1536316959.08749,-32.79411129
1536316959.08799,-11.278821
1536316959.08849,13.89680838
1536316959.08899,36.30438361
1536316959.0895,2.48335309
1536316959.09,-29.17351989
1536316959.0905,-22.46562172
1536316959.091,-9.47957536
1536316959.0915,19.67607207
1536316959.092,-1.99441836
1536316959.0925,-26.48765371
1536316959.093,-28.28570971
1536316959.0935,-34.83737848
1536316959.094,5.544218989
1536316959.0945,12.738128369
1536316959.095,3.11614084
1536316959.0955,-16.465122884
1536316959.096,-51.718884905
1536316959.0965,-26.178069371
1536316959.097,9.74174845
1536316959.0975,15.80554409
1536316959.09801,-8.931883887
1536316959.09851,-31.58774137
1536316959.09901,-34.461505267
1536316959.09951,-5.908179267
1536316959.10001,19.7408898
1536316959.10051,11.51635936
1536316959.10101,-11.20712138
1536316959.10151,-38.30732677
1536316959.10201,-21.531080572
1536316959.10251,-0.0101272999999997
1536316959.10301,28.47845434
1536316959.10351,3.30333422
1536316959.10401,-27.49102899
1536316959.10451,-16.53520488
1536316959.10501,-13.47550825
1536316959.10552,14.606672892
1536316959.10602,20.26946732
1536316959.10652,-17.02936513
1536316959.10702,-30.181665852
1536316959.10752,1.09815495
1536316959.10802,-12.52881627
1536316959.10852,21.49419413
1536316959.10902,-4.71151448
1536316959.10952,-51.03564546
1536316959.11002,-19.33925747
1536316959.11052,20.28320304
1536316959.11102,31.11997888
1536316959.11152,-4.44885017
1536316959.11202,7.21234851
1536316959.11252,-37.008461169
1536316959.11302,-27.94175102
1536316959.11352,4.04721985
