ts,value
1536321823.00001,-14.193295185
1536321823.00051,-0.1700325
1536321823.00101,11.01750352
1536321823.00151,14.75628735
1536321823.00201,-22.114871032
1536321823.00251,-37.70976009
1536321823.00302,-36.32314733
1536321823.00352,20.8605213
1536321823.00402,15.87199923
1536321823.00452,16.31496551
1536321823.00502,-12.65316251
1536321823.00552,-15.00461627
1536321823.00602,12.58227159
1536321823.00652,23.963168752
1536321823.00703,39.4784794
1536321823.00753,5.547620278
1536321823.00803,-12.9522934
1536321823.00853,-2.93254542
1536321823.00903,-2.88266087
1536321823.00953,28.81688639
1536321823.01003,1.30457908
1536321823.01054,-16.35388348
1536321823.01104,-31.63416002
1536321823.01154,-15.06333111
1536321823.01204,21.98578694
1536321823.01254,33.50917528
1536321823.01304,11.878871501
1536321823.01354,-16.52835137
1536321823.01404,-13.35250548
1536321823.01454,-8.151754916
1536321823.01505,40.93215372
1536321823.01555,16.57957705
1536321823.01605,-11.19005775
1536321823.01655,-18.03250507
1536321823.01705,-18.092007911
1536321823.01755,15.7490981
1536321823.01805,35.2562947
1536321823.01855,8.36996113
1536321823.01906,-12.8476431
1536321823.01956,-33.20095965
1536321823.02006,-6.3298943412
1536321823.02056,4.469723331
1536321823.02106,22.32697904
1536321823.02156,-4.33278988
1536321823.02206,-14.51361633
1536321823.02256,-0.98043202
1536321823.02307,27.16717957
1536321823.02357,23.03538414
1536321823.02407,11.06472537
1536321823.02457,-28.45055341
1536321823.02507,-13.41406297
1536321823.02557,-14.10321505
1536321823.02607,28.80093669
1536321823.02657,10.38662136
1536321823.02708,-9.14504863
1536321823.02758,-33.90659386
1536321823.02808,-22.97756793
1536321823.02858,15.34648942
1536321823.02908,21.79159434
1536321823.02958,18.784326667
1536321823.03008,0.0544667200000002
1536321823.03059,-15.22140391
1536321823.03109,3.7587957
1536321823.03159,16.31460656
1536321823.03209,1.14946491
1536321823.03259,6.204950728
1536321823.03309,-22.4629165
1536321823.03359,-15.863245912
1536321823.03409,-7.09753041
1536321823.0346,33.06872126
1536321823.0351,24.000447731
1536321823.0356,-13.5546062
1536321823.0361,-25.232901105
1536321823.0366,-6.13578081
1536321823.0371,39.74188948
1536321823.0376,25.42213062
1536321823.0381,-4.51316552
1536321823.03861,-22.01172303
1536321823.03911,-14.330966314
1536321823.03961,4.265676581
1536321823.04011,30.64056773
1536321823.04061,12.23221159
1536321823.04111,-7.62246633
1536321823.04161,-26.938204422
1536321823.04211,-26.64177986
1536321823.04262,24.85251813
1536321823.04312,15.98802706
1536321823.04362,-3.70728707
1536321823.04412,-5.46335292
1536321823.04462,-28.62406755
1536321823.04512,0.99401808
1536321823.04562,21.09452494
1536321823.04612,18.551352
1536321823.04663,-11.64876437
1536321823.04713,-15.58942365
1536321823.04763,-12.42531657
1536321823.04813,8.49249462
1536321823.04863,39.73608206
1536321823.04913,21.24750533
1536321823.04963,-12.591050829
1536321823.05013,-12.13945497
1536321823.05064,-0.15441324
1536321823.05114,18.9769785
1536321823.05164,5.279805201
1536321823.05214,-0.82875919
1536321823.05264,-10.572200846
1536321823.05314,-6.87564631
1536321823.05364,-5.97566744
1536321823.05415,-6.61630094
1536321823.05465,20.65201402
1536321823.05515,-0.529060681999999
1536321823.05565,-0.54228604
1536321823.05615,-8.62216597
1536321823.05665,20.34948123
1536321823.05715,3.79693691
1536321823.05765,9.45870519
1536321823.05816,14.06903541
1536321823.05866,-1.67156028
1536321823.05916,30.093816073
1536321823.05966,28.67259406
1536321823.06016,14.60738089
1536321823.06066,-1.07077611
1536321823.06116,-16.6533506
1536321823.06166,-6.75944139
1536321823.06217,19.04636817
1536321823.06267,-1.83869551
1536321823.06317,-4.03968667
1536321823.06367,0.58364344
1536321823.06417,-7.61886623
1536321823.06467,-6.34439565
1536321823.06517,9.04715122
1536321823.06567,2.4910779
1536321823.06618,-13.069821362
1536321823.06668,-8.88734413
1536321823.06718,-6.840461606
1536321823.06768,-6.98276893
1536321823.06818,14.61842721
1536321823.06868,6.40704731
1536321823.06918,-6.76943163
1536321823.06968,-9.12161803
1536321823.07019,0.0411814799999988
1536321823.07069,15.73823886
1536321823.07119,14.4242051
1536321823.07169,-5.60985279
1536321823.07219,-11.685160548
1536321823.07269,-2.5156529
1536321823.07319,9.58010153
1536321823.0737,12.67823172
1536321823.0742,16.68967988
1536321823.0747,1.38561846
1536321823.0752,-6.36309672
1536321823.0757,-1.09988165
1536321823.0762,-2.95246046
1536321823.0767,-5.67457391
1536321823.0772,4.198536542
1536321823.0777,-5.057214621
1536321823.0782,2.66721416
1536321823.0787,16.73642644
1536321823.0792,19.71744964
1536321823.0797,-0.92867186
1536321823.0802,0.7746315
1536321823.0807,3.56353379
1536321823.0812,-2.29543186
