ts,value
1536320503.00042,16.62895015
1536320503.00092,-17.328768104
1536320503.00141,-17.05560447
1536320503.00191,12.15727527
1536320503.00241,26.39654356
1536320503.00291,20.22040747
1536320503.00341,-10.61245728
1536320503.00391,-29.545848137
1536320503.00441,-31.68711996
1536320503.00491,3.873774893
1536320503.00541,10.6304302
1536320503.00591,8.62379455
1536320503.00641,-20.07727331
1536320503.00691,-12.96353772
1536320503.00741,-2.09560299
1536320503.00791,10.81160826
1536320503.0084,10.483569526
1536320503.0089,-14.98238947
1536320503.0094,-3.12256195
1536320503.0099,-26.61042756711
1536320503.0104,0.00573538000000084
1536320503.0109,13.95114854
1536320503.0114,5.35147568
1536320503.0119,-24.931443429
1536320503.0124,-18.84973572
1536320503.0129,6.56366114
1536320503.0134,22.493260405
1536320503.0139,44.19552997
1536320503.0144,6.26748987
1536320503.01489,-19.59572646
1536320503.01539,-25.15799328
1536320503.01589,-1.17599959
1536320503.01639,34.5304737
1536320503.01689,21.75162479
1536320503.01739,-14.76641479
1536320503.01789,-46.88882059
1536320503.01839,-0.966675250000001
1536320503.01889,22.26246333
1536320503.01939,14.5887627
1536320503.01989,-13.97521545
1536320503.02039,-32.95547602
1536320503.02089,-24.7130865
1536320503.02139,12.1701345
1536320503.02189,46.273387
1536320503.02239,21.92702146
1536320503.02288,-25.40553783
1536320503.02338,-20.53584105
1536320503.02388,-6.67216208
1536320503.02438,16.22226588
1536320503.02488,13.99853181
1536320503.02538,-0.2528343
1536320503.02588,-34.75470687
1536320503.02638,-28.02867885
1536320503.02688,-1.71916913
1536320503.02738,8.42932273
1536320503.02788,17.34802222
1536320503.02838,-3.53736596
1536320503.02888,-7.89253853
1536320503.02938,-14.20539387
1536320503.02987,15.628724476
1536320503.03037,26.62326409
1536320503.03087,6.90121371
1536320503.03137,-6.47984241
1536320503.03187,-21.96306875
1536320503.03237,-7.3687315
1536320503.03287,20.58215759
1536320503.03337,14.14057161
1536320503.03387,-4.09139824
1536320503.03437,-31.34570804
1536320503.03487,-30.53104805
1536320503.03537,-3.71746726
1536320503.03587,9.41053625
1536320503.03637,13.3355235
1536320503.03686,-22.171628819
1536320503.03736,-25.65090087
1536320503.03786,-1.60021122
1536320503.03836,26.67448922
1536320503.03886,26.89312911
1536320503.03936,-9.28503613
1536320503.03986,-28.357876485
1536320503.04036,-19.18770497
1536320503.04086,6.23480561
1536320503.04136,9.193921331
1536320503.04186,12.43681612
1536320503.04236,-16.09963404
1536320503.04286,-23.24532868
1536320503.04335,-6.67168379
1536320503.04385,16.25343732
1536320503.04435,14.28209132
1536320503.04485,-11.26904822
1536320503.04535,-6.40914982
1536320503.04585,-9.62293085
1536320503.04635,-15.24305002
1536320503.04685,26.22370241
1536320503.04735,15.07330769
1536320503.04785,-15.28970857
1536320503.04835,-8.768240134
1536320503.04885,-14.38656231
1536320503.04935,17.18012681
1536320503.04985,21.9787124
1536320503.05035,-14.04257195
1536320503.05084,-29.6365495
1536320503.05134,-44.77435771
1536320503.05184,7.09780606
1536320503.05234,27.79073057
1536320503.05284,26.33286563
1536320503.05334,-15.16307252
1536320503.05384,-33.10421605
1536320503.05434,-9.24499942
1536320503.05484,23.30212169
1536320503.05534,30.81604004
1536320503.05584,3.26305964
1536320503.05634,-30.375769658
1536320503.05684,-23.51876473
1536320503.05734,-2.00001816
1536320503.05783,8.2981425
1536320503.05833,20.39841489
1536320503.05883,-4.0244039
1536320503.05933,-1.60912537
1536320503.05983,-14.39495228
1536320503.06033,15.475642601
1536320503.06083,35.99165099
1536320503.06133,21.54942811
1536320503.06183,-18.11041977
1536320503.06233,-12.820373195
1536320503.06283,7.1395378
1536320503.06333,18.7352615742
1536320503.06383,28.643243061
1536320503.06433,1.05018513
1536320503.06483,-11.5587076
1536320503.06533,-15.96042107
1536320503.06582,6.93654154
1536320503.06632,8.4099109
1536320503.06682,-4.30467131
1536320503.06732,-18.45910885
1536320503.06782,-17.746081295
1536320503.06832,0.0313301330000009
1536320503.06882,23.60828463
1536320503.06932,13.17281574
1536320503.06982,-0.364164299999999
1536320503.07032,-15.924422134
1536320503.07082,-15.730205408
1536320503.07132,-10.98663669
1536320503.07182,46.83682257
1536320503.07231,-1.78590317
1536320503.07281,-19.4652984
1536320503.07331,-20.56943031
1536320503.07381,-17.55929377
1536320503.07431,14.845563065
1536320503.07481,17.90928129
1536320503.07531,10.06262684
1536320503.07581,-14.92370604
1536320503.07631,-9.91869426
1536320503.07681,13.95884925
1536320503.07731,16.51167183
1536320503.07781,12.95558831
1536320503.07831,1.61094099
1536320503.07881,-4.96010934
1536320503.07931,-25.085964927
1536320503.07981,23.50140504
1536320503.08031,17.61401555
1536320503.08081,9.58724502
1536320503.08131,-23.601681025
1536320503.0818,-9.20850818
1536320503.0823,4.15147711
1536320503.0828,12.83498818
1536320503.0833,23.877250249
1536320503.0838,-9.16934913
1536320503.0843,-27.92602918
1536320503.0848,-15.86226396
1536320503.0853,26.44508339
1536320503.0858,30.970444436
1536320503.0863,13.0260438
1536320503.0868,-20.954717
1536320503.0873,-31.01925475
1536320503.0878,9.17877099
1536320503.0883,36.814269352
1536320503.0888,13.6293546411
1536320503.0893,-0.3265466
1536320503.0898,-25.05971289
1536320503.0903,-9.41001844
1536320503.0908,-9.35135271
1536320503.0913,12.20991422
1536320503.0918,5.18797488
1536320503.0923,-10.35399247
1536320503.0928,-24.795364703
1536320503.0933,-3.90730858
1536320503.0938,2.4438185
1536320503.0943,-1.51744178
1536320503.09479,2.7721347
1536320503.09529,-7.34681772
1536320503.09579,-11.07160879
1536320503.09629,9.51725195
1536320503.09679,-4.68312781
1536320503.09729,10.78981876
1536320503.09779,-24.9760794
1536320503.09829,-10.35731179
1536320503.09879,-1.18581387
1536320503.09929,-8.79953952
1536320503.09979,33.61573491
1536320503.10029,-2.72241971
1536320503.10079,-17.59459475
1536320503.10129,4.35465312
1536320503.10179,18.8406467
1536320503.10229,-4.02966257
1536320503.10279,22.60998032
1536320503.10329,-1.6987076
1536320503.10379,-16.32224495
1536320503.10429,-12.44962793
1536320503.10479,-0.739703190000002
1536320503.10529,20.63156888
1536320503.10579,-10.7913408
1536320503.10629,-13.82993464
1536320503.10679,-13.09574889
1536320503.10729,-9.64690013
1536320503.10778,6.12746101
1536320503.10828,8.58860113
1536320503.10878,0.0399618299999975
1536320503.10928,-9.61789416
1536320503.10978,-34.00066662
1536320503.11028,-2.33860688
1536320503.11078,13.536709791
1536320503.11128,12.57217646
1536320503.11178,-2.44868135
1536320503.11228,-3.4324323
1536320503.11278,3.77176383
1536320503.11328,-18.70195243
1536320503.11378,-7.18600751
1536320503.11428,2.06104612
1536320503.11478,-14.94889137
1536320503.11528,10.28923219
1536320503.11578,-1.74080566
1536320503.11628,2.80364329
1536320503.11678,-18.15158458
1536320503.11728,10.22130371
1536320503.11778,8.719224245
1536320503.11828,-6.25136376
1536320503.11878,-16.0556178
1536320503.11928,-3.4900169
1536320503.11978,-5.42808384
1536320503.12028,-4.46347334
1536320503.12077,7.31518836
1536320503.12127,-11.13090138
1536320503.12177,-2.1822625
1536320503.12227,-15.64595844
1536320503.12277,-2.8136769
1536320503.12327,-7.87483848
1536320503.12377,-2.38148015
1536320503.12427,-19.26411343
1536320503.12477,-0.658774399999999
1536320503.12527,-1.29963615
1536320503.12577,7.783824581
1536320503.12627,-4.24463413
1536320503.12677,-2.71747736
1536320503.12727,-11.21494717
1536320503.12777,18.75754149
1536320503.12827,-1.253646
1536320503.12877,-0.785691134
1536320503.12927,13.24041611
1536320503.12977,-0.667138030000002
1536320503.13027,-37.04819063
1536320503.13077,8.65874484
1536320503.13127,-5.14848901
1536320503.13177,-10.90917109
1536320503.13227,4.5184822
1536320503.13277,2.02404015
1536320503.13327,-0.239039420000001
1536320503.13376,-2.71638818
1536320503.13426,1.18994973
1536320503.13476,0.29933737
1536320503.13526,0.525864559999999
1536320503.13576,-21.97167164
1536320503.13626,-17.07699413
1536320503.13676,15.62580062
1536320503.13726,13.38880921
1536320503.13776,1.76151182
1536320503.13826,-3.3228839561
1536320503.13876,-20.94254157
1536320503.13926,4.003049
1536320503.13976,27.85499408
1536320503.14026,6.08359998
1536320503.14076,1.24140453
1536320503.14126,-9.75993011
1536320503.14176,-11.51140169
1536320503.14226,10.18252011
1536320503.14276,9.78036506
1536320503.14326,8.61012815
1536320503.14376,-21.27710714
1536320503.14426,-6.29165931
1536320503.14476,-26.50014581
1536320503.14526,-7.37519212
1536320503.14576,8.78059963
1536320503.14626,-11.18115568
1536320503.14675,-19.59583489
1536320503.14725,-20.08623193
1536320503.14775,3.06056595
1536320503.14825,48.65050673
1536320503.14875,16.78916314
1536320503.14925,-8.52812644
1536320503.14975,-24.06322243
1536320503.15025,2.8710489
1536320503.15075,22.56809753
1536320503.15125,14.80201578
1536320503.15175,-3.07980727
1536320503.15225,-19.59707078
1536320503.15275,2.525054
1536320503.15325,-6.89208605
1536320503.15375,-2.30818014
1536320503.15425,9.809388452
1536320503.15475,-15.83967777
1536320503.15525,-13.52456851
1536320503.15575,-7.54782918
1536320503.15625,22.82284685
1536320503.15675,19.177483605
1536320503.15725,0.60175138
1536320503.15775,-16.95313066
1536320503.15825,-24.11765816
1536320503.15875,11.23138426
1536320503.15925,21.50337935
1536320503.15975,6.91055437
1536320503.16025,-11.20828575
1536320503.16075,-11.2951264
1536320503.16124,3.8570242
1536320503.16174,15.51635556
1536320503.16224,5.90983097
1536320503.16274,-5.151768591
1536320503.16324,-23.75248762
1536320503.16374,-28.35974262
1536320503.16424,-4.7308994
1536320503.16474,28.79197552
1536320503.16524,17.238640102
1536320503.16574,-11.91829487
1536320503.16624,-28.38841529
1536320503.16674,-23.55522532
1536320503.16724,15.51916501
1536320503.16774,27.68837887
1536320503.16824,-0.888176980000001
1536320503.16874,-18.84851049
1536320503.16924,-24.15141176
1536320503.16974,-7.21508889
1536320503.17024,13.43437865
1536320503.17074,14.6866716
1536320503.17124,-12.58662894
1536320503.17174,-34.8860978826
1536320503.17224,-9.94453544
1536320503.17274,8.06156825
1536320503.17324,25.76451736
1536320503.17374,-3.87276262
1536320503.17423,-11.51124576
1536320503.17473,-20.56673866
1536320503.17523,-2.0326481
1536320503.17573,2.958032418
1536320503.17623,15.17656827
1536320503.17673,-15.98190408
1536320503.17723,-30.48542501
1536320503.17773,-27.17660911
1536320503.17823,-15.1305242
1536320503.17873,16.411991474
1536320503.17923,7.57278728
1536320503.17973,-21.06269176
1536320503.18023,-26.52831745
1536320503.18073,-17.59432862
1536320503.18123,4.78156479
1536320503.18173,11.60309558
1536320503.18222,12.16045423
1536320503.18273,-23.04317615
1536320503.18322,-14.05022638
