ts,value
1536316865.00049,-14.14157012
1536316865.00099,9.26717254
1536316865.00149,22.42480373
1536316865.00199,-3.481758799
1536316865.0025,-10.38283424
1536316865.003,-39.4286994383
1536316865.0035,-10.57310103
1536316865.004,3.97385667
1536316865.0045,18.25883893
1536316865.005,-7.62024546
1536316865.0055,-21.94954948
1536316865.006,-29.30235406
1536316865.0065,-8.020853823
1536316865.007,8.46079919
1536316865.0075,24.89648245
1536316865.008,-7.32759859
1536316865.0085,-21.42618848
1536316865.009,4.34178968
1536316865.0095,7.52440738
1536316865.01,20.27404021
1536316865.0105,3.19284745
1536316865.01101,-8.16369676
1536316865.01151,-17.95210584
1536316865.01201,-9.592450062
1536316865.01251,6.96309052
1536316865.01301,18.29443416
1536316865.01351,-6.91211274
1536316865.01401,-40.85173662
1536316865.01451,-48.414086667
1536316865.01501,-0.316822809
1536316865.01551,35.040951111
1536316865.01601,1.61974094
1536316865.01651,-15.299760738
1536316865.01701,-21.351365083
1536316865.01751,-9.84248066
1536316865.01801,8.749285298
1536316865.01852,11.508688926
1536316865.01902,0.137204649999999
1536316865.01952,-18.18780048
1536316865.02002,-6.84360119
1536316865.02052,1.51145649
1536316865.02102,0.135575072299999
1536316865.02152,5.05886531
1536316865.02202,-7.73025214
1536316865.02252,-16.98236742
1536316865.02302,-24.21460512
1536316865.02352,1.445048747
1536316865.02402,-5.82357814
1536316865.02452,-15.89045024
1536316865.02502,2.59311176
1536316865.02552,-22.17154454
1536316865.02602,-3.85848996
1536316865.02653,20.599863552
1536316865.02703,4.72487868
1536316865.02753,-7.86338145
1536316865.02803,-18.665331472
1536316865.02853,-1.29265929
1536316865.02903,-6.66010566
1536316865.02953,-1.35606056
1536316865.03003,3.52760411
1536316865.03053,-14.81913571
1536316865.03103,-14.7565002
1536316865.03153,-0.660786589999999
1536316865.03203,12.20945345
1536316865.03253,-8.36846791
1536316865.03303,14.8982012
1536316865.03354,-13.34089279
1536316865.03403,-13.80902387
1536316865.03454,-8.019549395
1536316865.03504,-0.60394244
1536316865.03554,30.86715195
1536316865.03604,-12.09753417
1536316865.03654,-7.70579194
1536316865.03704,-2.32692432
1536316865.03754,-14.88588473
1536316865.03804,-8.92439487
1536316865.03854,-6.1381435
1536316865.03904,-2.26630474
1536316865.03954,-3.34414675
1536316865.04004,-8.18010973
1536316865.04054,-4.45176698
1536316865.04104,-11.31741771
1536316865.04154,-17.4705077
1536316865.04205,-11.21301578
1536316865.04255,-2.84999539
1536316865.04305,-14.06115436
1536316865.04355,3.79658438
1536316865.04405,-15.4570183
1536316865.04455,-9.67004729
1536316865.04505,2.37458181
1536316865.04555,0.617691069999998
1536316865.04605,-5.04649401
1536316865.04655,0.129996759999999
1536316865.04705,-5.57606533
1536316865.04755,-7.41556737
1536316865.04805,-7.92350316
1536316865.04855,-17.04997468
1536316865.04905,-6.825415019
1536316865.04955,-14.91243197
1536316865.05006,-10.414158074
1536316865.05056,11.27873417
1536316865.05106,-2.94494676
1536316865.05156,-15.7886551
1536316865.05206,-6.60578197
1536316865.05256,6.24313929
1536316865.05306,-14.00926109
1536316865.05356,-3.30173821
1536316865.05406,-20.77821423
1536316865.05456,-27.64096498
1536316865.05506,-16.045007904
1536316865.05556,21.22823428
1536316865.05606,-14.41282635
1536316865.05656,1.50209714
1536316865.05707,-0.600556119999999
1536316865.05757,3.491216713
1536316865.05807,6.7763681
1536316865.05857,7.43837948
1536316865.05907,-13.2997637
1536316865.05957,3.55976604
1536316865.06007,4.34929514
1536316865.06057,-2.24989009
1536316865.06107,0.970439000000001
1536316865.06157,-10.821340095
1536316865.06207,-2.48026316
1536316865.06257,-6.0906043
1536316865.06307,1.51090432
1536316865.06357,-14.4778563293
1536316865.06407,-1.70787664
1536316865.06457,-0.730323286
1536316865.06507,-11.82953081
1536316865.06558,-9.59965211
1536316865.06608,1.1153233
1536316865.06658,-4.2437887
1536316865.06708,-11.42627762
1536316865.06758,-4.93816398
1536316865.06808,-17.88046748
1536316865.06858,-2.389297731
1536316865.06908,-4.60217855
1536316865.06958,-20.22890635
1536316865.07008,-0.95835011
1536316865.07058,-5.190028783
1536316865.07108,-15.293376803
1536316865.07158,3.63626436
1536316865.07208,-21.455161046
1536316865.07258,28.45776724
1536316865.07309,-3.56899022
1536316865.07359,-21.59685399
1536316865.07409,-16.37763617
1536316865.07459,-16.52443863
1536316865.07509,11.80627176
1536316865.07559,16.30459687
1536316865.07609,-15.45729397
1536316865.07659,-22.65522101
1536316865.07709,-9.26645092
1536316865.07759,1.73186239
1536316865.07809,16.351947606
1536316865.07859,-8.30117398
1536316865.07909,-8.03921502
1536316865.0796,-18.388074792
1536316865.0801,-7.72810367
1536316865.0806,20.03761521
1536316865.0811,15.11805222
1536316865.0816,3.310302187
1536316865.0821,-6.117819132
1536316865.0826,-20.64093714
1536316865.0831,-4.459221409
1536316865.0836,21.64256747
1536316865.0841,-7.8842645
1536316865.0846,-19.848181447
1536316865.0851,-32.00287102
1536316865.08561,-19.7736916343
1536316865.08611,17.646597778
1536316865.08661,-10.22282386
1536316865.08711,-0.64134169
1536316865.08761,-22.82447859
1536316865.08811,-24.769565547
1536316865.08861,1.33506917
1536316865.08911,21.82144647
1536316865.08961,22.42279909
1536316865.09011,-1.01789617
1536316865.09061,-18.76842882
1536316865.09111,-0.134316900000001
1536316865.09162,1.09780551
1536316865.09212,-1.811632992
1536316865.09262,7.95054383
1536316865.09312,-10.79457851
1536316865.09362,-15.96793522
1536316865.09412,-3.93710949
1536316865.09462,1.58033993
1536316865.09512,6.43042133
1536316865.09562,-12.54709436
1536316865.09612,-15.34220169
1536316865.09662,-12.76085018
1536316865.09713,3.27240318
1536316865.09763,13.51370674
1536316865.09813,-5.84359578
1536316865.09863,-40.68880777
1536316865.09913,-12.21713397
1536316865.09963,-7.69518041
1536316865.10013,20.71617605
1536316865.10063,18.99352723
1536316865.10113,-2.89096454
1536316865.10163,-38.634033848
1536316865.10213,-13.365082779
1536316865.10263,11.582501436
1536316865.10314,10.30651198
1536316865.10364,20.19749401
1536316865.10414,-15.41733364
1536316865.10464,-14.79544076
1536316865.10514,-10.979411168
1536316865.10564,27.43156886
1536316865.10614,18.92624573
1536316865.10664,-14.74074961
