ts,value
1536322755.00001,-2.8557539
1536322755.00051,-3.8684225
1536322755.00101,22.00880812
1536322755.00151,21.64832064
1536322755.00201,-17.32592528
1536322755.00251,-29.81968607
1536322755.00301,-15.0885391
1536322755.00351,6.0875377
1536322755.00401,18.29140473
1536322755.00451,6.0326567
1536322755.00501,-2.12113481
1536322755.00551,-26.652034063
1536322755.00601,-7.7127791
1536322755.00651,9.22806649
1536322755.00701,27.08654925
1536322755.00751,14.84689436
1536322755.00801,-24.52208955
1536322755.00851,-0.804637
1536322755.00901,4.6816663
1536322755.00951,9.19521816
1536322755.01001,18.02609344
1536322755.01051,-7.85653296
1536322755.01101,-12.40104387
1536322755.01151,-9.1587887
1536322755.01201,-2.4781342
1536322755.01251,27.04785202
1536322755.01301,8.36374036
1536322755.01351,-15.91393409
1536322755.01401,-20.38151304
1536322755.01451,-5.6187248
1536322755.01501,24.21504774
1536322755.01551,20.74199727
1536322755.01601,1.5020046
1536322755.01651,-2.7485667
1536322755.01701,8.09205154
1536322755.01751,20.00134945
1536322755.01801,19.003107
1536322755.01851,6.9550124
1536322755.01901,-8.64966488
1536322755.01951,13.2048874
1536322755.02001,3.99433807
1536322755.02051,21.93675237
1536322755.02101,22.27967931
1536322755.02151,11.1483497
1536322755.02201,-14.391584668
1536322755.02251,-11.44518179
1536322755.02301,9.63317586
1536322755.02351,8.91891098
1536322755.02401,10.2351932
1536322755.02451,9.61687369
1536322755.02501,-0.072579809999997
1536322755.02551,7.58183
1536322755.02601,19.9779567
1536322755.02651,10.24403478
1536322755.02701,0.945087400000002
1536322755.02751,-23.8570896436
1536322755.02801,12.67912007
1536322755.02851,-5.3504419
1536322755.02901,12.99419121
1536322755.02951,11.2360325
1536322755.03001,2.5531559
1536322755.03051,-11.4411049
1536322755.03101,-11.8926363
1536322755.03151,14.47402713
1536322755.03201,11.9576912
1536322755.03251,13.9931803
1536322755.03301,-11.209014
1536322755.03351,-16.39212797
1536322755.03401,-0.839706400000001
1536322755.03451,13.52891067
1536322755.03501,13.2969275
1536322755.03551,-1.0274677
1536322755.03601,0.419232300000001
1536322755.03651,1.6995354
1536322755.03701,-3.4423485
1536322755.03751,1.9944763
1536322755.03801,-5.4575196
1536322755.03851,4.8172865
1536322755.03901,16.44526956
1536322755.03951,6.79147724
1536322755.04001,-5.0516157
1536322755.04051,10.0856533
1536322755.04101,-7.1830397
1536322755.04151,-1.9903775
1536322755.04201,7.28321743
1536322755.04251,-5.2373838
1536322755.04301,6.8933773
1536322755.04351,-12.2042064
1536322755.04401,13.43455752
1536322755.04451,-11.57996746
1536322755.04501,-8.1448098
1536322755.04551,-4.6779347
1536322755.04601,3.7509784
1536322755.04651,-0.391826699999999
1536322755.04701,9.44022854
1536322755.04751,0.489283669999999
1536322755.04801,-10.2288914
1536322755.04851,4.5712224
1536322755.04901,-4.1498719
1536322755.04951,9.2189111
1536322755.05001,1.30012421
1536322755.05051,9.3024674
1536322755.05101,6.2904891
1536322755.05151,0.799894239999997
1536322755.05201,11.325572
1536322755.05251,7.7600345
1536322755.05301,9.50914286
1536322755.05351,-1.569152
1536322755.05401,-14.7843285
1536322755.05451,8.2587643
1536322755.05501,-6.0260859
1536322755.05551,6.6876192
1536322755.05601,10.9462165
1536322755.05651,-4.4129409
1536322755.05701,3.2382202
1536322755.05751,4.0863561
1536322755.05801,0.97880073
1536322755.05851,-6.5754318
1536322755.05901,3.3701896
1536322755.05951,-0.126049099999999
1536322755.06001,-3.6339683
1536322755.06051,13.32525541
1536322755.06101,30.304661779
1536322755.06151,14.00298307
1536322755.06201,-12.59313206
1536322755.06251,-14.41917801
1536322755.06301,-13.181385
1536322755.06351,23.12456176
1536322755.06401,29.65119594
1536322755.06451,6.31466196
1536322755.06501,-18.29443744
1536322755.06551,-4.4196071
1536322755.06601,10.15320163
1536322755.06651,10.33169364
1536322755.06701,13.76272343
1536322755.06751,-8.8282451
1536322755.06801,-15.6754197
1536322755.06851,-5.3503419
1536322755.06901,19.84008589
1536322755.06951,8.84384724
