ts,value
1538740603.00003,-0.0715208199999999
1538740603.00053,9.337307326
1538740603.00103,8.889885656
1538740603.00153,-5.80788473
1538740603.00203,12.70277027
1538740603.00253,8.81145906
1538740603.00303,-0.99971816
1538740603.00353,2.54769234
1538740603.00403,-7.30225661
1538740603.00453,-13.10764171
1538740603.00503,-2.66263913
1538740603.00553,3.47285648
1538740603.00603,-0.701789829999999
1538740603.00653,-7.23951247
1538740603.00704,12.1235967
1538740603.00753,-5.77684971
1538740603.00803,9.77304939
1538740603.00853,6.90560913
1538740603.00903,10.71525717
1538740603.00953,13.88324882
1538740603.01003,0.693436149999998
1538740603.01054,-2.87912822
1538740603.01103,-3.18877976
1538740603.01153,9.81462432
1538740603.01203,-2.70766812
1538740603.01253,10.26679225
1538740603.01303,-0.28648089
1538740603.01354,-10.0108377045
1538740603.01403,1.87386795
1538740603.01453,-1.0041503
1538740603.01503,-8.85963076
1538740603.01553,1.39989089
1538740603.01603,0.739892604
1538740603.01654,-0.987402210000001
1538740603.01704,22.578217587
1538740603.01754,11.09029627
1538740603.01804,-4.90245412
1538740603.01854,-13.32901807
1538740603.01904,-7.24667363
1538740603.01954,-6.0627123
1538740603.02004,-8.968364287
1538740603.02054,-1.51466705
1538740603.02104,15.562137985
1538740603.02154,9.21885444
1538740603.02204,9.55560258
1538740603.02254,9.21514228
1538740603.02304,7.95660404
1538740603.02354,-17.24833707
1538740603.02404,-6.81040526
1538740603.02454,-13.34057906
1538740603.02504,-13.62534662
1538740603.02554,-15.28187135
1538740603.02604,-14.230062454
1538740603.02654,15.11108168
1538740603.02704,2.5058308
1538740603.02754,18.57868715
1538740603.02804,2.73327822
1538740603.02854,22.06305129
1538740603.02904,8.14532448
1538740603.02954,-5.05784268
1538740603.03004,5.68775978
1538740603.03054,0.790087630000002
1538740603.03104,-16.19902823
1538740603.03154,-4.455910479
1538740603.03204,-15.57602068
1538740603.03254,-15.63854219
1538740603.03304,-16.248233623
1538740603.03354,-0.43116403
1538740603.03404,-3.94519713
1538740603.03454,-7.55078746
1538740603.03504,-8.15559001
1538740603.03553,8.25446489
1538740603.03603,2.77883198
1538740603.03653,11.14996628
1538740603.03703,0.60791495
1538740603.03752,-9.01868721
1538740603.03802,-5.563635485
1538740603.03852,-9.66472153
1538740603.03902,-8.185369821
1538740603.03951,-17.7925296
1538740603.04001,-13.6541662
1538740603.04051,-16.09036225
1538740603.04101,-5.38523946
1538740603.0415,7.67965609
1538740603.042,7.05505756
1538740603.0425,2.33467652
1538740603.043,30.14560912
1538740603.04349,20.66381738
1538740603.04399,13.95789905
1538740603.04449,17.11883543
1538740603.04499,8.40981056
1538740603.04548,-14.788957451
1538740603.04598,-26.42209126
1538740603.04648,-14.56389856
1538740603.04698,-15.82777883
1538740603.04747,-10.758100215
1538740603.04797,-9.495265225
1538740603.04847,1.327211176
1538740603.04897,11.41867837
1538740603.04946,30.84576322
1538740603.04996,10.90225681
1538740603.05046,33.20058724
1538740603.05096,19.548387604
1538740603.05145,21.93198388
1538740603.05195,4.3300867
1538740603.05245,5.46215966
1538740603.05295,-8.970224413
1538740603.05344,-44.0579567
1538740603.05394,-24.29613202
1538740603.05444,-13.25955414
1538740603.05494,-19.58074066
1538740603.05543,-3.41648171
1538740603.05593,6.35610917
1538740603.05643,-5.64759113
1538740603.05693,22.42655032
1538740603.05742,24.18713401
1538740603.05792,11.19302675
1538740603.05842,6.8575182
1538740603.05892,2.99863385
1538740603.05941,4.7849112
1538740603.05991,-12.02394243
1538740603.06041,-32.30864238
1538740603.06091,-29.6670265
1538740603.0614,-34.65066948
1538740603.0619,-31.86865471
1538740603.0624,-14.44829702
1538740603.0629,-14.86942865
1538740603.06339,5.72023536
1538740603.06389,8.224488927
1538740603.06439,22.46783018
1538740603.06489,25.85320091
1538740603.06538,11.690405656
1538740603.06588,8.22153901
1538740603.06638,8.11136647
1538740603.06688,1.43699148
1538740603.06737,-15.64679785
1538740603.06787,-22.73371904
1538740603.06837,-28.24090002
1538740603.06887,-17.25194004
1538740603.06936,0.0183967900000006
1538740603.06986,5.75491091
1538740603.07036,-1.35870194
1538740603.07086,23.01937679
1538740603.07135,23.93717248
1538740603.07185,29.5883684
1538740603.07235,33.45588781
1538740603.07285,15.64780953
1538740603.07334,11.05434587
1538740603.07384,-5.94954632
1538740603.07434,-11.1701441
1538740603.07484,-23.921378065
1538740603.07533,-14.75407044
1538740603.07583,-26.35636524
1538740603.07633,-16.04674255
1538740603.07683,-22.90673354
1538740603.07732,-5.20541807
1538740603.07782,5.018169672
1538740603.07832,11.3815889
1538740603.07882,33.006218612
1538740603.07931,15.7636602
1538740603.07981,14.41143269
1538740603.08031,4.27488612
1538740603.08081,-11.127302804
1538740603.0813,-11.17627186
1538740603.0818,-24.79200549
1538740603.0823,-25.07861855
1538740603.0828,-28.47386594
1538740603.08329,-22.29796279
1538740603.08379,-9.54373287
1538740603.08429,-10.424476038
1538740603.08479,11.7147527
1538740603.08528,12.47599145
1538740603.08578,13.45347285
1538740603.08628,18.39547446
1538740603.08678,-1.43311764
1538740603.08727,18.43179078
1538740603.08777,3.9491719
1538740603.08827,13.42727328
1538740603.08877,-4.42238758
1538740603.08926,-20.124806217
1538740603.08976,-17.88973642
1538740603.09026,-28.36211732
1538740603.09076,-2.48451088
1538740603.09125,-7.39439008
1538740603.09175,7.87906217
1538740603.09225,12.85465478
1538740603.09275,22.23647595
1538740603.09324,18.26111893
1538740603.09374,19.63455294
1538740603.09424,17.40590813
1538740603.09474,25.824566584
1538740603.09523,4.85895295
1538740603.09573,1.84156253
1538740603.09623,-17.47430829
1538740603.09672,-17.73757783
1538740603.09722,-9.91870466
1538740603.09772,-17.40160177
1538740603.09822,-1.03725202
1538740603.09872,2.02946071
1538740603.09921,-5.56773567
1538740603.09971,-3.3336604313
1538740603.10021,6.5713758
1538740603.10071,13.25087829
1538740603.1012,25.85691071
1538740603.1017,-1.3984766
1538740603.1022,-7.314974886
