ts,value
1534844497.00015,1.8566646445
1534844497.00065,24.63327072
1534844497.00115,-5.936475751
1534844497.00165,-23.959064237
1534844497.00215,-32.303288797
1534844497.00266,-3.67322279
1534844497.00316,10.47277598
1534844497.00366,9.939577973
1534844497.00416,-29.61594459
1534844497.00466,-56.017212767
1534844497.00516,-11.50301099
1534844497.00566,2.784253419
1534844497.00616,16.51297096
1534844497.00666,-16.90195028
1534844497.00716,-26.8521371
1534844497.00766,-41.65886584
1534844497.00816,-29.76365947
1534844497.00866,30.45268927
1534844497.00916,20.9762101
1534844497.00967,-5.68093972746
1534844497.01017,-19.9621201
1534844497.01067,-33.81991659
1534844497.01117,5.668205708
1534844497.01167,35.96397539
1534844497.01217,8.12949383
1534844497.01267,-10.21108127
1534844497.01317,-28.76508427
1534844497.01367,-7.2549293176
1534844497.01417,15.46052191
1534844497.01467,18.67009532
1534844497.01517,-1.927145744
1534844497.01567,-49.74945074
1534844497.01618,-38.724349362
1534844497.01667,-2.68722903
1534844497.01718,33.01447152
1534844497.01768,16.83366349
1534844497.01818,-15.71129776
1534844497.01868,-25.258085416
1534844497.01918,-2.43276346
1534844497.01968,24.260201
1534844497.02018,22.48191263
1534844497.02068,7.52249055
1534844497.02118,-17.61160112
1534844497.02168,-30.51059008
1534844497.02218,-19.73871111
1534844497.02268,16.35676293
1534844497.02319,9.187983062
1534844497.02368,-12.927380893
1534844497.02419,-44.71839523
1534844497.02469,-35.14330629
1534844497.02519,12.44922755
1534844497.02569,14.85692457
1534844497.02619,-1.31975186
1534844497.02669,-24.362541849
1534844497.02719,-12.86225485
1534844497.02769,-1.9124086
1534844497.02819,7.90111607
1534844497.02869,22.80227544
1534844497.02919,-22.34701943
1534844497.02969,-15.69079402
1534844497.03019,-10.178806347
1534844497.0307,-17.53764873
1534844497.0312,10.20156834
1534844497.0317,-21.07811502
1534844497.0322,-19.06632638
1534844497.0327,-14.124219592
1534844497.0332,-17.770133522
1534844497.0337,10.17828542
1534844497.0342,10.98245716
1534844497.0347,-0.982238077
1534844497.0352,-29.31543877
1534844497.0357,-22.210609635
1534844497.0362,-0.38731821
1534844497.0367,21.28100849
1534844497.0372,-2.399423363
1534844497.03771,-6.49861348
1534844497.03821,-17.175941835
1534844497.03871,-8.82308775
1534844497.03921,2.14327764
1534844497.03971,10.34870672
1534844497.04021,0.23835659
1534844497.04071,-10.537091523
1534844497.04121,-18.95096397
1534844497.04171,8.63646412
1534844497.04221,8.31498709
1534844497.04271,-1.696780957
1534844497.04321,-32.67931624
1534844497.04372,-11.98745324
1534844497.04422,-24.47559418
1534844497.04472,-0.486412937999997
1534844497.04522,14.265056218
1534844497.04572,-1.95709527
1534844497.04622,-27.94490178
1534844497.04672,-12.51389508
1534844497.04722,-12.993019164
1534844497.04772,-4.17584254
1534844497.04822,9.15595722
1534844497.04872,-5.34335339
1534844497.04922,-6.620917343
