ts,value
1534844295.00046,1.56323361
1534844295.00096,3.81124063
1534844295.00146,0.55726003
1534844295.00196,2.99508757
1534844295.00246,-2.04318064
1534844295.00296,1.893560714
1534844295.00346,-3.65831374
1534844295.00397,12.012041
1534844295.00447,10.48209484
1534844295.00497,15.43264341
1534844295.00547,-1.2977362
1534844295.00597,1.18622064
1534844295.00647,1.83280137
1534844295.00698,8.31089461
1534844295.00748,9.57869101
1534844295.00798,-7.86189582
1534844295.00848,14.53752139
1534844295.00898,0.738969118000002
1534844295.00948,-0.50795271
1534844295.00999,-10.405889748
1534844295.01049,-4.1728346
1534844295.01099,0.98950374
1534844295.01149,13.59289233
1534844295.01199,-4.858849946
1534844295.01249,-1.67036157
1534844295.013,-15.20825454
1534844295.0135,3.72282505
1534844295.014,2.01299571
1534844295.0145,3.910353365
1534844295.015,0.517257385000001
1534844295.0155,-20.88369508
1534844295.016,-2.67940144
1534844295.01651,13.7946045
1534844295.01701,7.63379908
1534844295.01751,6.10821557
1534844295.01801,0.257818939999999
1534844295.01851,4.78363707
1534844295.01901,17.415727747
1534844295.01952,2.4495027
1534844295.02002,12.56801512
1534844295.02052,-4.35237456
1534844295.02102,-9.87932443
1534844295.02152,-11.89477528
1534844295.02202,-7.97213979
1534844295.02252,9.61182548
1534844295.02303,4.77593803
1534844295.02353,-4.36465106
1534844295.02403,-20.52561135
1534844295.02453,0.45155364
1534844295.02503,-5.045024754
1534844295.02553,5.29387525
1534844295.02604,-5.2493463
1534844295.02654,2.42395591
1534844295.02704,-3.16415978
1534844295.02754,31.38102151
1534844295.02804,13.29939771
1534844295.02854,16.620578297
1534844295.02905,-2.79972935
1534844295.02955,-3.01095439
1534844295.03005,-0.51225659
1534844295.03055,10.2419057
1534844295.03105,7.4133172
1534844295.03155,-2.89528278
1534844295.03206,-7.45065544
1534844295.03256,-15.08998291
1534844295.03306,-3.61929286
1534844295.03356,5.13422382
1534844295.03406,25.53098774
1534844295.03456,-2.31120348
1534844295.03506,-14.95036989
1534844295.03557,-3.35204026
