ts,value
1538740533.00046,0.15073585
1538740533.00096,-2.74745823
1538740533.00146,5.66662026
1538740533.00196,-2.78971483
1538740533.00246,4.39586687
1538740533.00296,-6.93483162
1538740533.00346,-16.13608149
1538740533.00396,-25.16452934
1538740533.00447,-9.9576713
1538740533.00497,-3.729497
1538740533.00547,-1.8981481
1538740533.00597,-9.7364739
1538740533.00647,-11.96389966
1538740533.00697,-13.64305977
1538740533.00747,-8.83277424
1538740533.00797,-4.21219633
1538740533.00847,7.08620257
1538740533.00897,-3.08500999
1538740533.00947,-6.25563901
1538740533.00997,1.39516632
1538740533.01047,-0.989840879999999
1538740533.01098,-5.95489571
1538740533.01148,-11.14524933
1538740533.01198,5.2171326
1538740533.01248,-10.24288753
1538740533.01298,-1.17640539
1538740533.01348,-5.541177672
1538740533.01398,-5.81991396
1538740533.01448,-5.2159209
1538740533.01498,3.98189449
1538740533.01548,-16.36750372
1538740533.01598,0.94556906
1538740533.01648,4.70298851
1538740533.01699,-6.6137381
1538740533.01749,-1.0039558
1538740533.01799,5.30378575
1538740533.01849,2.3525714
1538740533.01899,-6.3401814
1538740533.01949,9.06010819
1538740533.01999,-0.341005330000005
1538740533.02049,0.2383332
1538740533.02099,2.95066552
1538740533.02149,-0.93725401
1538740533.02199,-2.86233019
1538740533.02249,0.641433259999999
1538740533.02299,-3.04876749
1538740533.0235,-2.400028892
1538740533.024,-17.81150967
1538740533.0245,-9.27179572
1538740533.025,-7.78523178
1538740533.0255,-7.06602959
1538740533.026,-6.33213419
1538740533.0265,5.78137585
1538740533.027,-15.58401688
1538740533.0275,2.1969366
1538740533.028,4.28685093
1538740533.0285,-6.3406992
1538740533.029,-1.85841749
1538740533.0295,-15.51332282
1538740533.03001,10.51315782
1538740533.03051,5.37036231
1538740533.03101,4.41112038
1538740533.03151,7.31020541
1538740533.03201,1.1272063
1538740533.03251,-14.34469895
1538740533.03301,-4.80751609
1538740533.03351,-0.635615360000003
1538740533.03401,-1.63997795
1538740533.03451,14.65929202
1538740533.03501,-14.80017755
1538740533.03551,-2.7872343
1538740533.03601,-16.05250263
1538740533.03652,-15.05599471
1538740533.03702,3.42471024
1538740533.03752,-15.07851411
1538740533.03802,4.8489599
1538740533.03852,-17.32775207
1538740533.03902,-10.17348166
1538740533.03952,-18.040864567
1538740533.04002,-5.73044538
1538740533.04052,-13.44874096
1538740533.04102,-14.19579876
1538740533.04152,-7.4243793
1538740533.04202,3.24117066
1538740533.04252,1.4190846
1538740533.04303,6.79255725
1538740533.04353,2.38548937
1538740533.04403,-1.45456415
1538740533.04453,22.3013942186
1538740533.04503,9.62496572
1538740533.04553,7.1898718
1538740533.04603,-3.48994631
1538740533.04653,8.95482689
1538740533.04703,6.48888305
1538740533.04753,2.91070513
1538740533.04803,0.457134210000001
1538740533.04853,-13.83184816
1538740533.04904,-12.00234976
1538740533.04954,1.73614553
1538740533.05004,-26.75939036
1538740533.05054,-19.64154278
1538740533.05104,-6.31127549
1538740533.05154,-16.70432993
1538740533.05204,-14.65953181
1538740533.05254,-7.64150087
1538740533.05304,-3.46110948
1538740533.05354,-6.0070014
1538740533.05404,2.49415017
1538740533.05454,-13.824257699
1538740533.05504,-2.96881298
1538740533.05555,-2.53850272
1538740533.05605,2.9051418
1538740533.05655,9.62559511
1538740533.05705,-4.0627976
1538740533.05755,9.06544113
1538740533.05805,13.928437508
1538740533.05855,0.935040499999999
1538740533.05905,17.11036494
1538740533.05955,13.04926615
1538740533.06005,18.91512893
1538740533.06055,13.68479878
1538740533.06105,3.18112567
1538740533.06155,1.74982683
1538740533.06206,-11.92795122
1538740533.06256,-5.03559106
1538740533.06306,-8.17007934
1538740533.06356,-18.38276425
1538740533.06406,-27.02145572
1538740533.06456,-6.26773314
1538740533.06506,-10.13485109
1538740533.06556,-12.23895403
1538740533.06606,-14.40218354
