ts,value
1538740522.00045,-9.42266433
1538740522.00094,-11.33307672
1538740522.00144,-14.56910992
1538740522.00193,-30.164562117
1538740522.00243,5.14293723
1538740522.00292,9.33254148
1538740522.00342,22.48956989
1538740522.00392,45.85480735
1538740522.00441,25.9605382431
1538740522.0049,14.68948982
1538740522.0054,13.13775994
1538740522.0059,-14.68247939
1538740522.00639,-12.25403764
1538740522.00689,-9.31063217
1538740522.00738,-27.08862403
1538740522.00788,-12.229853865
1538740522.00837,-6.8655595
1538740522.00887,-3.19230673
1538740522.00936,-10.39169289
1538740522.00986,2.40479919
1538740522.01035,4.26934242
1538740522.01085,-3.64093302
1538740522.01134,17.38411768
1538740522.01184,6.7681892
1538740522.01233,7.60331439
1538740522.01283,-0.660863880000001
1538740522.01332,5.22896534
1538740522.01382,1.16862105
1538740522.01431,-15.982430505
1538740522.01481,-16.24118954
1538740522.01531,-17.33045046
1538740522.0158,-7.52045354
1538740522.0163,-9.16788343
1538740522.01679,3.37123248
1538740522.01729,10.62756349
1538740522.01778,6.92039524
1538740522.01828,10.904258677
1538740522.01877,7.95963991
1538740522.01927,7.95815281
1538740522.01976,11.34298704
1538740522.02026,0.27552938
1538740522.02075,-6.06709861
1538740522.02125,-4.46781302
1538740522.02174,-4.57385476
1538740522.02224,-5.92323033
1538740522.02273,-7.36859108
1538740522.02323,-9.12526294
1538740522.02373,-6.25205399
1538740522.02422,1.27550307
1538740522.02472,-2.22151658
1538740522.02521,12.98822637
1538740522.02571,16.53116425
1538740522.0262,15.89524006
1538740522.0267,10.79758967
1538740522.02719,1.68480494
1538740522.02769,-12.92675066
1538740522.02818,3.703846
1538740522.02868,-6.62819266
1538740522.02917,-16.47988777
1538740522.02967,-35.03682226
1538740522.03016,-36.016908225
1538740522.03066,-0.228782199999998
1538740522.03115,-6.47896007
1538740522.03165,14.96248155
1538740522.03214,-3.89816712
1538740522.03264,9.10531237
1538740522.03313,18.7345038
1538740522.03363,12.06525227
1538740522.03413,7.81724698
1538740522.03462,7.671160949
1538740522.03512,-24.89827661
1538740522.03563,-24.28910475
1538740522.03613,-17.73937606
1538740522.03663,-25.9847647
1538740522.03714,-11.98658932
1538740522.03764,3.39705087
1538740522.03814,-2.96840673
1538740522.03865,8.06960918
1538740522.03915,3.74555588
1538740522.03965,-11.06044578
1538740522.04016,0.888915721
1538740522.04066,-0.938456069999999
1538740522.04116,-6.95970555
1538740522.04167,-4.70930381
1538740522.04217,-15.39638719
1538740522.04267,5.37406309
1538740522.04318,2.1198569
1538740522.04368,4.92402179
1538740522.04418,-14.078403217
1538740522.04469,-11.47861476
1538740522.04519,-2.8672914
1538740522.04569,-0.331834709999999
1538740522.0462,1.01977272
1538740522.0467,-1.70027831
1538740522.0472,4.6438408
1538740522.04771,-7.47513221
1538740522.04821,6.95201398
1538740522.04871,8.58896781
1538740522.04922,8.51038884
1538740522.04972,-7.14804457
1538740522.05022,-2.19188546
1538740522.05073,-25.649844049
1538740522.05123,-23.2860028
1538740522.05173,-4.0570374
1538740522.05224,-11.02597789
1538740522.05274,-7.82411888
1538740522.05324,11.97483112
1538740522.05375,-9.45851322
1538740522.05425,2.1305818
1538740522.05475,16.26818991
1538740522.05526,1.55342388
1538740522.05576,4.03702306
1538740522.05626,-11.09918877
1538740522.05677,-5.05791287
1538740522.05727,-12.28813504
1538740522.05777,3.51925229
1538740522.05828,-1.37518314
1538740522.05878,-0.68778272
1538740522.05928,7.13283183
1538740522.05979,9.43995856
1538740522.06029,-5.4308853
1538740522.06079,-17.01999618
1538740522.0613,-9.08374543
1538740522.0618,-16.81030198
1538740522.0623,-0.755275785
1538740522.0628,-14.48836849
1538740522.06331,-2.06763411
1538740522.06381,7.23933939
1538740522.06431,-8.59879536
1538740522.06482,-8.0036683
1538740522.06532,9.58592222
1538740522.06582,2.3483105
1538740522.06633,8.58438629
1538740522.06683,5.355152811
1538740522.06733,12.98028847
1538740522.06784,-3.0463714
1538740522.06834,-1.32698131
1538740522.06885,2.02307321
1538740522.06935,0.98782484
1538740522.06985,8.11541247
1538740522.07035,-5.28585338
1538740522.07086,3.44039298
1538740522.07136,-1.33235739
1538740522.07187,11.37255388
1538740522.07237,7.68340354
1538740522.07287,0.118743
1538740522.07337,13.500462
1538740522.07388,8.5009107
1538740522.07438,4.51320269
1538740522.07488,-3.19598336
1538740522.07539,-2.70741367
1538740522.07589,5.54699874
1538740522.0764,1.0467252
1538740522.0769,-29.80828707
1538740522.0774,-10.94131371
1538740522.0779,-22.685371305
1538740522.07841,9.60120741
1538740522.07891,-3.19715796
1538740522.07942,1.69726516
1538740522.07992,7.47249797
1538740522.08042,12.76151939
1538740522.08092,11.79522271
1538740522.08143,1.47260328
1538740522.08193,11.93542474
1538740522.08243,-4.605780584
1538740522.08294,-7.07042506
1538740522.08344,-13.892300179
1538740522.08394,-4.09082272
1538740522.08445,-11.02336575
1538740522.08495,-10.08986803
1538740522.08545,-15.68890263
1538740522.08596,7.24240812
1538740522.08646,-1.55537468
1538740522.08696,9.10203124
1538740522.08747,2.8362513
1538740522.08797,-0.242911100000001
1538740522.08847,2.44938543
1538740522.08898,4.07102633
1538740522.08948,1.09190802
1538740522.08998,-4.30499789
1538740522.09049,-11.27323269
1538740522.09099,-16.53911444
1538740522.09149,-17.80811292
1538740522.092,-8.03423061
1538740522.0925,12.56535955
1538740522.093,8.43958089
1538740522.09351,16.64409499
1538740522.09401,25.47016998
1538740522.09451,11.758289357
1538740522.09502,24.80566707
1538740522.09552,30.1416325
1538740522.09602,6.293097619
1538740522.09653,13.766967536
1538740522.09703,0.0135054599999993
1538740522.09753,-18.862611362
1538740522.09804,-13.9390459
1538740522.09854,-19.824126023
1538740522.09904,-25.4214547
1538740522.09955,-13.36642837
1538740522.10005,15.41071322
1538740522.10055,-20.3853923
1538740522.10106,0.533658999999998
1538740522.10156,7.88947344
1538740522.10206,2.05572361
1538740522.10257,14.35045316
1538740522.10307,-3.52864072
1538740522.10357,-1.991250027
1538740522.10408,-8.45452404
1538740522.10458,-6.44113066
1538740522.10508,-21.691361217
1538740522.10559,-36.59144024
1538740522.10609,-25.57515705
1538740522.10659,-39.35447549
1538740522.1071,-12.32497978
1538740522.1076,3.488353817
1538740522.1081,-18.59738012
1538740522.10861,14.8847466
1538740522.10911,19.886841053
1538740522.10961,11.14769649
1538740522.11012,13.9912537
1538740522.11062,8.92110584
1538740522.11112,6.83115104
1538740522.11163,15.04252288
1538740522.11213,2.580927
1538740522.11263,-3.3855868
1538740522.11314,-35.77353474
1538740522.11364,-31.85324195
1538740522.11414,-17.01267148
1538740522.11465,3.25165078
1538740522.11515,-1.73616596
1538740522.11565,23.27462351
1538740522.11616,24.01871351
1538740522.11666,28.31016015
1538740522.11716,28.65352061
1538740522.11767,16.266866945
1538740522.11817,20.03777803
1538740522.11867,0.697555100000001
1538740522.11918,-16.16458956
1538740522.11968,-13.85099108
1538740522.12018,-27.05545399
1538740522.12069,-30.56456063
1538740522.12119,-19.27715856
1538740522.12169,-22.6283398782
1538740522.1222,-7.96002022
1538740522.1227,4.69634961
1538740522.1232,16.382219712
1538740522.12371,36.75968049
1538740522.12421,23.431305064
1538740522.12471,17.72009125
1538740522.12522,10.97819498
1538740522.12572,-3.007046321
