ts,value
1534850362.00048,1.121112166
1534850362.00097,18.3482792
1534850362.00147,3.80086255
1534850362.00197,3.23858166
1534850362.00247,-7.346095088
1534850362.00297,-22.43901134
1534850362.00347,18.41752574
1534850362.00397,28.59705707
1534850362.00447,-1.8476291477
1534850362.00497,-28.005828356
1534850362.00547,-28.77957985
1534850362.00596,15.323396236
1534850362.00646,20.92178112
1534850362.00696,30.1252859131
1534850362.00746,-12.27018034
1534850362.00796,-42.05716923
1534850362.00846,-23.96950937
1534850362.00896,10.65647423
1534850362.00946,5.29109573
1534850362.00996,-3.5875802
1534850362.01046,-13.989597939
1534850362.01096,-14.74230222
1534850362.01146,-15.69386792
1534850362.01196,16.226757
1534850362.01245,6.14185524
1534850362.01295,-32.96085931
1534850362.01345,-8.81271873
1534850362.01395,-18.30867434
1534850362.01445,8.49628258
1534850362.01495,20.661392351
1534850362.01545,-3.653479745
1534850362.01595,-31.39121954
1534850362.01645,-40.34253176
1534850362.01695,5.334189769
1534850362.01745,7.27022982
1534850362.01794,7.538912534
1534850362.01844,-9.404984585
1534850362.01894,-34.605532544
1534850362.01944,-29.04324516
1534850362.01994,7.864019293
1534850362.02044,18.07683956
1534850362.02094,13.873978742
1534850362.02144,-20.88185894
1534850362.02194,-31.02056264
1534850362.02244,0.517631053
1534850362.02294,2.09402304
1534850362.02343,35.639678
1534850362.02393,2.4539547
1534850362.02443,-17.44435286
1534850362.02493,-21.39477313
1534850362.02543,7.09087849
1534850362.02593,36.19102282
1534850362.02643,11.218346358
1534850362.02693,-11.899251521
1534850362.02743,-18.212872022
1534850362.02793,-23.264274277
1534850362.02842,23.75132557
1534850362.02892,28.52154874
1534850362.02942,-15.886187376
1534850362.02992,-16.41499436
1534850362.03042,-7.30920863
1534850362.03092,-2.84247878
1534850362.03142,13.76174974
1534850362.03192,22.2127164
1534850362.03242,-0.422249579000001
1534850362.03292,-35.90675591
1534850362.03342,-2.612237833
1534850362.03392,30.417992916
1534850362.03442,4.17768138
1534850362.03491,-3.953435725
1534850362.03541,-27.29818096
1534850362.03591,-43.703818639
1534850362.03641,10.45504475
1534850362.03691,21.144836729
1534850362.03741,19.427673906
1534850362.03791,-13.27667332
1534850362.03841,-15.73787307
1534850362.03891,-25.881655489
1534850362.03941,22.26677103
1534850362.03991,26.58991837
1534850362.0404,-0.299470868
1534850362.0409,-32.09835722
1534850362.0414,-12.76836417
1534850362.0419,9.575964509
1534850362.0424,24.235952678
1534850362.0429,18.89811605
1534850362.0434,-8.651108036
1534850362.0439,-30.173273729
1534850362.0444,-25.13536618
1534850362.0449,6.23293792
1534850362.0454,25.11790511
1534850362.0459,7.15923693
1534850362.04639,-17.905230418
1534850362.04689,-18.78656169
1534850362.04739,5.951836897
1534850362.04789,30.16505193
1534850362.04839,23.12899685
1534850362.04889,-0.987300400000001
1534850362.04939,-15.40586806
1534850362.04989,-9.39195514
1534850362.05039,14.75181352
1534850362.05089,10.00047037
1534850362.05138,6.020731494
1534850362.05188,-2.468459441
1534850362.05238,-33.56480714
1534850362.05288,-17.00224852
1534850362.05338,10.21603418
1534850362.05388,0.87016466
1534850362.05438,-11.81133068
1534850362.05488,-14.022410007
1534850362.05538,-9.55112016
1534850362.05588,3.32320404
1534850362.05638,4.066281826
1534850362.05687,20.13827654
1534850362.05737,-22.29628372
1534850362.05787,-24.19553486
1534850362.05837,7.600264853
1534850362.05887,10.85252333
1534850362.05937,21.44317678
1534850362.05987,-16.40549713
1534850362.06037,-1.563843966
1534850362.06087,-9.857773511
1534850362.06137,-6.71896374
1534850362.06187,16.892206815
1534850362.06237,-2.975933792
1534850362.06287,-9.547736879
1534850362.06336,-27.08690191
1534850362.06386,-9.467997222
1534850362.06436,-4.31381077
1534850362.06486,-0.468788130000002
1534850362.06536,-4.31327794
1534850362.06586,-27.75062378
1534850362.06636,-21.660672459
1534850362.06686,9.43061924
1534850362.06736,34.787147145
1534850362.06786,-21.13646817
1534850362.06836,-2.97672391
1534850362.06885,-7.16854615
1534850362.06935,-20.03306777
1534850362.06985,14.069665994
1534850362.07035,6.160320707
1534850362.07085,1.80257872
1534850362.07135,-16.338933025
1534850362.07185,-19.20686723
1534850362.07235,-23.76693181
1534850362.07285,6.08975348
1534850362.07335,9.62863469
