ts,value
1536322382.00003,6.61702371
1536322382.00053,-19.740820938
1536322382.00103,-18.77744909
1536322382.00152,2.67437291
1536322382.00202,10.5780854
1536322382.00252,22.78476571
1536322382.00302,-5.6852124
1536322382.00352,-13.88270068
1536322382.00401,-10.08242321
1536322382.00451,-3.26060617
1536322382.00501,20.76751134
1536322382.00551,-1.614561854
1536322382.006,-5.607618578
1536322382.0065,-25.968819914
1536322382.007,-23.05221918
1536322382.0075,30.13779541
1536322382.00799,12.04204895
1536322382.00849,0.24297583
1536322382.00899,-3.45936179
1536322382.00949,-13.729724349
1536322382.00998,-8.402973888
1536322382.01048,-0.194529200000001
1536322382.01098,-3.625369667
1536322382.01148,2.141808689
1536322382.01197,-11.61436987
1536322382.01247,-1.70470596
1536322382.01297,9.70875275
1536322382.01347,-8.46592045
1536322382.01396,-16.474337556
1536322382.01446,-15.451739973
1536322382.01496,-4.83327878
1536322382.01546,-11.49637985
1536322382.01595,12.0637418
1536322382.01645,-16.632340548
1536322382.01695,-9.32755268
1536322382.01745,0.173741459
1536322382.01795,10.273102177
1536322382.01844,-8.09312606
1536322382.01894,-10.075703268
1536322382.01944,-2.71858261
1536322382.01994,-2.96876025
1536322382.02043,7.54827475
1536322382.02093,6.13740516
1536322382.02143,-4.188082872
1536322382.02192,-18.16746569
1536322382.02242,-0.131133558
1536322382.02292,8.49075079
1536322382.02342,8.73236287
1536322382.02392,-17.16599317
1536322382.02441,-16.200951104
1536322382.02491,-9.17695212
1536322382.02541,11.52952838
1536322382.02591,7.18454504
1536322382.0264,-3.444704364
1536322382.0269,-10.30644011
1536322382.0274,-7.16029261
1536322382.0279,-8.66132021
1536322382.02839,3.963336764
1536322382.02889,6.162989944
1536322382.02939,-1.43478512
1536322382.02989,-4.14508179
1536322382.03038,-8.39555862
1536322382.03088,2.4805510738
1536322382.03138,9.666595226
1536322382.03188,-5.211593685
1536322382.03238,-1.281263947
1536322382.03287,8.369293805
1536322382.03337,-7.65006089
1536322382.03387,-8.81484666
1536322382.03436,0.83070086
1536322382.03486,8.773719549
1536322382.03536,-12.607465693
1536322382.03586,0.0771360399999992
1536322382.03636,-0.858246789999999
1536322382.03685,2.33151353
1536322382.03735,-3.119462195
1536322382.03785,-3.5891117
1536322382.03834,3.562385561
1536322382.03884,10.725027931
1536322382.03934,2.662141867
1536322382.03984,8.398600757
1536322382.04034,-4.87096237
1536322382.04083,0.22287726
1536322382.04133,-4.03221203
1536322382.04183,-10.03013158
1536322382.04233,-2.63867663
1536322382.04282,15.975692983
1536322382.04332,2.931173931
1536322382.04382,-4.29897999
1536322382.04432,-6.221710289
1536322382.04481,6.402558832
1536322382.04531,17.284998352
1536322382.04581,15.04756974
1536322382.04631,-10.525499435
1536322382.0468,-20.29783917
1536322382.0473,-11.755229656
1536322382.0478,29.957424904
1536322382.0483,18.969878
1536322382.04879,0.36776924
1536322382.04929,-12.131955886
1536322382.04979,-13.08872165
1536322382.05029,3.340149822
1536322382.05078,17.92379334
1536322382.05128,18.77808812
1536322382.05178,1.18937711
1536322382.05228,-17.507134674
1536322382.05277,-20.06576367
1536322382.05327,-8.524626054
1536322382.05377,13.17081789
1536322382.05427,13.443102582
1536322382.05476,-7.963509141
1536322382.05526,-14.55220556
1536322382.05576,-3.595393839
1536322382.05626,3.8977251
1536322382.05676,15.45465518
1536322382.05725,4.300302323
1536322382.05775,-39.60246306
1536322382.05825,-21.0104108
1536322382.05875,18.62654282
1536322382.05924,11.22036555
1536322382.05974,8.25277078
1536322382.06024,-5.944080568
1536322382.06074,-27.00705626
1536322382.06123,-8.92328095
1536322382.06173,20.562094895
1536322382.06223,13.92755387
1536322382.06273,12.95251477
1536322382.06322,-28.52913715
1536322382.06372,-16.761157868
1536322382.06422,-0.125910770000001
1536322382.06472,23.37146232
1536322382.06522,35.663937533
1536322382.06571,-10.7062584411
1536322382.06621,-17.89538319
1536322382.06671,0.34767818
1536322382.06721,-12.35414124
1536322382.0677,21.04670394
1536322382.0682,4.7522986
1536322382.0687,-14.813333612
1536322382.0692,-29.837087593
1536322382.06969,-5.64455485
