ts,value
1536321635.00048,26.00681406
1536321635.00098,0.731789689999999
1536321635.00148,-11.27616311
1536321635.00198,-8.472991
1536321635.00248,-9.5187091
1536321635.00298,39.48033191
1536321635.00347,19.76846884
1536321635.00397,0.781217599999998
1536321635.00447,-9.1753465
1536321635.00497,-24.27369079
1536321635.00547,4.9381619
1536321635.00597,11.8062077
1536321635.00646,12.7110052
1536321635.00696,-15.2629175
1536321635.00746,-32.41400043
1536321635.00796,-25.81737548
1536321635.00846,8.92977434
1536321635.00896,13.94685268
1536321635.00945,8.016118
1536321635.00995,-15.37438966
1536321635.01045,-17.95426727
1536321635.01095,7.48136892
1536321635.01145,-5.82284744
1536321635.01195,39.66324068
1536321635.01244,6.05656429
1536321635.01294,-30.331440759
1536321635.01344,-22.2037406
1536321635.01394,-2.7767677
1536321635.01444,21.54841854
1536321635.01494,2.8380546
1536321635.01543,-7.5914907
1536321635.01593,-32.1940584
1536321635.01643,-1.9516611
1536321635.01693,30.85455126
1536321635.01743,16.27727132
1536321635.01793,10.4161214
1536321635.01842,-36.48458524
1536321635.01892,-15.9678803
1536321635.01942,15.54075434
1536321635.01992,22.7655351
1536321635.02042,21.16817758
1536321635.02092,-5.3098202
1536321635.02141,-27.97814276
1536321635.02191,-16.3430023
1536321635.02241,25.343591664
1536321635.02291,20.0188655
1536321635.02341,8.4961863
1536321635.02391,-12.0216885
1536321635.02441,-19.26670832
1536321635.0249,-1.2365724
1536321635.0254,6.11575517
1536321635.0259,17.80075362
1536321635.0264,5.98168949
1536321635.0269,8.77305419
1536321635.0274,1.7680435
1536321635.02789,12.78163629
1536321635.02839,29.60202878
1536321635.02889,11.7743674
1536321635.02939,-22.053290621
1536321635.02989,-20.20337233
1536321635.03039,3.9240331
1536321635.03088,29.7532463
1536321635.03138,17.1822759
1536321635.03188,-11.3479509
1536321635.03238,-8.88546659
1536321635.03288,-9.63279909
1536321635.03338,-5.7745218
1536321635.03387,21.84517044
1536321635.03437,15.07338575
1536321635.03487,-6.357626
1536321635.03537,-4.06190434
1536321635.03587,-13.27112778
1536321635.03637,17.494997
1536321635.03686,26.12584373
1536321635.03736,9.9310322
1536321635.03786,-4.68810756
1536321635.03836,-8.52503964
1536321635.03886,-0.567558300000002
1536321635.03936,34.657332699
1536321635.03985,16.53618381
1536321635.04035,-3.57149176
1536321635.04085,-19.1438428
1536321635.04135,-22.19787696
1536321635.04185,13.71180625
1536321635.04235,17.17623667
1536321635.04284,8.97192
1536321635.04334,-10.8216982
1536321635.04384,-6.874691
1536321635.04434,27.00487904
1536321635.04484,-3.39149
1536321635.04534,22.54740575
1536321635.04583,-1.2816791
1536321635.04633,-18.62947946
1536321635.04683,5.6087074
1536321635.04733,-8.8396216
1536321635.04783,16.10420986
1536321635.04833,-5.2282324
1536321635.04882,15.45091918
1536321635.04932,-17.02733897
1536321635.04982,2.7805682
1536321635.05032,-1.574215
1536321635.05082,7.44593323
1536321635.05132,4.0257607
1536321635.05181,-5.9089813
1536321635.05231,-9.5553512
1536321635.05281,23.1093626
1536321635.05331,2.9478188
1536321635.05381,-0.306245699999998
1536321635.05431,4.8284673
1536321635.0548,5.33967591
1536321635.0553,12.88677402
1536321635.0558,20.9430246
1536321635.0563,7.47637934
1536321635.0568,2.0315495
1536321635.0573,-16.037983
1536321635.05779,-11.05824659
1536321635.05829,12.5233956
1536321635.05879,11.92465395
1536321635.05929,0.0956136000000001
1536321635.05979,-6.3889505
1536321635.06029,-10.87995917
1536321635.06078,-8.3264942
1536321635.06128,4.4356766
1536321635.06178,12.51318309
1536321635.06228,-0.7886144
1536321635.06278,-18.02263349
1536321635.06328,-12.02655032
1536321635.06377,3.2889042
1536321635.06427,14.0164461
1536321635.06477,16.77908284
1536321635.06527,4.2739659
1536321635.06577,15.21783452
1536321635.06627,-13.921958
1536321635.06676,-1.1794386
1536321635.06726,7.8977147
1536321635.06776,7.0781889
1536321635.06826,-9.5592327
1536321635.06876,4.1912031
1536321635.06926,-21.00390432
1536321635.06975,-7.3921909
1536321635.07025,-1.4727918
1536321635.07075,-5.2463008
1536321635.07125,4.4530192
1536321635.07175,2.6406555
1536321635.07225,-15.4795991
1536321635.07275,4.5493964
