ts,value
1536317100.00039,-32.2250686
1536317100.00089,-25.55209251
1536317100.00139,-10.678693525
1536317100.00189,10.00927782
1536317100.00239,0.130535939999999
1536317100.00289,-5.00521202
1536317100.00339,-28.34430405
1536317100.00389,-13.02551204
1536317100.00439,-3.21721994
1536317100.00489,1.25714929
1536317100.00539,-16.299380619
1536317100.00589,-20.64093505
1536317100.00639,-17.45252658
1536317100.00689,-0.21018789
1536317100.00739,17.71891022
1536317100.00789,17.20330776
1536317100.00839,-22.09441352
1536317100.00889,-27.33950811
1536317100.00939,-1.9153025
1536317100.00989,7.80233717
1536317100.01039,3.48703838
1536317100.01089,-9.2214613
1536317100.01138,-23.431244706
1536317100.01188,-38.46371366
1536317100.01238,-15.562854928
1536317100.01289,-1.42520145
1536317100.01339,18.48261972
1536317100.01389,-8.52276202
1536317100.01438,-26.47875596
1536317100.01488,-15.25888037
1536317100.01538,15.34977238
1536317100.01588,28.06618314
1536317100.01638,19.3177189
1536317100.01688,-10.22818212
1536317100.01738,-21.79446605
1536317100.01788,4.45229484
1536317100.01838,9.05278397
1536317100.01888,15.641218712
1536317100.01938,-2.987153645
1536317100.01988,-44.64413445
1536317100.02038,-14.26451589
1536317100.02088,8.598869108
1536317100.02138,20.015256775
1536317100.02188,9.96737574
1536317100.02238,-10.16688255
1536317100.02288,-26.81250407
1536317100.02338,-16.2194208
1536317100.02388,5.354477933
1536317100.02438,12.361726822
1536317100.02488,15.75258188
1536317100.02538,-38.14864778
1536317100.02588,-20.10660834
1536317100.02638,9.337219258
1536317100.02688,21.641637394
1536317100.02738,0.644540340000002
1536317100.02788,-31.8573555043
1536317100.02838,-40.47178174
1536317100.02888,-10.38051753
1536317100.02938,10.722672889
1536317100.02988,1.65801261
1536317100.03038,-6.935744689
1536317100.03088,-10.405542217
1536317100.03138,-23.35104032
1536317100.03188,-5.01491767
1536317100.03238,24.616158124
1536317100.03288,18.21603491
1536317100.03338,-18.65739648
1536317100.03388,-3.072275608
1536317100.03438,-11.69429256
1536317100.03488,3.268495077
1536317100.03538,11.45711515
1536317100.03588,-5.25601471
1536317100.03638,-46.46869875
1536317100.03688,-17.25513863
1536317100.03738,-5.02175003
1536317100.03788,12.138725158
1536317100.03838,22.17206531
1536317100.03888,-15.03170923
1536317100.03938,-34.35361436
1536317100.03988,-16.23202993
1536317100.04038,-0.643751150000001
1536317100.04088,12.16080958
1536317100.04138,3.197979537
1536317100.04188,-31.9810026
1536317100.04238,-13.563509826
1536317100.04288,-17.755460251
1536317100.04338,-8.44384013
1536317100.04388,3.06773241
1536317100.04438,-28.830822212
1536317100.04488,-33.116859545
1536317100.04538,-18.99626566
1536317100.04588,14.31135356
1536317100.04638,16.31360532
1536317100.04688,17.76899862
1536317100.04738,-20.85952457
1536317100.04788,-18.77384161
1536317100.04838,1.73505857
1536317100.04888,16.692530199
1536317100.04938,30.36472111
1536317100.04988,-5.04864219
1536317100.05038,-34.25331151
1536317100.05088,-15.789673114
1536317100.05138,-8.290332659
1536317100.05188,20.304649364
1536317100.05238,1.698943501
1536317100.05288,-31.83322858
1536317100.05338,-34.7282286
1536317100.05388,-11.35419699
1536317100.05438,16.20459793
1536317100.05488,11.1351602
1536317100.05538,-4.14174103
1536317100.05588,-19.839016162
1536317100.05638,-29.09697675
1536317100.05687,-24.34978587
1536317100.05737,9.69726705
1536317100.05787,5.947700145
1536317100.05837,-24.481643068
1536317100.05888,-20.53003314
1536317100.05938,-22.013425619
1536317100.05988,-1.43211734
1536317100.06037,15.60805709
1536317100.06087,12.37198579
1536317100.06137,-25.41823438
1536317100.06187,-22.22145276
1536317100.06237,-3.49288557
1536317100.06287,24.29812053
1536317100.06337,-2.9255723
1536317100.06387,-17.013735899
1536317100.06437,-19.40803667
1536317100.06487,-10.53291174
1536317100.06537,3.42044973
1536317100.06587,32.2037313406
1536317100.06637,6.61982397
1536317100.06687,-45.87521601
1536317100.06737,-29.55127167
1536317100.06787,-4.62527764
1536317100.06837,24.92678642
1536317100.06887,21.56801752
1536317100.06937,-10.42169907
1536317100.06987,-19.98247723
1536317100.07037,-21.150393657
1536317100.07087,5.433733351
1536317100.07137,27.61492778
1536317100.07187,1.38345911
1536317100.07237,-31.82115767
1536317100.07287,-25.71205427
1536317100.07337,-22.45720901
1536317100.07387,10.77481556
1536317100.07437,26.42485716
1536317100.07487,-9.90378571
1536317100.07537,-24.74116132
1536317100.07587,-17.50697331
1536317100.07637,-1.43281937
1536317100.07687,7.14852283
1536317100.07737,5.01658635
1536317100.07787,-1.10211567
1536317100.07837,-31.1188916886
1536317100.07887,11.32140277
1536317100.07937,4.94750949
1536317100.07987,1.666166586
1536317100.08037,-3.33776853
1536317100.08087,-21.41986653
1536317100.08137,-9.67195416
1536317100.08187,7.89933944
1536317100.08237,-5.6031576
1536317100.08287,0.51513939
1536317100.08337,-9.26082301
1536317100.08387,-8.93513973
1536317100.08437,-11.88144205
1536317100.08488,2.00013428
1536317100.08538,8.05669281
1536317100.08588,-9.69377852
1536317100.08638,-18.43974469
1536317100.08688,-26.712254645
1536317100.08738,-4.29904771
1536317100.08788,13.75260064
1536317100.08838,-11.8995943
1536317100.08888,-7.47638984
1536317100.08938,-19.44544552
1536317100.08988,-12.29186408
1536317100.09038,-10.58981752
1536317100.09088,26.15631155
1536317100.09138,0.97040438
1536317100.09188,-14.18719266
1536317100.09238,-8.55478408
1536317100.09288,-19.88904877
1536317100.09338,1.32907072
1536317100.09388,0.138455196000001
1536317100.09438,-18.1987236
1536317100.09488,-19.27007913
1536317100.09538,-22.16969442
1536317100.09588,14.68377693
1536317100.09638,4.46280983
1536317100.09688,-8.3575560977
1536317100.09738,-14.790679
1536317100.09788,-20.53062678
1536317100.09838,-15.18940712
1536317100.09888,9.088595942
1536317100.09938,6.66854406
1536317100.09988,0.80488539
1536317100.10038,-17.8126135
1536317100.10088,-2.40136815
1536317100.10138,-2.1831856
1536317100.10188,-4.81199888
1536317100.10238,-10.36346959
1536317100.10288,-14.44874384
1536317100.10338,-0.617428750000002
1536317100.10388,-20.32686659
1536317100.10438,-11.8569622
1536317100.10488,0.365911306
1536317100.10538,-16.67669941
1536317100.10588,-11.25102418
1536317100.10638,1.24968907
1536317100.10688,-7.76477372
1536317100.10738,8.875885732
1536317100.10789,-8.15208417
1536317100.10839,-10.30867831
1536317100.10889,-4.98388768
1536317100.10939,-7.51081852
1536317100.10989,0.889537559999999
1536317100.11039,-3.4427202
1536317100.11089,-1.65410109
1536317100.11139,-11.81162409
1536317100.11189,-28.15635694
1536317100.11239,9.92304229
1536317100.11289,5.40388916
1536317100.11339,-3.89017583
1536317100.11389,-15.67324712
1536317100.11439,-14.18142172
1536317100.11489,-17.17212867
1536317100.11539,2.613262543
1536317100.11589,-0.79479599
1536317100.11639,-2.09224451
1536317100.11689,-17.74508718
1536317100.11739,-2.71175
1536317100.11789,1.09909247
1536317100.11839,-13.91857486
1536317100.11889,14.566023816
1536317100.11939,8.500746
1536317100.11989,-8.16628227
1536317100.12039,7.2443462
1536317100.12089,-4.19359807
1536317100.12139,7.329222263
1536317100.12189,-16.68268318
1536317100.12239,-3.70416594
1536317100.12289,-3.83048248
1536317100.12339,-2.59250167
1536317100.12389,-29.169837664
1536317100.12439,-19.95856773
1536317100.12489,10.174016496
1536317100.12539,-1.62507489
1536317100.12589,-11.4875519
1536317100.12639,-9.34155944
1536317100.12689,-14.968068715
1536317100.12739,-7.431393147
1536317100.12789,5.67457858
1536317100.1284,18.02195835
1536317100.1289,-1.38966846
1536317100.1294,-24.483993202
1536317100.12989,-18.39674229
1536317100.1304,-11.45885615
1536317100.1309,-7.28744219
1536317100.1314,-15.98273377
1536317100.1319,-7.92446213
1536317100.1324,-11.27896587
1536317100.1329,-7.568742991
1536317100.1334,10.03609229
1536317100.1339,13.10130598
1536317100.1344,5.87165026
1536317100.1349,9.936470606
1536317100.1354,-13.281271756
1536317100.1359,-7.5795765
1536317100.1364,-5.79864738
1536317100.1369,-7.29382467
1536317100.1374,0.728359669999998
1536317100.1379,-15.85964197
1536317100.1384,-13.015980257
1536317100.1389,7.40113163
1536317100.1394,7.24599883
1536317100.1399,-7.43656302
1536317100.1404,-19.917035401
1536317100.1409,-9.176802992
1536317100.1414,-17.42862566
1536317100.1419,-16.91160631
1536317100.1424,2.37006238
1536317100.1429,1.640366498
1536317100.1434,-9.29543208
1536317100.1439,-14.35998309
1536317100.1444,-13.1434407
1536317100.1449,10.0062235
1536317100.1454,7.83779625
1536317100.1459,-18.80193569
1536317100.1464,-32.896818777
1536317100.1469,-20.031424642
1536317100.1474,1.61729041
1536317100.1479,9.46237092
1536317100.1484,-0.882234539999999
1536317100.1489,-31.810901415
1536317100.1494,-22.378862993
1536317100.1499,-0.91316561
1536317100.1504,15.901695
1536317100.15091,-1.94988352
1536317100.15141,-6.76970554
1536317100.15191,-37.55077983
1536317100.15241,-27.933817531
1536317100.15291,6.8130427
1536317100.15341,21.60296723
1536317100.15391,2.70097726
1536317100.15441,-15.29594324
1536317100.15491,-9.41087399
1536317100.15541,-3.34393361
1536317100.15591,4.45167395
1536317100.15641,25.66825592
1536317100.15691,-12.72537706
1536317100.15741,-32.39976445
1536317100.15791,-28.644049029
1536317100.15841,-2.06508059
1536317100.15891,22.72136478
1536317100.15941,2.10437628
1536317100.15991,-3.96382332
1536317100.16041,-17.83058481
1536317100.16091,10.12616418
1536317100.16141,17.31681748
1536317100.16191,21.74870529
1536317100.16241,-3.892597805
1536317100.16291,-14.21112534
1536317100.16341,-24.06111646
1536317100.16391,-5.5695422
1536317100.16441,12.502222229
1536317100.16491,-8.5198524
1536317100.16541,-43.73593616
1536317100.16591,-43.9271588
1536317100.16641,-7.770244005
1536317100.16691,13.109851054
1536317100.16741,17.09007117
1536317100.16791,-8.58990809
1536317100.16841,-27.23392296
1536317100.16891,-32.53229881
1536317100.16941,5.02333117
1536317100.16991,26.19719416
1536317100.17041,24.02930544
1536317100.17091,-24.58727382
1536317100.17141,-29.467973934
1536317100.17191,-25.91250253
1536317100.17241,14.00024273
1536317100.17291,15.461578838
1536317100.17341,3.81872608
1536317100.17392,-32.372707595
1536317100.17442,-33.79416847
1536317100.17492,1.14643621
1536317100.17542,19.41475673
1536317100.17592,15.35377701
1536317100.17641,-10.15715289
1536317100.17691,-32.481702003
1536317100.17741,-1.460931948
1536317100.17791,11.48975324
1536317100.17841,19.62836653
1536317100.17891,12.10613464
1536317100.1794,-20.8968718
1536317100.1799,-28.37758408
1536317100.1804,-8.48087123
1536317100.1809,19.29875347
1536317100.1814,8.264366145
1536317100.1819,-2.08958192
1536317100.18239,-41.13899755
1536317100.18289,-31.3731863
1536317100.18339,-15.30476643
1536317100.18389,9.501186292
1536317100.18439,3.60012177
1536317100.18488,-21.8577316543
1536317100.18538,-12.505471116
1536317100.18588,-10.1291843
1536317100.18638,29.21235089
1536317100.18688,32.83027221
1536317100.18738,-11.64340291
1536317100.18787,-36.95684245
1536317100.18837,-24.25115753
1536317100.18887,-11.49258732
1536317100.18937,21.84774567
1536317100.18987,6.88204556
1536317100.19036,-25.96002886
1536317100.19086,-38.82462742
1536317100.19136,-21.0865171
1536317100.19186,1.523094912
1536317100.19236,-1.88011606
1536317100.19285,-0.291576390000002
1536317100.19335,-18.80915235
1536317100.19385,-30.99575212
