ts,value
1534844456.00029,-18.24810557
1534844456.00079,-49.41294617
1534844456.00129,-20.33640265
1534844456.00179,16.2821598
1534844456.00229,17.84015056
1534844456.00279,17.0675339
1534844456.00329,0.553980588
1534844456.00379,-12.35021878
1534844456.00429,-17.74818315
1534844456.00479,-30.72958088
1534844456.0053,-10.0337869
1534844456.0058,3.71616102
1534844456.0063,29.51616379
1534844456.0068,12.10281881
1534844456.0073,-0.94479084
1534844456.0078,-20.63153446
1534844456.0083,-18.68875929
1534844456.0088,-24.80289294
1534844456.0093,5.95395183
1534844456.0098,20.15401271
1534844456.0103,19.82145782
1534844456.0108,-2.29242921
1534844456.0113,-33.45173022
1534844456.0118,-42.22227481
1534844456.0123,-28.91059021
1534844456.0128,-9.06594896
1534844456.0133,2.7828685576
1534844456.0138,17.96146912
1534844456.0143,9.35020399
1534844456.01481,9.946244036
1534844456.01531,-17.01937902
1534844456.01581,-34.0569606
1534844456.01631,-0.621998790000001
1534844456.01681,0.06004538
1534844456.01731,16.24648903
1534844456.01781,21.72058249
1534844456.01831,-7.50974677
1534844456.01881,-14.9486667435
1534844456.01931,-42.10722035
1534844456.01981,-28.86912271
1534844456.02031,2.51589584
1534844456.02081,26.80026247
1534844456.02131,23.81377363
1534844456.02181,5.05156183
1534844456.02231,-27.0106125535
1534844456.02281,-38.63877328
1534844456.02331,-37.06967448
1534844456.02381,0.84856082
1534844456.02432,19.72056636
1534844456.02482,21.05948547
1534844456.02532,17.71104936
1534844456.02582,-12.701072636
1534844456.02632,-16.19881865
1534844456.02682,-27.372958987
1534844456.02732,-15.84480784
1534844456.02782,27.83635061
1534844456.02832,16.93663741
1534844456.02882,13.42228362
1534844456.02932,-10.454031522
1534844456.02982,-30.36348633
1534844456.03032,-19.62716152
1534844456.03082,-6.42003679
1534844456.03132,8.68936399
1534844456.03182,19.26588626
1534844456.03232,10.981331
1534844456.03282,-34.08543706
1534844456.03332,-16.30292982
1534844456.03383,-40.49100159
1534844456.03433,-28.71412332
1534844456.03483,35.79157017
1534844456.03533,12.76766143
1534844456.03583,5.10271123
1534844456.03633,-14.095458059
1534844456.03683,-37.78678175
1534844456.03733,-14.63305186
1534844456.03783,7.3724761
1534844456.03833,24.25163456
1534844456.03883,53.71606884
1534844456.03933,7.51775646
1534844456.03983,-26.62518527
1534844456.04033,-26.114842096
1534844456.04083,-22.42999049
1534844456.04133,3.64316725
1534844456.04183,22.66593935
1534844456.04234,14.64992231
1534844456.04283,6.8851385
1534844456.04334,-24.88322064
1534844456.04384,-37.59100157
1534844456.04434,-16.79287722
1534844456.04484,5.142714701
1534844456.04534,23.15653924
1534844456.04584,9.13094737
1534844456.04634,3.225152268
1534844456.04684,-19.21578722
1534844456.04734,-31.653349728
1534844456.04784,1.18983083
1534844456.04834,23.18769271
1534844456.04884,10.18260858
1534844456.04934,11.96011209
1534844456.04984,-20.30210397
1534844456.05034,-21.268796392
1534844456.05084,-22.2389679
1534844456.05134,17.36648986
1534844456.05185,10.13445997
1534844456.05235,9.09217838
1534844456.05285,-11.16409493
1534844456.05335,-16.04240918
1534844456.05385,-35.46671574
1534844456.05435,6.96210433
1534844456.05485,12.29851864
1534844456.05535,11.9361548
1534844456.05585,0.92159197
1534844456.05635,-27.66155272
1534844456.05685,-29.65597618203
1534844456.05735,-21.41055444
1534844456.05785,20.34233951
1534844456.05835,22.998070965
1534844456.05885,24.20118757
1534844456.05935,-15.595277317
1534844456.05985,-12.62877677
1534844456.06035,-29.20184423
1534844456.06085,-13.65934921
1534844456.06135,26.01205346
1534844456.06186,12.33492095
1534844456.06236,-1.7939856
1534844456.06286,-25.77543025
1534844456.06336,1.31955326
1534844456.06386,-13.53982158
1534844456.06436,9.83787224
1534844456.06486,-3.5780343
1534844456.06536,-4.640712287
1534844456.06586,-13.666210965
1534844456.06636,-8.043585662
1534844456.06686,-11.265392554
1534844456.06736,17.18341565
1534844456.06786,8.54059977
1534844456.06836,7.92895257
1534844456.06886,-19.252933922
1534844456.06936,-22.63912672
1534844456.06986,-19.963788329
1534844456.07036,-0.67959319
1534844456.07086,17.5535603
1534844456.07136,45.05367713
1534844456.07187,-13.21361304
1534844456.07237,-20.04931781
1534844456.07287,-22.272215943
1534844456.07337,17.85379933
1534844456.07387,8.424109052
1534844456.07437,21.4385805
1534844456.07487,-8.59593845
1534844456.07537,-10.94372201
1534844456.07587,-22.11860466
1534844456.07637,8.59098553
1534844456.07687,17.268906447
1534844456.07737,13.49556299
1534844456.07787,-6.84107363
1534844456.07837,-28.22725514
1534844456.07887,-13.79047989
1534844456.07937,7.44637371
1534844456.07987,9.39154579
1534844456.08037,11.62800504
1534844456.08087,-9.5176839579
1534844456.08137,-37.330308209
1534844456.08187,-28.61182693
1534844456.08238,9.730467195
1534844456.08288,19.26284669
1534844456.08338,5.21421668
1534844456.08388,1.7149392
1534844456.08438,-12.808400306
1534844456.08488,-2.9286151
1534844456.08538,-0.221891859999999
1534844456.08588,-10.7018425796
1534844456.08638,-12.8152881
1534844456.08688,3.35180905
1534844456.08738,-1.95984768
1534844456.08788,-12.5026396135
1534844456.08838,15.05000019
1534844456.08888,6.18473956
1534844456.08938,8.01157619
1534844456.08988,-10.53040671
1534844456.09038,-2.422971044
1534844456.09088,0.462694583
1534844456.09138,-2.762827412
1534844456.09188,6.29528235
1534844456.09238,11.63271234
1534844456.09288,-9.03325177
1534844456.09338,-16.30566467
1534844456.09388,-12.87909188
1534844456.09438,0.0780563364999995
1534844456.09489,5.40377903
1534844456.09539,6.88669586
1534844456.09589,0.177343600000002
1534844456.09639,4.271590352
1534844456.09689,5.5825594009
1534844456.09739,-0.765543709999999
1534844456.09789,14.211414311
1534844456.09839,3.24071193
1534844456.09889,-5.68427086
1534844456.09939,-14.78090054
1534844456.09989,0.69639707
1534844456.10039,10.51028323
1534844456.10089,11.06582597
1534844456.10139,-6.46290792
1534844456.10189,-2.76806167
1534844456.10239,-2.54171349
1534844456.10289,3.273282645
1534844456.10339,7.49528433
1534844456.10389,30.26324042
1534844456.10439,-9.25976741
1534844456.10489,-22.350460748
1534844456.10539,4.94510495
1534844456.10589,-2.76384926
1534844456.1064,-3.6130261992
1534844456.10689,1.70222044
1534844456.10739,11.431957062
1534844456.1079,-2.656839082
1534844456.1084,-7.6216774
1534844456.1089,-9.58332594
1534844456.1094,-12.13008927
1534844456.1099,-1.0946276824
1534844456.1104,2.33245826
1534844456.1109,5.61226134
1534844456.1114,-12.79161549
1534844456.1119,-17.232864679
1534844456.1124,4.20892978
1534844456.1129,-14.9086882
1534844456.1134,-8.7097894
1534844456.1139,7.753931216
1534844456.1144,2.78927377
1534844456.1149,-10.109664956
1534844456.1154,-6.30334325
1534844456.1159,-8.35367843
1534844456.1164,-8.96916807
1534844456.1169,3.594189658
1534844456.1174,-3.84553143
1534844456.1179,1.29527401
1534844456.11841,-1.573602107
1534844456.11891,-5.411075367
1534844456.11941,-21.92259551
1534844456.11991,13.369667889
1534844456.12041,1.92479799
1534844456.12091,15.09163333
1534844456.12141,5.23274661
1534844456.12191,-0.423795103000001
1534844456.12241,-12.8794708
1534844456.12291,-7.32372702
1534844456.12341,6.81871895
1534844456.12391,0.420499873
1534844456.12441,-7.20322775
1534844456.12491,-18.1751044092
1534844456.12541,-7.913250436
1534844456.12591,9.09446196
1534844456.12641,-3.103438292
1534844456.12691,-5.12938726
1534844456.12741,5.348415134
1534844456.12791,4.35075938
1534844456.12841,-20.69314118
1534844456.12891,-4.36909342
1534844456.12941,-11.36521075
1534844456.12991,-11.15258384
1534844456.13041,20.70754671
1534844456.13091,20.34426404
1534844456.13142,-1.67925838
1534844456.13192,-16.60515008
1534844456.13242,-3.482767227
1534844456.13292,-5.302562463
1534844456.13342,-12.026454828
1534844456.13392,-11.86387589
1534844456.13442,-23.16237531
1534844456.13492,-10.413089622
1534844456.13542,-5.68109038
1534844456.13592,5.31167258
1534844456.13642,6.313514175
1534844456.13692,-3.210195208
1534844456.13742,-11.41241979
1534844456.13792,-7.11814835
1534844456.13842,4.12436282
1534844456.13892,0.670636640999998
1534844456.13942,-4.780685191
1534844456.13992,-2.32208527
1534844456.14042,3.84421964
1534844456.14092,5.957973605
1534844456.14142,-0.56802083
1534844456.14192,-5.413850748
1534844456.14243,5.061068232
1534844456.14293,5.031079147
1534844456.14342,-0.718423548
1534844456.14393,-8.21493649
1534844456.14443,-7.61298227
1534844456.14493,0.886380800000001
1534844456.14543,-0.96251515
1534844456.14593,0.81159818
1534844456.14643,-9.67444742
1534844456.14693,-8.174489961
1534844456.14743,0.845146534
1534844456.14793,-2.01490833
1534844456.14843,-4.773600617
1534844456.14893,-2.87967801
1534844456.14943,4.377042306
1534844456.14993,13.03845931
1534844456.15043,-1.651989168
1534844456.15093,-0.70574352
1534844456.15143,-0.932616260000001
1534844456.15193,-8.53976447
1534844456.15243,4.236396868
1534844456.15293,-8.06708222
1534844456.15343,-1.643390272
1534844456.15393,-20.098989
1534844456.15443,-7.75074527
1534844456.15494,-3.10549332
1534844456.15544,-3.03403499
1534844456.15594,7.436990639
1534844456.15644,-4.146080253
1534844456.15694,-0.0418648699999995
1534844456.15744,10.04719901
1534844456.15794,4.859169063
1534844456.15844,-0.08483719
1534844456.15894,-8.915424446
1534844456.15944,-10.070154395
1534844456.15994,0.58891296
1534844456.16044,3.07732224
1534844456.16094,-6.918276307
1534844456.16144,8.4352887
1534844456.16194,-18.64594268
1534844456.16244,-28.41827097
1534844456.16294,-11.64007094
1534844456.16344,-4.16313911
1534844456.16394,14.07682204
1534844456.16444,-15.04243616
1534844456.16494,-17.0433252
1534844456.16544,-12.493690957
1534844456.16594,-14.1854794396
1534844456.16644,20.70973256
1534844456.16694,-13.396744431
1534844456.16745,-15.10368181
1534844456.16795,-19.65798508
1534844456.16845,5.221047542
1534844456.16895,9.86700368
1534844456.16945,6.03331805
1534844456.16995,3.23902037
1534844456.17045,-11.90572072
1534844456.17095,-33.117222987
1534844456.17145,-7.561170007
1534844456.17195,19.55297407
1534844456.17245,11.76868419
1534844456.17295,-1.576274964
1534844456.17345,-23.096212155
1534844456.17395,-1.24082369
1534844456.17445,11.084454056
1534844456.17495,11.02349926
1534844456.17545,-0.390727519000001
1534844456.17595,-9.84711051
1534844456.17645,2.858021073
1534844456.17695,-11.574427429
1534844456.17745,6.84283221
1534844456.17795,24.51178
1534844456.17845,-1.94806456
1534844456.17895,-26.58889437
1534844456.17945,-15.15105894
1534844456.17995,25.66617941
1534844456.18045,15.859613189
1534844456.18095,-1.31982445
1534844456.18145,-17.420091804
1534844456.18195,-13.63053072
1534844456.18245,-6.010989482
1534844456.18295,35.481887204
1534844456.18345,24.8169908
1534844456.18395,6.70878338
1534844456.18445,-19.68747755
1534844456.18495,-13.57746482
1534844456.18545,-9.51515625
1534844456.18595,9.61355976
1534844456.18645,26.12135487
1534844456.18695,-6.76339292
1534844456.18745,-19.88206815
1534844456.18795,-3.03785205
1534844456.18845,19.21784078
1534844456.18895,2.85196244
1534844456.18945,-21.149591895
1534844456.18995,-6.5716443
1534844456.19045,-13.686418115
1534844456.19095,7.19536971
1534844456.19145,18.81198403
1534844456.19195,20.18307657
1534844456.19245,-14.0220308
1534844456.19295,-46.9477728
1534844456.19345,-3.59013558
1534844456.19395,4.54407117
1534844456.19445,16.83076263
1534844456.19495,6.79982365
1534844456.19545,-21.68283417
1534844456.19595,-17.76142714
1534844456.19645,4.4166441
1534844456.19695,25.306361172
1534844456.19745,2.6645431
1534844456.19795,-11.912171359
1534844456.19845,-17.98495913
1534844456.19895,-3.708372119
1534844456.19945,0.812944848000001
1534844456.19995,15.09824498
1534844456.20045,9.560251829
1534844456.20095,-18.95558668
1534844456.20145,-30.84831326
1534844456.20195,-0.98102057
1534844456.20245,16.36054083
1534844456.20295,23.92485721
1534844456.20345,-7.02016854
1534844456.20395,-37.887576452
1534844456.20445,-39.51861052
1534844456.20495,5.681989408
1534844456.20545,25.41100839
1534844456.20595,15.61046934
1534844456.20645,-13.95121812
1534844456.20695,-36.51583238
1534844456.20745,-2.13549959
1534844456.20795,2.64596963
1534844456.20845,29.43701318
1534844456.20895,-8.48017955
1534844456.20945,-16.60529185
1534844456.20995,-11.694166512
1534844456.21045,-7.21170377
1534844456.21095,18.51481637
1534844456.21145,-0.342008666000002
1534844456.21195,-24.71748589
1534844456.21245,-35.54651067
1534844456.21295,-7.194861817
1534844456.21345,24.19326087
1534844456.21395,15.24194238
1534844456.21445,-12.09641396
1534844456.21495,-45.2710109
1534844456.21545,-22.56925317
1534844456.21595,-10.63299369
1534844456.21645,31.73155883
1534844456.21695,17.96490478
1534844456.21745,-15.66952252
1534844456.21795,-22.061869395
1534844456.21845,-14.48042428
1534844456.21895,14.61823138
1534844456.21945,18.070371249
1534844456.21995,10.19727445
1534844456.22045,-31.54773289
1534844456.22095,-32.98451091
1534844456.22145,-9.06137975
1534844456.22195,29.34098146
1534844456.22245,14.9502835
1534844456.22295,-4.706608969
1534844456.22345,-30.5895868196
1534844456.22395,-9.788381581
1534844456.22445,3.34742177
1534844456.22495,26.39179127
1534844456.22545,-0.0533205300000006
1534844456.22595,-17.773576338
1534844456.22645,-25.769526039
1534844456.22695,-2.833596535
1534844456.22745,17.63015842
1534844456.22795,11.92287922
1534844456.22845,-6.68327404
1534844456.22895,-38.04146756
1534844456.22945,-23.46990111
1534844456.22995,6.51356148
1534844456.23045,15.13011737
1534844456.23095,-5.51623133
1534844456.23145,-31.84746789
1534844456.23195,-28.64497243
1534844456.23245,-10.224123775
1534844456.23295,31.72638414
1534844456.23345,23.32540399
1534844456.23395,-21.595141274
1534844456.23445,-35.39194542
1534844456.23495,-30.69884283
1534844456.23545,-0.56583425
1534844456.23595,31.78874052
1534844456.23645,7.14916444
1534844456.23695,-30.3704462
1534844456.23745,-30.25771927
1534844456.23795,-35.38585068
1534844456.23845,24.25886542
1534844456.23895,18.12134561
1534844456.23945,-20.25544698
1534844456.23995,-7.7688303
1534844456.24045,-29.028330859
1534844456.24095,2.03964546
1534844456.24145,19.89893436
1534844456.24195,7.71917537
1534844456.24244,-8.768481014
1534844456.24294,-21.26672557
1534844456.24345,-9.93274808
1534844456.24395,15.19965806
1534844456.24445,10.28634218
1534844456.24495,-1.38282971
1534844456.24545,-26.34012342
1534844456.24594,-27.45337232
1534844456.24645,-8.54559541
1534844456.24695,16.81059454
1534844456.24745,-6.97689417
1534844456.24795,-0.12693859
1534844456.24845,-11.917073
1534844456.24894,3.12039566
1534844456.24944,-3.9977207
1534844456.24995,29.44567066
1534844456.25045,-2.65161655
1534844456.25095,-22.12448821
1534844456.25145,-24.817340117
1534844456.25195,-8.54365373
1534844456.25244,19.60092928
1534844456.25295,2.05805196
1534844456.25345,-5.28272903
1534844456.25395,-16.9819245
1534844456.25445,-49.444066767
1534844456.25495,13.65303571
1534844456.25545,9.1746875
1534844456.25594,2.009090027
1534844456.25645,-31.99970534
