ts,value
1536317477.00047,-16.31074624
1536317477.00097,-36.073309317
1536317477.00146,-15.823542833
1536317477.00196,6.802548579
1536317477.00246,16.504420417
1536317477.00296,-1.31582029
1536317477.00346,-12.05604887
1536317477.00396,-15.38027909
1536317477.00446,-13.84355467
1536317477.00495,25.43981311
1536317477.00545,8.588593476
1536317477.00595,1.47250272
1536317477.00645,-10.348591987
1536317477.00695,-22.31557435
1536317477.00745,-2.2016344
1536317477.00795,2.85205998
1536317477.00844,-9.36321067
1536317477.00894,-14.59215356
1536317477.00944,-28.28230878
1536317477.00994,-6.46180425
1536317477.01044,18.65560734
1536317477.01094,11.648533044
1536317477.01144,3.52389289
1536317477.01193,-20.32919045
1536317477.01243,-13.91657914
1536317477.01293,9.19242692
1536317477.01343,12.5821856
1536317477.01393,23.764009433
1536317477.01443,-14.2941966
1536317477.01493,-12.46299552
1536317477.01542,-7.99825286
1536317477.01592,7.69876076
1536317477.01642,14.19383385
1536317477.01692,-7.69872139
1536317477.01742,-24.223027258
1536317477.01792,-27.0084796745
1536317477.01842,-1.47708301
1536317477.01891,12.08869691
1536317477.01941,16.46206048
1536317477.01991,-7.10378698
1536317477.02041,-23.132185146
1536317477.02091,-11.09605363
1536317477.02141,12.735136511
1536317477.02191,15.85460376
1536317477.0224,9.311683962
1536317477.0229,-18.95925254
1536317477.0234,-21.42875593
1536317477.0239,-17.66077423
1536317477.0244,13.3193121
1536317477.0249,3.8922429
1536317477.0254,-7.74486786
1536317477.02589,-40.510053563
1536317477.02639,-13.59264059
1536317477.02689,0.772671339999999
1536317477.02739,10.20859325
1536317477.02789,9.29950664
1536317477.02839,-20.222878537
1536317477.02889,-22.129153422
1536317477.02938,-19.8143396645
1536317477.02988,39.16382384
1536317477.03038,14.273823752
1536317477.03088,-11.17169166
1536317477.03138,-19.319990803
1536317477.03188,-32.45243626
1536317477.03238,1.90992737
1536317477.03287,40.361079
1536317477.03337,8.678406541
1536317477.03387,-25.6435766
1536317477.03437,-45.87272922
1536317477.03487,-24.953988824
1536317477.03537,18.96180152
1536317477.03587,10.00895401
1536317477.03636,12.397674451
1536317477.03686,-28.539035454
1536317477.03736,-14.25421752
1536317477.03786,15.89583691
1536317477.03836,17.512508768
1536317477.03886,13.40930614
1536317477.03936,-8.33946753
1536317477.03985,-23.7983574
