ts,value
1536320409.00046,0.4928751
1536320409.00096,8.28722143
1536320409.00146,-0.58416248
1536320409.00196,16.223900676
1536320409.00246,6.454679718
1536320409.00296,19.38928317
1536320409.00347,4.29827887
1536320409.00397,23.30844029
1536320409.00447,-8.9422815319
1536320409.00497,-5.51143742
1536320409.00547,13.535733795
1536320409.00597,1.648142716
1536320409.00647,11.06577182
1536320409.00698,1.489638987
1536320409.00748,-7.378704122
1536320409.00798,-2.82516397
1536320409.00848,-4.727260706
1536320409.00898,8.608346987
1536320409.00948,8.36265469
1536320409.00998,12.800378654
1536320409.01048,2.0269528758
1536320409.01099,9.54160274
1536320409.01149,1.157924768
1536320409.01199,-3.39918241
1536320409.01249,-0.7760781
1536320409.01299,-5.9153533
1536320409.01349,15.673666666
1536320409.01399,17.497510441
1536320409.01449,-1.07550848
1536320409.015,11.809326081
1536320409.0155,6.19897247
1536320409.016,21.7058847
1536320409.0165,1.81786922
1536320409.017,6.19540549
1536320409.0175,14.699116715
1536320409.018,0.411983499999999
1536320409.0185,8.729350566
1536320409.01901,23.417131155
1536320409.01951,6.043807933
1536320409.02001,-5.7005582894
1536320409.02051,17.8618736458
1536320409.02101,-0.72827932
1536320409.02151,2.73076916
1536320409.02201,-2.200491725
1536320409.02251,12.275119671
1536320409.02302,-29.37401672
1536320409.02352,-0.930480656
1536320409.02402,14.072990442
1536320409.02452,5.369608159
1536320409.02502,18.95312584
1536320409.02552,-1.628064001
1536320409.02602,-3.170258471
1536320409.02653,6.163184346
1536320409.02703,-2.54179764
1536320409.02753,13.65190148
1536320409.02803,15.7676264
1536320409.02853,12.304179603
1536320409.02903,-2.009722715
1536320409.02953,17.526142125
1536320409.03003,-2.988100867
1536320409.03053,0.968205302000001
1536320409.03104,14.239655692
1536320409.03154,6.53357982
1536320409.03204,7.38367247
1536320409.03254,4.660262231
1536320409.03304,13.5403207356
1536320409.03354,14.509603382
1536320409.03404,7.0119148038
1536320409.03454,9.36639822
1536320409.03505,1.827728033
1536320409.03555,9.509158676
1536320409.03605,4.44834947
1536320409.03655,9.48006307
1536320409.03705,-18.31157091
1536320409.03755,4.743958572
1536320409.03805,-9.01146412
1536320409.03856,-2.715424029
1536320409.03906,-4.8769964
1536320409.03956,4.0357812858
1536320409.04006,-12.639941672
1536320409.04056,6.97905267
1536320409.04106,18.531419275
1536320409.04156,-0.60147846
1536320409.04206,4.585532659
1536320409.04257,16.285562628
1536320409.04307,11.041153642
1536320409.04357,5.21921563
1536320409.04407,6.164976186
1536320409.04457,-0.959619582
1536320409.04507,0.421871723
1536320409.04557,5.003514393
1536320409.04607,-3.87330723
1536320409.04658,-0.227180967
1536320409.04708,-7.22679352
1536320409.04758,19.4241302
1536320409.04808,7.199100194
1536320409.04858,8.31239796
1536320409.04908,5.04294609
1536320409.04958,3.435596675
1536320409.05009,3.178405423
1536320409.05059,13.910075719
1536320409.05109,1.46295428
1536320409.05159,2.35724366
1536320409.05209,14.99638259
1536320409.05259,7.87179446
1536320409.05309,13.37873887
1536320409.05359,6.602305294
1536320409.0541,7.79494166
1536320409.0546,-6.308587438
1536320409.0551,-0.968651061
1536320409.0556,26.927398564
1536320409.0561,-2.752982434
1536320409.0566,-7.532901346
1536320409.0571,1.206660537
1536320409.0576,-2.486623583
1536320409.0581,4.252692587
1536320409.05861,-8.08975118
1536320409.05911,0.938942843
1536320409.05961,-17.2159127
1536320409.06011,-10.9771590989
1536320409.06061,1.9096307511
1536320409.06111,2.64009261
1536320409.06161,11.5953328
1536320409.06212,-3.529108168
1536320409.06262,20.80960318
