ts,value
1536317711.00029,14.19591963
1536317711.00079,-17.820405
1536317711.00129,-8.100214868
1536317711.00179,-10.207105305
1536317711.00229,-28.046598508
1536317711.00279,-5.604988456
1536317711.00329,-15.4349718
1536317711.00379,14.39167809
1536317711.00429,-7.577334315
1536317711.00479,-4.29301607
1536317711.00529,-1.457981772
1536317711.00579,-21.32132078
1536317711.00629,6.32497787
1536317711.00679,12.038477129
1536317711.00729,7.81004351
1536317711.00779,6.10356927
1536317711.00829,4.29154205
1536317711.00879,8.71363866
1536317711.00929,-0.65667975
1536317711.00979,1.07227993
1536317711.01029,7.12582373
1536317711.01079,10.780688946
1536317711.01129,14.31495977
1536317711.01179,1.868031979
1536317711.01229,-4.36425828
1536317711.01279,3.085859603
1536317711.01329,4.912847944
1536317711.01379,1.223097918
1536317711.01429,0.0674704269999995
1536317711.01479,-3.926857824
1536317711.01529,11.63982129
1536317711.01579,3.71796799
1536317711.01629,0.138783043
1536317711.01679,2.603157404
1536317711.01729,-2.91385161
1536317711.01779,4.4638015021
1536317711.01829,-4.40352844
1536317711.01879,-9.51071548
1536317711.01929,12.085191402
1536317711.01979,0.10700203
1536317711.02029,2.687115316
1536317711.02079,-1.5335058
1536317711.02129,-10.21408093
1536317711.02179,-6.72138977
1536317711.02229,-19.64670109
1536317711.02279,-2.420899475
1536317711.02329,10.024676135
1536317711.02379,5.6682663
1536317711.02429,5.176856866
1536317711.02479,-5.17995829
1536317711.02529,-4.21508575
1536317711.02579,4.539185377
1536317711.02629,-19.253828969
1536317711.02679,13.11996174
1536317711.02729,-2.16483187
1536317711.02779,-0.44069696
1536317711.02829,-10.734734032
1536317711.02878,-2.959264332
1536317711.02928,2.790820094
1536317711.02978,7.82044113
1536317711.03028,10.176374883
1536317711.03078,10.881465375
1536317711.03128,9.511249297
1536317711.03179,3.53028668
1536317711.03228,4.511858875
1536317711.03278,-1.937800663
1536317711.03328,10.126349829
1536317711.03378,-6.37681719
1536317711.03428,2.908797742
1536317711.03478,6.630507327
1536317711.03528,0.36622107
1536317711.03578,1.710805661
1536317711.03628,0.73783538
1536317711.03678,10.32323504
1536317711.03728,11.11172843
1536317711.03778,-8.464984363
1536317711.03828,9.69632245
1536317711.03878,-10.1783321
1536317711.03928,-3.73486102
1536317711.03978,4.23689854
1536317711.04028,0.00803952400000008
1536317711.04078,2.868627889
1536317711.04128,5.625738009
1536317711.04178,-5.075188819
1536317711.04228,7.67252613
1536317711.04278,-1.76142526
1536317711.04328,-1.48156214
1536317711.04378,-16.7007587
1536317711.04428,-6.85827788353
1536317711.04478,7.090464359
1536317711.04528,-1.167826413
1536317711.04578,-2.09218851
1536317711.04628,1.62849212
1536317711.04678,5.436250595
1536317711.04728,11.44865918
1536317711.04778,11.07127845
1536317711.04828,-11.40737797
1536317711.04878,15.3199487
1536317711.04928,-12.3084923
1536317711.04978,7.608999897
1536317711.05028,9.164347228
1536317711.05078,9.500530062
1536317711.05128,-0.671324432999999
1536317711.05178,7.159938569
1536317711.05228,-6.968581917
1536317711.05278,17.26002545
1536317711.05328,11.374084402
