ts,value
1534844134.00015,6.3297782
1534844134.00065,-0.305276743
1534844134.00116,6.067732389
1534844134.00166,-14.08909774
1534844134.00216,-5.70037671
1534844134.00266,13.006093885
1534844134.00316,15.49669648
1534844134.00366,13.07674611
1534844134.00416,-3.16709185
1534844134.00466,-9.76608041
1534844134.00516,-6.30793523
1534844134.00566,10.98778439
1534844134.00616,-5.00359309
1534844134.00666,-3.31712197
1534844134.00717,1.61095142
1534844134.00767,-0.483578180000002
1534844134.00817,-0.221008059999998
1534844134.00867,1.63226759
1534844134.00917,2.19177982
1534844134.00967,-18.630131209
1534844134.01017,2.1801232
1534844134.01067,-18.88715813
1534844134.01117,12.39407682
1534844134.01167,6.217748105
1534844134.01218,5.129203146
1534844134.01268,-5.17796663
1534844134.01318,-11.39878131
1534844134.01368,13.093589215
1534844134.01418,4.53443563
1534844134.01468,32.68942457
1534844134.01518,-14.80227109
1534844134.01568,-35.2280865
1534844134.01618,-20.34494904
1534844134.01668,1.7578505
1534844134.01718,18.0666098
1534844134.01769,4.87979126
1534844134.01819,-28.67162938
1534844134.01869,-7.25718643
1534844134.01919,3.2519507
1534844134.01969,13.071710386
1534844134.02019,11.39925289
1534844134.02069,2.527100888
1534844134.02119,-10.60089494
1534844134.02169,-12.30704558
1534844134.02219,14.09643633
1534844134.02269,23.52457947
1534844134.0232,27.74600035
1534844134.0237,-19.126838868
1534844134.0242,-23.27104846
1534844134.0247,-22.110818144
1534844134.0252,20.76626689
1534844134.0257,4.917379292
1534844134.0262,9.0333257
1534844134.0267,-21.50290989
1534844134.0272,-18.49959495
1534844134.0277,-6.71262836
1534844134.0282,12.64038749
1534844134.02871,7.84598167
1534844134.02921,-15.1692406879
1534844134.02971,-3.61725219
1534844134.03021,-10.65415999
1534844134.03071,7.94104383
1534844134.03121,17.51296611
1534844134.03171,6.851065213
1534844134.03221,-14.46197125
1534844134.03271,-8.61572076
1534844134.03321,7.56620155
1534844134.03371,13.25591803
1534844134.03421,18.77509581
1534844134.03472,-11.34051467
1534844134.03522,-29.17720624
1534844134.03572,-5.96583533
1534844134.03622,13.94848398
1534844134.03672,36.19285015
1534844134.03722,3.69745233
1534844134.03772,-4.36544547
1534844134.03822,-4.214918967
1534844134.03872,0.374719129999999
1534844134.03922,28.37102608
1534844134.03973,8.881181072
1534844134.04023,-3.44051309
1534844134.04073,-23.56748301
1534844134.04123,-7.56907987
1534844134.04173,29.59079253
1534844134.04223,30.61609547
1534844134.04273,17.83244248
1534844134.04323,-5.36897207
1534844134.04373,-4.18101642
1534844134.04423,-6.03140023
1534844134.04473,12.12162613
1534844134.04524,23.63069433
1534844134.04574,4.9963584
1534844134.04624,-22.37083288
1534844134.04674,-4.57573848
1534844134.04724,18.64426902
1534844134.04774,37.21035475
1534844134.04824,16.77365495
1534844134.04874,-3.325963136
1534844134.04924,-37.01365611
1534844134.04974,20.204097553
1534844134.05024,24.01536987
1534844134.05075,19.0986786
1534844134.05125,-5.07284737
1534844134.05175,-18.00625612
1534844134.05225,-20.05441045
1534844134.05275,15.95339016
1534844134.05325,17.600162244
1534844134.05375,4.87642958
1534844134.05425,-6.59769893
1534844134.05475,-24.53599456
1534844134.05525,11.5569372
1534844134.05575,13.5350647
1534844134.05625,36.72981354
1534844134.05676,7.909717118
1534844134.05726,-26.73749867
1534844134.05776,-32.09727479
1534844134.05826,16.208558245
1534844134.05876,14.79902
1534844134.05926,15.17944725
1534844134.05976,0.92618466
1534844134.06026,-34.41344167
1534844134.06076,-14.91851475
1534844134.06126,24.75512311
1534844134.06176,42.88257642
1534844134.06227,11.469835779
1534844134.06277,-22.14818671
1534844134.06327,-18.17272044
1534844134.06377,6.29976049
1534844134.06427,28.751061001
1534844134.06477,13.973286236
1534844134.06527,-18.862630373
1534844134.06577,-35.50076865
1534844134.06627,-17.97805381
1534844134.06677,5.332951522
1534844134.06727,8.79690505
1534844134.06778,5.87642098
1534844134.06828,-28.37000124
1534844134.06878,-28.3371586
1534844134.06928,2.19131355
1534844134.06978,17.82973017
1534844134.07028,28.48044317
1534844134.07078,-1.12315587
1534844134.07128,-8.428631794
1534844134.07178,-12.568237508
1534844134.07228,24.71615121
1534844134.07278,14.84048749
1534844134.07328,28.45761443
1534844134.07378,0.816605089999999
1534844134.07428,-21.1913468
1534844134.07478,3.61834023
1534844134.07527,27.07500478
1534844134.07577,10.74323012
1534844134.07627,1.782453159
1534844134.07677,-32.91964396
1534844134.07727,-23.74867203
1534844134.07776,19.46546266
1534844134.07826,28.70260247
1534844134.07876,32.9988183
1534844134.07926,-2.422966213
1534844134.07976,-23.1541656
1534844134.08026,-9.10686099
1534844134.08075,11.60664586
1534844134.08125,26.2941656
1534844134.08175,7.82629029
1534844134.08225,-23.4238582
1534844134.08275,-28.00457176
1534844134.08325,11.9305477
1534844134.08375,20.99436477
1534844134.08424,19.35335808
1534844134.08474,-0.19429828
1534844134.08524,-19.9164419
1534844134.08574,-1.63366034
1534844134.08624,18.71752216
1534844134.08674,18.56261202
1534844134.08723,6.2345116
1534844134.08773,-23.60133405
1534844134.08823,-6.82098818
1534844134.08873,5.06822419
1534844134.08923,19.51032104
1534844134.08973,24.49510283
1534844134.09022,-17.53621959
1534844134.09072,-26.66356375
1534844134.09122,-10.367741885
1534844134.09172,19.75860403
1534844134.09222,17.67989738
1534844134.09272,-12.21719457
1534844134.09321,-21.56096598
1534844134.09371,-30.62222454
1534844134.09421,0.927789930000001
1534844134.09471,41.76062512
1534844134.09521,20.94053029
1534844134.09571,-0.45418785
1534844134.0962,-19.29362777
1534844134.0967,-10.96767994
1534844134.0972,10.30625963
1534844134.0977,36.10162358
1534844134.0982,15.46971413
1534844134.0987,-18.38841343
1534844134.09919,-13.46740007
1534844134.09969,-8.65622005
1534844134.10019,0.532790690000001
1534844134.10069,32.959943639
1534844134.10119,7.67892622
1534844134.10168,-12.52076821
1534844134.10218,-15.11460304
1534844134.10268,3.87968922
1534844134.10318,7.10029344
1534844134.10368,5.5887195608
1534844134.10418,1.56399826
1534844134.10467,-23.18705373
1534844134.10517,-7.60702706
1534844134.10567,25.47813547
1534844134.10617,44.08947421
1534844134.10667,11.7133282
1534844134.10717,-40.60268256
1534844134.10766,-26.656681537
1534844134.10816,-3.65729618
1534844134.10866,21.004277983
1534844134.10916,16.70320229
1534844134.10966,-11.90287355
1534844134.11016,-5.835908887
1534844134.11065,2.90163696
1534844134.11115,22.38346
1534844134.11165,9.43589858
1534844134.11215,5.32112979
1534844134.11265,-2.843805196
1534844134.11315,-10.18462563
1534844134.11364,5.40563679
1534844134.11414,21.96335131
1534844134.11464,7.795854127
1534844134.11514,5.14354229
1534844134.11564,-25.20958189
1534844134.11614,-4.29430389
1534844134.11663,13.61762047
1534844134.11713,4.55689623
1534844134.11763,9.10626476
1534844134.11813,-11.41568113
1534844134.11863,-14.09966183
1534844134.11912,2.350521417
1534844134.11962,19.35408778
1534844134.12012,6.26581859
1534844134.12062,8.28293203
1534844134.12112,-2.20863438
1534844134.12162,10.8427982
1534844134.12211,1.86726331
1534844134.12261,1.93559141
1534844134.12311,12.4822352
1534844134.12361,-13.172042915
1534844134.12411,-13.19316574
1534844134.12461,-1.94769907
1534844134.1251,11.707848571
1534844134.1256,13.46664859
1534844134.1261,12.680934108
1534844134.1266,-15.52106758
1534844134.1271,-3.926370731
1534844134.1276,26.01539611
1534844134.12809,7.794528079
1534844134.12859,29.64111637
1534844134.12909,-13.87359359
1534844134.12959,0.66553855
1534844134.13009,-3.28966499
1534844134.13059,18.07949066
1534844134.13108,2.5868973
1534844134.13158,12.226476735
1534844134.13208,10.35521256
1534844134.13258,6.17711901
1534844134.13308,-0.559484919999999
1534844134.13358,5.82663634
1534844134.13407,15.2105072
1534844134.13457,4.39122392
1534844134.13507,11.510455622
1534844134.13557,3.85202313
1534844134.13607,8.43470664
1534844134.13657,-1.70068696
1534844134.13706,13.20816713
1534844134.13756,-13.803829249
1534844134.13806,-6.41106511
1534844134.13856,-10.420546384
1534844134.13906,6.30051256
1534844134.13956,21.74186947
