ts,value
1534850442.00048,17.69879347
1534850442.00098,30.24770947989
1534850442.00148,20.82468127
1534850442.00199,-12.13516882
1534850442.00249,-12.44935682
1534850442.00299,-19.4501809663
1534850442.00349,-19.56518213
1534850442.00399,-8.08299779
1534850442.00449,15.415800259
1534850442.00499,23.34849315
1534850442.00549,33.76237941
1534850442.00599,18.44159129
1534850442.00649,0.164037428
1534850442.00699,-1.33174558
1534850442.00749,-20.601553182
1534850442.00799,-26.617751943
1534850442.00849,-32.502075503
1534850442.00899,-16.58634995
1534850442.00949,2.21391534
1534850442.00999,-1.47192645
1534850442.01049,21.90428053
1534850442.011,11.290076256
1534850442.0115,-1.403273267
1534850442.012,8.24332145
1534850442.0125,-23.553508348
1534850442.013,-26.97607875
1534850442.0135,-32.12664008
1534850442.014,-11.17553494
1534850442.0145,-20.56700064
1534850442.015,6.890601699
1534850442.0155,19.566443921
1534850442.016,10.87202986
1534850442.0165,0.995270729999999
1534850442.017,1.35172939
1534850442.0175,-7.63823178
1534850442.018,-21.916397529
1534850442.0185,-9.99541759
1534850442.019,-11.769474212
1534850442.0195,-2.50717091
1534850442.02,8.61028286
1534850442.0205,19.032983344
1534850442.02101,14.46262239
1534850442.02151,0.277669839000002
1534850442.02201,-22.58314894
1534850442.02251,-30.19093938
1534850442.02301,-20.306661693
1534850442.02351,-23.029246762
1534850442.02401,-16.35305588986
1534850442.02451,8.63497971
1534850442.02501,14.15836023
1534850442.02551,5.7692581438
1534850442.02601,-7.97641775
1534850442.02651,-17.96533204
1534850442.02701,-19.57370188
1534850442.02751,-30.38781593
1534850442.02801,-28.59721926
1534850442.02851,-18.81121872
1534850442.02901,19.59228011
1534850442.02951,13.10507655
1534850442.03002,-4.64516496
1534850442.03052,-9.60146335
1534850442.03102,-21.4654187192
1534850442.03152,-21.06479949
1534850442.03202,-24.51793951
1534850442.03252,-28.76528986
1534850442.03302,-9.48764992
1534850442.03352,-2.02533388
1534850442.03402,-8.62345338
1534850442.03452,4.691046956
1534850442.03502,-1.027085811
1534850442.03552,-16.05252244
1534850442.03602,-15.98890658
1534850442.03652,-16.28695968
1534850442.03702,2.46508599
1534850442.03752,7.09958935
1534850442.03802,-2.081485772
1534850442.03852,-5.65629577
1534850442.03903,-3.66060173
1534850442.03953,-12.817266926
1534850442.04003,-15.94095507
1534850442.04053,-15.88902574
1534850442.04103,-12.49659246
1534850442.04153,-17.699619618
1534850442.04203,-2.25037332
1534850442.04253,11.502715606
1534850442.04303,1.06002569
1534850442.04353,16.38255643
1534850442.04403,-1.07797244
1534850442.04453,-18.21441649
1534850442.04503,-21.95232393
1534850442.04553,-15.53473378
1534850442.04603,11.34820915
1534850442.04653,25.11241892989
1534850442.04703,-7.80614143
1534850442.04753,8.566849467
1534850442.04804,-7.14149957
1534850442.04854,-22.54261626
1534850442.04904,-2.12010142
1534850442.04954,-16.347222206
1534850442.05004,-17.02674233
1534850442.05054,7.767120583
1534850442.05104,5.3892568971
1534850442.05154,7.288689018
1534850442.05204,8.55034074
1534850442.05254,-24.07593278
1534850442.05304,-25.157401534
1534850442.05354,-2.93900808
1534850442.05404,-3.01041651
1534850442.05454,9.039546984
1534850442.05504,-6.46713256
1534850442.05554,-12.208391703
