ts,value
1534844416.00019,-14.9661603
1534844416.00068,-28.99790321
1534844416.00118,-21.96529151
1534844416.00168,13.57227666
1534844416.00218,28.66093738
1534844416.00268,13.77983953
1534844416.00318,-16.9044714
1534844416.00367,-8.2478019
1534844416.00417,4.13740182
1534844416.00467,25.9867988
1534844416.00517,18.80854902
1534844416.00567,-22.72285796
1534844416.00617,-20.85219145
1534844416.00667,-12.91183329
1534844416.00716,0.858508580000001
1534844416.00766,13.33963485
1534844416.00816,7.7918744288
1534844416.00866,-18.87255809
1534844416.00916,-5.64683646
1534844416.00966,-5.41608071
1534844416.01016,11.04184289
1534844416.01066,17.15351958
1534844416.01115,-21.30278766
1534844416.01165,-23.505149
1534844416.01215,-11.83160404
1534844416.01265,3.6503405488
1534844416.01315,17.12648921
1534844416.01365,0.449166432
1534844416.01415,-12.23466253
1534844416.01464,-12.9153173
1534844416.01514,-8.61467505
1534844416.01564,-2.696729184
1534844416.01614,12.68905528
1534844416.01664,-5.915035847
1534844416.01714,-11.764710298
1534844416.01764,-12.39191552
1534844416.01814,10.984432641
1534844416.01863,2.46592426
1534844416.01913,-12.5051474
1534844416.01963,-3.480508572
1534844416.02013,5.240637217
1534844416.02063,-0.0476841900000005
1534844416.02113,9.68689829
1534844416.02163,18.6494836
1534844416.02212,-7.42308224
1534844416.02262,0.0863128569999996
1534844416.02312,-10.086031706
1534844416.02362,-4.080574874
1534844416.02412,2.4112234345
1534844416.02462,-1.37748263
1534844416.02512,-3.07711982
1534844416.02561,-19.13774113
1534844416.02611,-14.999733979
1534844416.02661,12.051745388
1534844416.02711,18.19449095
1534844416.02761,-10.29555682
1534844416.02811,-0.456385049999999
1534844416.0286,-24.40431288
1534844416.0291,14.65283417
1534844416.0296,29.34040164
1534844416.0301,27.36540558
1534844416.0306,6.0754694
1534844416.0311,-17.808412244
1534844416.0316,-10.74515129
1534844416.03209,-4.80557772
1534844416.03259,11.34205337
1534844416.03309,0.89519907
1534844416.03359,-7.69208336
1534844416.03409,-40.623671365
1534844416.03459,-10.907847113
1534844416.03509,18.44754887
1534844416.03558,-12.13022518
1534844416.03608,-2.49867058
1534844416.03658,2.442407882
1534844416.03708,5.10810589
1534844416.03758,-1.67786264
1534844416.03808,-0.116554219999999
1534844416.03858,-2.616547671
1534844416.03908,-4.71901512
1534844416.03957,-3.0301969
1534844416.04007,-9.91740538
1534844416.04057,-11.07522249
1534844416.04107,-16.24636926
1534844416.04157,-11.201351462
1534844416.04207,-9.969013395
1534844416.04257,2.299951103
1534844416.04306,-8.76101006
1534844416.04356,7.10616725
1534844416.04406,-0.367791630000001
1534844416.04456,-6.86967945
1534844416.04506,-16.897148229
1534844416.04556,5.39506125
1534844416.04606,4.03091619
1534844416.04656,-4.23499061
1534844416.04705,3.79428244
1534844416.04755,-1.83779085
1534844416.04805,-7.92216301
1534844416.04855,7.03292441
1534844416.04905,12.96721362
1534844416.04955,-10.66092578
1534844416.05005,1.88832519
1534844416.05054,-5.39086938
1534844416.05104,-6.16414629
1534844416.05154,6.444793505
1534844416.05204,13.314849343
1534844416.05254,-8.436802184
1534844416.05304,-7.64694789
1534844416.05353,-4.823260698
1534844416.05403,4.32056856
1534844416.05453,1.16225978
1534844416.05503,3.20478726
1534844416.05553,-10.89902317
1534844416.05603,-4.82861065
1534844416.05653,-15.1917028
1534844416.05702,-4.701818957
1534844416.05752,-8.38316395
1534844416.05802,-20.550023515
1534844416.05852,2.023471
1534844416.05902,-4.83178616
1534844416.05952,7.82293844
1534844416.06002,-3.35149482
1534844416.06051,-17.067499041
1534844416.06101,-8.928505601
1534844416.06151,-16.596774292
1534844416.06201,-7.584957599
1534844416.06251,3.76217265
1534844416.06301,2.42539331
1534844416.06351,0.600063330000001
1534844416.064,-0.419091419999999
1534844416.0645,7.89131248
1534844416.065,-0.376424779999999
1534844416.0655,-7.42891358
1534844416.066,-13.7877278
1534844416.0665,-5.457104927
1534844416.067,6.43117381
1534844416.0675,5.17224503
1534844416.06799,-16.51099582
1534844416.06849,-14.95894026
1534844416.06899,-41.1137001
1534844416.06949,-9.96357441
1534844416.06999,20.41649195
1534844416.07049,7.58917809
1534844416.07099,-3.60704999
1534844416.07148,-8.90936375
1534844416.07198,-5.702865333
1534844416.07248,-0.499610807
1534844416.07298,14.30855347
1534844416.07348,-14.204927
1534844416.07399,-8.53842688
1534844416.07449,6.33396041
1534844416.07499,10.317322814
1534844416.07549,5.465637905
1534844416.07599,3.71548986
1534844416.07649,-7.79343772
1534844416.07699,0.261929480000001
1534844416.07749,9.25674838
1534844416.07799,-2.09578526
1534844416.07849,-2.3104801
1534844416.07899,1.63617289
1534844416.07949,-19.68848846
1534844416.07999,-22.15973709
1534844416.08049,-7.49471916
1534844416.08099,-3.74705243
1534844416.08149,0.810248462
1534844416.08199,-16.55647809
1534844416.08249,-27.25277953
1534844416.08299,-17.8700595
1534844416.08349,0.406099319999999
1534844416.084,10.203273511
1534844416.0845,2.01906515
1534844416.085,-12.38668418
1534844416.0855,-26.69668408
1534844416.086,-0.52754161
1534844416.0865,3.07522213754
1534844416.087,10.65545841
1534844416.0875,-1.64970827
1534844416.088,-29.04580918
1534844416.0885,-19.79409932
1534844416.089,2.423638894
1534844416.0895,13.26648352
1534844416.09,8.72628641
1534844416.0905,-0.0170641000000007
1534844416.091,-16.4750788
1534844416.0915,-15.81087928
1534844416.092,6.77265049
1534844416.0925,0.925520420000002
1534844416.093,-4.97263077
1534844416.0935,-22.93474701
1534844416.094,-24.08826735
1534844416.0945,-14.01178266
1534844416.09501,20.94882491
1534844416.09551,1.00054862
1534844416.09601,-14.32461952
1534844416.09651,-22.45461901
1534844416.09701,-31.547079637
1534844416.09751,9.45878482
1534844416.09801,30.666205477
1534844416.09851,6.49420832
1534844416.09901,-8.16722226
1534844416.09951,-10.253759832
1534844416.10001,-12.19486932
1534844416.10051,18.972341986
1534844416.10101,28.39451342
1534844416.10151,-5.596078012
1534844416.10201,-16.86277199
1534844416.10251,-25.17641063
1534844416.10301,12.03041737
1534844416.10351,28.88487106
1534844416.10401,4.99751358
1534844416.10451,-9.69775009
1534844416.10502,-24.46605966
1534844416.10552,-5.60013675
1534844416.10602,13.83426029
1534844416.10652,24.57256705
1534844416.10702,-1.45675631
1534844416.10752,-17.83160925
1534844416.10802,-20.36375139
1534844416.10852,-11.638463325
1534844416.10902,21.23922247
1534844416.10952,8.83056236
1534844416.11002,1.63157297
1534844416.11052,-29.31487555
1534844416.11102,-5.38355398
1534844416.11152,13.71737861
1534844416.11202,23.06852918
1534844416.11252,-3.84699771
1534844416.11302,-25.35153577
1534844416.11352,-24.17277477
1534844416.11402,-21.29239219
1534844416.11452,19.15682694
1534844416.11503,14.61097578
1534844416.11553,-5.376668036
