ts,value
1538740514.00035,25.9475835666
1538740514.00085,7.86433852
1538740514.00135,-5.48757363
1538740514.00185,-3.4325664
1538740514.00235,-3.80675364
1538740514.00285,-5.122744679
1538740514.00335,-14.3528235
1538740514.00385,-4.41064965
1538740514.00435,5.88174951
1538740514.00485,-6.23183917
1538740514.00535,4.64976649
1538740514.00585,-11.03570216
1538740514.00635,2.380979996
1538740514.00685,-1.30502904
1538740514.00735,5.66057943
1538740514.00785,6.43324213
1538740514.00835,-0.341151358999999
1538740514.00885,6.965333114
1538740514.00935,10.38475489
1538740514.00985,3.78608153
1538740514.01035,-8.607158178
1538740514.01085,23.6692946
1538740514.01135,6.511781849
1538740514.01184,6.039907516
1538740514.01235,1.15289284
1538740514.01285,-2.27181816
1538740514.01334,-11.18546058
1538740514.01384,12.682928129
1538740514.01434,9.015491312
1538740514.01484,-3.02889777
1538740514.01534,-2.205639433
1538740514.01584,0.2928611
1538740514.01634,-0.149524570000001
1538740514.01684,2.64006662
1538740514.01734,7.328863602
1538740514.01784,10.797182925
1538740514.01834,-2.10433003
1538740514.01884,2.11889493
1538740514.01934,6.28987496
1538740514.01984,8.00345081
1538740514.02034,9.52965403
1538740514.02084,9.53868246
1538740514.02134,0.32342029
1538740514.02184,12.400944983
1538740514.02234,20.795250334
1538740514.02284,3.167679119
1538740514.02334,9.31154394
1538740514.02384,8.3067213
1538740514.02434,2.64307618
1538740514.02484,3.60958706
1538740514.02534,0.560008486000001
1538740514.02584,-8.50086712
1538740514.02634,-5.073391219
1538740514.02684,-6.212742327
1538740514.02734,-6.6300903294
1538740514.02784,-2.8374688884
1538740514.02834,3.158366848
1538740514.02884,2.817818972
1538740514.02934,-4.77482963
1538740514.02983,-15.48959016
1538740514.03033,4.467291291
1538740514.03083,1.18710924
1538740514.03133,13.88802601
1538740514.03183,16.642739185
1538740514.03233,3.71322396
1538740514.03283,1.421858432
1538740514.03333,1.149595742
1538740514.03383,0.961171405000002
1538740514.03433,16.27407693
1538740514.03483,3.608050189
1538740514.03534,-1.32228804
1538740514.03584,-5.105438291
1538740514.03634,-10.820960048
1538740514.03684,3.1172155
1538740514.03734,-10.52161908
1538740514.03784,0.744629862
1538740514.03835,-13.94259047
1538740514.03885,-18.83849857
1538740514.03935,-26.81535625
1538740514.03985,-33.56034417
1538740514.04035,-21.32657313
1538740514.04085,-9.21127176
1538740514.04136,-19.655119881
1538740514.04186,-2.3616823
1538740514.04236,-14.50489426
1538740514.04286,-20.16561008
1538740514.04336,-5.694070503
1538740514.04386,-0.158348385
1538740514.04437,14.05037785
1538740514.04487,3.41618109
1538740514.04537,7.93143222
