ts,value
1536318135.00022,-2.18956186
1536318135.00072,-5.06322188
1536318135.00122,-4.30611717
1536318135.00173,6.71958832
1536318135.00223,4.684846432
1536318135.00273,-4.23292118
1536318135.00323,-2.518724797
1536318135.00373,2.2420254
1536318135.00423,1.23431308
1536318135.00473,-10.60520674
1536318135.00524,-11.99303674
1536318135.00574,-0.24845933
1536318135.00624,2.94580788
1536318135.00674,11.34389446
1536318135.00724,-17.4427166
1536318135.00775,-12.88656531
1536318135.00825,-12.731721352
1536318135.00875,14.80306439
1536318135.00925,17.52707245
1536318135.00975,8.259583376
1536318135.01025,-19.93748571
1536318135.01075,-31.98092642
1536318135.01126,-11.82092815
1536318135.01176,0.30446197
1536318135.01226,16.70397803
1536318135.01276,2.1044426
1536318135.01326,-25.30605476
1536318135.01376,-24.5591798504
1536318135.01427,-9.22170746
1536318135.01477,8.53583094
1536318135.01527,7.84477898
1536318135.01577,1.2436089
1536318135.01627,-27.72706627
1536318135.01677,-1.18359705
1536318135.01728,-3.00907689
1536318135.01778,8.76778413
1536318135.01828,-3.33969076
1536318135.01878,-5.24247551
1536318135.01928,-8.0022733
1536318135.01978,16.462759382
1536318135.02029,14.16868114
1536318135.02079,0.606231440000001
1536318135.02129,0.57668209
1536318135.02179,-28.2842167179
1536318135.02229,-16.50721454
1536318135.02279,1.95512152
1536318135.0233,9.84891919
1536318135.0238,12.025554404
1536318135.0243,-15.523501375
1536318135.0248,-22.274467461
1536318135.0253,-6.63076541
1536318135.0258,15.67093878
1536318135.02631,3.5963614
1536318135.02681,-9.31188916
1536318135.02731,-13.958385411
1536318135.02781,-14.71080782
1536318135.02831,-1.55030439
1536318135.02881,17.57526896
1536318135.02932,20.27272294
1536318135.02982,-22.574165695
1536318135.03032,-18.0657871
1536318135.03082,-1.62823486
1536318135.03132,24.84434457
1536318135.03182,21.62651989
1536318135.03233,-25.739551648
1536318135.03283,-23.89053074
1536318135.03333,-25.32832422
1536318135.03383,1.24920764
1536318135.03433,14.36973669
1536318135.03483,12.58579722
1536318135.03534,-7.33908129
1536318135.03584,-17.20945618
1536318135.03634,-5.57156443
1536318135.03684,27.570412325
1536318135.03734,12.51209831
1536318135.03784,3.33669566
1536318135.03835,-27.9508617
1536318135.03885,-14.93736683
1536318135.03935,-0.734597420000002
1536318135.03985,15.562289984
1536318135.04035,15.84577611
1536318135.04085,-8.699540156
1536318135.04135,-35.88973259
1536318135.04186,-31.75404231
1536318135.04236,-2.39484026
1536318135.04286,20.61909935
1536318135.04336,13.21354902
1536318135.04386,-1.39535379
1536318135.04436,-34.099092879
1536318135.04487,6.9080608
1536318135.04537,15.857661496
1536318135.04587,28.08824066
1536318135.04637,0.0134701299999991
1536318135.04687,-29.73246992
1536318135.04737,-11.61694793
1536318135.04788,18.80575035
1536318135.04838,6.312315012
1536318135.04888,-6.02839036
1536318135.04938,-23.74342134
1536318135.04988,-29.44936178
1536318135.05038,-0.99998234
1536318135.05089,17.94796846
1536318135.05139,20.36492355
1536318135.05189,-4.89917182
1536318135.05239,-18.849303171
1536318135.05289,-19.155611327
1536318135.0534,10.268398762
1536318135.0539,27.64959855
1536318135.0544,16.497009743
1536318135.0549,-9.01630846
1536318135.0554,-24.75242324
1536318135.0559,-9.08390984
1536318135.05641,-1.21364831
1536318135.05691,17.98256705
1536318135.05741,3.565972866
1536318135.05791,-28.58634372
1536318135.05841,-37.54777091
1536318135.05891,3.44961024
1536318135.05942,32.82827113
1536318135.05992,-1.47193695
1536318135.06042,-9.30850168
1536318135.06092,-27.50565872
1536318135.06142,-7.90018427
1536318135.06192,18.70588779
1536318135.06243,30.44443696
1536318135.06293,-9.37846708
1536318135.06343,-41.206974943
1536318135.06393,-17.36292411
1536318135.06443,2.02046394
1536318135.06493,11.01604857
1536318135.06543,12.653602822
1536318135.06594,0.277295905000001
1536318135.06644,-25.87194283
1536318135.06694,-10.16656116
1536318135.06744,10.52940891
1536318135.06794,16.98421759
1536318135.06844,2.0618529
1536318135.06895,-11.21054887
1536318135.06945,-30.63264104
1536318135.06995,-5.05813268
1536318135.07045,19.4450045
1536318135.07095,9.08544589
1536318135.07145,0.33651062
1536318135.07196,-22.95706347
1536318135.07246,4.04381015
1536318135.07296,5.276577878
1536318135.07346,16.31538591
1536318135.07396,1.99395271
1536318135.07446,-13.60127877
1536318135.07497,-28.63271927
1536318135.07547,-3.90502308
1536318135.07597,11.392102196
1536318135.07647,4.3060217
1536318135.07697,-6.3885132
1536318135.07747,-19.52229413
1536318135.07797,-2.37288302
1536318135.07847,17.34782125
1536318135.07897,14.48123838
1536318135.07947,16.632423902
1536318135.07997,-13.57044645
1536318135.08047,-10.87967059
1536318135.08097,-7.187844621
1536318135.08147,8.52357645
1536318135.08196,21.38435845
1536318135.08246,7.64217281
1536318135.08296,-17.77538917
1536318135.08346,-34.88712551
1536318135.08396,19.47988419
1536318135.08446,18.95280245
1536318135.08496,17.10593673
1536318135.08546,-13.04829689
1536318135.08596,-17.13771244
1536318135.08646,-10.348557644
1536318135.08696,24.74243924
1536318135.08746,24.6041813336
1536318135.08796,3.85514007
1536318135.08846,-15.72964998
1536318135.08896,-20.82433725
1536318135.08946,-4.3491485
1536318135.08996,5.52342603
1536318135.09046,22.83521268
1536318135.09096,-3.90743685
1536318135.09146,-15.579562
1536318135.09196,-19.56711957
1536318135.09246,14.933938177
1536318135.09296,26.94156244
1536318135.09346,-1.55178546
1536318135.09396,-24.85936235
1536318135.09446,-20.12826013
1536318135.09495,10.00622133
1536318135.09545,12.06855604
1536318135.09595,14.042613483
1536318135.09645,-12.74076432
1536318135.09695,-25.866261465
1536318135.09745,-1.55204157
1536318135.09795,1.23884964
1536318135.09845,0.954016336
1536318135.09895,9.34037947
1536318135.09945,-5.95864439
1536318135.09995,-14.62119106
1536318135.10045,-1.5170059
1536318135.10095,-0.38129627
1536318135.10145,15.83043674
1536318135.10195,23.23033333
1536318135.10245,0.597266240000001
1536318135.10295,-9.34995559
1536318135.10345,3.77916527
1536318135.10395,21.68838112
1536318135.10445,-5.832937176
1536318135.10495,-4.6651707
1536318135.10545,-8.20103882
1536318135.10595,-13.04692412
1536318135.10645,18.71337747
1536318135.10695,13.104788789
1536318135.10745,6.58219099
1536318135.10794,-16.43780853
1536318135.10845,-27.953452337
1536318135.10894,0.769033966
1536318135.10944,7.736012682
1536318135.10994,13.294004402
1536318135.11044,0.0199847199999992
1536318135.11094,-25.15384242
1536318135.11144,5.03636027
1536318135.11194,14.74599089
1536318135.11244,5.862168138
1536318135.11294,5.87165355
1536318135.11344,-19.03981854
1536318135.11394,-4.1803446
1536318135.11444,-2.89202166
1536318135.11494,0.954172733
1536318135.11544,-2.587738753
1536318135.11594,10.52439689
1536318135.11644,-17.65701715
1536318135.11694,-8.49686528
1536318135.11744,2.5553546
1536318135.11794,5.18218138
1536318135.11844,-6.43504567
1536318135.11894,-15.01742703
1536318135.11944,-3.82492828
1536318135.11994,-1.62217665
1536318135.12044,-10.15986798
1536318135.12093,14.267742975
1536318135.12144,-22.6177223
1536318135.12193,5.12293386
1536318135.12243,2.09052558
1536318135.12293,0.61931634
1536318135.12343,8.022854502
1536318135.12393,10.45037131
1536318135.12443,-10.8002233
1536318135.12493,-1.1535611
1536318135.12543,-8.57075665
1536318135.12593,-0.603596743
1536318135.12643,2.416056399
1536318135.12693,-3.92824936
1536318135.12743,-3.38545181
1536318135.12793,-5.48000807
1536318135.12843,10.35458684
1536318135.12893,16.172253114
1536318135.12943,0.804717731999999
1536318135.12993,-10.39951223
1536318135.13043,-1.66479683
1536318135.13093,4.04410434
1536318135.13143,-0.872851649999999
1536318135.13193,-8.36944139
1536318135.13243,0.0828697299999988
1536318135.13293,-20.122036879
1536318135.13343,-15.42479422
1536318135.13393,9.57928158
1536318135.13443,-4.4907518579
1536318135.13493,0.271725919999999
1536318135.13542,-11.51028458
1536318135.13592,-6.83784905
1536318135.13642,12.612055971
1536318135.13692,-17.054421275
1536318135.13742,-17.048953799
1536318135.13792,-9.45850205
1536318135.13842,17.7185328
1536318135.13892,4.272172498
1536318135.13942,2.85097164
1536318135.13992,3.515034823
1536318135.14042,-7.9970220579
1536318135.14092,8.25494301
1536318135.14142,23.649441591
1536318135.14192,17.20363641
1536318135.14242,-18.517357715
1536318135.14292,5.91711783
1536318135.14342,-10.24268908
1536318135.14392,12.130521477
1536318135.14442,13.399761265
1536318135.14492,-3.04338264
1536318135.14542,-24.58506931
1536318135.14592,-12.306948657
1536318135.14642,1.031024375
1536318135.14692,-1.9193449729
1536318135.14741,5.0605467521
1536318135.14792,-6.58562232
1536318135.14842,-6.1614747
1536318135.14891,-0.513459689999999
1536318135.14941,0.975470570000001
1536318135.14991,7.60366823
1536318135.15041,-3.46185827
1536318135.15091,-3.66949391
1536318135.15141,-15.337106
1536318135.15191,19.0360794
1536318135.15241,1.79302779
1536318135.15291,-6.36452606
1536318135.15341,14.14747273
1536318135.15391,-4.829308
1536318135.15441,-16.50195221
1536318135.15491,-9.593239473
1536318135.15541,8.40071676
1536318135.15591,-7.25870321
1536318135.15641,1.76467701
1536318135.15691,-1.98614418
1536318135.15741,-1.63408282
1536318135.15791,3.69014788
1536318135.15841,12.99046787
1536318135.15891,4.685178974
1536318135.15941,-18.55531641
1536318135.15991,-6.99178076
1536318135.16041,14.180312384
1536318135.16091,16.17297523
1536318135.16141,-4.02677532
1536318135.1619,-25.12198738
1536318135.1624,-30.48581985
1536318135.1629,-1.58411432
1536318135.1634,26.33414742
1536318135.1639,17.5746834
1536318135.1644,-8.41318227
1536318135.1649,-18.63798679
1536318135.1654,-7.3636837
1536318135.1659,5.057331393
1536318135.1664,21.08217711
1536318135.1669,-0.0495281399999996
1536318135.1674,-7.439260124
1536318135.1679,-18.09813358
1536318135.1684,-6.27946198
1536318135.1689,7.16370033
1536318135.1694,22.19341691
1536318135.1699,-14.75671223
1536318135.1704,-13.286050931
1536318135.1709,-27.56283353
1536318135.1714,6.17302739
1536318135.1719,10.25280626
1536318135.1724,-0.697041
1536318135.1729,-5.90511609
1536318135.1734,-15.71369881
1536318135.1739,-13.77317787
1536318135.1744,12.72023799
1536318135.1749,15.7775159
1536318135.17539,-9.92879343
1536318135.17589,-15.60714254
1536318135.17639,-19.815856677
1536318135.1769,-3.36745644
1536318135.1774,9.34024532
1536318135.1779,8.07025954
1536318135.1784,-11.544582403
1536318135.1789,-14.141485589
1536318135.1794,-10.72763443
1536318135.1799,4.85786963
1536318135.1804,26.66595748
1536318135.1809,3.67127816
1536318135.1814,-21.685041841
1536318135.1819,-15.03528145
1536318135.1824,2.19762124
1536318135.18291,11.048403737
1536318135.18341,29.20257474
1536318135.18391,9.33523607
1536318135.18441,-19.09638273
1536318135.18491,-6.84121086
1536318135.18541,12.4360086435
1536318135.18591,39.28088813
1536318135.18641,10.45000362
1536318135.18691,-20.83333082
1536318135.18741,-16.38807545
1536318135.18792,-10.02315421
1536318135.18842,22.01104188
1536318135.18892,11.53170599
1536318135.18942,-2.86514188
1536318135.18992,-12.2206262
1536318135.19042,-4.67687058
1536318135.19092,25.11183119
1536318135.19142,31.002579
1536318135.19192,14.78660534
1536318135.19242,-17.10044763
1536318135.19292,-35.49120971
1536318135.19342,-5.43626066
1536318135.19393,21.07755847
1536318135.19443,24.47184153
1536318135.19493,-7.33986374
1536318135.19543,-27.87535183
1536318135.19593,-19.89124348
1536318135.19643,6.86918975
1536318135.19693,21.28314549
1536318135.19743,0.502105230000002
1536318135.19793,-9.79176374
1536318135.19843,-16.643708901
1536318135.19893,-6.18093488
1536318135.19943,17.01745609
1536318135.19993,15.85926082
1536318135.20044,-4.12877082
1536318135.20094,-12.74014577
1536318135.20144,-37.30272487
1536318135.20194,14.21933985
1536318135.20244,18.58190032
1536318135.20294,14.8063703
1536318135.20344,-11.814677
1536318135.20394,-34.36240842
1536318135.20444,-26.195759492
1536318135.20494,24.61057127
1536318135.20545,21.01112669
1536318135.20595,2.10647917
1536318135.20645,-13.38157794
1536318135.20695,-21.312818941
1536318135.20745,16.22713713
1536318135.20795,39.94572686
1536318135.20845,19.36400171
1536318135.20895,-10.36192455
1536318135.20945,-39.02301362
1536318135.20995,-24.30703011
1536318135.21045,11.3104307
1536318135.21095,21.75251869
1536318135.21146,18.16479019
1536318135.21196,-6.03610208
1536318135.21246,-40.025854561
1536318135.21296,-1.427637823
1536318135.21346,39.538735114
1536318135.21396,12.285399938
1536318135.21446,-13.81905992
1536318135.21496,-22.259970271
1536318135.21546,-16.84344629
1536318135.21596,5.48745634
1536318135.21646,28.79500915
1536318135.21697,16.453212763
1536318135.21747,-21.198806748
1536318135.21797,-17.37747603
1536318135.21847,-8.63041067
1536318135.21897,15.89128673
1536318135.21947,17.42833928
1536318135.21997,-16.49087863
1536318135.22047,-41.71788407
1536318135.22097,-32.828368173
1536318135.22147,-0.76741364
1536318135.22197,17.02287409
1536318135.22247,2.73036815
1536318135.22298,-5.09513953
1536318135.22348,-20.7215998187
1536318135.22398,-4.414818688
1536318135.22448,26.96981384
1536318135.22498,32.04338389
1536318135.22548,14.999738305
1536318135.22598,-42.30733539
1536318135.22648,-11.47452253
1536318135.22698,-1.95955229
1536318135.22748,14.7116635
1536318135.22798,19.96135543
1536318135.22849,-15.05740977
1536318135.22899,-26.5747876
1536318135.22949,-1.07596875
1536318135.22999,3.74013591
1536318135.23049,14.6725202
1536318135.23099,4.30259179
1536318135.23149,-7.18558929
1536318135.23199,-26.8770667218
1536318135.23249,-11.16862539
1536318135.23299,8.674076103
1536318135.23349,19.97451204
1536318135.23399,-15.53168584
1536318135.2345,-28.65257632
1536318135.235,-11.81512783
1536318135.2355,22.58016065
1536318135.236,23.01515491
1536318135.2365,17.45887211
1536318135.237,-12.220286754
1536318135.2375,-31.49832699
1536318135.238,-6.12026307
1536318135.2385,40.40059949
1536318135.239,21.93651388
1536318135.2395,0.71148015
1536318135.24,0.602484350000001
1536318135.2405,-6.77552791
1536318135.24101,16.233557467
1536318135.24151,31.605627581
1536318135.24201,29.42757125
1536318135.24251,-33.426722771
1536318135.24301,-25.23293987
1536318135.24351,7.36148072
1536318135.24401,25.29255107
1536318135.24451,11.31557440844
1536318135.24501,6.88169098
1536318135.24551,-16.91897531
1536318135.24601,-23.89069445
1536318135.24652,-3.748682192
1536318135.24702,20.71569873
1536318135.24752,-2.356330723
1536318135.24802,-6.986485047
1536318135.24852,-17.63306528
1536318135.24902,3.54856351
1536318135.24952,17.13869239
1536318135.25002,19.96374419
1536318135.25052,0.575152880000001
1536318135.25102,-3.303392771
1536318135.25152,1.23923635
1536318135.25202,-2.62862062
1536318135.25253,9.636872436
1536318135.25303,5.644372024
1536318135.25353,-5.84861044
1536318135.25403,-10.98284527
1536318135.25453,-10.50553793
1536318135.25503,20.56336305
1536318135.25553,11.05515876
1536318135.25603,-3.8564790579
1536318135.25653,-22.0775785
1536318135.25703,-19.28508658
1536318135.25753,6.16195292
1536318135.25804,1.670255516
1536318135.25854,22.87141894
1536318135.25904,-14.34310674
1536318135.25954,-9.88202874
1536318135.26004,-10.03241065
1536318135.26054,3.89244878
1536318135.26104,-2.43751388
1536318135.26154,-12.59227961
1536318135.26204,-1.27984643
1536318135.26254,-16.86888782
1536318135.26304,-3.77072099
1536318135.26355,10.0094278
1536318135.26405,1.20400855
1536318135.26455,15.635115846
1536318135.26505,-8.87397196
1536318135.26555,-9.267144861
1536318135.26605,2.665695593
1536318135.26655,18.91902686
1536318135.26705,7.05632018
1536318135.26755,7.088495485
1536318135.26805,1.16491465
1536318135.26855,5.27561637
1536318135.26905,6.68587971
1536318135.26956,-11.01399783
1536318135.27006,0.162636279999999
1536318135.27056,-6.52590602
1536318135.27106,-3.34849359
1536318135.27156,-7.39439797
1536318135.27206,-7.69269038
1536318135.27256,-1.84429955
1536318135.27306,6.87696171
1536318135.27356,7.61217286
1536318135.27406,10.17615748
1536318135.27456,17.468681726
1536318135.27506,-7.05352974
1536318135.27556,-1.5849678
1536318135.27606,3.98944379
1536318135.27656,-5.88845253
1536318135.27706,-2.29756786
1536318135.27756,-7.019775275
1536318135.27806,-2.14022662
1536318135.27856,-1.50540114
1536318135.27906,4.33376786
1536318135.27956,0.38525105
