ts,value
1539611988.0004,-5.156351393
1539611988.0009,18.73031401
1539611988.00141,0.637821200000001
1539611988.00191,23.128484172
1539611988.00241,8.481812392
1539611988.00291,-12.32403433
1539611988.00341,17.839332517
1539611988.00391,8.53707267
1539611988.00442,1.13598515
1539611988.00492,2.472912113
1539611988.00542,6.394679987
1539611988.00592,4.2594256112
1539611988.00642,3.97472418
1539611988.00692,9.96584153
1539611988.00743,0.83875847
1539611988.00793,4.938492332
1539611988.00843,16.60466556
1539611988.00893,2.55331994
1539611988.00943,9.331044919
1539611988.00993,1.105060403
1539611988.01044,-8.521502945
1539611988.01094,8.95883286
1539611988.01144,16.195359
1539611988.01194,16.97545815
1539611988.01244,7.056216301
1539611988.01295,2.702364929
1539611988.01345,18.05131912
1539611988.01395,6.30723012
1539611988.01445,5.19959402
1539611988.01495,5.680464627
1539611988.01545,-11.726152448
1539611988.01595,0.724596068
1539611988.01646,7.97097827
1539611988.01696,10.9324292
1539611988.01746,1.6524919095
1539611988.01796,-1.14288198
1539611988.01846,9.03051198
1539611988.01896,-4.74273966
1539611988.01946,4.255959689
1539611988.01996,12.64835
1539611988.02046,6.53792571
1539611988.02096,-5.842410271
1539611988.02146,11.39538137
1539611988.02196,3.523672343
1539611988.02246,9.968914025
1539611988.02296,-3.269917809
1539611988.02346,-2.300227869
1539611988.02396,-0.349292475
1539611988.02446,-2.697263187
1539611988.02496,-8.59024978
1539611988.02546,14.79697954
1539611988.02596,5.23810566
1539611988.02646,-2.304458217
1539611988.02696,7.92024696
1539611988.02746,0.244810396
1539611988.02796,0.71546721
1539611988.02846,2.001346291
1539611988.02896,-0.621298550000001
1539611988.02946,4.31510043
1539611988.02996,0.24384152
1539611988.03046,3.03231204
1539611988.03096,-3.93183505
1539611988.03146,-3.002432377
1539611988.03196,1.141886416
1539611988.03246,-13.994150156
1539611988.03296,10.4624822
1539611988.03346,21.34434914
1539611988.03396,5.121842296
1539611988.03446,4.75361431
1539611988.03496,-6.479477412
1539611988.03546,13.814437151
1539611988.03596,-1.5421667
1539611988.03646,3.59627103
1539611988.03696,-15.345164668
1539611988.03746,-10.691010749
1539611988.03796,2.92509984
1539611988.03846,4.191814714
1539611988.03896,-10.6501441805
1539611988.03946,-14.40681576
1539611988.03996,-4.638110003
1539611988.04046,7.20940077
1539611988.04096,-6.99381256
1539611988.04146,-1.84708272
1539611988.04195,-3.006921147
1539611988.04246,-3.750199259
1539611988.04296,-12.400068299
1539611988.04346,-15.82785606
1539611988.04396,3.18199718
1539611988.04445,-5.18509734
1539611988.04495,4.377876286
1539611988.04545,6.686913319
1539611988.04595,-5.94093693
1539611988.04645,2.933962595
1539611988.04695,-4.68081879
1539611988.04745,-4.68461024
1539611988.04795,-8.29604805
1539611988.04845,-6.177228178
1539611988.04895,-18.51200068
1539611988.04945,-1.991292451
1539611988.04995,-5.42746639
1539611988.05045,8.4939821712
1539611988.05095,-16.1924154029
1539611988.05145,-8.23124588
1539611988.05195,5.23546861
1539611988.05245,-7.39469958
1539611988.05295,0.73265457
1539611988.05345,3.109251765
1539611988.05395,-11.247533973
1539611988.05445,-0.94856536
1539611988.05495,10.871277603
1539611988.05545,0.500043535999999
1539611988.05595,-7.50786114
1539611988.05645,-14.2221682584
1539611988.05695,-4.559630288
1539611988.05745,0.72288441
1539611988.05795,0.234903425
1539611988.05845,-15.33187613
1539611988.05895,-9.781903925
1539611988.05945,10.196950794
1539611988.05995,7.731973729
1539611988.06045,4.740375306
1539611988.06095,-10.09649467294
1539611988.06145,-7.477453351
1539611988.06195,-18.921370027
1539611988.06245,-0.87712813
1539611988.06295,1.218755954
1539611988.06345,-8.26373327
1539611988.06395,-11.22692465
1539611988.06445,-15.7086314
1539611988.06495,-10.38578927
1539611988.06545,-13.916578566
1539611988.06595,-6.247283257
1539611988.06645,-13.0996654
1539611988.06695,-5.194916605
1539611988.06745,-8.96733213
1539611988.06795,-13.56986797
1539611988.06845,-10.52541162
1539611988.06895,1.849062154
1539611988.06945,-7.735626759
1539611988.06995,-5.271769868
1539611988.07045,-7.670556689
1539611988.07095,-5.24155474
1539611988.07145,-8.918128537
1539611988.07194,-12.143505891
1539611988.07245,-13.637890035
1539611988.07295,-10.378842409
1539611988.07345,-8.5335915363
1539611988.07395,-8.484073224
1539611988.07445,-2.250663071
1539611988.07494,-9.9263606
1539611988.07544,-2.777573588
1539611988.07594,0.351422671000001
1539611988.07644,-7.773123056
1539611988.07694,-4.94203151
1539611988.07744,-17.957522433
1539611988.07794,-24.6962154
1539611988.07844,-3.637020045
1539611988.07894,1.47112776
1539611988.07944,6.54920387
1539611988.07994,2.61969721
1539611988.08044,-24.43367815
1539611988.08094,-15.97605235
1539611988.08144,-3.72134113
1539611988.08194,-12.468179846
1539611988.08244,6.032503777
1539611988.08294,2.439517438
1539611988.08344,2.54440188
1539611988.08394,-3.00731456
1539611988.08444,-13.96561599
1539611988.08494,-10.053906443
1539611988.08544,-9.5980541723
1539611988.08594,-2.19113254
1539611988.08644,-1.77150953
1539611988.08694,-6.278461478
1539611988.08744,-9.29484486
1539611988.08794,-19.66605353
1539611988.08844,-23.874720629
1539611988.08894,-11.282103239
1539611988.08944,-10.574332585
1539611988.08994,-19.628335
1539611988.09044,-15.69103671
1539611988.09094,-10.421385582
1539611988.09144,-11.7472132871
1539611988.09194,-16.681262196
1539611988.09244,-3.930622123
1539611988.09294,-10.75539803
1539611988.09344,-9.97052978
1539611988.09394,-9.82728553
1539611988.09444,0.682072164
1539611988.09494,8.181894414
1539611988.09544,-14.78229332
1539611988.09594,-5.592278245
1539611988.09644,-14.17636275
1539611988.09694,-13.071935295
1539611988.09744,-3.4996593
1539611988.09794,16.341128536
1539611988.09844,-6.1012751637
1539611988.09894,-20.81609368
1539611988.09944,-19.55665732
1539611988.09994,-12.922135115
1539611988.10044,-6.91115272
1539611988.10094,-0.92076849
1539611988.10144,1.02098298
1539611988.10194,-13.518175568
1539611988.10244,-18.7337805
1539611988.10294,-6.059115828
1539611988.10344,-13.60082054
1539611988.10394,-16.379571647
1539611988.10443,-4.92263257
1539611988.10494,-11.54780658
1539611988.10543,-17.83982904
1539611988.10593,-4.31158233
1539611988.10643,-20.785816976
1539611988.10693,-7.8630495
1539611988.10743,-10.11484837
1539611988.10793,-5.86668897
1539611988.10843,2.693999254
1539611988.10893,-9.852251709
1539611988.10943,-6.13841461
1539611988.10993,-16.280183307
1539611988.11043,-9.496662139
1539611988.11093,-1.737770025
1539611988.11143,-6.436811392
1539611988.11193,-27.42271757
1539611988.11243,-11.134797843
1539611988.11293,-28.280909449
1539611988.11343,-13.780523834
1539611988.11393,-12.538418117
1539611988.11443,-7.778185602
1539611988.11493,-11.5068872
1539611988.11543,0.42775452
1539611988.11593,-8.01023149
1539611988.11643,-12.993394968
1539611988.11693,-10.496357575
1539611988.11743,-8.218952568
1539611988.11793,-4.42307591
1539611988.11843,4.23058187
1539611988.11893,-3.86783358
1539611988.11943,8.99120689
1539611988.11993,6.94587087
1539611988.12043,-19.60706377
1539611988.12092,-11.02020013
1539611988.12142,-13.71424936
1539611988.12192,-8.93542003
1539611988.12242,-21.874239007
1539611988.12292,-14.94069751
1539611988.12342,-10.928155538
1539611988.12392,-6.44235658
1539611988.12441,-14.10767533
1539611988.12491,0.2720884572
1539611988.12541,-5.843160985
1539611988.12591,-3.84145618
1539611988.12641,-19.03480054294
1539611988.12691,3.66200684
1539611988.12741,-6.71180165
1539611988.12791,-16.830863175
1539611988.1284,-3.261238544
1539611988.1289,-29.37414072
1539611988.1294,-12.993930523
1539611988.1299,-6.50818121
1539611988.1304,-3.410398506
1539611988.1309,-10.660750093
1539611988.1314,-1.801401048
1539611988.13189,-4.4920353848
1539611988.13239,-14.035859883
1539611988.13289,-5.84514415
1539611988.13339,-15.752508876
1539611988.13389,-4.90823506
1539611988.13439,1.17461645
1539611988.13489,-1.2852966437
1539611988.13539,-10.61693835
1539611988.13588,-1.601461349
1539611988.13638,-9.193636048
1539611988.13688,-6.537297974
1539611988.13738,1.53551818
1539611988.13788,-9.71643651
1539611988.13838,-21.2397663981
1539611988.13888,-2.681347571
1539611988.13937,-16.25073428
1539611988.13987,-3.08251762
1539611988.14037,-14.56224573
1539611988.14087,0.75581607
1539611988.14137,-5.31785296
1539611988.14187,-2.88596797
1539611988.14237,-2.001060185
1539611988.14286,-11.146142435
1539611988.14336,-11.181126479
1539611988.14386,-3.5565381
1539611988.14436,-16.307496251
1539611988.14486,-5.268082855
1539611988.14536,-6.50313603
1539611988.14586,-7.66515422
1539611988.14635,-5.874359407
1539611988.14685,-16.31399774
1539611988.14735,-10.67802499
1539611988.14785,-7.325319948
1539611988.14835,-18.030357276
1539611988.14885,-2.420002877
1539611988.14935,-6.91283298
1539611988.14984,-10.378647838
1539611988.15034,-14.493942379
1539611988.15084,4.496583467
1539611988.15134,9.48294877
1539611988.15184,-16.613233054
1539611988.15234,-10.201571192
1539611988.15284,-9.90647364
1539611988.15334,-2.8285141718
1539611988.15383,2.328680028
1539611988.15433,7.02522563
1539611988.15483,-13.66305065
1539611988.15533,-14.59198165
1539611988.15583,-3.7244070417
1539611988.15633,12.42321897
1539611988.15683,9.10785532
1539611988.15733,-0.253014809000001
1539611988.15782,-7.63273287
1539611988.15832,-9.381986167
1539611988.15882,-2.4922285
1539611988.15932,-3.34952422
1539611988.15982,-4.46137476
1539611988.16032,-6.70494949
1539611988.16082,5.717830302
1539611988.16131,-11.29565526
1539611988.16181,-11.142497111
1539611988.16231,-3.272981055
1539611988.16281,9.89223432
1539611988.16331,5.524106619
1539611988.16381,6.686633661
1539611988.16431,19.21089253
1539611988.1648,-6.586550775
1539611988.1653,-4.34804571
1539611988.1658,0.231154212000001
1539611988.1663,-12.32541691
1539611988.1668,-10.08588183
1539611988.1673,-4.538432121
1539611988.1678,4.479419227
1539611988.16829,16.25398898
1539611988.16879,-9.59302568
1539611988.16929,-7.08044779
1539611988.16979,-1.970506488
1539611988.17029,7.582869348
