ts,value
1536317701.27558,-1.26440108
1536317701.27608,-0.00557341699999986
1536317701.27658,-4.478933781
1536317701.27708,8.126466565
1536317701.27758,14.61458898
1536317701.27808,0.45390652
1536317701.27858,0.6003852
1536317701.27908,1.747980234
1536317701.27958,1.067638994
1536317701.28008,0.553649309
1536317701.28058,-6.04804051
1536317701.28108,-9.17340075
1536317701.28158,0.223128921
1536317701.28208,15.32616841
1536317701.28258,1.607747076
1536317701.28308,5.631252252
1536317701.28359,-12.527222624
1536317701.28409,-9.64885903
1536317701.28459,3.250407937
1536317701.28509,-6.12005329
1536317701.28559,-2.683135301
1536317701.28609,-3.941213855
1536317701.28659,-0.0458805499999988
1536317701.28709,12.8224976
1536317701.28759,-1.04327083
1536317701.28809,-1.932823423
1536317701.28859,-15.316483788
1536317701.28909,-4.58072818
1536317701.28959,18.306047702
1536317701.29009,4.32757902
1536317701.29059,11.269196871
1536317701.29109,0.478569381
1536317701.29159,6.41945834
1536317701.29209,-0.514913123
1536317701.29259,-13.74717207156
1536317701.29309,18.016439925
1536317701.29359,6.300774969
1536317701.29409,-0.89019049
1536317701.2946,3.737773537
1536317701.29509,1.40943443
1536317701.2956,-10.79765319
1536317701.2961,7.829214653
1536317701.2966,-9.17464447
1536317701.2971,12.08072538
1536317701.2976,-5.8493044287
1536317701.2981,-3.914189094
1536317701.2986,4.8835043836
1536317701.2991,-14.867945585
1536317701.2996,-2.832408377
1536317701.3001,3.24909579
1536317701.3006,10.994038168
1536317701.3011,3.801755906
1536317701.3016,3.214848723
1536317701.3021,8.25209081
1536317701.3026,-1.12957751
1536317701.3031,3.137614966
1536317701.3036,5.17648578
1536317701.3041,12.76229595
1536317701.3046,8.62224049
1536317701.3051,9.72766923
1536317701.3056,-1.667768128
1536317701.3061,-10.53723645
1536317701.30661,-9.055245336
1536317701.30711,0.0671267500000003
1536317701.30761,0.777298392000001
1536317701.30811,-0.714057889
1536317701.30861,3.766738896
1536317701.30911,4.543523073
1536317701.30961,-11.565295067
1536317701.31011,3.54980315
1536317701.31061,10.93147325
1536317701.31111,-1.62942821
1536317701.31161,2.60956168
1536317701.31211,-14.309099356
1536317701.31261,-0.668718339999999
1536317701.31311,0.41185284
1536317701.31361,-2.04431463
1536317701.31411,-3.718853145
1536317701.31461,1.494205239
1536317701.31511,-5.411319237
