ts,value
1536322614.00006,-16.12443728
1536322614.00056,0.879344999999997
1536322614.00107,11.2671223
1536322614.00156,15.709896
1536322614.00207,-1.3264504
1536322614.00257,-30.34969041
1536322614.00307,-33.37697213
1536322614.00357,10.0017156
1536322614.00407,19.961874
1536322614.00457,18.3855381
1536322614.00507,-12.0753423
1536322614.00557,-20.0623589
1536322614.00607,-8.3886605
1536322614.00657,8.277728
1536322614.00707,30.4002495
1536322614.00757,11.2314109
1536322614.00807,-9.0199795
1536322614.00857,-3.0900478
1536322614.00907,3.7693825
1536322614.00958,6.4311695
1536322614.01008,11.7103652
1536322614.01058,11.0386868
1536322614.01108,7.3020115
1536322614.01158,-12.0075207
1536322614.01208,6.7072687
1536322614.01258,12.4187947
1536322614.01308,12.8475819
1536322614.01358,-11.1042518
1536322614.01408,4.0974083
1536322614.01458,-3.1194533
1536322614.01508,6.4910089
1536322614.01558,24.2884894
1536322614.01608,-1.718731
1536322614.01658,7.0019074
1536322614.01709,-5.6631546
1536322614.01759,10.553751
1536322614.01809,11.3845787
1536322614.01859,18.7367974
1536322614.01909,-5.3335018
1536322614.01959,-10.0736943
1536322614.02009,-9.1990337
1536322614.02059,15.4120959
1536322614.02109,1.8019867
1536322614.02159,5.1138382
1536322614.02209,-23.2255583
1536322614.02259,-4.5116749
1536322614.02309,22.5666999
1536322614.02359,33.7826414
1536322614.02409,6.9487859
1536322614.0246,-8.1269912
1536322614.02509,-10.3304434
1536322614.0256,-1.4480915
1536322614.0261,17.3495846
1536322614.0266,5.7952614
1536322614.0271,3.1206493
1536322614.0276,-26.3701401
1536322614.0281,-18.3824901
1536322614.0286,-1.0889311
1536322614.0291,28.72008227
1536322614.0296,-0.515852000000002
1536322614.0301,2.6135863
1536322614.0306,20.6119986
1536322614.0311,-8.5775318
1536322614.0316,-5.2570095
1536322614.0321,-5.3183289
1536322614.0326,13.8170757
1536322614.03311,-3.11849779999999
1536322614.03361,12.3446483
1536322614.03411,-3.6456071
1536322614.03461,-1.6153012
1536322614.03511,6.0029278
1536322614.03561,4.3933429
1536322614.03611,-7.46233760000001
1536322614.03661,3.2062091
1536322614.03711,4.3017273
1536322614.03761,4.707487
1536322614.03811,-15.9980069
1536322614.03861,6.30285080000001
1536322614.03911,-11.6580239
1536322614.03961,-4.1713105
1536322614.04011,-5.1283283
1536322614.04062,3.1514435
1536322614.04112,-4.1373081
1536322614.04162,14.0951328
1536322614.04212,-14.0604058
1536322614.04262,6.5620527
1536322614.04312,8.8454743
1536322614.04362,-5.7041378
1536322614.04412,1.5617047
1536322614.04462,-3.7633706
1536322614.04512,-3.5296497
1536322614.04562,5.6744767
1536322614.04612,15.9626426
1536322614.04662,10.2538661
1536322614.04712,11.2597064
1536322614.04762,8.7982559
1536322614.04813,-2.6828575
1536322614.04862,7.2424354
1536322614.04913,18.8470955
1536322614.04963,8.3890399
1536322614.05013,9.4276467
1536322614.05063,12.4565582
1536322614.05113,3.6070614
1536322614.05163,-4.1591224
1536322614.05213,9.2602482
1536322614.05263,3.50330360000001
1536322614.05313,-2.1756563
1536322614.05363,1.79938889999999
1536322614.05413,-11.5437736
1536322614.05463,10.7083092
1536322614.05513,5.8874207
1536322614.05563,3.3218728
1536322614.05613,5.8957996
1536322614.05663,-12.8478413
1536322614.05714,4.90272709999999
1536322614.05764,10.2584267
1536322614.05814,12.0436992
1536322614.05864,1.3398379
1536322614.05914,16.3345223
1536322614.05964,-9.8716334
1536322614.06014,-8.3784523
1536322614.06064,13.0520801
1536322614.06114,14.9202518
1536322614.06164,9.1807384
1536322614.06214,-8.7069531
1536322614.06264,0.497013099999997
1536322614.06314,-12.8547135
1536322614.06364,3.794116
1536322614.06415,30.0264721
1536322614.06465,-20.9076118
1536322614.06515,-5.7744103
1536322614.06565,4.8674907
1536322614.06615,-7.7190743
1536322614.06665,7.54987149999999
1536322614.06715,13.465723
1536322614.06765,15.0588704
1536322614.06815,-7.6722488
1536322614.06865,18.2249908
1536322614.06915,11.4461985
1536322614.06965,13.3776617
1536322614.07015,10.4358235
1536322614.07065,-12.1103076
1536322614.07115,-0.8118591
1536322614.07166,20.5511723
1536322614.07215,22.080433
1536322614.07266,15.5117435
1536322614.07316,-8.9798737
1536322614.07366,-15.3451519
1536322614.07416,-8.2946854
1536322614.07466,7.0897179
1536322614.07516,14.5350427
1536322614.07565,0.7144108
1536322614.07615,1.6501236
1536322614.07664,-8.2310219
1536322614.07713,7.4204444
1536322614.07763,11.741848
1536322614.07812,10.2288522
1536322614.07861,5.7151909
1536322614.07911,-5.9161531
1536322614.0796,-0.217561700000001
1536322614.0801,5.8969346
1536322614.08059,1.04226970000001
1536322614.08108,-5.7807388
1536322614.08158,-2.2232112
1536322614.08207,-9.0469913
1536322614.08256,-1.2650376
1536322614.08306,6.9461174
1536322614.08355,11.7132474
1536322614.08404,-7.5988731
1536322614.08454,-17.5844937
1536322614.08503,-9.9542999
1536322614.08553,8.09066769999999
1536322614.08602,27.7863102
1536322614.08651,25.1677227
1536322614.08701,-21.9436168
1536322614.0875,-21.1713523
1536322614.088,-9.3537922
1536322614.08849,5.2522792
1536322614.08898,19.0589828
1536322614.08948,-3.4154511
1536322614.08997,-16.2534686
1536322614.09046,-31.3177547
1536322614.09096,6.0415955
1536322614.09145,22.7459535
1536322614.09194,-0.298471500000002
1536322614.09244,-8.0846996
1536322614.09293,-16.2097817
1536322614.09343,-7.3729916
1536322614.09392,16.7481012
1536322614.09441,36.9189072
1536322614.09491,-2.310728
1536322614.0954,-17.1083679
1536322614.09589,6.6124763
1536322614.09639,-2.58745759999999
1536322614.09688,27.2640858
1536322614.09737,23.0054292
1536322614.09787,-6.1628819
1536322614.09836,-26.5751447
1536322614.09886,-4.0609416
1536322614.09935,18.6186103
1536322614.09984,23.45932197
1536322614.10034,-3.05125810000001
1536322614.10083,-10.2084732
1536322614.10132,-32.1700115
1536322614.10182,-4.7757245
1536322614.10231,39.52613647
1536322614.1028,41.24404332
1536322614.1033,9.0388603
1536322614.10379,-24.3633557
1536322614.10429,-16.8402347
1536322614.10478,18.3482381
1536322614.10527,21.8888922
1536322614.10577,7.54752539999999
1536322614.10626,-10.9531326
1536322614.10675,-16.0540848
1536322614.10725,0.906015299999996
1536322614.10774,28.123804
1536322614.10824,21.3624744
1536322614.10873,7.8297443
1536322614.10922,-13.9500485
1536322614.10972,1.2655068
1536322614.11021,8.2100105
1536322614.1107,16.179986
1536322614.1112,26.8587503
1536322614.11169,-0.221458500000001
1536322614.11219,-11.7722682
1536322614.11268,-16.2591695
1536322614.11317,19.1362667
1536322614.11367,18.6967383
1536322614.11416,10.0679912
1536322614.11465,-21.77198505
1536322614.11515,-15.6954632
1536322614.11564,13.5802803
1536322614.11613,21.8170986
