ts,value
1538744488.0001,-27.14335987
1538744488.0006,-17.320569
1538744488.0011,-14.08701515
1538744488.0016,-14.586456979
1538744488.00209,-12.011742408
1538744488.00259,-10.604939511
1538744488.00309,1.26216578
1538744488.00359,-6.265551208
1538744488.00409,-24.90579534
1538744488.00459,-4.73782134
1538744488.00509,-3.41199266
1538744488.00559,-2.16056263
1538744488.00609,4.730759683
1538744488.00658,-6.97303725
1538744488.00708,-11.12053274
1538744488.00758,-11.3864795
1538744488.00808,-5.74939084
1538744488.00858,-9.109383873
1538744488.00908,-11.48035037
1538744488.00958,-22.29831792
1538744488.01008,-6.33097885
1538744488.01058,-9.5292282
1538744488.01108,-9.995924891
1538744488.01157,-22.902835872
1538744488.01207,-18.75763511
1538744488.01257,-13.83257285
1538744488.01307,0.0360429330000014
1538744488.01357,-15.970579204
1538744488.01407,-0.533629715
1538744488.01457,-12.304707525
1538744488.01507,-3.804026188
1538744488.01556,-10.784436999
1538744488.01606,-12.68887912
1538744488.01656,6.89253687
1538744488.01706,-6.418156988
1538744488.01756,-6.446758379
1538744488.01806,-8.582982091
1538744488.01856,8.422617735
1538744488.01906,2.079724997
1538744488.01956,-4.333908478
1538744488.02005,-1.005488403
1538744488.02055,21.42858457
1538744488.02105,16.330353007
1538744488.02155,0.529716250000001
1538744488.02205,12.9192189268
1538744488.02255,-16.21451462
1538744488.02305,-10.62125373
1538744488.02355,-0.18301726
1538744488.02405,-12.59884048
1538744488.02454,-3.96438169
1538744488.02504,-10.070610695
1538744488.02554,-26.29064035
1538744488.02604,-20.086317162
1538744488.02654,1.890518781
1538744488.02704,-12.387094225
1538744488.02754,-3.698497714
1538744488.02804,10.80647302
1538744488.02854,1.137357182
1538744488.02903,11.550654231
1538744488.02953,-7.45721388
1538744488.03003,5.13388324
1538744488.03053,0.29273796
1538744488.03103,20.649644158
1538744488.03153,11.88608667
1538744488.03203,-0.71401513
1538744488.03253,12.03538239
1538744488.03303,3.534771792
1538744488.03352,6.50368285
1538744488.03402,14.75567495
1538744488.03452,1.737323883
1538744488.03502,4.765993898
1538744488.03553,-3.3673511754
1538744488.03603,-24.68494077
1538744488.03653,-2.390119971
1538744488.03703,-16.1124359435
1538744488.03753,-11.11783766
1538744488.03803,-11.78459878
1538744488.03853,1.03392458
1538744488.03903,-18.19488324
1538744488.03953,-5.11643862
1538744488.04003,-0.608958925
1538744488.04053,0.62494039
1538744488.04103,5.772378444
1538744488.04153,-10.36807846
1538744488.04203,-8.3584582355
1538744488.04253,-4.92952943
1538744488.04303,-13.274767273
1538744488.04353,9.94459033
1538744488.04403,7.306843347
1538744488.04453,-1.2710822
1538744488.04504,12.708467572
1538744488.04554,1.64125895
1538744488.04604,-16.44065429
1538744488.04654,-7.013988316
1538744488.04704,1.770892196
1538744488.04754,-6.07399202
1538744488.04804,-4.6322296792
1538744488.04854,4.8821752
1538744488.04904,-9.94924903
1538744488.04954,-11.4520433
1538744488.05004,-16.591242359
1538744488.05054,-3.2842931
1538744488.05104,-26.99132835
1538744488.05154,-19.650739767
1538744488.05204,-13.91016353
1538744488.05254,-17.90425961
1538744488.05304,-8.9160911352
1538744488.05354,-3.03389811
1538744488.05404,-21.70073103
1538744488.05455,4.213341
1538744488.05505,-8.79862892
1538744488.05555,-15.58819751
1538744488.05605,-2.426771905
1538744488.05655,3.98875022
1538744488.05705,-15.35594704
1538744488.05755,1.33303702
1538744488.05805,5.054333204
1538744488.05855,16.29187349
1538744488.05905,-0.0461536570000001
1538744488.05955,-7.390576783
1538744488.06005,-6.532056631
1538744488.06055,6.1031215901
1538744488.06105,-13.595189531
1538744488.06155,3.691416925
1538744488.06205,-20.436939022
1538744488.06255,-4.21280014
1538744488.06306,8.269017036
1538744488.06356,-16.672004396
1538744488.06406,-8.48455596
1538744488.06456,-1.34307754
1538744488.06506,-20.812718368
1538744488.06556,-15.20869338
1538744488.06606,-1.723799528
1538744488.06656,-13.4328148
1538744488.06706,-2.69524991
1538744488.06756,-3.474169837
1538744488.06806,-19.17462134
1538744488.06856,-3.6600880595
1538744488.06906,-8.0621132144
1538744488.06956,2.4949697298
1538744488.07006,13.15642714
1538744488.07056,4.09912061
1538744488.07106,2.63590384
1538744488.07156,4.738986205
1538744488.07206,22.88438461
1538744488.07256,15.997165845
1538744488.07307,-4.87780809
1538744488.07357,3.452890044
1538744488.07407,-12.53506279
1538744488.07457,-6.234523149
1538744488.07507,-20.019609652
1538744488.07557,-17.63144088
1538744488.07607,-15.61256982
1538744488.07657,-16.371974476
1538744488.07707,-9.47756076
1538744488.07757,-17.4144603
1538744488.07807,-14.6937704095
1538744488.07857,-16.78686082
1538744488.07907,-17.758949941
1538744488.07957,-13.54024175
1538744488.08007,-10.296097342
1538744488.08057,-13.387932838
1538744488.08107,-22.826351436
1538744488.08157,-23.31235123
1538744488.08207,-3.528126125
1538744488.08257,-9.919779032
1538744488.08308,0.899853701
1538744488.08358,-3.69230092
1538744488.08408,-3.96182728
1538744488.08458,13.608235821
1538744488.08508,10.214249219
1538744488.08558,11.1849400601
1538744488.08608,-0.707113791
1538744488.08658,15.3159101956
1538744488.08708,3.0882849201
1538744488.08758,-0.904707672
1538744488.08808,-0.145458569999999
1538744488.08858,-20.24402808
1538744488.08908,-2.463995398
1538744488.08958,-4.64520076
1538744488.09008,-24.35348677
1538744488.09058,-13.952034508
1538744488.09108,-6.132333283
1538744488.09158,-19.23992267
1538744488.09208,-7.84285235
1538744488.09259,-10.454392321
1538744488.09309,-22.01380992
1538744488.09359,-8.886945309
1538744488.09409,-9.805493536
1538744488.09459,-23.46391677
1538744488.09509,-6.540543504
1538744488.09559,-5.374361159
1538744488.09609,-4.210930885
1538744488.09659,5.43730355
1538744488.09709,-6.00268603
1538744488.09759,1.29897035
1538744488.09809,-6.979843137
1538744488.09859,2.9378423525
1538744488.09909,-13.38800025
1538744488.09959,-1.041746022
1538744488.10009,-1.03927444
1538744488.10059,-5.17576241
1538744488.10109,-8.32562852
1538744488.1016,-8.05243875
1538744488.1021,-11.4555190695
1538744488.1026,-2.6884448294
1538744488.1031,-4.963793873
1538744488.1036,-15.50838776
1538744488.1041,-23.42297936
1538744488.1046,-6.19619655
1538744488.1051,-20.226648381
1538744488.1056,7.44128992
1538744488.1061,-14.690076704
1538744488.1066,-19.89052933487
1538744488.1071,-1.4602447594
1538744488.1076,8.386849573
1538744488.1081,0.56411791
1538744488.1086,-7.993259243
1538744488.1091,1.451319852
1538744488.1096,-6.418243584
1538744488.11011,-2.275065815
1538744488.11061,11.915758735
1538744488.11111,-0.180567620000001
1538744488.11161,-5.557048931
1538744488.11211,12.41481587
1538744488.11261,-3.9221034166
1538744488.11311,-7.570596031
1538744488.11361,-6.497464293
1538744488.11411,-2.988667607
1538744488.11461,-14.87842278
1538744488.11511,-2.08970594
1538744488.11561,0.0612968800000001
1538744488.11611,-4.35956049
1538744488.11661,5.80505538
1538744488.11711,-2.585838496
1538744488.11761,-2.17665565
1538744488.11811,-18.049508985
1538744488.11861,-1.173312063
1538744488.11911,-6.021047294
1538744488.11962,-7.39533615
1538744488.12012,9.81097042
1538744488.12062,2.67207218
1538744488.12112,6.930551495
1538744488.12162,-19.08368493
1538744488.12212,3.45827771
1538744488.12262,-0.34040034
1538744488.12312,-3.80670361
1538744488.12362,9.80420778
1538744488.12412,5.96462274
1538744488.12462,5.540810524
1538744488.12512,-14.43141854
1538744488.12562,-11.800013215
1538744488.12612,-2.45715427
1538744488.12662,11.65602243
1538744488.12712,4.214725797
1538744488.12762,1.1131129305
1538744488.12812,-1.6676685
1538744488.12862,-4.555280633
1538744488.12913,-3.73401249
1538744488.12963,-3.960590114
1538744488.13013,16.363942775
1538744488.13063,-20.83358073
1538744488.13113,-3.24709414
1538744488.13163,-13.23847723
1538744488.13213,-18.94313422
1538744488.13263,-6.45552254
1538744488.13313,-13.984256202
1538744488.13363,-20.556085523
1538744488.13413,-7.008160048
1538744488.13463,-7.544145798
1538744488.13513,-7.952135715
1538744488.13563,6.6687398
1538744488.13613,-7.56507384
1538744488.13663,0.587360200000001
1538744488.13713,-0.489728985999999
1538744488.13763,4.429127906
1538744488.13813,-16.43594029
1538744488.13863,-1.67857718
1538744488.13913,-12.713232981
1538744488.13963,-0.44834375
1538744488.14013,-7.317726814
1538744488.14063,-0.64046823
1538744488.14113,-21.07020593
1538744488.14163,-5.44180774
1538744488.14213,-11.26803538
1538744488.14263,-13.163234058
1538744488.14313,-2.0215609569
1538744488.14363,2.224936127
1538744488.14413,3.28091312
1538744488.14463,-13.49435711
1538744488.14513,-5.647094068
1538744488.14563,16.212506299
1538744488.14613,-9.67007363
1538744488.14663,-15.26515269
1538744488.14713,0.626787545
1538744488.14762,1.612906317
1538744488.14812,-10.673341331
1538744488.14862,-13.04515026
1538744488.14912,1.300860882
1538744488.14962,-12.90064526
1538744488.15012,-3.13929998
1538744488.15062,-3.102271741
1538744488.15112,-16.185101344
1538744488.15162,-19.56840657
1538744488.15212,-12.592494686
1538744488.15262,-19.65028991
1538744488.15312,-18.34825194
1538744488.15362,-11.38103143
1538744488.15412,-5.367082
1538744488.15462,-12.8315196
1538744488.15512,-14.759879162
1538744488.15562,-7.8279084655
1538744488.15612,-4.33668649
1538744488.15662,1.89591897
1538744488.15712,0.0223789300000004
1538744488.15762,21.884042927
1538744488.15812,-13.164654074
1538744488.15862,-5.60163378
1538744488.15912,16.98868072
1538744488.15962,1.78872944
1538744488.16012,2.15235532
1538744488.16062,0.548971622
1538744488.16112,0.104072102
1538744488.16162,9.684881922
1538744488.16212,-7.73272348
1538744488.16262,-10.332418083
1538744488.16312,-2.32342566
1538744488.16362,-10.85745883
1538744488.16412,-5.90655421
1538744488.16462,-11.04106281
1538744488.16512,-15.930684151
1538744488.16562,-12.26630688
1538744488.16612,-12.462096662
1538744488.16662,-24.91854966
1538744488.16712,-12.39943576
1538744488.16762,-5.7115147
1538744488.16811,-4.891150596
1538744488.16862,-2.87094545
1538744488.16912,-1.79360752
1538744488.16962,6.528226
1538744488.17011,15.995144556
1538744488.17061,15.608163803
1538744488.17111,8.34973141
1538744488.17161,21.77701988
1538744488.17211,14.661196707
1538744488.17261,12.63738982
1538744488.17311,19.85857892
1538744488.17361,-2.80104376
1538744488.17411,4.911423988
1538744488.17461,-2.806506277
1538744488.17511,7.90682911
1538744488.17561,-5.784171823
1538744488.17611,8.3508835548
1538744488.17661,-15.02721119
1538744488.17711,-19.25622104
1538744488.17761,1.30481655
1538744488.17811,-35.45380218
1538744488.17861,-21.11363954
1538744488.17911,-23.26567724
1538744488.17961,-8.991070925
1538744488.18011,-18.46325624
1538744488.18061,-26.62415059
1538744488.18111,-10.6742964375
1538744488.18161,-9.02445292
1538744488.18211,5.763235451
1538744488.18261,7.49807761
1538744488.18311,9.830028353
1538744488.18361,4.7274842948
1538744488.18411,-6.79174516
1538744488.18461,0.21868276
1538744488.18511,23.4378412
1538744488.18561,0.484050303
1538744488.18611,2.612776991
1538744488.18661,3.38188194
1538744488.18711,-0.564849952
1538744488.18761,-5.99572157
1538744488.18811,-0.0711395699999997
1538744488.18861,-16.5257458966
1538744488.18911,-12.8342247
1538744488.1896,-13.957235519
1538744488.1901,-17.38426519
1538744488.1906,-5.97219301
1538744488.1911,-32.7836771623
1538744488.1916,-21.89585331
1538744488.1921,-25.32274384
1538744488.1926,-24.02613305
1538744488.1931,-14.692515512
1538744488.1936,-19.380414796
1538744488.1941,-12.7596503666
1538744488.1946,-7.1240685
1538744488.1951,2.57396246
1538744488.1956,0.70718312
1538744488.1961,1.371029618
1538744488.1966,2.086779746
1538744488.1971,9.546543311
1538744488.1976,-0.60811445
1538744488.1981,14.730220399
1538744488.1986,0.38981426
1538744488.1991,3.98912953
1538744488.1996,13.8281398083
1538744488.2001,-1.172238673
1538744488.2006,-2.09179365
1538744488.2011,10.0596974553
1538744488.2016,-5.28919493
1538744488.2021,-15.398248748
1538744488.2026,8.49738622
1538744488.2031,-16.89916002
1538744488.2036,-13.2033590135
1538744488.2041,-13.46822428
1538744488.2046,-22.6443894399
1538744488.2051,-7.985972833
1538744488.2056,-2.840116497
1538744488.2061,-10.04247451
1538744488.2066,-10.594617614
1538744488.2071,-14.620084573
1538744488.2076,-10.08783388
1538744488.2081,4.42771137
1538744488.2086,12.06251776
1538744488.2091,-2.39513742
1538744488.2096,2.1549427
1538744488.2101,10.559321974
1538744488.21059,1.45106304
1538744488.21109,14.096141682
1538744488.2116,14.834962353
1538744488.2121,21.8469605579
1538744488.21259,14.368274866
1538744488.21309,8.38000857
1538744488.21359,-8.574671273
1538744488.21409,6.12201357
1538744488.21459,0.0709527190000005
1538744488.21509,-5.185072905
1538744488.21559,-6.20545113
1538744488.21609,-21.5632862044
1538744488.21659,-9.965353875
1538744488.21709,-15.883117557
1538744488.21759,0.81558573
1538744488.21809,-2.94788802
1538744488.21859,-13.21325827
1538744488.21909,-18.71714353
1538744488.21959,-0.347160799
1538744488.22009,4.889209106
1538744488.22059,-8.514319006
1538744488.22109,-4.7472701
