ts,value
1536316667.07642,6.82938205
1536316667.07692,-5.94919669
1536316667.07742,-9.680359302
1536316667.07792,-4.880490311
1536316667.07842,-7.565214125
1536316667.07892,2.31838351
1536316667.07942,-6.20726669
1536316667.07992,-15.64700389
1536316667.08042,-3.640258062
1536316667.08092,-19.94286944
1536316667.08141,-2.03747654
1536316667.08192,0.239136786
1536316667.08242,-2.604011239
1536316667.08292,-11.21268346
1536316667.08342,-12.31852055
1536316667.08391,-10.762827103
1536316667.08441,-15.835702276
1536316667.08491,-2.547182389
1536316667.08541,-21.95418665
1536316667.08591,-16.91538596
1536316667.08641,-3.15753317
1536316667.08691,-4.2402109994
1536316667.08741,-5.655366359
1536316667.08791,-4.325444555
1536316667.08841,-9.980196237
1536316667.08891,0.971862792
1536316667.08941,-0.321465740000001
1536316667.08991,-9.0451351872
1536316667.09041,18.801919218
1536316667.09091,3.291457918
1536316667.09141,10.90300583
1536316667.09191,11.54207617
1536316667.09241,-11.056170106
1536316667.09291,-12.94748598
1536316667.09341,-4.431331996
1536316667.09391,-12.47595847
1536316667.09441,18.79026055
1536316667.09491,11.984500884
1536316667.09541,-0.43878233
1536316667.09591,1.722117658
1536316667.09641,-0.840653067
1536316667.09691,15.7915572253
1536316667.09741,-13.784835577
1536316667.09791,-1.456104517
1536316667.09841,-26.97578731
1536316667.09891,-8.415064992
1536316667.09941,-13.26338363
1536316667.09991,-4.100301305
1536316667.10041,0.646161948
1536316667.10091,-6.621133152
1536316667.10141,-5.358100593
1536316667.10191,-11.698844301
1536316667.10241,13.73575353
1536316667.10291,7.132866805
1536316667.10341,-7.33499885
1536316667.10391,-8.37420643
1536316667.10441,-23.8939135
1536316667.10491,-2.3048685151
1536316667.10541,-10.314812482
1536316667.10591,-8.981566482
1536316667.10641,12.41930266334
1536316667.10691,-7.5923046209
1536316667.10741,6.820850317
1536316667.10791,-1.04164458
1536316667.10841,-12.11081636
1536316667.10891,-7.144139085
1536316667.10941,4.36975766
1536316667.10991,-7.003968539
1536316667.11041,-8.487954445
1536316667.11091,-8.199472135
1536316667.11141,-6.45695567
1536316667.11191,3.998246139
1536316667.11241,2.30584693
1536316667.11291,-23.47966266
1536316667.11341,-20.34774113
1536316667.11391,-13.07186329
1536316667.11441,-4.84758675
1536316667.11491,-12.69798814
