ts,value
1534844335.00025,9.285412214
1534844335.00075,5.67914185
1534844335.00125,5.59669831
1534844335.00175,-12.419493764
1534844335.00226,-11.59825588
1534844335.00276,-30.20901083
1534844335.00326,-2.90430216
1534844335.00376,17.339776412
1534844335.00426,1.59651423
1534844335.00476,7.272363151
1534844335.00526,-18.30452921
1534844335.00577,-4.67702723
1534844335.00627,2.96498132
1534844335.00677,-13.945770488
1534844335.00727,13.86980888
1534844335.00777,-1.421849069
1534844335.00827,-2.23828745
1534844335.00877,3.27640533
1534844335.00928,11.726403677
1534844335.00978,19.00900124
1534844335.01028,-15.62700219
1534844335.01078,-9.51447999
1534844335.01128,-4.95836663
1534844335.01178,-17.7818023779
1534844335.01228,9.69906287
1534844335.01279,-10.56114199
1534844335.01329,8.436010168
1534844335.01379,3.27469647
1534844335.01429,7.80520813
1534844335.01479,-19.67702823
1534844335.01529,-2.27273846
1534844335.01579,7.596213732
1534844335.0163,-6.82670486
1534844335.0168,3.651925561
1534844335.0173,20.085837682
1534844335.0178,-3.42677382
1534844335.0183,5.51837242
1534844335.0188,5.48071002
1534844335.0193,9.403229
1534844335.01981,-11.692813289
1534844335.02031,5.58829736
1534844335.02081,16.765269817
1534844335.02131,-12.11432802
1534844335.02181,-3.72143052
1534844335.02231,-0.0369100600000003
1534844335.02282,4.33596641
1534844335.02332,-4.51983309
1534844335.02382,2.56833506
1534844335.02432,9.62327673
1534844335.02482,3.657714146
1534844335.02532,-16.24806192
1534844335.02583,5.59792136
1534844335.02633,-6.37995207
1534844335.02683,-4.89136553
1534844335.02733,-6.03768635
1534844335.02783,9.97391248
1534844335.02833,0.328903909999999
1534844335.02883,6.98750111
1534844335.02934,-24.9033808
1534844335.02984,-5.81235817
1534844335.03034,15.61525871
1534844335.03084,23.07252786
1534844335.03134,14.2620458589
1534844335.03184,-6.7052355
1534844335.03234,-14.82357597
1534844335.03285,-21.44175575
1534844335.03335,2.156261826
1534844335.03385,-8.76111366
1534844335.03435,23.96635106
1534844335.03485,-3.42203302
1534844335.03535,-31.27519271
1534844335.03585,-20.28618291
1534844335.03636,-13.37772224
1534844335.03686,-0.193883891999999
1534844335.03736,8.86911297
1534844335.03786,17.40923404
1534844335.03836,-11.38033104
1534844335.03886,-1.4115386
1534844335.03936,-22.337361276
1534844335.03987,-0.512194600000001
1534844335.04037,6.24627447
1534844335.04087,14.49293428
1534844335.04137,15.53881691
1534844335.04187,-3.32293844
1534844335.04237,-14.13898752
1534844335.04287,-18.75825336
1534844335.04338,2.236534618
1534844335.04388,14.7146132
1534844335.04438,24.33850893
1534844335.04488,-19.68851852
1534844335.04538,-2.68648577
1534844335.04588,-6.74235796
1534844335.04639,5.70556214
1534844335.04689,3.67673063
1534844335.04739,15.01977666
1534844335.04789,6.6325803
1534844335.04839,-17.18367793
1534844335.04889,-29.78069589
1534844335.04939,4.62323665
1534844335.0499,6.10633635
1534844335.0504,33.22045998
1534844335.0509,13.93209648
1534844335.0514,0.489650320000001
1534844335.0519,-15.093758288
1534844335.0524,-34.89446232
1534844335.0529,-14.090926776
1534844335.05341,-2.954632069
1534844335.05391,11.428381407
1534844335.05441,-9.36383414
1534844335.05491,-39.528615625
1534844335.05541,-21.03338212
1534844335.05591,11.63292785
1534844335.05641,7.82047761
1534844335.05692,20.72205804
1534844335.05742,12.222730396
1534844335.05792,-11.51939918
1534844335.05842,-30.6445637
1534844335.05892,-9.3347128011
1534844335.05942,20.76374958
1534844335.05992,22.34222699
1534844335.06043,15.0250698
1534844335.06093,-14.88310815
1534844335.06143,-31.99009673
1534844335.06193,-4.286941487
1534844335.06243,8.72403064
1534844335.06293,11.74761539
1534844335.06344,17.4828177
1534844335.06394,-25.16956008
1534844335.06444,-45.862607169
1534844335.06494,-22.69645749
1534844335.06544,14.83298633
1534844335.06594,20.76788301
1534844335.06644,28.82304624
1534844335.06695,-2.76081706
1534844335.06745,-8.472332806
1534844335.06795,-27.22548101
1534844335.06845,21.0353494
1534844335.06895,34.7526874
1534844335.06945,34.23571156
1534844335.06995,-9.5445542
1534844335.07046,-21.21718166
1534844335.07096,-30.409126777
1534844335.07146,-5.47062633
1534844335.07196,16.28327941
1534844335.07246,11.59490538
1534844335.07296,-19.576686184
1534844335.07346,-30.20091014
1534844335.07396,-28.94597116
1534844335.07446,10.65516854
1534844335.07496,6.97389127
1534844335.07546,23.85511782
1534844335.07596,-14.84497451
1534844335.07646,-19.57700019
1534844335.07695,-2.37057313
1534844335.07745,8.15754816
1534844335.07795,23.07477756
1534844335.07845,19.36394068
1534844335.07895,-18.61096905
1534844335.07945,-15.99947977
1534844335.07995,-15.84759116
1534844335.08045,4.397431587
1534844335.08095,23.9970536
1534844335.08145,16.506707292
1534844335.08195,-21.100470792
1534844335.08245,-43.53974628
1534844335.08294,-12.63276552
1534844335.08344,22.837949637
1534844335.08394,31.83316275
1534844335.08444,7.01143623
1534844335.08494,-14.59439205
1534844335.08544,-33.856431604
1534844335.08594,-1.40937475
1534844335.08644,18.82228664
1534844335.08694,22.21421098
1534844335.08744,11.2104063
1534844335.08794,-25.98536778
1534844335.08844,-21.43914751
1534844335.08893,-0.4052319
1534844335.08943,29.00881955
1534844335.08993,25.38603346
1534844335.09043,-9.9202262
1534844335.09093,-28.4149694
1534844335.09143,-10.3682345
1534844335.09193,-3.50663277
1534844335.09243,4.028327065
1534844335.09293,13.71794888
1534844335.09343,-15.02700569
1534844335.09393,-41.80398127
1534844335.09443,-17.595228652
1534844335.09493,24.823785313
1534844335.09542,33.74305968
1534844335.09592,11.001174251
1534844335.09642,-3.35809445
1534844335.09692,-21.51730727
1534844335.09742,-8.42721318
1534844335.09792,18.629858377
1534844335.09842,16.44242244
1534844335.09892,-0.376537329999999
1534844335.09942,-12.7531199
1534844335.09992,-28.41639038
1534844335.10042,1.65833376
1534844335.10091,28.93231054
1534844335.10141,5.15232326
1534844335.10191,-5.977203252
1534844335.10241,-25.60892197
1534844335.10291,-9.61660668
1534844335.10341,10.09469891
1534844335.10391,25.958674
1534844335.10441,11.04538279
1534844335.10491,-5.75798631
1534844335.10541,-1.944536
1534844335.10591,-16.78999674
1534844335.10641,-2.64817619
1534844335.10691,23.22446819
1534844335.1074,-2.71938944
1534844335.1079,-11.559503768
1534844335.1084,-27.77417186
1534844335.1089,-11.6322552
1534844335.1094,13.87870564
1534844335.1099,20.36058183
1534844335.1104,7.4822241708
1534844335.1109,-19.83678121
1534844335.1114,-24.0822201
1534844335.1119,-5.14465977
1534844335.1124,23.27209847
1534844335.1129,13.53787162
1534844335.11339,-9.00001216
1534844335.11389,-22.44524101
1534844335.11439,-8.0163505
1534844335.11489,6.79066358
1534844335.11539,17.528953902
1534844335.11589,-12.6340365
1534844335.11639,-38.962375234
1534844335.11689,-30.98009063
1534844335.11739,-29.53604838
1534844335.11789,17.22745777
1534844335.11839,20.09554387
1534844335.11889,-2.64642429
1534844335.11939,-19.5781126
1534844335.11988,-15.47716285
1534844335.12038,9.7709598
1534844335.12088,17.15014361
1534844335.12138,14.32903785
1534844335.12188,-19.80378293
1534844335.12238,-8.7709434
1534844335.12288,6.10501433
1534844335.12338,13.86727855
1534844335.12388,35.67789085
1534844335.12438,-17.59901937
1534844335.12488,-23.38619852
1534844335.12538,-39.37133203
1534844335.12587,-2.4650948
1534844335.12637,15.92314364
1534844335.12687,3.95338578
1534844335.12737,1.192072916
1534844335.12787,-8.611856417
1534844335.12837,-0.52336216
1534844335.12887,-5.46749066
1534844335.12937,-0.963335613
1534844335.12987,-2.2837654744
1534844335.13037,1.33993625
